$  	$	Nan
parlamentben	парламент	None
parlamenti	парламентарни	Nan
parlamentáris	парламентарни	Nan
part	журка	Nan
parti	приобални	Nan
partjai	обала	None
partján	обала	None
partnere	партнер	None
partnerei	партнери	None
partnerek	партнери	None
parton	на обали	Nan
partra	на обали	Nan
partraszállás	слетање	Nan
party	журка	Nan
pascal	пасцал	Nan
parlament	парламент	None
passzív	пасиван	Nan
parkot	парк	None
parkjai	паркови	None
paradicsom	парадајз	Nan
paralelogramma	паралелограм	None
parancs	команда	None
parancsnok	команданта	None
parancsnoka	команданта	None
parancsnoki	команданта	None
parancsot	команда	None
parancsára	команда	None
parasztok	сељаци	None
parasztság	сељаштво	Nan
parco	парцо	Nan
paris	парис	Nan
park	парк	None
parkban	парк	None
parker	паркер	Nan
parkok	паркови	None
papírra	папир	Nan
pata	копито	Nan
pataky	патаки	Nan
perui	перуански	Nan
perzsa	перзијски	Nan
perzsia	иран	None
perzsák	перзијанци	Nan
pest	штеточина	Nan
pesten	будапест	Nan
pesti	штеточина	Nan
pestis	куга	Nan
pestre	до будимпеште	Nan
pete	овула	Nan
peter	петер	Nan
petőfi	петофи	Nan
phi	фи	Nan
phil	пхил	Nan
philip	пхилип	Nan
peru	перу	None
patak	поток	None
persze	наравно	None
periódusos	периодни систем	Nan
patrick	патрик	Nan
paul	паул	Nan
paula	паула	Nan
paulina	паулина	Nan
paulo	пауло	Nan
paunik	паун	Nan
pc	пц	Nan
pearl	бисер	Nan
pedig	заузврат	None
pekingi	пекинг	None
per	липље	Nan
perc	минуту	Nan
peremén	ивица	None
periféria	периферија	Nan
period	раздобље	None
perry	перри	Nan
papír	папир	Nan
papp	папп	Nan
papok	свештеницима	Nan
oszkár	осцар	Nan
oszlik	подељено	None
oszlop	колона	Nan
oszlott	подељено	None
oszmán	осман	Nan
osztható	дељив	Nan
osztja	акције	None
osztják	подељено	None
osztotta	подељено	None
osztották	подељено	None
osztrák	аустријски	None
osztrákmagyar	аустрија и мађарска	Nan
osztrákok	аустријанци	None
osztály	класа	None
osztályban	класа	None
ostroma	опсада	None
ott	тамо	None
ostrom	опсада	None
oscardíjat	осцар награде	Nan
országokból	земаља	None
országos	национална	None
országot	земљу	None
országra	земљу	None
országszerte	током	None
országában	земљу	None
országát	земљу	None
ortodox	православан	Nan
orvos	докторе	Nan
orvosi	медицински	None
orvosok	доктори	Nan
orális	орално	Nan
os	предак	Nan
oscar	осцар	Nan
oscardíj	осцар авард	Nan
osiris	осирис	Nan
ottani	тамо	None
otthagyta	отишао је	Nan
otthon	код куће	Nan
paleoindiánok	палео-индијанци	Nan
palesztin	палестински	Nan
palesztina	палестина	Nan
palin	палин	Nan
pallas	паллас	Nan
palota	палата	None
palotája	палата	None
paloták	палате	None
pannon	панонска	Nan
pannonius	паннониус	Nan
panoráma	панорама	None
panthera	пантхера	Nan
paolo	паоло	Nan
pap	свештеник	None
papi	свештенички	Nan
palazzo	палаззо	Nan
palaisztra	палаестра	Nan
pakisztán	пакистан	None
pajzsoscankó	руфф	Nan
otthona	кућа	None
otthoni	кућа	None
otthont	кућа	None
otthonában	кућа	None
otto	отто	Nan
ottó	отто	Nan
our	наше	None
philipposz	пхилип	Nan
over	преко	None
oxford	окфорд	Nan
oxigén	кисеоник	None
p	п	None
pablo	пабло	Nan
pacino	пацино	Nan
paice	паице	Nan
pajzs	штит	Nan
overdose	предозирање	Nan
phoebe	пхоебе	Nan
phoenix	феникс	Nan
pi	пи	Nan
programja	програм	None
programok	програми	None
programokat	програми	None
programot	програм	None
programozási	програмирање	None
progresszív	прогресиван	Nan
project	пројекат	None
projekt	пројекат	None
propaganda	пропаганда	Nan
propilén	пропилен	Nan
prost	прост	Nan
protestáns	протестант	Nan
protiszták	протисти	None
prága	праг	None
prágai	праг	None
program	програм	None
prágában	праг	None
profi	професионални	None
professzor	професор	None
private	приватно	Nan
privát	приватно	Nan
pro	про	Nan
probléma	проблем	None
problémái	проблеми	None
problémája	проблем	None
problémák	проблеми	None
problémákat	проблеми	None
problémákkal	питања	None
problémát	проблем	None
processzor	процесор	Nan
producer	произвођач	Nan
producere	произвођач	Nan
produceri	произвођачи	Nan
produkció	производња	None
professzora	професор	None
próbál	покушати	Nan
próbálja	покушати	Nan
próbálják	покушати	Nan
python	питхон	Nan
páciens	пацијент	Nan
pál	паул	Nan
pálinka	ракија	Nan
pálya	суд	None
pályafutása	његова каријера	Nan
pályafutását	његова каријера	Nan
pályaudvar	станица	None
pályája	нумере	Nan
pályájának	стаза	None
pályáját	његова каријера	Nan
pályán	суд	None
pályára	стаза	None
pályát	стаза	None
páncélos	оклопна	Nan
px|thumb|a	пк | палац | а	Nan
pusztító	разорно	Nan
pusztán	само	None
puszta	голо	Nan
próbálkozott	покушали	None
próbált	покушали	None
próbálta	покушали	None
próbálták	покушали	None
próféta	пророк	Nan
prózai	проза	Nan
pszichedelikus	психоделика	Nan
prince	принц	None
pszichológiai	психолошки	Nan
public	јавни	None
publikált	објављено	None
publikálta	објављено	None
puerto	пуерто	Nan
punk	пунк	Nan
purple	љубичаста	Nan
puskás	пушка	Nan
pszichotikus	психотичан	Nan
országokban	земаља	None
primer	примарна	None
pozíciót	позиције	None
piusz	пиус	Nan
pl	на пример	Nan
platón	плато	None
plusz	плус	Nan
poe	пое	Nan
pogány	погански	Nan
pokol	додјавола	Nan
pole	пол	None
polgár	грађанин	Nan
polgárháború	грађански рат	Nan
polgári	цивилни	Nan
polgármester	градоначелниче	Nan
polgárok	грађани	None
poliszacharid	полисахариди	Nan
politika	политика	None
piton	питхон	Nan
politikai	политичка	None
piszkos	прљав	Nan
piramisok	пирамиде	None
piac	тржиште	None
piaci	тржиште	None
piacra	тржиште	None
piazza	пиазза	Nan
picasso	пицассо	Nan
picchu	пиццху	Nan
pictures	слике	None
pietro	пиетро	Nan
pietà	пиета	Nan
pillanatban	тренутак	None
pillanatában	тренутак	None
pilóta	пилот	None
pilóták	пилоти	None
pink	розе	Nan
pioneer	пионир	Nan
piros	црвено	None
politikailag	политички	None
politikus	политичар	None
politikusok	политичари	None
port	прах	Nan
porta	пријем	None
porto	поштарина	Nan
portré	портрет	None
portugál	португалски	None
portugália	португал	None
portál	портал	None
poszméh	бумбле бее	Nan
posztot	постове	Nan
posztumusz	посмртно	Nan
potlach	потлатцх	Nan
pozitív	позитивно	Nan
pozsony	позсони	Nan
pozsonyban	у братислави	Nan
pozsonyi	братислава	Nan
porosz	пруски	Nan
por	прах	Nan
populáris	популарна	None
populáció	популација	None
politikája	политика	None
politikáját	политика	None
politikát	политика	None
pompeius	помпеј	Nan
pont	тачка	None
ponte	понте	Nan
pontja	од	None
premier	премијера	None
pontjai	бодова	None
pontok	бодова	None
ponton	понтон	Nan
pontosabban	прецизније	Nan
pontosan	баш тако	Nan
pontot	бодова	None
ponttal	бодова	None
pop	поп	None
pontján	тачка	None
országok	земаља	None
országnak	земљу	None
országház	летњиковац	Nan
nálunk	овде	None
nándor	нандор	Nan
nándorfehérvári	београд	None
nápolyi	напуљски	Nan
négy	четири	None
négyes	четири	None
négyszer	четири пута	Nan
néha	понекад	None
néhol	негде	None
néhány	неки	None
néhányan	неки	None
nélkül	без	None
nélküli	без	None
nélkülözhetetlen	суштинско	Nan
némely	неки	None
náluk	они	None
némelyik	неки	None
nála	са њим	Nan
nádor	палатине	Nan
nyugtató	седатив	Nan
nyár	лето	None
nyári	лето	None
nyáron	лети	None
nyílik	отворено	None
nyílt	отворено	None
nyíltan	отворено	None
nyújt	понуда	None
nyújtanak	понуда	None
nyújtott	под условом	Nan
nyújtottak	достављени	Nan
nyúl	зец	Nan
nyúlik	упознавање	Nan
náci	нацисти	None
nácik	нацисти	None
nál	у	None
német	немачки	None
németek	немци	None
németeket	немци	None
népi	фолк	Nan
népies	фолкси	Nan
népköztársaság	народна република	Nan
néppárt	народна забава	Nan
néprajz	етнографија	Nan
néprajzi	етнографски	Nan
népszavazás	референдум	None
népszerű	популарна	None
népszerűek	популарна	None
népszerűsége	популарност	None
népszerűségnek	популарност	None
népszerűségét	популарност	None
népszerűvé	популарна	None
népszámlálás	попис	None
népszámlálási	попис	None
népességének	популација	None
népességnövekedés	раст популације	Nan
népessége	популација	None
népesség	популација	None
németh	неметх	Nan
németország	немачка	None
németországban	у немачкој	Nan
németországgal	немачке државе	Nan
németországi	немачка	None
németországnak	немачка	None
