ab	ab	ab
abba	abba	abba
abbas	abbas	abbas
abbey	abdij	abbey
abc	abc	abc
abort	abortus	abortion
aborter	abortussen	abortions
about	om	about
abraham	abraham	abraham
absint	absint	absinthe
absolut	absoluut	absolute; total
absoluta	absoluut	absolute
absolution	absolutie	absolution
absorberas	geabsorbeerd	(gets) absorbed
abstrakta	abstract	abstract
abu	abu	abu
ac	ac	ac
academy	academie	academy
acceptera	aanvaarden	accept
accepterad	geaccepteerd	acceptable
accepterade	geaccepteerd	accepted
accepterar	aanvaarden	accepts
accepterat	geaccepteerd	accepted
acdc	acdc	ac/dc
action	actie	action
ad	advertentie	ad
adam	adam	adam
adams	adams	adams
adeln	edelen	nobility
adhd	adhd	adhd
adjektiv	bijvoeglijk naamwoord	adjective
administration	administratie	administration
administrationen	administratie	administration
administrativ	administratief	administration
administrativa	administratief	administrative
administrativt	administratief	administrative
adolf	adolf	adolf
adolfs	adolf	adolf's
adrian	adrian	adrian
advokat	advocaat	lawyer
af	af	of (old swedish)
affärer	bedrijf	business
afghanistan	afghanistan	afghanistan
africa	afrika	africa
afrika	afrika	africa
afrikaner	afrikanen	africans
afrikansk	afrikaanse	african
afrikanska	afrikaanse	african
afrikas	afrika	africa's
afrodite	afrodite	afrodite
aftonbladet	cnn	aftonbladet
age	leeftijd	age
agent	agent	agent
agera	handelen	act
agerande	gedrag	acting
aggressiv	agressief	aggressive
agnes	agnes	agnes
agnetha	agnetha	agnetha
agnosticism	agnosticisme	agnosticism
agnostiker	agnostisch	agnostic
ahmed	ahmed	ahmed
aids	aids	aids
aik	-alk	aik
airlines	luchtvaartmaatschappijen	airlines
airport	luchthaven	airport
ajax	ajax	ajax
akademi	academie	academy
akademien	academie	the academy
akademiens	academie	the academy's
akademisk	academisch	academical
akademiska	academisch	academical
akc	akc	akc
akon	farmacon	akon
akondroplasi	achondroplasie	achondroplasia
aktiebolag	naamloze vennootschap	companies
aktier	aandelen	stock
aktiv	actief	active
aktiva	actief	active
aktivitet	activiteit	activity
aktiviteten	activiteit	activity
aktiviteter	activiteiten	activities
aktivt	actief	actively
aktuell	actueel	current
aktuella	actueel	current
aktuellt	actueel	current
aktörer	acteurs	players
akut	acuut	acute
al	al	alder
alan	alan	alan
alaska	alaska	alaska
albaner	albanezen	albanians
albanien	albanië	albania
albanska	albanees	albanian
albert	albert	albert
album	album	album
albumen	album	the albums
albumet	album	album
albumets	album	album's
alces	alces	alces
aldrig	nooit	never
ale	ale	ale
alex	alex	alex
alexander	alexander	alexander
alexanders	alexanders	alexanders
alexandra	alexandra	alexandra
alexandria	alexandrië	alexandria
alf	alf	alf
alfa	alpha	alpha
alfabet	alfabet	alphabets
alfabetet	alfabet	alphabet
alfabetisk	alfabetisch	alphabetical
alfred	alfred	alfred
alger	algiers	algaes
algeriet	algerije	algeria
ali	ali	ali
alice	alice	alice
alkohol	alcohol	alcohol
alkoholer	alcoholen	alcohols
alla	allemaal	all
allan	allan	allan
alldeles	rechtsaf	completely
allen	allen	allen
allians	alliantie	alliance
alliansen	alliantie	the alliance
allierad	bondgenoot	allied
allierade	geallieerd	allied
allierades	geallieerd	allied's
allmän	algemeen	general
allmänhet	openbaar	in general
allmänheten	het publiek	public
allmänna	algemeen	general
allmänt	over het algemeen	commonly
allra	heel	very
alls	helemaal niet	all
allsvenskan	allsvenskan	allsvenskan
allt	allemaal	all
alltför	te	all too
alltid	altijd	always
allting	alles	everything
alltjämt	nog steeds	remains
alltmer	meer en meer	increasingly
alltsedan	sinds	even since
alltså	met andere woorden	so
allvar	ernstig	earnest
allvarlig	echt	serious
allvarliga	echt	serious
allvarligt	ernstig	serious
alperna	alpen	alps
alqaida	al qaeda	al-qaida
alternativ	alternatief	alternative
alternativa	alternatief	alternative
alternativt	alternatief	alternatively
aluminium	aluminium	aluminum
am	ben	am
amazonas	amazon	the amazon rainforest
ambassad	ambassade	embassy
ambitioner	ambities	ambitions
america	amerika	america
american	amerikaans	american
amerika	amerika	america
amerikanen	amerikaans	american
amerikaner	amerikanen	american
amerikanerna	amerikanen	the americans
amerikansk	amerikaans	american
amerikanska	ons	american
amerikanske	amerikaans	american
amerikanskt	amerikaans	american
amerikas	amerika	america
amfetamin	amfetamine	amphetamine
aminosyra	aminozuur	amino acid
aminosyror	aminozuren	amino acids
ammoniak	ammoniak	ammonia
amsterdam	amsterdam	amsterdam
amy	amy	amy
ana	ana	feel
analsex	anaal	anal sex
analys	analyse	analysis
analytisk	analytisch	analytical
analytiska	analytisch	analytical
anarkism	anarchisme	anarchism
anarkismen	anarchisme	the anarkism
anarkister	anarchisten	anarchists
anarkistiska	anarchistisch	anarchistic
anatolien	anatolien	anatolia
anatomi	anatomie	anatomy
anc	anc	anc
anda	geest	spirit
andas	ademen	breath
ande	geest	of
andel	delen	share
andelen	percentage	share
anden	geest	the holy spirit
anderna	andes	andes
anders	anders	anders
andersson	andersson	andersson
anderssons	andersson	anderssons
andlig	spiritueel	spiritual
andliga	spiritueel	spiritual
andra	andere	second
andras	anderen	others
andre	tweede	other
andreas	andreas	andreas
andres	andres	andres
andrew	andrew	andrew
andré	andré	andre
andy	andy	andy
anfall	aanval	attack
anfalla	aanval	attack
anfallet	aanval	the attack
anfield	anfield	anfield
anföll	aangevallen	attacked
ange	invoeren	set
angeles	angeles	angeles
angelina	angelina	angelina
angels	engelen	angels
anger	specificeren	indicates
anges	uit	mention
anglosaxiska	angelsaksisch	anglo-saxon
angola	angola	angola
angrepp	aanval	attack
angränsande	aangrenzend	adjoining
angående	met betrekking tot	concerning
anhängare	supporters	followers
anhöriga	verwanten	relatives
animerade	geanimeerd	animated
anka	eend	anka
anklagade	verdachte	accused
anklagades	verdachte	accused
anklagats	verdachte	accused
anklagelser	beschuldigingen	allegations
anknytning	verbinding	tie
ankomst	aankomst	arrival
anlades	was gelegd	were built
anledning	reden	reason
anledningar	redenen	reasons
anledningarna	redenen	reasons
anledningen	de reden	reason
anläggningar	planten	facilities
anlände	aangekomen	arrived
anländer	komt aan	arrive
anna	anna	anna
annan	andere	another
annars	anders-	else
annat	andere	other
anne	anne	anne
annekterade	annexeren	annexed
annika	amy	annika
annorlunda	anders	different
anor	voorgeslacht	ancestry
anordnas	voorzien	provided
anorektiker	anorexia	anorectics
anorexia	anorexia	anorexia
another	een ander	another
anpassa	zich aanpassen	adjust
anpassade	aangepast	custom
anpassat	aangepast	adapted
anpassning	aanpassing	adaption
anser	overweegt	view
anses	overwogen	deemed; regarded
ansetts	overwogen	regarded
ansikte	gezicht	face
ansiktet	gezicht	face
ansluta	aansluiten	join
ansluter	verbinden	connects
anslutna	verbonden	affiliated
anslutning	verbinding	connection
anslöt	toegetreden	joined
