$	$	$
+	+	+
=	=	=
a	ए	to
aang	aang	aang
ab	अब	eu
abasıyanık	abasıyanık	abasıyanık
abasıyanıkın	अबास्यानिक	abasiyanik
abbas	अब्बास	abbas
abbasi	अब्बासी	abbasi
abbasiler	abbasiler	abbasid
abc	ए बी सी	abc
abd	अमेरीका	u.s.a.
abdal	abdala	dervish saint
abdde	अमेरिका में	in the usa
abddeki	अमेरिका में	in the us
abdli	अब्बल	newly minted euro
abdliler	अब्दल पर	people form usa
abdnin	abdnin	of the usa
abdullah	अब्दुल्ला	abdullah
abdurrahman	अब्दुर्रहमान	abdurrahman
abdye	के लिए अभय	to the u.s.
abdülaziz	अब्दुलअजीज	abdulaziz
abdülhamid	abdulhamid	abdulhamid
abdülhamidin	आप अब्दुलामहाइड	a name
abdülhamit	abdülhamit	abdulhamit
abdülmelik	abdulmalik	abdul
ablası	बहन	sister
about	के बारे में	about
abraham	अब्राहम	a name
abrams	अब्राम	abrams
ac	भूखे पेट	ac
acil	अति आवश्यक	urgent
acı	दर्द	pain
ad	नाम	name
ada	द्वीप	island
adada	टापू पर	in the island
adalar	द्वीप	archipelago
adaları	द्वीपों	islands
adalarında	द्वीप	islands
adalet	न्याय	justice
adam	आदमी	adam
adamları	पुरुषों	men
adamlarının	का पुरुष	men
adamı	आदमी	men
adamın	आदमी	man
adana	अदाना	adana
adanada	अदाना में	in cairo
adananın	समर्पित है	adana's
adanın	द्वीप	island
adaptasyon	अनुकूलन	adaptation
adası	द्वीप	island
adasına	द्वीप	island
adasında	द्वीप	island
adasındaki	टापू पर	in the island of
adasının	द्वीप	island
aday	उम्मीदवार	candidate
adaya	उम्मीदवार	island
adaylık	उम्मेदवार	candidacy
adayı	उम्मीदवार	candidate
adet	टुकड़ा	one
adeta	लगभग	almost
adi	पहला नाम	adi
adil	निष्पक्ष	fair
adile	adile	adile
adlandırılan	नामित	named
adlandırılmıştır	इसे नाम दिया गया था	renamed
adlandırılır	इसे नाम दिया गया है	named
adlandırılırlar	उन्होंने बुलाया	named
adlar	नाम	names
adları	नाम	names
adlarında	नाम में	named
adlarını	नाम से	names
adli	अदालती	forensic
adlı	अदालती	named
adnan	अदनान	adnan
adolf	एडॉल्फ	adolf
adı	पहला नाम	name
adıdır	नाम है	is the name of
adım	कदम	step
adına	के नाम पर	to his name
adında	नामित	named
adındaki	नामित	named
adından	नाम	name
adını	नाम	name of
adının	का नाम	name
adıvar	adıvar	adivar
adıyaman	एडियमन	adiyaman
adıyla	नाम से	as
af	आम माफ़ी	amnesty
afet	आपदा	disaster
afgan	अफ़ग़ान	afghan
afganistan	अफ़ग़ानिस्तान	afghanistan
africa	अफ्रीका	africa
afrika	अफ्रीका	africa
afrikada	अफ्रीका में	in africa
afrikadaki	अफ्रीका में	africa
afrikanın	अफ्रीका	africa's
afrikaya	अफ्रीका	africa
afyon	अफ़ीम	afyon
ah	आह	ya
ahameniş	एकेमेनिड	achaemenid
ahit	वसीयतनामा	testament
ahlak	नैतिकता	moral
ahlaki	नैतिक	ethic
ahmed	अहमद	ahmed
ahmedin	तुम आगे	ahmed's
ahmet	अहमत	ahmet
ahşap	लकड़ी का	wooden
