vladu	ప్రభుత్వం	0.0
endokard	పొర	0.0
odnosno	అంటే	0.0
praksa	ఆచరణలో	0.0
proizvodni	ఉత్పత్తి	1.8326635976139088e-16
kičmene	వెన్నెముక	4.0606395373095316e-16
religija	మతం	8.350756425088182e-16
najveće	అతిపెద్ద	8.350756425088189e-16
vidi	చూడండి	9.61546856624326e-16
želi	కావాలి	1.7038546413443976e-07
primjeni	దరఖాస్తు	7.594718592240836e-07
ušla	ఎడమ	1.0117133050817057e-06
jedva	కేవలం	1.1543520486683687e-06
učini	చేయి	1.4511088476248994e-06
riječnim	నది	1.6591757145023114e-06
smatrana	భావిస్తారు	1.681412278483114e-06
šumama	అడవులు	1.9045247701804671e-06
kćer	కుమార్తె	1.916130813911784e-06
pravdu	నిజం	2.081238551126973e-06
čestice	కణాలు	2.5021493220152306e-06
naseljen	నివసించేవారు	2.7561829777460873e-06
pjevanje	గానం	3.1445245079158457e-06
kojem	ఎవరికి	3.5081282940494704e-06
različiti	వివిధ	3.892154081776022e-06
sudom	కోర్టు	4.454831945913766e-06
kategorijabiografije	చరిత్ర	5.305740402162122e-06
spisi	రచనలు	5.853193029854859e-06
lijevu	ఎడమ	6.407524344424117e-06
kojom	ఇది	7.509305854649561e-06
gvineja	గినియా	7.802827807174451e-06
januaru	జనవరి	8.114145865083898e-06
izvrši	అమలు	8.252245421302511e-06
zločina	నేర	8.328487962281249e-06
istočnu	తూర్పు	9.589956506979088e-06
izvora	వర్గాలు	9.74238556694512e-06
autonomna	స్వతంత్ర	9.874036567339416e-06
mnogim	అనేక	1.0095928073107244e-05
noge	కాళ్ళు	1.0196510136946671e-05
vrlina	ధర్మం	1.0916318700989897e-05
useljenika	వలస	1.1096555028213983e-05
kaže	చెప్పారు	1.1408348321395827e-05
utvrđenja	కోట	1.2912976453836868e-05
najljepše	అత్యంత	1.377192813159442e-05
doživjela	అనుభవం	1.4783213938013928e-05
režiser	దర్శకుడు	1.6128739371531202e-05
energijom	శక్తి	1.6327312005542474e-05
stalne	శాశ్వత	1.6867891888206294e-05
zadaće	పని	1.73416090594247e-05
antičkih	ప్రాచీన	2.0659864997588527e-05
društvenom	సామాజిక	2.1440105381105817e-05
istraživanjima	పరిశోధన	2.1915308373247198e-05
sredstvima	నిధులు	2.201463484839967e-05
životna	జంతు	2.3894980338126106e-05
dijelove	భాగాలు	2.425172542475104e-05
nastanak	మూలం	2.54440391342982e-05
narodima	దేశాల	2.551518791287356e-05
pojavile	కనిపించింది	2.5986560122332507e-05
crkvu	చర్చి	2.727928828373024e-05
postali	మారింది	2.822142080897343e-05
metara	మీటర్ల	2.849071779744005e-05
jevrejskog	యూదు	2.8645692113665517e-05
crnu	బ్లాక్	2.9510119054591883e-05
dvije	రెండు	3.0178096682345823e-05
predsjedništvo	అధ్యక్ష	3.0541297291214505e-05
