aajo	chwerthinllyd	Nan
púpò	yn hytrach	Nan
púpo	gormod	None
pò	plygu	None
pòwe	diarhebion	Nan
pípẹ́	hir	None
pípèsè	darpariaeth	Nan
pípa	lladd	None
péé	hynny	None
péré	yn unig	Nan
pé	hynny	None
pèsè	a ddarperir	Nan
quran	quran	None
pèlúpèlú	hefyd	None
pèhìndà	semen	None
pè	o&#39;r enw	Nan
pátáporongodo	hollol	None
pásíà	yr islawr	Nan
pàápàá	yn enwedig	Nan
pààlà	ffin	None
pàràkòyí	ar unwaith	Nan
pàmò	yn benodol	Nan
px|kùránì	px | cnewyllyn	Nan
pupa	coch	None
príncipe	príncipe	None
pèlu	ynghyd â	Nan
providence	rhagluniaeth	Nan
ra	prynu	None
rajya	gobaith	None
rome	crôm	Nan
roma	roma	None
roko	mob	None
rokirika	pori	None
rogbodiyan	terfysg	Nan
roboto	arwynebau	Nan
robinson	robinson	Nan
ro	meddwl	None
rnas	rnas	Nan
rnarna	rnarna	Nan
rna	rna	Nan
race	ras	None
rn	rn	Nan
riresile	recordydd	Nan
rinle	newydd	None
right|thumb|px|aworan	dde | bawd | px | delwedd	Nan
richard	richard	None
research	ymchwil	None
rere	da	None
repetejulo	y mwyaf sensitif	Nan
repeats	ailddarllediadau	Nan
reggae	reggae	Nan
rank	rheng	Nan
ramadan	ramadan	Nan
riro	dychymyg	Nan
ronald	ronald	None
proton	proton	Nan
produced	cynhyrchu	None
palauan	palauan	Nan
padá	pod	Nan
paapaa	yn enwedig	Nan
paa	diffodd	Nan
opolo	llawer	None
ofò	bore da	Nan
oyé	y byd	Nan
ose	ose	Nan
opolo	llawer	None
omonìyàn	bodau dynol	Nan
olorun	duw	None
panaˈma	panaˈma	Nan
odun	yn flynyddol	Nan
olórun	duw	None
okùnrín	chwerthin	Nan
ojó	mae&#39;n lawog	Nan
odún	y flwyddyn	Nan
oúnjẹ	bwyd	None
owojagidijagan	terfysgwyr	Nan
oun	ef	None
otutu	llawer	None
otherwise	fel arall	Nan
oseluarailu	sifil	None
oscar	oscar	None
olósìn	crefyddol	None
protokolu	protocolu	Nan
panyanan	the_space	Nan
parapọ̀	cymysgu	None
press	gwasgwch	Nan
portuguese	portuguese	Nan
portonovo	portonovo	Nan
population	poblogaeth	None
polaroid	polaroid	Nan
polandi	sglein	Nan
pojulo	yr uchaf	Nan
po	po	None
plánẹ́tì	plymio	Nan
platos	platos	Nan
piposi	llawer	None
papa	papa	Nan
pipolongo	hysbyseb	Nan
pinu	yn benderfynol	Nan
pinsoto	pinoto	Nan
pinsi	yn dirywio	Nan
phillipines	ffillipines	Nan
pelu	perlog	Nan
petu	petu	Nan
periferi	periferi	Nan
penisula	pidyn	None
penh	penh	Nan
pele	swynol	Nan
paripari	y diwedd	Nan
pipo	llawer	None
rorùn	hawdd	None
rossii	rossii	Nan
rural	gwledig	None
sìbẹ̀	eto	None
séyìn	yn ôl	Nan
séyìn	yn ôl	Nan
sénégal	semen	None
ségun	i grio	Nan
sèle	dwyn	None
são	yr un newydd	Nan
sáààrin	yn y canol	Nan
sáàpàdé	nawdd	None
sápadè	y diwrnod hwn	Nan
sàì	wel	Nan
sìni	berdys	Nan
sàngó	gang	Nan
sàmì	arwydd	None
sàbúrí	yn anad dim	Nan
symmetry	cymesuredd	Nan
swahili	swahili	None
suny	heulog	Nan
sun	haul	None
sugbọ́n	rhesymol	Nan
sugbo	ond nid	Nan
suez	suez	None
structures	strwythurau	None
stella	stella	Nan
sàn	y gorau	Nan
spectacular	ysblennydd	Nan
síbèsíbè	serch hynny	Nan
sílẹ̀	siomi	Nan
tabora	osgoi	None
tabili	bwrdd	None
tabi	neu	None
sísè	cyfieithu	None
sísa	s .ía	Nan
sááju	cymerwch funud	Nan
sisé	gweithio allan	Nan
sepò	o&#39;r diwedd	Nan
se	maen nhw&#39;n gwneud	Nan
sùgbón	i&#39;r gwrthwyneb	Nan
síse	strwythur	None
síbú	i&#39;r llawr	Nan
si	yn sicr	Nan
sùgbón	i&#39;r gwrthwyneb	Nan
sóko	planhigyn	None
sójà	milwr	None
sòrò	brainwash	Nan
síí	yma	None
síwájú	ymlaen	None
síwon	nhw	None
síta	y tu allan	Nan
síso	o hyd	Nan
síso	o hyd	Nan
síse	gwaith	None
sọ	dywedwch	Nan
so	felly	None
sopin	diwedd	None
soon	yn fuan	Nan
say	dywedwch	Nan
santa	santa	None
samioro	ar gael	Nan
sambia	ieuenctid	None
salàyé	bywyd	None
salem	salem	Nan
sakyas	sakyas	Nan
sakyamuni	y nesaf	Nan
saheli	cyfleustra	Nan
safta	llinell i fyny	Nan
safiwe	cymhariaeth	None
sb	sb	Nan
saffana	saffir	Nan
saarland	ar y llawr	Nan
saaree	uwchraddol	Nan
saarc	tynnu	None
rẹ	hi	None
ròyìn	adroddwyd	Nan
rìn	i gerdded	Nan
ré	c	None
république	république	Nan
ránmú	poeni	None
ráhàn	ymddangosodd	None
ryan	ryan	None
safari	saffari	Nan
schwarz	schwarz	Nan
sea	môr	None
seat	sedd	None
solomon	solomon	None
sohun	ie	None
so	cariad	None
slovo	slovo	Nan
sisupo	lluosi	Nan
sisupapoerekusu	poeri	Nan
sisopo	cysylltu	None
sisodagba	tyfu fyny	Nan
sise	coginio	None
sioux	sioux	Nan
sinsin	crefydd	None
sinai	pechod	Nan
silè	diferion	Nan
sile	y tu ôl	Nan
sihamoni	strwythur	None
sibesibe	eto	None
sharon	sharon	Nan
sewadi	chwilio	None
seville	seville	Nan
sense	synnwyr	Nan
senegal	senegal	None
semudaju	wrth gwrs	Nan
semolara	asthma	Nan
seidamo	yn glir	Nan
segbese	o bosibl	Nan
orúko	y cae	Nan
taino	dino	Nan
orísìírísi	gwahanol fathau	Nan
orísiirísi	amrywiol	None
nombamewa	lluosi	Nan
nobel	nobel	None
nnaji	ewythr	None
nkàn	canser	Nan
nkan	peth	None
niyi	dyma hi	Nan
niye	digon	None
niyato	gwahaniaethu	None
niwaju	o&#39;n blaenau	Nan
nitosi	gerllaw	None
nitoripe	achos	None
nombáméjì	y ddau gyntaf	Nan
nitoriidieyi	oherwydd hyn	Nan
nilè	yma	None
nijẹr	nike	Nan
nigbà	yna	None
nigbakan	weithiau	None
nibere	yn gynnar	Nan
nibe	yno	None
ngubengcuka	ngubengcuka	Nan
ngbero	wedi&#39;i gynllunio	Nan
nevis	nevis	None
neptune	neifion	None
nefimu	neffim	Nan
nisinyi	nawr	None
nebraska	nebraska	Nan
novo	novo	Nan
nse	dyluniad	Nan
nínlá	gwych	None
nílẹ̀	ar y ddaear	Nan
nílùú	yn y ddinas	Nan
nílè	isod	None
nígbàtí	pryd	None
nífẹ̀ẹ́	caru	None
níbè	yno	None
níbè	yno	None
ní	cael	None
nìyí	dyma hi	Nan
nìnú	sori	Nan
nri	bwyd	None
nì	mynydd	None
náwo	traul	None
nàìjíríà	yn nigeria	Nan
nwa	babi	Nan
numeri	fferdod	Nan
nukleotidipupo	niwcleotid	Nan
nukleotidi	niwcleotid	Nan
nu	yn lân	Nan
ntoka	pwynt	None
nsowikipedia	obowikipedia	Nan
nsolaboraro	diogelwch	None
nso	ger	None
náà	hefyd	None
nínu	siawns	None
ncnc	ncnc	Nan
nawojulo	puzzling	Nan
munispal	munispal	Nan
mulẹ̀	sefydlu	None
mughal	cyfrol	None
mtwara	dewis eto	Nan
mtn	mtn	Nan
mozilla	mozilla	None
mozambique	mozambique	None
morogoro	moduro	Nan
morgan	morgan	None
monrovia	monrovia	Nan
mombasa	mombasa	Nan
muungano	muungano	Nan
mokanlelogbon	tridegdau	Nan
mohandas	mohandas	Nan
minority	lleiafrif	None
minnesota	minnesota	Nan
mimuwa	glynu	Nan
mimoy	mimoy	Nan
miiràn	lleddfu	Nan
micronesia	micronesia	Nan
michelle	michelle	Nan
mexico	mexico	None
mewar	mewar	Nan
meucci	meucci	Nan
mokaleladota	cryno	None
nawó	cael eich arian	Nan
májèmú	dim ots	Nan
méjèèjì	y ddau	Nan
nato	nato	None
nathaniel	nathaniel	Nan
namibia	i ddod	Nan
