$  	$	dollar
=	=	=
>	&gt;	>
a	на	the
ab	аб	ab
aba	аба	aba
abba	в него	into
abban	там	"in that ""abban az esetben"" means ""in (that) case"""
abból	оттам	from that
abc	abc	abc
abraham	аврам	abraham
abszint	абсент	absynth
abszintot	абсент	absinthe
abszolút	абсолютен	absolute
abu	абу	abu
ac	променлив ток	ac milan (football)
acdc	ac dc	acdc
achát	ахат	agate
act	действа	act
acél	стомана	steel
ad	давам	give
adam	адам	adam
adams	адамс	adams
adat	данни	data
adatai	информация	data
adatait	информация	data of
adatok	данни	data
adatokat	данни	data
adatot	данни	data
addig	до тогава	will
addigi	предишен	current
addigra	дотогава	by then
adja	въведете	give
adjon	давам	so he give
adminisztratív	административен	administrative
admirális	адмирал	admiral
adnak	те	they
adni	давам	to give
adolf	адолф	adolf
adott	даден	specific
adrian	адриан	adrian
adta	дадох	he performed
adtak	те	gave
adták	освободен	gave
ady	ади	ady
adó	данък	provider
adódik	в следствие	given
adók	аз давам	taxes
adót	данъци	tax
afganisztán	афганистан	afghanistan
afganisztáni	афганистан	of afghanistan
afgán	афганистански	afghani
afrika	африка	africa
afrikai	африкански	african
afrikában	африка	in africa
agatha	агата	agatha
agy	мозък	brain
ahhoz	към него	thereto
ahogy	като	as
ahogyan	като	as
ahol	където	where
ahonnan	от къде	from where
ahova	където	to where
ahová	където	where
ai	ай	this word does not make sense on its own
aids	спин	aids
air	въздух	air
aires	айрес	aires
airsoft	еърсофт	airsoft
ajánlatot	оферта	offer
ajánlott	препоръчва се	recommended, offered
ajánlotta	препоръчва се	recommended
akad	миг	there
akadt	хванат	had
akadtak	имаше	could be found
akadályozta	предотвратявайки	obstructed
akadémia	академия	academy
akadémiai	академичен	academical
akadémián	академия	academy
akar	ще	wants to
akarat	ще	will
akarata	ще	will of
akarja	да се	wants
akarnak	те искат	they want
akart	търси се	he wanted
akarta	търси се	wanted
akartak	те искаха	wanted
akarták	те искаха	wanted
akció	действие	action
