+	+	None
ব্রাহ্মসমাজের	no brahmo samaj	Nan
ব্রাহ্মী	brahmi	Nan
ব্রিটানিকা	britannica	None
ব্রিটিশ	britu	None
ব্রিটিশদের	briti	None
ব্রিটিশরা	briti	None
ব্রিটেন	lielbritānija	None
ব্রিটেনে	lielbritānijā	None
ব্রিটেনের	lielbritānijas	None
ব্রুনাই	bruneja	Nan
ব্রোঞ্জ	bronza	Nan
ব্রোঞ্জের	no bronzas	Nan
ব্র্যাড	breds	Nan
ব্লক	bloķēt	Nan
ব্লকে	uz bloka	Nan
ব্রাহ্মণ	brahmins	Nan
ব্রাহ্ম	brahma	Nan
ব্রায়ান	braiens	Nan
ব্রাজিলের	brazīlijas	None
ব্যাস্টিক	bastika	Nan
ব্যাহত	izjaukts	Nan
ব্যুরো	birojs	Nan
ব্যুৎপত্তি	etimoloģija	Nan
ব্রডব্যান্ড	platjoslas	Nan
ব্রহ্মচর্যের	no celibāta	Nan
ব্রহ্মপুত্র	brahmaputra	Nan
ব্লগ	emuārs	Nan
ব্রহ্মপুত্রের	no brahmaputras	Nan
ব্রহ্মা	brahma	Nan
ব্রহ্মের	no brahmana	Nan
ব্রাউন	brūns	Nan
ব্রাজিল	brazīlija	None
ব্রাজিলকে	brazīlija	None
ব্রাজিলীয়	brazīlijas	None
ব্রাজিলে	brazīlijā	None
ব্রহ্মবৈবর্ত	brahmavaivarta	Nan
ব্যাসের	diametrs	None
ব্লগিং	emuāri	Nan
ব্লাড	asinis	None
ভবিষ্যতে	nākotnē	None
ভবিষ্যতের	no nākotnes	Nan
ভবিষ্যদ্বাণী	pravietojums	Nan
ভবিষ্যৎ	nākotne	Nan
ভয়	bailes	None
ভয়াবহ	briesmīgi	Nan
ভয়ে	bailes	None
ভর	mise	Nan
ভরকেন্দ্র	smaguma centrs	Nan
ভরত	bharat	Nan
ভরবেগ	momentum	Nan
ভরবেগের	momentum	Nan
ভরা	aizpildīts	Nan
ভরাট	aizpildīts	Nan
ভরের	no masas	Nan
ভবিষ্যত	nākotne	Nan
ভবনের	no ēkas	Nan
ভবনে	ēkā	None
ভবনটি	ēka	None
ব্ল্যাক	melns	None
বৎসর	gadi	None
ভক্ত	fani	Nan
ভক্ষণ	ēšana	Nan
ভগবত	dievs	None
ভগবতী	bhagvati	Nan
ভগবদ্গীতা	bhagavad gita	Nan
ব্লগের	no emuāra	Nan
ভগবান	dievs	None
ভগ্নাংশ	frakcijas	None
ভঙ্গ	pārtraukums	Nan
ভট	bhat	Nan
ভটের	bhaters	Nan
ভট্টাচার্য	bhattačarja	Nan
ভন	von	None
ভবন	ēka	None
ভগিনী	māsa	None
ব্যাসার্ধ	rādiuss	None
ব্যাস	diametrs	None
ব্যারিস্টার	advokāts	Nan
ব্যবস্থাপক	vadītājs	None
ব্যবস্থাপনা	pārvaldība	Nan
ব্যবস্থাপনার	pārvaldības	None
ব্যবস্থায়	sistēmā	None
ব্যবস্থার	no sistēmas	Nan
ব্যবহার	izmantojiet	Nan
ব্যবহারকারী	lietotājs	None
ব্যবহারকারীদের	lietotāji	None
ব্যবহারকারীর	lietotājs	None
ব্যবহারকারীরা	lietotāji	None
ব্যবহারযোগ্য	izmantojams	Nan
ব্যবহারিক	praktiski	None
ব্যবহারে	tiek izmantots	Nan
ব্যবহারের	lietošanai	None
ব্যবহৃত	lietots	None
ব্যবস্থাকে	uz sistēmu	Nan
ব্যবস্থা	vienošanās	None
ব্যবসাসফল	veiksmīgs bizness	Nan
ব্যবসায়ী	tirgotājs	Nan
ব্যক্তিত্বের	personības	None
ব্যক্তিদের	privātpersonas	Nan
ব্যক্তির	no personas	Nan
ব্যক্তিরা	privātpersonas	Nan
ব্যঞ্জন	līdzskaņi	None
ব্যঞ্জনধ্বনি	līdzskaņi	None
ব্যতিক্রম	izņēmums	None
ব্যয়	izdevumi	None
ব্যতিরেকে	izņemot	None
ব্যথা	sāpes	None
ব্যপক	plašs	None
ব্যবধান	intervāls	Nan
ব্যবধানে	ar intervāliem	Nan
ব্যবসা	bizness	Nan
ব্যবসায়	bizness	Nan
ব্যবসায়িক	bizness	Nan
ব্যতীত	izņemot	None
ব্যয়বহুল	dārgi	Nan
ব্যয়ের	izdevumi	None
ব্যর্থ	neizdevās	None
ব্যাটিং	vatelīns	Nan
ব্যান্ড	grupa	None
ব্যান্ডের	no grupas	Nan
ব্যাপক	plašs	None
ব্যাপকভাবে	plaši	None
ব্যাপার	lieta	None
ব্যাপারটা	lieta	None
ব্যাটসম্যানের	sikspārnis	Nan
ব্যাপারটি	lieta	None
ব্যাপী	plašs	None
ব্যাপ্টিজম	kristības	Nan
ব্যাপ্তি	darbības joma	Nan
ব্যাবস্থা	vienošanās	None
ব্যাবহার	izmantojiet	Nan
ব্যাবিলনীয়রা	babilonieši	Nan
ব্যারিয়ন	barriona	Nan
ব্যাপারে	jautājumā	None
ভর্তি	uzņemšana	Nan
ব্যাটসম্যান	sikspārnis	Nan
ব্যাখ্যার	paskaidrojums	Nan
ব্যর্থতা	neveiksme	Nan
ব্যর্থতায়	neveiksmīgi	Nan
ব্যর্থতার	no neveiksmes	Nan
ব্যস্ত	aizņemts	Nan
ব্যস্ততম	aktīvākais	Nan
ব্যাংক	banka	None
ব্যাংকিং	banku darbība	Nan
ব্যাট	sikspārnis	Nan
ব্যাংকের	no bankas	Nan
ব্যাকরণ	gramatika	None
ব্যাকরণিক	gramatiski	Nan
ব্যাকরণে	gramatikā	Nan
ব্যাকরণের	no gramatikas	Nan
ব্যাক্টেরিয়া	baktērijas	None
ব্যাক্তি	persona	None
ব্যাখ্যা	paskaidrojums	Nan
ব্যাকটেরিয়া	baktērijas	None
ভর্তির	uzņemšana	Nan
ভলিউম	apjoms	None
ভাই	brālis	None
ভুল	nepareizi	None
ভুলের	nepareizi	None
ভূখণ্ড	teritorija	None
ভূখণ্ডে	uz reljefa	Nan
ভূখণ্ডের	apvidus	None
ভূখন্ডে	apvidū	None
ভূগর্ভস্থ	pazemes	None
ভূগোল	ģeogrāfija	None
ভূটান	butāna	Nan
ভূটানের	no butānas	Nan
ভূতত্ত্ব	ģeoloģija	None
ভূতাত্ত্বিক	ģeoloģiskā	None
ভূত্বক	garoza	None
ভূত্বকের	no garozas	Nan
ভূপৃষ্ঠে	uz virsmas	Nan
ভুমিকা	ievads	Nan
ভুট্টো	butts	Nan
ভুটান	butāna	Nan
ভীত	nobijies	Nan
ভিতরে	iekšā	Nan
ভিতরের	iekšā	Nan
ভিত্তি	fonds	None
ভিত্তিক	balstīts	None
ভিত্তিতে	pamatojoties uz	Nan
ভিত্তির	fonds	None
ভিন্ন	savādāk	Nan
ভূপৃষ্ঠের	no virsmas	Nan
ভিয়েত	vjetnama	Nan
ভিয়েতনামি	vjetnamiešu	Nan
ভিয়েতনামীয়	vjetnamiešu	Nan
ভিয়েতনামে	vjetnamā	Nan
ভিয়েতনামের	vjetnama	Nan
ভিয়েনা	vīne	None
ভিয়েনার	vīne	None
ভিস্তা	vista	None
ভিয়েতনাম	vjetnama	Nan
ভূপ্রকৃতি	ģeogrāfija	None
ভূমধ্যসাগর	vidusjūra	None
ভূমধ্যসাগরীয়	vidusjūra	None
ভেতরে	iekšā	Nan
ভেতরের	iekšējais	None
ভেদন	pīrsings	None
ভেদে	citādi	None
ভেনাস	venera	Nan
