$	$	$
+	+	+
`	`	'
a	ఒక	a
abas	రెండు	two
abc	abc	abc
abi	రెండు	both
abiem	ఇద్దరికి	two
abinieki	ఉభయచరాలు	amphibia
abiniekiem	ఉభయచరాలు	amphibians
abinieku	ఉభయచరాలు	amphibian
aborts	గర్భస్రావం	miscarriage
abortu	గర్భస్రావం	abortion
absolventi	పట్టభద్రులు	graduates
absolūta	సంపూర్ణ	absolute
absolūtais	సంపూర్ణ	the absolute
absolūti	ఖచ్చితంగా	absolutely
absolūtisma	పాప	absolutist
absolūtisms	పాప	absolutism
absolūto	సంపూర్ణ	absolute
absolūtā	సంపూర్ణ	the absolute
absolūtās	సంపూర్ణ	absolute
absorbcija	శోషణ	absorption
absorbē	గ్రహిస్తుంది	absorb
abu	రెండు	two
abus	రెండు	two
abām	రెండు	two
abās	రెండింటిలో	two
acetamīds	ఏసిటెమైడ్	acetamide
aci	కంటి	wink
acinonyx	ఏసినోనైక్స్	acinonyx
acis	కళ్ళు	eyes
ack	అయ్యో	ack
acs	కంటి	eye
acu	కంటి	eye
acīm	కళ్ళు	eye
acīmredzot	స్పష్టంగా	obviously
acīs	కళ్ళు	eyes
ad	ప్రకటన	ad
adaptācija	అనుసరణ	adaptation
address	చిరునామా	address
administratīvais	పరిపాలనా	administrative
administratīvi	పాలనాపరంగా	administrative
administratīvo	పరిపాలనా	administrative
administratīvā	పరిపాలనా	administrative
administratīvās	పరిపాలనా	administrative
administrācija	పరిపాలన	administration
administrācijas	పరిపాలన	administration
adrese	చిరునామా	address
adreses	చిరునామాలు	addresses
adresi	చిరునామా	address
adresēm	చిరునామాలు	addresses,
adrešu	చిరునామా	addresses
adrijas	అడ్రియాటిక్	adriatic
afganistāna	ఆఫ్గనిస్తాన్	afghanistan
afganistānas	ఆఫ్గనిస్తాన్	afghani
afganistānā	ఆఫ్ఘనిస్తాన్లో	afghanistan
afrodīte	ఆఫ్రొడైట్	aphrodite
agregatori	అగ్రిగేటర్స్	aggregrator
agri	అగ్రి	early
agrā	ప్రారంభ	early
agrāk	ముందు	past,
agrāko	ఇంతకు ముందుది	earlier
agrākās	ముందు	earlier
agrīno	ప్రారంభ	early
agrīnā	ప్రారంభ	early
agrīnās	ప్రారంభ	early
ahl	అహల్	ahl
ahāts	మలచబడిన	agate
aicina	కోసం పిలుస్తుంది	calls
aicināja	అని	aicinaja
aids	ఎయిడ్స్	aids
aigars	aigars	aigars
ainas	ainas	scenes
ainava	ప్రకృతి దృశ్యం	landscape
ainavas	ప్రకృతి దృశ్యాలు	our carbon
ainavu	ప్రకృతి దృశ్యం	landscapecijas
aisbergs	మంచుకొండ	iceburg
aitas	గొర్రె	sheep
aiz	వెనుక	after
aizbēga	పారిపోయింది	fled
aizgūti	అరువు	borrowed
aizgūts	అరువు	borrowed
aiziet	వెళ్ళిపోవుట	leave
aiziešanas	నిష్క్రమణ	aizesanas
aizjūras	విదేశీ	oversea
aizkraukles	రావెన్స్	aizkraukles
aizliedz	ప్రోహిబిటేడ్	prohibits
aizliedza	నిషేధించారు	banned
aizliegta	ప్రోహిబిటేడ్	prohibited
aizliegts	ప్రోహిబిటేడ్	prohibited
