$	$	None
преход	tranziție	None
прехода	tranziție	None
преходен	tranzitoriu	Nan
преходноконтинентален	tranzițional continental	Nan
пречи	intervine	Nan
при	la	None
прибавят	adăuga	Nan
прибира	curata	Nan
приближава	se apropie	Nan
приблизително	aproximativ	None
привлечени	atrase	Nan
привлича	atrage	None
привличане	atracţie	Nan
привличат	a atrage	Nan
привърженик	suporter	Nan
прехвърля	transferuri	Nan
префектура	prefectură	Nan
претърпяват	suferi	Nan
претърпява	suferă	None
преселници	migranți	Nan
пресича	cruci	Nan
пресичат	intersect	Nan
преслав	preslav	Nan
преследване	persecuţie	Nan
престава	înceteazã	Nan
престой	stau	None
привърженици	suporteri	Nan
престол	tron	None
престоя	stau	None
престъпление	crimă	None
престъпления	infracțiuni	Nan
престъпност	crimă	None
претендент	solicitant	Nan
претенции	creanțe	Nan
претория	pretoria	Nan
престола	tronul	None
привържениците	suporteri	Nan
приготвя	pregătește	Nan
приготвяне	preparare	Nan
признава	admite	Nan
признаване	recunoaştere	Nan
признават	admite	Nan
признае	admite	Nan
признак	semn	None
признание	recunoaştere	Nan
признат	recunoscut	None
приживе	în timpul vieții sale	Nan
призната	recunoscut	None
признаци	semne	None
призовава	apeluri	Nan
приказка	basm	Nan
приказки	povești	None
приказките	povesti cu zane	Nan
приключва	capete	None
прилага	se aplică	Nan
признати	a recunoaște	Nan
преселение	reinstalare	Nan
прието	admis	Nan
приета	admis	Nan
придава	dă	None
придвижва	mișcări	None
придвижване	circulaţie	Nan
придобива	achiziţionează	Nan
придобиват	dobândi	Nan
приел	admis	Nan
приели	admis	Nan
приети	admis	Nan
прием	recepţie	Nan
приемане	acceptare	Nan
приемането	acceptare	Nan
приемат	accept	Nan
приеме	accept	Nan
приемник	receptor	Nan
приемника	receptor	Nan
приет	admis	Nan
приема	acceptă	None
преселват	relocare	Nan
пресата	presa	None
прераства	outgrows	Nan
предсърдие	atrium	Nan
предсърдия	atrii	Nan
предсърдията	atria	Nan
предупреждава	avertizează	Nan
предшественик	predecesor	Nan
предшественици	predecesorii	Nan
преживява	supraviețuiește	Nan
представят	prezent	None
преживяване	experienţă	Nan
през	prin	None
президент	președintele	None
президента	presedintele	Nan
президенти	președinți	Nan
президентска	prezidenţial	Nan
президентът	presedintele	Nan
прекалено	prea mult	Nan
преживявания	experiențe	None
прекарва	petrece	None
представяне	prezentare	None
представляват	reprezinta	Nan
предприятието	întreprinderea	Nan
предприятия	întreprinderi	None
председател	preşedinte	Nan
председателя	președintele	None
председателят	președintele	None
представа	idee	None
представата	ideea	None
представя	cadouri	Nan
представен	a prezentat	Nan
представени	a prezentat	Nan
представено	a prezentat	Nan
представи	prezent	None
представите	imagina	Nan
представители	reprezentanții	None
представителите	reprezentanții	None
представлява	reprezentări	None
представена	a prezentat	Nan
прилагане	cerere	None
прекарват	petrece	None
прекратява	se termină	Nan
пренесени	transferat	Nan
пренос	transmitere	None
преобладава	predomina	Nan
преобладават	prevala	Nan
преобладаващата	cel predominant	Nan
преобладаващо	predominant	None
преображение	transformare	None
пренасят	transporta	Nan
преобразува	convertiți	Nan
препарат	preparare	Nan
препарати	preparate	Nan
препис	transcriere	Nan
преподава	învață	None
препоръчва	recomandat	Nan
препратки	referințe	None
преработка	prelucrare	None
преодолее	a depasi	Nan
преки	direct	None
пренася	poartă	None
преминали	a trecut	Nan
прекъсва	întrerupe	Nan
прекъсване	întrerupere	Nan
премахва	îndepărtează	Nan
премахване	îndepărtare	Nan
премахването	îndepărtare	Nan
премахнат	îndepărtat	None
премества	mișcări	None
премине	trece	None
преместване	relocare	Nan
премести	mișcare	None
премиер	primul ministru	Nan
премиера	premieră	None
преминава	trece	None
преминаване	trecere	None
преминаването	tranziția	Nan
преминават	trece	None
преместването	relocare	Nan
предприятие	afacere	Nan
прилагането	cerere	None
прилепчета	lilieci	Nan
програми	programe	None
прогрес	progres	Nan
прогресивна	progresiv	None
продава	de vânzare	Nan
продават	vinde	Nan
продадени	vândut	None
продажби	vânzări	None
продукт	produs	None
продукти	produse	None
продуктите	produse	None
продукция	produse	None
продукцията	producere	Nan
продуцент	producător	None
продължава	continuă	None
продължават	continua	None
програмата	programul	None
програма	program	None
провъзгласява	proclamă	Nan
провъзгласен	proclamată	Nan
проведе	efectuat	None
проведена	efectuat	None
проведени	efectuat	None
проведените	efectuat	None
проведено	efectuat	None
провежда	conduite	Nan
провеждане	conducție	Nan
продължат	continua	None
провеждането	conducție	Nan
проверка	verifica	Nan
провинции	provincii	None
провинциите	provinciile	None
провинция	provincie	None
