$	$	a sign of doller
+	+	+
=	=	equal to
==	==	==
===	===	===
>	&gt;	"mathematical sign for denoting ""greater than"""
|	|	|
°	° °	digree
×	×	into
λ	λ	lambda-a greek alfabet
इतिहास	itan-akọọlẹ	history [hindi word]
और	ati	and
का	ti	of
की	ti	's [hindi word]
के	k.	's, of [hindi word]
गया	lọ	went on [hindi word]
में	ninu	in [hindi]
है	ṣe	is there [hindi word]
ઃ	ṣubu	symbol
અ	a	a
અંક	oro	number
અંકલેશ્વર	ankleshwar	ankleshwar
અંકુશ	iṣakoso	control
અંકુશિત	iṣakoso	controlled
અંકુશો	awọn isakoso	control
અંકો	awọn nọmba	edition
અંગ	eto ara	part
અંગત	ti ara ẹni	private / personal
અંગીકાર	gba	to change religion
અંગે	nipa	about
અંગેના	nipa	regarding
અંગેની	nipa	about
અંગેનું	ti	about
અંગેનો	nipa	about
અંગો	organs	parts
અંગ્રજોના	ti gẹẹsi	of british
અંગ્રેજ	gẹẹsi	foreigner
અંગ્રેજ઼ી	gẹẹsi	english
અંગ્રેજી	gẹẹsi	english
અંગ્રેજીના	ti gẹẹsi	of english
અંગ્રેજીનાં	ti gẹẹsi	of english
અંગ્રેજીની	ti gẹẹsi	of english
અંગ્રેજીનું	ti gẹẹsi	english
અંગ્રેજીને	gẹẹsi	to english
અંગ્રેજીનો	ti gẹẹsi	of the english
અંગ્રેજીમાં	ni ede gẹẹsi	in the english
અંગ્રેજીમાંથી	lati gẹẹsi	from english
અંગ્રેજો	gẹẹsi naa	britishers
અંગ્રેજોએ	gẹẹsi naa	foreigners
અંગ્રેજોના	ti gẹẹsi	britisher's
અંગ્રેજોની	ti gẹẹsi	britisher
અંગ્રેજોને	si gẹẹsi	to the british
અંજાર	anjar	anjar [name of a city]
અંત	ipari	at the end
અંતમાં	ti pẹ	in the end
અંતર	ijinna	distance
અંતરના	ti ijinna	distance
અંતરની	ti ijinna	distance
અંતરાલ	aarin	interval
અંતરિયાળ	inland	internal
અંતરે	ni ijinna kan	distance
અંતર્ગત	ti inu	included
અંતિમ	ik	final
અંતે	ni ipari	at last
અંદર	ninu	inside
અંદરથી	lati inu	inner
અંદરના	ninu	inner
અંદરની	ninu	inside
અંદાજ	iṣiro	approx
અંદાજિત	ifoju	approximate
અંદાજે	isunmọ	approximate
અંદાજો	awọn iṣiro	estimates
અંદાઝ	awọn iṣiro	andaaz
અંદામાન	ati hamani	andaman
અંધ	afoju	blind
અંબા	amba	amba
અંબાજી	ambaji	ambaji
અંબાણી	ambani	ambani
અંબાણીએ	ambani	by ambani
અંબાણીની	ambani ni	ambani's
અંબાલિકા	ambalika	ambalika
અંબિકા	ambika	ambika
અંશ	afiwe	part
અંશતઃ	ni apakan	partly
અંશે	si diẹ ninu awọn iye	by percentage
અંશો	afiwe	parts / particles
અંહી	nibi	here
અંહીના	nibi	this
અકબંધ	iwapọ	intact
અકબર	akbar	akbar
અકબરના	akbar ká	of akbar
અકબરે	akbar	akbar
અકાદમી	ile-iwe giga	academy
અક્ષર	ohun kikọ	letter
અક્ષરજ્ઞાન	ede kika	literacy
અક્ષરધામ	akshardham	akshardham
અક્ષરબ્રહ્મ	aksharbrahm	aksharbrahm
અક્ષરો	awọn lẹta	letters
અક્ષાંશ	latitude	latitude
અખંડ	iwapọ	intact
અખબાર	iwe iroyin	newspaper
અખબારો	iwe iroyin	news paper
અખાત	gulfkun	gulf
અખિલ	akhil	all
અગત્યતા	pataki	importance
અગત્યના	pataki	important
અગત્યની	pataki	important, of importance
અગત્યનું	pataki	important
અગત્યનો	pataki	important
અગાઉ	tẹlẹ	previously
અગાઉથી	ilosiwaju	from ahead
અગાઉના	tẹlẹ	earlier
અગાઉની	tẹlẹ	past
અગિયાર	mọkanla	eleven
અગ્નિ	iná	fire
અગ્ની	iná	fire
અગ્ર	software ti o pese atọkun si eto miiran	or / principal
અગ્રગણ્ય	tẹsiwaju	famous
અગ્રણી	olori	front-runner / trialblazer
અગ્રેસર	olori	leading
અઘરી	alakikanju	hard
અચાનક	lojiji	suddenly
અચોક્કસ	pe iro ni	indefinite
અજ઼ીજ઼	azeezo	aziz [arabic written in gujarati script]
અજાણ	àìmọ̀	unknown
અજાણ્યા	awọn ajeji	stranger
અજાયબી	iyanu	wonder
અજાયબીઓ	iyanu	wonders
અજાયબીઓની	ti awọn iyanu	of wonderful things
અજેય	agbara	unbrakable
અજોડ	alailẹgbẹ	uncomparable
અજ્ઞાત	aimọ	unknown
અજ્ઞાન	aimokan	unknown,
અટકાવવા	lati yago fun	to prevent
અટકાવી	idena	prevent
અટકાવે	awọn idena	prevents
અટકાવ્યા	ti daduro	prevented
અટકી	grinrin	stopped
અટલ	aibikita	surname
અઠવાડિયા	ọsẹ	week
અઠવાડિયાનો	ti ọsẹ	of the week
અઠવાડિયામાં	ni ọsẹ kan	in a week
અડધા	idaji	half
અડધી	idaji	half
અડધું	idaji	half
અડીને	nitosi	touch
અડે	awọn aṣọ atẹrin	touch
અઢાર	mejidilogun	eighteen
અણનમ	unbeaten	not out
અણી	eti	in last stage
અણુ	atomu	nuclear
અણુઓ	atomu	atoms
અણુકેન્દ્રીય	atomiki	nuclear centre
અતઃ	nitorinaa	therefore
અતિ	ati	more/excess
અતિક્રમણ	ifọwọsi	attack
અતિરિક્ત	afikun	additional
અતિશય	àṣejù	very
અત્યંત	lalailopinpin	extremely
અત્યાચાર	awọn ika	tyranny
અત્યાર	titi si asiko yi	now
અત્યારના	lọwọlọwọ	recently
અત્યારે	ni bayi	now
અત્રે	nibi	now
અથવા	tabi	or
અથવાતો	tabi	or
અથાણું	ti mu	pickles
અદભુત	oniyi	magnificient
અદા	oro	style
અદાલતો	awọn kootu	courts
અદ્યતન	onitẹsiwaju	modern
અદ્રશ્ય	alaihan	invisible
અદ્વિતીય	alailẹgbẹ	unparalleled
અદ્વૈત	advaita	nonduality
અધિક	diẹ sii	additional
અધિકતર	okeene	most
અધિકાંશ	pupọ	majority
અધિકાર	ọtun	right
અધિકારી	oṣiṣẹ	officer
અધિકારીઓ	awọn oṣiṣẹ	officials
અધિકારીઓની	ti awọn olori	officer's
અધિકારો	awọn ẹtọ	right
અધિકારોનો	ti awọn ẹtọ	right
અધિકૃત	fun ni aṣẹ	authorised
અધિવેશન	ẹkọ	session
અધીન	koko-ọrọ	depend
અધૂરો	ini	incomplete
અધ્યક્ષ	alaga	head person
અધ્યક્ષપદ	alakoso	chairmanship
અધ્યયન	ikẹkọ	study
અધ્યાત્મ	emi oluwa	philosophical
અધ્યાય	orí	lessons
અધ્યાયમાં	ninu ipin	chapter
અન	ati	and
અનંત	ailopin	infinite
અનન્ય	alailẹgbẹ	unique
અનાજ	awọn ounjẹ	corn
અનામત	ifipamo	reserved
અનિયમિત	aiṣedeede	irregular
અનિલ	anil	anil
અનિવાર્ય	alailagbara	necessary / compulsary
અનિશ્ચિત	aidaniloju	uncertain
અનિશ્ચિતતા	aidaniloju	uncertainty
અનુકૂળ	rọrun	convenient / suitable
અનુક્રમણિકા	atọka	index
અનુક્રમે	pẹlu ọwọ	sequentially / respectively
અનુગામી	t’okan	follower,
અનુપમ	ko ṣe afiwe	unique
અનુભવ	iriri	experience
અનુભવાયા	inu	experienced
અનુભવી	rí	experinced
અનુભવે	lero	experiencing
અનુમાન	gboju le won	presumption
અનુયાયી	ọmọ-ẹhin	follower
અનુયાયીઓ	awọn ọmọ-ẹhin	followers
અનુયાયીઓને	awọn ọmọ-ẹhin	follower
અનુલક્ષીને	laibikita	imagining
અનુવાદ	itumọ	transalation
અનુવાદો	awọn itumọ	translations
અનુસરે	tẹle	follwing
અનુસાર	gẹgẹ bi	accordingly
અને	ati	and
અનેં	ati	and
અનેક	ọpọlọpọ	many
અનેરું	ati bẹbẹ lọ	unique
અનૈતિક	aṣiṣe	non-proper
અનોખી	alailẹgbẹ	unique
અન્ન	ounje	food
અન્નક્ષેત્ર	oúnjẹ oúnjẹ	free food center
અન્ય	awọn ẹlomiran	other
અન્યત્ર	nibomiran	anywhere else
અન્યાય	aisedede	injustice
અન્યો	awọn ẹlomiran	others
અન્યોએ	awọn ẹlomiran	by others
અપ	soke	up
અપડેટ	imudojuiwọn	update
અપના	apna	our
અપનાવવા	lati gba	to adopt
અપનાવવામાં	ti gba	to adopt
અપનાવી	ti gba	applied
અપની	tirẹ	self
અપને	si ọ	own [hindi word]
અપભ્રંશ	apabhramsa	derived / diverted
અપમાન	ẹgan	insult
અપરિગ્રહ	aisi	possession
અપલોડ	po si	to upload
અપવાદ	yato si	exception
અપવાદરુપ	iyatọ	exception
અપહરણ	jijipa	kidnap
અપાતી	ti a fun	given
અપાય	ti a fun	to give
અપાયું	ti a fun	given
અપાયો	ti a fun	presented
અપાવી	ti a fun	to give
અપાવે	fifun	gets
અપાવ્યો	pese	given
અપીલ	ẹbẹbẹ	appeal
અપૂર્ણ	ini	uncomplete
અપૂર્વ	aimọ tẹlẹ	unbelivable
અપેક્ષા	reti	expectation
અપેક્ષિત	o ti ṣe yẹ	expectancy
અપ્સરા	ọmọbinrin ọlọdun	heavenly nymph, fairy
અફઘાનિસ્તાન	afiganisitani	afghanistan
અબજ	bilili	1000000000
અબ્દ	abd	abd
અબ્દુલ	abdul	abdul
અભયારણ્ય	ibi mimọ	national park
અભાવ	aini	lack of
અભાવે	ko ni	lack of
અભિગમ	isunmọ	concept
અભિનંદન	oriire	congratulation
અભિનય	ṣiṣẹ	acting
અભિનેતા	oṣere	actor
અભિનેત્રી	oṣere	heroin
અભિનેત્રીનો	ti oṣere	of actress
અભિન્ન	integral	different
અભિપ્રાય	ero	opinion
અભિમન્યુ	abhimanyu	abhimanyu
અભિમન્યુના	abhimanyu	abhimanyu's
અભિમન્યુને	abhimanyu	to abhimanyu
અભિમન્યૂ	abhimanyu	abhimanyu
અભિયાન	ipolongo	campaign
અભિવ્યક્ત	ti ṣalaye	express
અભિવ્યક્તિ	ifihan	expression
અભિષેક	ororo	abhishek
અભૂતપૂર્વ	aimọ tẹlẹ	tremendous
અભ્યાસ	ikẹkọ	study
અભ્યાસક્રમ	dajudaju	syllabus
અભ્યાસમાં	ninu iwadi	in studies
અભ્યાસો	awọn ijinlẹ	studies
અમદાવાદ	ahmedabad	ahmedabad
અમદાવાદથી	lati ahmedabad	from ahmedabad
અમદાવાદના	ti ahmedabad	ahmedabad's
અમદાવાદની	ti ahmedabad	ahmedabad's
અમદાવાદને	si ahmedabad	to ahmedabad
અમદાવાદમાં	ni ahmedabad	in ahmedabad
અમને	wa	to us
અમર	aikidi	immortal
અમરેલી	amreli	amreli, name of taluka of gujarat
અમલ	ipaniyan	follow/acceptance
અમલમાં	ti ni imuse	in force
અમારા	wa	ours
અમારી	wa	our
અમિતાભ	amitabh	film star of bollywood amitabh
અમુક	diẹ ninu	some
અમુલ	amul	amul
અમૂર્ત	stbo	extraordinary
અમે	àwa	we
અમેરિકન	ara ilu amẹrika	american
અમેરિકા	amẹrika	america
અમેરિકાના	ti amẹrika	america's, of america
અમેરિકાની	ti amẹrika	america's
અમેરિકાને	si america	to america
અમેરિકાનો	ara amẹrika	america's
અમેરિકામાં	ni amẹrika	in america
અમેરિકી	amẹrika	american
અમેરિકીઓ	ara amẹrika	american,
અમ્પાયર	umpire	umpire
અયોગ્ય	sedede	improper
અયોધ્યા	ayodhya	ayodhya
અરજણજી	arjanji	arjanji
અરજી	ohun elo	application
અરબ	arabawa	arab
અરબસ્તાન	ara arabia	arabia
અરબી	dè lárúbáwá	arabi
અરવિંદ	dide	arvind
અરસામાં	ni akoko	during
અરાજકતા	idarudapọ	chaos
અરુણાચલ	arunachal	arunachal
અરેબિયા	ara arabia	arabia
અરેબીક	dè lárúbáwá	arabic
અર્જુન	arjun	arjun
અર્જુનના	ti arjuna	arjun's
અર્જુનની	ti arjuna	arjuna's
અર્જુનને	si arjuna	to arjun
અર્જુનનો	ti arjuna	arjun's
અર્જુને	arjun	arjun
અર્થ	itumo	earth
અર્થકવેક	iwariri-ilẹ	earthquake
અર્થઘટન	itumọ	interpretation
અર્થતંત્ર	eto-aje	economy
અર્થતંત્રની	ti aje	of economy
અર્થતંત્રને	si aje naa	to the economy
અર્થતંત્રમાં	ni aje	economically
અર્થમાં	ọpọlọ	by meaning,
અર્થવ્યવસ્થા	eto-aje	economics
અર્થશાસ્ત્ર	eto-aje	economics
અર્થશાસ્ત્રી	onowokoowo	economist
અર્થાત	eyun	meaning
અર્થાત્	eyun	meaning
અર્થે	ni ọna kan	meaning
અર્થો	itumọ	meanings
અર્ધ	idaji	half
અર્ધા	idaji	half
અર્પણ	ẹbọ	dedication
અર્વાચીન	tuntun	modern
અલ	al	el
અલંકરણ	ohun ọṣọ	decoration
અલંકાર	ohun ọṣọ	ornament
અલંગ	àmín	alang
અલગ	yatọ	different
અલગઅલગ	yatọ	separately
અલણમીર	alanmeer	alanmir
અલબત્ત	dajudaju	certainly
અલાસ્કાના	alaska	alaska's
અલી	ali	ali
અલૌકિક	atilẹyin	magnificient
અલ્પજીવી	kukuru	short-lived
અલ્લાહ	allah	allah
અલ્હાબાદ	allahabad	allahabad
અવકાશ	dopin	space
અવકાશના	ti aaye	expect
અવકાશમાં	ni aaye kun	space
અવકાશયાન	ofurufu	space shuttle
અવકાશસમય	akoko alafo	space-time
અવકાશી	aye	related to space
અવકાશીય	aye	related to space
અવગણના	foju	unconsideration
અવતાર	afata	incarnation
અવતારો	avatars	incarnation
અવધિ	iye akoko	duration
અવધી	akoko	duration
અવર	wa	hour
અવરોધ	atako	obstacle
અવરોધક	olugbewọ	obliterator
અવરોધો	awọn idiwọ	obstructions
અવલંબન	igbẹkẹle	dependant
અવલોકન	akiyesi	discription
અવલોકનક્ષમ	ṣakiyesi	visible / observable
અવલોકનો	akiyesi	observations
અવશેષ	relic	remains
અવશેષો	o ku	the ruins of an old wersked building
અવશ્ય	dajudaju	certainly
અવસર	anfani	occasion
અવસાન	iku	death
અવસ્થામાં	ni ipinle	phase
અવાજ	ohùn	voice
અવાજના	ti ohun	of voice
અવાજની	ti ohun	voice's
અવાજનો	ti ohun	sounds's
અવારનવાર	nigbagbogbo	frequently
અવિરત	idalọwọduro	continuous
અશક્ય	kò ṣeeṣe	impossible
અશોક	ashoki	ashok
અશોકના	ti ashoka	ashoka's
અશ્વત્થામા	ashwatthama	ashwatthama
અશ્વત્થામાએ	ashwatthama	ashwathama
અશ્વિન	ashwin	ashvin
અષાઢ	ashad	asadha
અષાઢી	ashadhi	from ashadh
અસંખ્ય	pupọ	several, many
અસફળ	kuna	fail
અસમાનતા	aidogba	inequality
અસર	ipa	action
અસરકારક	munadoko	effective
અસરકારકતા	didaṣe	effectiveness
અસરગ્રસ્ત	fowo	affected
અસરથી	pẹlu ipa	by the effect of
અસરના	ti ipa	of effect
અસરને	si ipa naa	of the effect
અસરનો	ti ipa	of effect
અસરો	ipa	effects
અસરોને	ipa	effects
અસરોમાં	ni awọn ipa	effects,
અસલ	atilẹba	real
અસહકારની	ti kii-ifowosowopo	of the non cooperation
અસહ્ય	aigbagbọ	unbearable
અસાધારણ	alailẹgbẹ	unusual
અસામાન્ય	ayebaye	unusual
અસ્ત	àwòdì	waning
અસ્તિત્વ	aye	existence
અસ્તિત્વનો	ti iwalaaye	of existance
અસ્તિત્વમાં	wa tẹlẹ	in existance
અસ્ત્ર	projectile	weapon
અસ્થિર	ayebaye	unstable
અસ્થિરતા	agbara	instability
અસ્પૃશ્યતા	agbara	"thinking like ""keep away from some category"""
અસ્પૃશ્યતાનિવારણ	idena ipa	removal of the untouchability
અસ્વીકાર	kikọ	refusal to accept
અહમદ	ahmed	"name ""ahamad"""
અહિ	nibi	here
અહિં	nibi	here
