+	+	plus sign
=	=	equal to
 °ซ  °ฟ 	° c	เซลเซียส ฟาเรนไฮต์
 ซม	centimeter	cm.
 −°ซ  °ฟ	- ° c	thai letters
×	×	letter x
γ	γ	y
π	π	pi
กกกก	kg	a thai letter repeated 4 times
กกกข	khor khor	4 thai alphabets - jibberish
กขขข	abc b	4 of thai letters
กขขขขขขข	a b a b b b a	abbbbbbb
กฎ	regel	law, rule
กฎของโคไซน์	kosmetallag	law of cosines
กฎแห่งกรรม	karma	bad karma
กติกา	regler	rule
กทม	bangkok	agency
กนู	riddare	gnu - computer related acronym
กบ	groda	frog
กบฏทหารนอกราชการ	militär uppror	coup de lat
กมล	lilja	kamon
กมลรัตน์	kamonrat	kamolrat - a surname
กรณีที่	fallet	case
กรมขุนอิศเรศรังสรรค์	krom khun iset rangsan	the convention of angels
กรมขุนเพ็ชรบูรณ์อินทราชัย	kromkhunpetchaboon-indachai	department of....
กรมข่าวทหารอากาศ	avdelningen för flygvapen news	communication department of the thai air force
กรมควบคุมโรค	institutionen för sjukdomskontroll	department of disease control
กรมทหารราบที่	infanteriregiment	infantry regiment
กรมรบพิเศษที่	avdelningen för specialstyrkor	special force group
กรมศิลปากร	konst för avdelning	fine arts department
กรมหลวงนราธิวาสราชนครินทร์	krom luang narathiwatratchanakharin	krom ma loung naratifatrachanakarin - the name of a royal family member
กรมหลวงสงขลานครินทร์	krom luang songkhla nakarin	prince of songkla
กรมอุตุนิยมวิทยา	meteorologisk avdelning	the meteorology department
กรรชัย	kanchai	kanchai
กรอง	filtrera	screen
กระดูกค้อน	hammerben	malleus, hammer bone
กระดูกต้นแขน	humerus	humerus
กระดูกฝ่ามือ	palms	metacapus
กระดูกสะบัก	skulderblad	scapula
กระดูกสะบ้า	patella	kneecap
กระทรวงกลาโหม	försvarsministeriet	defense ministry
กระทรวงการคลัง	finansdepartementet	ministry of finance
กระทรวงการต่างประเทศ	utrikesministeriet	ministry of foreign affairs
กระทรวงวัฒนธรรม	kulturministeriet	ministry of culture
กระทรวงศึกษาธิการ	undervisningsministeriet	ministry of education
กระทรวงสาธารณสุข	ministeriet för folkhälsa	ministry of public health
กระทรวงอุตสาหกรรม	industriministeriet	ministry of industry
กระทรวงเกษตรและสหกรณ์	ministeriet för jordbruk och kooperativ	ministry of agriculture and cooperatives
กระทรวงเศรษฐการ	ministeriet för ekonomi	ministry of commerce
กระทุ่มแบน	liten korg	krathum baen district, samut songkram province
กระนวน	tonhöjd	granuan - location in knon kan province
กระนั้น	ändå	however
กระบวนการสร้าง	byggnadsprocess	anabolism
กระบวนการสร้างและสลาย	process för att skapa och desintegrera	metabolism
กระบอง	blackjack	club
กระบะทราย	sandlåda	litter box or sand box
กระบี่กระบอง	tävling med svärd	krabi krabong (swordplay)
กระรอก	ekorre	squirrel
กระวนกระวาย	angelägen	nervous
กระหม่อม	huvud	fontanelle
กระเพาะอาหาร	mage	stomach
กระแต	chipmunk	wasp
กรับ	plocka upp	wooden rhythm clappers
กรับพวง	välj ett gäng	krap phuang
กรับเสภา	krapao	wooden rhythm clappers
กรัม	gram	gram
กรัยวิเชียร	kraiwichian	krivician - a surname
กรานาดา	granada	granada
กริม	grimm	grim
กรี	grå	karee
กรุง	huvudstad	city
กรุงธนบุรี	thon buri	thonburi city
กรุงลอนดอน	london	london
กรุงศรีอยุธยา	ayutthaya	sri ayuttaya city - former capital of thailand
กรุงเทพ	bangkok	bangkok
กรุงเทพเชียงใหม่กรุงเทพ	bangkok, chiang mai, bangkok	bangkok changmai bangkok
กรุงเทพโพลล์	bangkok poll	bangkok poll
กรุ๊ป	grupp	group
กลอง	trumma	drum
กลองมโหระทึก	stor trumma	big drum
กลองยาว	trumma	tom-tom
กลองสองหน้า	tvåfasad trumma	glong songna
กลอน	vers	poem
กลอบูลิน	glansig	globulin
กลาง	mitten	in the middle
กลิ่น	lukt	odor
กลุ่มดาวกล้องจุลทรรศน์	konstellationer av mikroskop	microscopium
กลุ่มดาวนกทูแคน	toucan	tucana
กลุ่มดาวสิ่ว	mejsel	siu star
กลุ่มดาวเข็มทิศ	konstellationskompass	pyxis constellation
กลุ่มดาวเตาหลอม	smältugn	fornax
กลุ่มดาวแมงป่อง	scorpion	scorpion constellation
กลุ่มดาวแมลงวัน	flugor	musca
กลุ่มที่	gruppen	group
กลุ่มแสงอุษา	usa light group	light at dawn
กลูคากอน	glucon	glucagon
กล่าวคือ	det vill säga	that is
กล้วยไม้ดาว	stjärnorkidé	type of orchid that have slim petal like star
กล้องถ่ายภาพ	kamera	camera
กล้ามเนื้อ	muskel	muscle
กวม	guam	obscure
กวาง	rådjur	deer
กวิน	kawin	gwen - a name
กวี	poet	poet
กว่า	än	than
กองกลาง	mittfältare	headquarter
กองการบินทหารเรือ	naval aviation division	the flying section of the navy
กองการศึกษา	utbildningsavdelningen	education group
กองการเจ้าหน้าที่	personalavdelningen	division of personnel
กองกำลังกึ่งทหาร	semi-militära styrkor	armforces
กองคลัง	finansavdelningen	division of finance
กองทัพ	armén	arm forces
กองทัพบกไทย	thailändska armén	thai army
กองทัพภาคที่	army of the region	army area
กองทัพเรือ	marin	navy
กองทัพเรือไทย	thailändsk marin	the royal thai navy
กองทัพแห่งความชอบธรรม	rättfärdighetens armé	army of the righteous
กองทัพไทย	thailändsk armé	thai military forces
กองบิน	flygande grupp	air force
กองบินปีกหมุนที่	wing spinning wing	flight corp number __________
กองพลทหารม้าที่	kavalleribrigaden	cavalry division
กองพันทหารช่างที่	ingenjörsbrigaden	troop unit number ___________`
กอด	kram	kord
กอนซาเลซ	gonzalez	gonzales - a name
กอร์ดอน	gordon	gordon
กอลมเบต์	goreme	glombet - a catholic priest
กอล์ฟ	golf	golf
กอล์ฟไมค์	golf mic	golf-mike
กะเหรี่ยง	karen	karen
กะโหลก	skalle	skull
กะโหลกศีรษะ	skalle	skull; cranium
กังหันชัยพัฒนา	chaipattana turbin	chaipattana's windmill
กันดั้ม	gundam	gundam - a cartoon
กันตัง	kantang	kuntun in trung state
กันทรลักษ์	kantharalak	kuntaraluk - an area in thailand
กันฟอร์ม	form	gun form
กันอริ	kanori	gan-ari
กันเอง	i godo	casual
กับนางสุจาริณี	med fru sucharinee	with mrs. sujarinee
กัมปูเชีย	kampuchia	kampuchea
กัมพูชา	kambodja	cambodia
กัมพูชาประชาธิปไตย	demokratisk kambodja	democratic kampuchea
กัมพูชาเป็นประเทศที่มีป่าไม้อุดมสมบูรณ์มากที่สุดหากเปรียบเทียบกับประเทศเพื่อนบ้าน	kambodja är det land med de mest rikliga skogarna när man jämför med grannländerna.	cambodia is the country with nice, healthy forests
กัมพูชาเป็นอดีตประเทศอาณานิคมของฝรั่งเศสในภูมิภาคเอเชียตะวันออกเฉียงใต้เพียงแค่ประเทศเดียวเท่านั้นที่มีการปกครองด้วยระบอบราชาธิปไตยภายใต้รัฐธรรมนูญ	kambodja är det enda före detta franska koloniallandet i sydostasien som har monarki under konstitutionen.	cambodia was a former french colony
กัมพูชาเป็นอาณานิคมของฝรั่งเศสมาตั้งแต่พศ	kambodja har varit en fransk koloni sedan dess.	cambodia was a france colony from year
กัวเตมาลา	guatemala	guatemala
กานซู	gansu	honshu in china
กานต์	kan	kan
กานา	ghana	ghana
กานามัยซิน	kanamycin	kanamycin
กาบอง	gabon	baton
กาพย์ฉบัง	episk dikt	poem
กาพย์สุรางคนางค์	dikt	gabsuranknang
กาม	hänsynslös	lust
กาย	kropp	body
การ	de	project
การกีฬา	sporter	sport
การขัดเกลาทางสังคม	socialisering	socialization
การขับถ่าย	exkretion	excretion
การขับไล่	vräkning	discharge
การคมนาคม	transport	transportation department
การคลัง	finansiera	public finance
การค้นพบ	upptäckten	discover
