<i>	<i>	paragraph sign
a	bir	a
c	c	c.
co	ko	company
d	d	d
economic	ekonomik	economic
ed	ed	edition
entertainment	eğlence	entertainment
f	f	f
google	google	google
h	h	h.
ii	ii	ii
iii	iii	iii
iran	i̇ran	iran
isbn	isbn	isbn
iv	iv	iv
ix	ix	ix
iншi	diğerleri	other
j	j	j.
k	k	k
l	l	l
left	ayrıldı	left
m	m	m.
marketing	pazarlama	marketing
my	biz	my
n	n	n.
na	üzerinde	at
o	ö	o
over	bitmiş	over
p	p	p
pp	s	year
px	px	pixels
px|	px |	pixels
radio	radyo	radio
rss	rss	rss
shippuuden	shippuuden	shipuuden
stadt	kent	village
state	durum	state
und	ve	and
v	v	v
vi	sen	vi
vii	vii	vii
viii	viii	viii
x	x	x
xi	xi	xi
xii	xii	xii
xiii	xiii	xiii
xiv	xiv	xiv
xix	xix	xix
xixxx	xixxx	xix-xx
xml	xml	xml
xv	xv	xv
xvi	xvi	xvi
xvii	xvii	xvii
xviii	xviii	xviii
xviiixix	xviiixix	xviii-xix
xviixviii	xviixviii	xvii-xviii
xvixvii	xvixvii	xvi-xvii
xvixviii	xvixviii	xvi-xviii
xx	xx	xx
xxi	xxi	xii
y	y	u
  	  	the word to translate is blank
 км	km	km
 м	m	meters
 млн	milyon	mln
 млрд	milyar	billion
 р	p	year
 р 	p	year
 року	yıl	year
 році	yıl	year
 рр	рр	years
 тис	bin	thousands
°с	° s	celsius
à	için	of
а	ve	and
абетка	alfabe	alphabet
абетки	alfabeler	alphabet
аби	abi	only
або	veya	or
абсолютизму	mutlâkiyet	absolutism
абсолютна	kesin	absolute
абсолютний	kesin	absolute
абсолютно	kesinlikle	absolute
абсолютної	kesin	absolute
абсолютну	kesin	absolute
авакум	avakum	habakkuk
аварії	kazalar	accidents
август	ağustos	august
августа	ağustos	august
авон	avon	avon
австралія	avustralya	australia
австралії	avustralya	australia
австроугорської	avusturya-macaristan	austria-hungary
австроугорщини	avusturya-macaristan	austria-hungary
австрійська	avusturya	austrian
австрійський	avusturya	austrian
австрійської	avusturya	austrian
австрія	avusturya	austria
австрії	avusturya	austria
автобуси	otobüsler	buses
автомагістраль	karayolu	highway
автоматично	otomatik olarak	automatically
автомобільний	otomobil	automotive
автомобілів	arabalar	cars
автономна	özerk	autonoumuos
автономних	özerk	autonomous
автономної	özerk	autonomuos
автономні	özerk	autonomous
автономію	özerklik	autonomy
автономія	özerklik	autonomy
автономії	özerklik	autonomy
автор	yazar	author
автора	yazar	author
автори	yazarlar	authors
авторитет	yetki	authority
автором	yazar tarafından	author
авторство	yazarlık	authority
авторське	yazarın	author
авторських	telif hakkı	author's
авторського	telif hakkı	author
авторські	telif hakkı	author's
авторів	yazarlar	authors
агентство	ajans	agency
агломерації	yığma	agglomeration
аграрний	tarım	agrarian
агрегат	toplam	aggregate
агресії	saldırganlık	aggression
адам	adem	adam
адже	hepsinden sonra	but
адинамія	adynamia	weakness
адміністративна	yönetim	administrative
адміністративний	yönetim	administrative
адміністративним	yönetim	administrative
адміністративних	yönetim	administrative
адміністративно	idari	administrative
адміністративнотериторіальний	idari-bölgesel	administrative-territorial
адміністративнотериторіального	idari-bölgesel	administrative and territorial
адміністративні	yönetim	administrative
адміністрація	yönetim	administration
адміністрації	yönetim	administration
адресу	adres	address
аерограма	airgram	aerogram
аеропорт	havalimanı	airport
аес	nükleer enerji santrali	nuclear power station
аж	a kadar	till
азербайджан	azerbeycan	azerbaijan
азербайджану	azerbeycan	azerbaijan
азербайджанці	azerbaycanlılar	azerbaijans
азиди	azidler	azides
азовське	azov	azov
азовського	azak	azov
азот	azot	nitrogen
азоту	azot	nitrogen
азію	asya	asia
азія	asya	asia
азії	asya	asia
айсберг	buzdağı	iceberg
академік	akademisyen	academician
академічний	akademik	academical
академію	akademi	academy
академія	akademi	academy
академії	akademi	academy
акредитації	akreditasyon	accreditation
акт	davranmak	act
акта	davranmak	act
акти	fiiller	acts
активна	aktif	active
активний	aktif	active
активним	aktif	active
активних	aktif	active
активно	aktif	active
активного	aktif	active
активності	aktivite	activity
активної	aktif	active
активну	aktif	active
активні	aktif	active
активність	aktivite	activity
актом	davranmak	act
актор	aktör	actor
актори	aktörler	actors
акторів	aktörler	actors
акту	davranmak	act
актів	fiiller	acts
акцент	aksan	accent
акцій	hisseleri	shares
акціонерні	anonim	joint-stock
акція	aksiyon	action
акції	hisseleri	actions
алгоритм	algoritması	algorithm
алгоритми	algoritmalar	algorithm
алгоритму	algoritması	algorithm
алгоритмів	algoritmalar	algorithms
але	fakat	but
александра	alexander	alexander
алкоголю	alkol	alcohol
алфавіт	abc	alphabet
алфавітом	alfabe	alphabet
альберт	köstek	albert
альберта	alberta	albert
альбом	albüm	album
альбоми	albüm	albums
альбому	albüm	album
альдегіди	aldehitler	aldehydes
альп	alp	alps
альтаїр	altair	altair
америка	amerika	america
американська	amerikan	american
американський	amerikan	american
американських	amerikan	american
американського	amerikan	american
американської	amerikan	american
американські	amerikan	american
америки	amerika	america
америці	amerika	america
амос	amos	amos
амур	amur	amur
аміаку	amonyak	ammonia
амінокислот	amino asitler	amino acids
аналогічно	benzer şekilde	similar
аналогічні	benzer	analoguos
аналіз	analiz	analysis
аналізу	analiz	analysis
анапест	feilün	anapaest
анатолій	anatoly	anatoliy
анатомія	anatomi	anatomy
анатомії	anatomi	anatomy
англ	ingilizce	english
англосакси	anglosakson	anglo-saxons
англійська	ingilizce	english
англійський	ingilizce	english
англійських	ingilizce	english
англійського	ingilizce	english
англійською	i̇ngilizcede	english
англійської	ingilizce	english
англійську	ingilizce	english
англійській	i̇ngilizcede	english
англія	i̇ngiltere	england
англії	ingiltere	england
андерсон	anderson	anderson
андорри	andorra	andorra
андромеда	andromeda	andromeda
андрій	andriy	andriy
андрійович	andreevich	andreevich
андрія	andria	andriy
анкара	ankara	ankara
анна	anna	anna
анни	annie	anna
аноа	anoa	anoa
ансамбль	topluluk	ensemble
ансамблі	topluluklar	ensembles
антанти	antant	entente
антарктиди	antarktika	antarctica
антициклон	antisiklon	anticyclone
антична	antik	ancient
античних	antik	ancient
античного	antik	ancient
античності	eskilik	antiquity
античної	antik	ancient
античні	antik	ancient
антон	anton	anton
антонич	antoniç	antonich
антонія	antony	anthony
анубіс	anubis	anubis
ані	ne de	not
аніж	göre	than
аніме	anime	anime
аорта	aort	aorta
апарат	cihaz	apparatus
апарату	cihaz	apparatus
апатит	apatit	apatite
апостола	havari	apostle
арабська	arapça	arab
арабських	arapça	arab
арабської	arapça	arab
аргентина	arjantin	argentina
аргентини	arjantin	argentina
аргентині	arjantin	argentina
арешт	tutuklamak	arrest
арешту	tutuklamak	arrest
аристократії	aristokrasi	aristocracy
аристотель	aristo	aristotle
аристотеля	aristo	aristotle
армію	ordu	army
армія	ordu	army
армією	ordu	army
армії	ordu	army
арно	arno	arno
артеріола	küçük atardamarlar	arteriole
артист	sanatçı	artist
археологи	arkeologlar	archeologists
археологічних	arkeolojik	archaeological
археологічні	arkeolojik	archeological
археології	arkeoloji	archaeology
архів	arşiv	archives
архіву	arşiv	archives
архівів	arşiv	archives
архімед	arşimet	archimedes
архіпелаг	adalar	archipelago
архітектор	mimar	architect
архітектора	mimar	architect
архітектори	mimarlar	architects
архітектура	mimari	architecture
архітектури	mimari	arcitecture
архітектурний	mimari	architectural
архітектурних	mimari	architectural
архітектурні	mimari	architectural
архітектуру	mimari	architecture
архітектурі	mimari	architecture
арш	arş	arsh (name)
арістотель	aristo	aristotle
арістофан	aristofanes	aristophanes
асамблея	montaj	assembly
асамблеї	montaj	assembly
асоціація	bağlantı	association
асоціації	dernekler	association
аспект	görünüş	aspect
аспекти	yönleri	aspect
аспектів	yönleri	aspects
астенія	asteni	asthenia
астронавт	astronot	astronaut
астрономія	astronomi	astronomy
астрономії	astronomi	astronomy
атаки	saldırılar	attack
атлантичний	atlantik	atlantic
атлантичного	atlantik	atlantic
атмосфера	atmosfer	atmosphere
атмосфери	ortamlar	atmosphere
атмосферу	atmosfer	atmosphere
атмосфері	atmosfer	atmosphere
атол	atol	atoll
атом	atom	atom
атома	atom	atom
атоми	atomları	atoms
атомної	nükleer	nuclear
атомів	atomları	atoms
аудиторії	seyirci	auditoriums
аудіобібліотеці	ses kütüphanesi	audiolibrary
афганістану	afganistan	afghanistan
африка	afrika	africa
африки	afrika	africa
африці	afrika	africa
афтершоки	artçı	aftershocks
афікс	eklerin	affix
афін	atina	athens
афінах	atina	athens
афіни	atina	athens
ахейці	achaean&#39;ların	the acheans
ахілла	aşil	achilles
ахіллес	aşil	achilles
аякс	ajax	iaks
багата	zengin	rich
багатий	zengin	rich
багатих	zengin	rich
багато	çok	many
багатства	servet	wealth
багатство	servet	wealth
багатством	servet	wealth
багатьма	çok	plenty
багатьом	çok	rich
багатьох	çok	plenty of
багаті	zengin	rich
бажання	arzu etmek	wish
бажанням	arzu etmek	wishes
база	baz	base
бази	bazlar	bases
базових	temel	base
базу	baz	base
базуються	dayanır	based
базується	merkezli	based
базі	baz	base
байковому	masal	baikove
бактерій	bakteriler	bacteriums
бактерії	bakteriler	bacteriums
балада	türkü	ballad
балади	türküler	ballad
балету	bale	ballet
балтійського	baltık	baltic
бандера	bayrak	bandera
бандери	banderi	band
банк	banka	bank
банки	bankalar	banks
банкноти	banknot	banknotes
банку	banka	bank
банків	bankalar	banks
банківської	bankacılık	bank
баптизм	vaftiz	baptism
барка	mavna	bark
бароко	barok	baroque
барометр	barometre	barometer
басейн	havza	basin
басейни	yüzme havuzları	pools
басейну	havuz	pool
басейні	yüzme havuzları	basin
басня	masal	basnya
бастіон	burç	bastion
батаан	batan	bataan
батурин	baturin	batourin
батурині	baturyn	baturins
батька	baba	father
батьки	ebeveynler	father
батько	baba	father
батьком	baba	father
батьків	ebeveynler	fathers
батьківщина	ev	inheritance
батьківщини	vatan	inheritance
батьківщиною	vatan	inheritance
батьківщину	vatan	inheritance
батьківщині	vatan	inheritance
бах	bekâr	bach
баха	baha	bach
бачення	vizyon	vision
бачив	testere	saw
бачили	görüldü	saw
бачимо	görürüz	see
бачити	görmek	see
без	olmadan	without
безліч	çok	lots of
безлічі	çok	great numbers
безпеки	güvenlik	safety
безперечно	şüphesiz	undoubtedly
безпосередньо	direkt olarak	immediately
безпосереднє	direkt	immediate
безпосереднім	acil	immediate
безробіття	işsizlik	unemployment
безумовно	kesinlikle	undoubtedly
бельгія	belçika	belgium
бельгії	belçika	belgium
бенефіція	yarar	beneficiary
бердичів	berdychiv	berdichev
бере	alır	takes
берег	kıyı	shore
берега	kıyı	shores
берегах	kıyıları	shores
береги	kıyıları	shores
берегів	kıyıları	shores
березень	mart	march
березкові	huş ağacı	convolvulaceae
березня	mart	march
березні	mart	march
березі	kıyı	shore
берлін	berlin	berlin
берліні	berlin	berlin
беруть	almak	take
би	would	if
бивні	fildişi	ivory
битва	savaş	battle
битви	savaşlar	battle
битві	savaş	battle
бл	bl	more
блага	mal	good
благо	iyi	because
ближнього	komşu	close
ближче	yakın	closer
близька	kapat	close
близький	yakın	close
близьких	sevdiklerinize	close
близько	kapat	close
близького	kapat	close
близькому	kapat	close
близькі	kapat	near
близькість	yakınlık	closeness
блок	blok	block
блоку	blok	block
бліц	hava saldırısı	blitz
бо	için	because
бог	tanrı	god
бога	tanrı	god
богам	tanrı	gods
богдан	bogdan	bogdan
богдана	богдана	bogdan
боги	tanrılar	gods
богиня	tanrıça	goddes
богом	tanrı	god
богородиці	bakire	the virgin
богослужіння	ibadet	liturgy
богу	tanrı	god
богів	tanrılar	gods
божеств	tanrılar	gods
божества	tanrılar	deity
божого	tanrının	god's
божої	tanrının	god's
бойових	savaş	fighting
бойової	savaş	fighting
бойові	savaş	military
боку	yan	side
боків	taraf	sides
болгари	bulgarlar	bulgars
болгарія	bulgaristan	bulgaria
болгарії	bulgaristan	bulgaria
борис	boris	boris
бориса	borisa	boris
борн	doğan	borne
боролися	kavga etti	fighted
боротьба	mücadele etmek	fight
боротьби	mücadele etmek	struggle
боротьбою	mücadele etmek	fight
боротьбу	mücadele etmek	struggle
боротьбі	kavga	struggle
боці	yan	side
бою	savaş	battle
бояр	boyarlık	boyars
боях	savaşlar	battle
бої	savaşlar	fights
боїв	savaşlar	fights
брав	kilit	was
бразилія	brezilya	brazil
бразилії	brezilya	brazil
брак	evlilik	marriage
брала	aldı	took
брали	aldı	participated
брассі	pirinç	brassy
брат	erkek kardeş	brother
брата	erkek kardeş	brother
брати	almak	take
братства	kardeşlik	brotherhood
братство	kardeşlik	brotherhood
браття	kardeşler	brothers
братів	kardeşler	brothers
браузер	tarayıcı	browser
брикет	kek	briquette
британська	ingiliz	british
британський	ingiliz	british
британських	ingiliz	british
британського	ingiliz	british
британської	ingiliz	british
британія	britanya	britain
британії	britanya	britain
броненосці	savaş gemileri	battleship
бронза	bronz	bronze
бронзи	bronz	bronze
був	oldu	was
бувають	olmak	can be
буває	olur	is
буг	böcek	bug
бугу	bugu	bug
буддизм	budizm	buddhism
буддизму	budizm	buddhism
буде	olacak	will
будинки	evler	houses
будинку	evde	house
будинків	evler	houses
будинок	ev	house
будова	yapı	construction
будови	binalar	buildings
будовою	yapı	building
будову	yapı	building
будували	inşa edilmiş	built
будувалися	inşa edilmiş	overturned
будувати	inşa etmek	construct
будуть	olacak	will be
будучи	olmak	being
будується	inşaat halinde	built on
будь	olmak	any
будьяка	hiç	any
будьяке	hiç	whatsover
будьякий	hiç	any
будьяких	hiç	any
будьякого	her türlü	any
будьякому	herkese	any
будьякої	hiç	any
будьяку	hiç	any
будьякі	hiç	any
будьякій	hiç	some
будяк	devedikeni	thistle
будівель	binalar	buildings
будівельний	yapısal	constructioning
будівельних	inşaat	building
будівельні	inşaat	building
будівля	bina	construction
будівлі	binalar	building
будівництва	inşaat	construction
будівництво	inşaat	construction
будівництві	inşaat	construction
буквально	kelimenin tam anlamıyla	word for word
буковина	kayın	bukovina
буковини	kayın	bukovina
буковині	kayın	bukovina
була	oldu	was
було	oldu	was
бульб	ampuller	bulbar
бульби	yumrular	bulba
бур'ян	ot	wild grass
буржуазії	burjuvazi	bourgeoisie
бурмотушки	mumblers	warbler
бурі	fırtına	storms
бути	olmak	be
буття	olmak	being
бюджет	bütçe	budget
бюджету	bütçe	budget
бюро	büro	bureau
біблійне	i̇ncil&#39;deki	biblical
бібліотек	kütüphaneler	libraries
бібліотека	kütüphane	library
бібліотеки	kütüphaneler	library
бібліотеку	kütüphane	library
бібліотеці	kütüphane	library
біблія	kutsal kitap	bible
біблії	kutsal kitap	bible
бідних	fakir	poor
бідності	yoksulluk	poverty
бізнес	iş	business
бізнесу	iş	business
бій	kavga	battles
бік	yan	side
біла	beyaz	was
білецький	biletsky	biletskiy
білий	beyaz	white
білих	beyaz	white
білка	sincap	squirrel
білками	proteinler	proteins
білки	proteinler	proteins
білків	proteinler	proteins
білого	beyaz	white
білок	beyaz	protein
білокур	belokur	bilokur
білорусь	belarus	belorussia
білоруська	beyaz rusça	belorussian
білоруської	beyaz rusça	belorussian
білорусі	belarus	belorussian
білорусії	belarus	belorussia
білої	beyaz	white
біль	ağrı	pain
більш	daha	more
більша	daha büyük	largest
більше	daha	more
більший	daha	greater
більшим	büyük	big
більшменш	az çok	more or less
більшовиками	bolşevikler	bolshevik
більшовики	bolşevikler	bolshevik
більшовиків	bolşevikler	bolsheviks
більшого	daha	large
більшості	çoğu	majority
більшою	büyük	greater
більшої	büyük	larger
більшу	daha büyük	large
більшій	daha büyük	major
більшість	çoğunluk	majority
більшістю	çoğunluk	majority
біля	yakın	beside
білі	beyaz	white
біогеографія	biyocoğrafyası	biogeography
біографія	biyografi	biography
