+	+	+
=	=	=
>	&gt;	>
|	|	|
 	 	error in display
×	×	multiply
π	π	pie
φ	φ	phai
অ	nem.	a
অংকিত	húzott	drawn
অংশ	rész	part
অংশই	része	part
অংশও	alkatrészek is	part
অংশকে	a részemre	part
অংশগ্রহণ	részvétel	participation
অংশগ্রহণকারী	résztvevők	participant
অংশগ্রহণের	részvétel	participates
অংশটি	a rész	the part
অংশবিশেষ	rész	part of
অংশীদার	partner	partner
অংশে	részben	in part
অংশের	rész	part
অইউক্লিডীয়	euklideszi	euclid
অকাল	koraszülött	premature
অক্টোবর	október	october
অক্টোবরডিসেম্বর	október-decemberi	october december
অক্টোবরে	októberben	in october
অক্ষ	tengely	axis
অক্ষম	tiltva	disable
অক্ষর	karakterek	alphabet
অক্ষরে	levélben	alphabet
অক্ষরের	levelekből	alphabet
অক্ষাংশ	szélességi kör	latitude
অক্ষের	a tengelyről	of axis
অক্সফোর্ড	oxford	oxford
অক্সাইড	oxid	oxide
অক্সিজেন	oxigén	oxygen
অক্সিজেনের	az oxigénből	of oxygen
অখ্রিষ্টান	non-christian	not of christian religion
অগত্যা	nem feltétlenül	consequence
অগস্ট	augusztus	august
অগ্নিসংযোগ	gyújtogatás	firing
অগ্ন্যাশয়	hasnyálmirigy	pacreas
অগ্রগতি	előrehalad	development
অগ্রগতির	a haladás	development
অগ্রগমন	előrehalad	progress
অগ্রগামী	úttörő	leading
অগ্রণী	úttörő	pioneer
অগ্রযাত্রার	előrehalad	heroic lead to a journey
অগ্রসর	előre	proceed
অঙ্ক	a számok	mathematics
অঙ্কন	rajz	drawing
অঙ্কিত	húzott	drawn
অঙ্কের	a számok közül	digit
অঙ্গ	végtagok	part
অঙ্গনে	az udvaron	courtyard
অঙ্গরাজ্য	állapot	part state
অঙ্গরাজ্যের	az államtól	province
অঙ্গীকার	ígéret	promise
অঙ্গীভূত	bejegyzett	included
অঙ্গুরীমাল	körmök	oligochaeta
অঙ্গের	végtagok	part
অচিরেই	hamar	within a short time
অজস্র	bőven	many
অজানা	ismeretlen	unknown
অজানাঅমীমাংসিত	ismeretlen, megoldatlan	unknown
অজ্ঞাত	ismeretlen	unknown
অজ্ঞেয়বাদ	agnoszticizmus	agnosticim
অঞ্চল	vidék	area,  region
অঞ্চলকে	a régióba	the area
অঞ্চলগুলি	régiók	places
অঞ্চলগুলির	régiókból	regions
অঞ্চলগুলোতে	a régiókban	regions
অঞ্চলটি	a régió	the region
অঞ্চলটিকে	a régióba	region
অঞ্চলটির	a régióból	area
অঞ্চলসমূহ	területek	zones
অঞ্চলে	a régióban	in area
অঞ্চলেই	a régióban	region
অঞ্চলেও	a régióban is	area too
অঞ্চলের	a régióból	of the area
অটো	kocsi	auto
অডিও	hang	adio
অণু	molekulák	molecule
অণুজীব	a mikroorganizmusok	bacteria
অণুবীক্ষণযন্ত্র	mikroszkóp	microscope
অণুর	molekulák	of molecule
অতঃপর	azután	then
অতটা	ez az	of that much
অতপর	azután	then
অতালব্যীভূত	mélytengeri	unpalatalable
অতি	nagyon	very
অতিক্রম	túl	pass
অতিক্রমণ	transzcendencia	passing
অতিথি	vendég	guest
অতিবাহিত	elmúlt	passed time
