$	$	$
a	ku	to
abba	abba	abba
abbandona	caleemaha	leave
abbandonando	ka taga	abandoning
abbandonare	ka tag	leave
abbandonata	ka tagay	abandoned
abbandonato	ka tagay	abandoned
abbandono	baxsi	abandon
abbandonò	wuu ka tanaasulay	abandonment
abbastanza	ku filan	enough
abbia	leeyahay	has
abbiamo	waxaan leenahay	we
abbiano	leeyihiin	have
abbondanti	tiro badan	abundant
abc	abc	abc
abile	xariif	skillful
abilità	xirfado	ability skill expertise prowess proficiency craft capacity capability cleverness knack mastery ingenuity cunning know-how skillfulness adroitness skilfulness sleight adeptness artifice mastership expertness
abitanti	dadka deggan	people
abitata	deganaan	inhabited
abitato	deganaan	inhabited
abitazioni	guryaha	home
abiti	dharka	clothes
abitudini	caadooyinka	habits
aborto	ilmo soo ridid	abortion
about	ku saabsan	about
abruzzese	abruzzo	abruzzo
abruzzi	abruzzi	abruzzi
abruzzo	abruzzo	abruzzo
ac	b.c	a.c.
academy	akadeemiyada	academy
accadde	dhacay	it happened
accade	way dhacdaa	happens
accademia	akadeemiyada	academy
accaduto	dhacay	happenend
accanto	ku xiga	near
accedere	gasho	enter
accesso	marin	access
accetta	faas	accepted
accettare	in la aqbalo	accept
accettata	aqbalay	accepted
accettato	la ogolaaday	accepted
accettò	waan aqbalay	acceptable
acciai	istaahila	steels
acciaio	birta	steel
accoglie	soo dhaweynayaa	holds
accoglienza	martigelinta	accoglienza
accolto	soo dhoweeyay	welcomed
accompagna	la socda	brings
accompagnata	weheliyay	accompanied
accompagnati	weheliyay	accompanied
accompagnato	weheliyay	accompanied
accordi	heshiisyada	agreements
accordo	heshiis	agreement
accorge	ogeysiisyo	notice
accusa	eedeyn	accusation
accusato	eedeysane	accused
accuse	eedeymaha	charges
acdc	acdc	acdc
ace	yar	ace
achille	achilles	achille
acidi	acids	acids
acido	aashito	acid
acqua	biyo	water
acque	biyo	water
acquisire	si loo helo	acquire
acquisito	awood	purchase
acquista	iibso	buy
acquistare	iibso	buy
acquistato	iibsaday	purchased
acronimo	koobi	acronym
action	ficil	action
