$	$	dollars
+	+	+ (plus)
=	=	=
==	==	==
|	|	|
°	°	degrees
°م	° c	°c
آثار	les effets	ruins
آثارها	ses effets	its antiques
آخر	un autre	last
آخرها	le plus récent	last one
آخرون	autres	others
آخرين	autres	others
آخيل	achille	acheles
آدم	adam	adam
آراء	avis	opinions
آسكي	ascii	ascian
آسيا	asie	asia
آشوربانيبال	ashurbanipal	ashorbanibal
آل	al	the
آلات	les machines	tools
آلاف	des milliers	thousands
آلام	des douleurs	pain
آلة	machine	machine
آلهة	dieux	gods
آلية	le mécanisme	mechanism
آمن	sûr	safe
آمنة	sûr	amina
آمون	amon	amon
آن	ann	the same time
آنذاك	à l&#39;époque	by then
آي	je	i
آيات	versets	quran verses
آية	verset	verse
أ	une	a
أئمة	imams	leaders
أب	pére	august
أبا	oppa	aba
أباتيت	apatite	apatit
أباه	son père	his father
أبحاث	la recherche	researches
أبدا	jamais	never
أبداً	jamais	at all
أبدًا	jamais	never
أبرز	le plus notable	most conspicuous
أبرزها	le plus notable	the most obvious of them
أبريل	avril	april
أبطال	les héros	heroes
أبعد	plus loin	far
أبناء	fils	sons
أبنائه	ses fils	his sons
أبو	abu	abou
أبواب	les portes	gates
أبوظبي	abu dhabi	abu dhabi
أبوه	son père	his father
أبى	mon pére	dad
أبي	mon pére	father of
أبيب	tél	aviv
أبيه	son père	his father
أتاتورك	ataturk	atatork
أتباع	abonnés	followers
أتباعه	ses disciples	his followers
أتت	elle est venue	came
أتى	il est venu	came up
أثار	élevé	effected
أثارت	excité	provoked
أثبت	prouver	proofed
أثبتت	démontré	proved
أثر	effet	effect
أثرت	touchés	affect
أثره	son effet	his trace
أثرية	antiquité	antique
أثناء	alors que	during
أثينا	athéna	athene
أجبر	forcé	forced
أجرام	corps	celestial bodies
أجراها	fabriqué par	conducted by the
أجرى	conduit	conducted
أجريت	conduit	conducted
أجزاء	pièces détachées	parts
أجسام	corps	bodies
أجل	oui	sake
أجمع	je collectionne	agreed
أجمل	le plus beau	the most beautiful
أجنبية	etranger	foreign
أجنحة	des ailes	sections
أجهزة	appareils	equipment
أحادي	mono	single
أحاديث	hadiths	ahaadeeth
أحب	j&#39;aime	the most loved
أحجية	puzzle	mystery
أحد	un	one of
أحداث	les événements	event
أحدث	le dernier	the latest
أحدهم	quelqu&#39;un	one of them
أحدهما	l&#39;un d&#39;eux	one of them
أحزاب	fêtes	parties
أحسن	mieux	best
أحكام	dispositions	decisions
أحلام	rêves	ahlam
أحمد	ahmed	ahmed
أحمدي	ahmadi	ahmade
أحمر	rouge	red
أحوال	les conditions	matters
أحياء	vivant	districts
أحيان	parfois	sometimes
أحيانا	parfois	sometimes
أحياناً	parfois	often
أحيانًا	parfois	sometimes
أخاه	son frère	his brother
أخبار	actualités	news
أخت	sœur	sister
أخته	sa soeur	his sister
أخذ	a pris	take
أخذت	elle a pris	took
أخر	un autre	another
أخرج	je sors	go out
أخرى	autre	other
أخطاء	des erreurs	mistakes
أخطر	le plus dangereux	the most serious
أخلاقية	éthique	morality
أخوه	son frère	his brother
أخيرا	enfin	finally
أخيه	son frère	his brother
أخيون	frère	achaens
أداء	effectuer	performance
أداة	outil	tool
أدب	littérature	literature
أدبية	littéraire	literary
أدت	led	resulted
أدخل	entrer	have been entered
أدرك	réaliser	realized
أدلة	preuve	evidences
أدناه	ci-dessous	down
أدنى	le plus bas	lowest
أدوار	manches	roles
أدولف	adolf	adolf
أدوية	médicaments	drugs
أدى	led	resulted
أدّت	effectué	it caused
أدّى	effectué	led to
أذربيجان	azerbaïdjan	azerbaijan
أراد	recherché	wanted
أرادت	elle voulait	wants to
أراض	terres	territories
أراضي	terres	lands
أراضيها	son territoire	lands
أرباع	quartiers	quarters
أربع	quatre	four
أربعة	quatre	four
أربعين	quarante	forty
أرجاء	déférent	sides
أرخبيل	archipel	archipelago
أرخميدس	archimède	archimed
أرسطو	aristote	aristo
أرسل	envoyer	he sent
أرسلان	arslan	arsalan
أرسلت	envoyé	sent
أرسله	envoyez-le	sent him
أرض	terrain	land
أرضية	étage	earth
أرقام	les chiffres	numbers
أركان	piliers	arkan
أرمينيا	arménie	armenia
أزمة	crise	crisis
أس	as	s
أسابيع	semaines	weeks
أساس	base	basis
أساسا	fondamentalement	originally
أساساً	fondamentalement	base
أساسي	essentiel	main
أساسيا	essentiel	essentially
أساسية	basique	essential
أساسًا	fondamentalement	principally
أساليب	les méthodes	methods
أسامة	osama	osama
أسباب	raisons	reasons
أسبانيا	l&#39;espagne	spain
أسبوع	une semaine	week
أستاذ	professeur	professor
أستراليا	australie	australia
أسد	un lion	asad
أسر	les familles	families
أسرار	secrets	secrets
أسرة	famille	family
أسرته	sa famille	his family
أسرع	plus rapide	the quickest
