$	$	dollars
+	+	+ (plus)
=	=	=
==	==	==
|	|	|
°	° °	degrees
°م	° c	°c
آثار	ipa	ruins
آثارها	awọn ipa rẹ	its antiques
آخر	omiiran	last
آخرها	awọn julọ to ṣẹṣẹ	last one
آخرون	awọn miiran	others
آخرين	awọn ẹlomiran	others
آخيل	achilles	acheles
آدم	adam	adam
آراء	awọn imọran	opinions
آسكي	ascii	ascian
آسيا	esia	asia
آشوربانيبال	ashurbanipal	ashorbanibal
آل	awọn	the
آلات	awọn ẹrọ	tools
آلاف	ẹgbẹẹgbẹrun	thousands
آلام	iya naa	pain
آلة	ẹrọ	machine
آلهة	awọn ọlọrun	gods
آلية	siseto	mechanism
آمن	aabo	safe
آمنة	ailewu	amina
آمون	amoni	amon
آن	iyẹn	the same time
آنذاك	ni igba na	by then
آي	ewo ni	i
آيات	awọn ẹsẹ	quran verses
آية	ẹsẹ	verse
أ	a	a
أئمة	awọn imam	leaders
أب	bàbá	august
أبا	oppa	aba
أباتيت	apatite	apatit
أباه	baba re	his father
أبحاث	iwadi	researches
أبدا	bẹrẹ	never
أبداً	bẹrẹ	at all
أبدًا	bẹrẹ	never
أبرز	ohun akiyesi julọ	most conspicuous
أبرزها	ohun akiyesi julọ	the most obvious of them
أبريل	oṣu kẹrin	april
أبطال	awọn aṣaju-ija	heroes
أبعد	jinna	far
أبناء	ọmọ	sons
أبنائه	awọn ọmọ rẹ	his sons
أبو	abu	abou
أبواب	ilekun	gates
أبوظبي	abu dhabi	abu dhabi
أبوه	bàbá r.	his father
أبى	baba mi	dad
أبي	baba mi	father of
أبيب	tẹli	aviv
أبيه	baba re	his father
أتاتورك	ataturk	atatork
أتباع	atẹle	followers
أتباعه	awọn ọmọlẹhin rẹ	his followers
أتت	o wa	came
أتى	wa	came up
أثار	ipa	effected
أثارت	aro	provoked
أثبت	safihan	proofed
أثبتت	ṣe afihan	proved
أثر	ipa	effect
أثرت	fowo	affect
أثره	ipa rẹ	his trace
أثرية	atijọ	antique
أثناء	lakoko	during
أثينا	athena	athene
أجبر	fi ipa mu	forced
أجرام	ilufin	celestial bodies
أجراها	ṣe nipasẹ	conducted by the
أجرى	lọ sáré	conducted
أجريت	ti oludari	conducted
أجزاء	awọn ẹya	parts
أجسام	ara	bodies
أجل	bẹẹni	sake
أجمع	mo gba	agreed
أجمل	ẹwà julọ	the most beautiful
أجنبية	ajeji	foreign
أجنحة	iyẹ	sections
أجهزة	awọn ẹrọ	equipment
أحادي	ẹyọkan	single
أحاديث	awọn aditi	ahaadeeth
أحب	mo nifẹ	the most loved
أحجية	ere idaraya	mystery
أحد	ọkan	one of
أحداث	iṣẹlẹ	event
أحدث	titun	the latest
أحدهم	ẹnikan	one of them
أحدهما	ọkan ninu wọn	one of them
أحزاب	awọn ẹgbẹ	parties
أحسن	dara julọ	best
أحكام	awọn ipese	decisions
أحلام	awọn àlá	ahlam
أحمد	ahmad	ahmed
أحمدي	ahmadi	ahmade
أحمر	pupa	red
أحوال	awọn ipo	matters
أحياء	isedale	districts
أحيان	nigba miiran	sometimes
أحيانا	nigba miiran	sometimes
أحياناً	nigba miiran	often
أحيانًا	nigba miiran	sometimes
أخاه	arakunrin rẹ	his brother
أخبار	awọn iroyin	news
أخت	arabinrin	sister
أخته	arabinrin rẹ	his sister
أخذ	yiya	take
أخذت	mo mu	took
أخر	omiiran	another
أخرج	jade	go out
أخرى	omiiran	other
أخطاء	awọn aṣiṣe	mistakes
أخطر	lewu julo	the most serious
أخلاقية	eya	morality
أخوه	arakunrin	his brother
أخيرا	lakotan	finally
أخيه	arakunrin rẹ	his brother
أخيون	arakunrin	achaens
أداء	imuṣere	performance
أداة	ohun elo kan	tool
أدب	litireso	literature
أدبية	ikawe	literary
أدت	gba	resulted
أدخل	tẹ	have been entered
أدرك	ṣẹ	realized
أدلة	awọn amọran	evidences
أدناه	ni isalẹ	down
أدنى	o kere ju	lowest
أدوار	ogbeni	roles
أدولف	adágún	adolf
أدوية	àwọn òògùn	drugs
أدى	gba	resulted
أدّت	gba	it caused
أدّى	ṣe	led to
أذربيجان	azerbaijan	azerbaijan
أراد	fẹ	wanted
أرادت	o fe	wants to
أراض	awọn ilẹ	territories
أراضي	awọn ilẹ	lands
أراضيها	ilẹ agbegbe rẹ	lands
أرباع	awọn mẹẹdogun	quarters
أربع	mẹrin	four
أربعة	mẹrin	four
أربعين	mẹrin	forty
أرجاء	deferent	sides
أرخبيل	archipelago	archipelago
أرخميدس	archimedes	archimed
أرسطو	aristotle	aristo
أرسل	firanṣẹ	he sent
أرسلان	arslan	arsalan
أرسلت	mo si rán	sent
أرسله	firanṣẹ	sent him
أرض	ilẹ	land
أرضية	ilẹ	earth
