ab	un b	ab
abba	abba	abba
abbas	abbas	abbas
abbey	une abbaye	abbey
abc	abc	abc
abort	avortement	abortion
aborter	avortements	abortions
about	om	about
abraham	abraham	abraham
absint	absinthe	absinthe
absolut	absolument	absolute; total
absoluta	absolu	absolute
absolution	absolution	absolution
absorberas	absorbé	(gets) absorbed
abstrakta	abstrait	abstract
abu	abu	abu
ac	ac	ac
academy	académie	academy
acceptera	j&#39;accepte	accept
accepterad	accepté	acceptable
accepterade	accepté	accepted
accepterar	j&#39;accepte	accepts
accepterat	accepté	accepted
acdc	ac dc	ac/dc
action	action	action
ad	un d	ad
adam	adam	adam
adams	adams	adams
adeln	nobles	nobility
adhd	adhd	adhd
adjektiv	adjectif	adjective
administration	administration	administration
administrationen	administration	administration
administrativ	administratif	administration
administrativa	administratif	administrative
administrativt	administrativement	administrative
adolf	adolf	adolf
adolfs	adolf	adolf's
adrian	adrian	adrian
advokat	avocat	lawyer
af	un f	of (old swedish)
affärer	entreprise	business
afghanistan	afghanistan	afghanistan
africa	afrique	africa
afrika	afrique	africa
afrikaner	africains	africans
afrikansk	africain	african
afrikanska	africain	african
afrikas	afrique	africa's
afrodite	afrodite	afrodite
aftonbladet	cnn	aftonbladet
age	âge	age
agent	agent	agent
agera	acte	act
agerande	comportement	acting
aggressiv	agressif	aggressive
agnes	agnès	agnes
agnetha	agnetha	agnetha
agnosticism	agnosticisme	agnosticism
agnostiker	agnostique	agnostic
ahmed	ahmed	ahmed
aids	sida	aids
aik	-alk	aik
airlines	compagnies aériennes	airlines
airport	aéroport	airport
ajax	ajax	ajax
akademi	académie	academy
akademien	académie	the academy
akademiens	académie	the academy's
akademisk	académique	academical
akademiska	académique	academical
akc	akc	akc
akon	pharmacon	akon
akondroplasi	achondroplasie	achondroplasia
aktiebolag	société anonyme	companies
aktier	actions	stock
aktiv	actif	active
aktiva	actif	active
aktivitet	activité	activity
aktiviteten	activité	activity
aktiviteter	activités	activities
aktivt	actif	actively
aktuell	actuel	current
aktuella	actuel	current
aktuellt	actuel	current
aktörer	acteurs	players
akut	aigu	acute
al	al	alder
alan	alan	alan
alaska	alaska	alaska
albaner	albanais	albanians
albanien	albanie	albania
albanska	albanais	albanian
albert	albert	albert
album	album	album
albumen	album	the albums
albumet	album	album
albumets	album	album's
alces	alces	alces
aldrig	jamais	never
ale	ale	ale
alex	alex	alex
alexander	alexandre	alexander
alexanders	alexandres	alexanders
alexandra	alexandra	alexandra
alexandria	alexandrie	alexandria
alf	alf	alf
alfa	alpha	alpha
alfabet	alphabet	alphabets
alfabetet	alphabet	alphabet
alfabetisk	alphabétique	alphabetical
alfred	alfred	alfred
alger	alger	algaes
algeriet	algérie	algeria
ali	ali	ali
alice	alice	alice
alkohol	de l&#39;alcool	alcohol
alkoholer	alcools	alcohols
alla	tout	all
allan	allan	allan
alldeles	droite	completely
allen	allen	allen
allians	alliance	alliance
alliansen	alliance	the alliance
allierad	allié	allied
allierade	allié	allied
allierades	allié	allied's
allmän	général	general
allmänhet	publique	in general
allmänheten	le public	public
allmänna	général	general
allmänt	généralement	commonly
allra	très	very
alls	du tout	all
allsvenskan	allsvenskan	allsvenskan
allt	tout	all
alltför	aussi	all too
alltid	toujours	always
allting	tout	everything
alltjämt	encore	remains
alltmer	de plus en plus	increasingly
alltsedan	puisque	even since
alltså	en d&#39;autres termes	so
allvar	sérieusement	earnest
allvarlig	sérieux	serious
allvarliga	sérieux	serious
allvarligt	sérieusement	serious
alperna	alpes	alps
alqaida	al-quaïda	al-qaida
alternativ	alternative	alternative
alternativa	alternative	alternative
alternativt	alternativement	alternatively
aluminium	aluminium	aluminum
am	un m	am
amazonas	amazone	the amazon rainforest
ambassad	ambassade	embassy
ambitioner	ambitions	ambitions
america	amérique	america
american	américain	american
amerika	amérique	america
amerikanen	américain	american
amerikaner	les américains	american
amerikanerna	les américains	the americans
amerikansk	américain	american
amerikanska	nous	american
amerikanske	américain	american
amerikanskt	américain	american
amerikas	amérique	america
amfetamin	amphétamine	amphetamine
aminosyra	acide aminé	amino acid
aminosyror	acides aminés	amino acids
ammoniak	ammoniac	ammonia
amsterdam	amsterdam	amsterdam
amy	amy	amy
ana	ana	feel
analsex	anal	anal sex
analys	une analyse	analysis
analytisk	analytique	analytical
analytiska	analytique	analytical
anarkism	anarchisme	anarchism
anarkismen	anarchisme	the anarkism
anarkister	anarchistes	anarchists
anarkistiska	anarchiste	anarchistic
anatolien	anatolien	anatolia
anatomi	anatomie	anatomy
anc	anc	anc
anda	esprit	spirit
andas	respirer	breath
ande	esprit	of
andel	partager	share
andelen	pourcentage	share
