$	$	your
+	+	+
<i>	<i>	me
<i><i>	<i><i>	<me><i>
<wareega	<wareega	<round
=	=	=
==	==	==
===xoriyadii	=== freiheit	===xoriyadii
a	ein	a
aa	ein	he was
aaayadda	vers	aaayadda
aabaha	der vater	father
aabahayo	unser vater	aabahayo
aabbe	vater	father
aabbihii	sein vater	father
aabbihiis	sein vater	his father
aabe	vater	father
aabihii	der vater	his father
aabihiina	mein vater	aabihiina
aabihiis	sein vater	his father
aabihiisna	sein vater	aabihiisna
aad	sie	you
aada	gehen	walk on to
aadam	menschheit	adam
aadamka	menschen	human being
aadamuhu	menschheit	deprived
aadan	sie	you do
aadanaha	menschen	human
aadanuhu	menschen	human
aaday	ging	he went to
aaden	du gingst	aden
aadey	weg	out where
aadka	sehr	toss
aadna	gehen	and
aado	gehen	to go to
aafo	eine krise	disaster
aagga	bereich	area
aaggii	das gebiet	aaggii
aakhiraa	im jenseits	aakhirraa
aakhiraba	im jenseits	hereafter
aakhirana	im jenseits	next
aakhiro	im jenseits	hereafter
aakhiroba	das jenseits	speak evil things
aalacimraan	sie sind weg	aalacimraan
aalo	ein werkzeug	questions about
aamdiga	bekenntnis	aamdiga
aamin	vertrauen	secure
aaminaan	glauben	trust
aamini	vertrauenswürdig	trust
aamino	glauben	a
aaminsan	glauben	believe
aaminsanyahay	glaube mir	thought
aaminsanyihiin	glauben	emotions
aamisan	glaube es	believe that
aammiin	vertrau mir	amen
aamus	sei ruhig	silence
aan	nicht	i
aanan	ich habe nicht	i
aanay	sie haben nicht	not
aannaan	wir haben nicht	we
aannu	uns	we
aanu	barmherzigkeit	not
aanuu	ohne	does not
aar	aar	revenge
aargoosi	rache	revenge
aas	beerdigung	bury
aasaar	beerdigung	aasaar
aasaarta	beerdigung	aasaarta
aasaartan	diese stiftung	ancient
aasaasaha	der gründer	aasaasaha
aasaasay	gegründet	he founded
aasaasayaasha	gründer	founders of
aasaasayaashii	die gründer	founders of
aasaasi	basic	basic
aasaasiga	basic	the fundamental
aasaasihii	gründer	of
aasaaska	die grundlage	foundation
aasaaskii	die grundlage	the foundation
aasaastay	gegründet	laid the foundation of
