ab	аб	Nan
pund	фунта	Nan
punk	пунк	Nan
punkt	тачка	None
punkten	тачка	None
punkter	бодова	None
purple	љубичаста	Nan
puls	пулс	Nan
pythagoras	питагора	None
pär	перла	Nan
på	на	None
påbörjade	започео	None
påbörjades	започео	None
påbörjas	почети	Nan
påföljande	накнадно	None
päls	крзно	Nan
puerto	пуерто	Nan
pucken	пак	None
publik	публика	None
psykologin	психологија	None
psykologisk	психолошки	Nan
psykologiska	психолошки	Nan
psykos	психоза	Nan
psykosen	психоза	Nan
psykoser	психозе	Nan
psykoterapi	психотерапија	Nan
psykotiska	психотичан	Nan
publicera	објавити	Nan
publicerad	објављено	None
publicerade	објављено	None
publicerades	објављено	None
publiceras	објављено	None
publicerat	објављено	None
publiceringen	издаваштво	Nan
pågick	отишао	None
psykologi	психологија	None
pågående	у току, сталан	Nan
påminde	подсетио	Nan
påverkat	под утицајем	Nan
påverkats	под утицајем	Nan
påvisa	демонстрирати	Nan
q	к	Nan
queen	краљица	None
queens	краљице	None
påverkas	под утицајем	Nan
rachel	рацхел	Nan
rad	ред	None
radie	радијус	Nan
radikala	радикалан	Nan
radikalt	радикално	Nan
radio	радио	None
radioaktiva	радиоактивни	Nan
rachels	рацхел	Nan
påverkar	утицати	Nan
påverkan	утицај	None
påverkades	под утицајем	Nan
påminner	подсећа	None
påsk	васкрс	Nan
påsken	васкрс	Nan
påstod	тврдио	None
påstådda	наводно	None
påstående	изјава	None
påståenden	тврдње	None
påstår	државе	None
påstås	наводно	None
påtagligt	приметно	Nan
påtryckningar	притисак	None
påven	папа	None
påverka	утицати	Nan
påverkad	под утицајем	Nan
påverkade	под утицајем	Nan
pågår	у току	Nan
psykiskt	ментално	Nan
psykiska	видовњак	Nan
psykisk	психолошки	Nan
produceras	произведено	Nan
producerat	произведено	Nan
producerats	произведено	Nan
produkt	производ	None
produkten	производ	None
produkter	производи	None
producerar	производњу	None
produktion	производња	None
produktiv	продуктиван	Nan
professionell	професионални	None
professionella	професионални	None
professor	професор	None
professorn	професор	None
profet	посланиче	Nan
produktionen	производња	None
producerades	произведено	Nan
producerade	произведено	Nan
producerad	произведено	Nan
privata	приватно	Nan
privatliv	приватност	Nan
privilegier	привилегија	Nan
privilegium	привилегија	Nan
