aajo	హాస్యాస్పదంగా	Nan
púpò	కాకుండా	None
púpo	ఎక్కువ	None
pò	రెట్లు	None
pòwe	సామెతలు	None
pípẹ́	దీర్ఘ	None
pípèsè	నియమం	None
pípa	స్లాటర్	Nan
péé	ఆ	None
péré	మాత్రమే	None
pé	ఆ	None
pèsè	అందించిన	None
quran	quran	Nan
pèlúpèlú	అలాగే	None
pèhìndà	వీర్యం	Nan
pè	అని	None
pátáporongodo	ఖచ్చితంగా	Nan
pásíà	నేలమాళిగ	Nan
pàápàá	ముఖ్యంగా	None
pààlà	సరిహద్దు	None
pàràkòyí	తక్షణమే	Nan
pàmò	ప్రత్యేకంగా	None
px|kùránì	కెర్నల్	None
pupa	ఎరుపు	None
príncipe	ప్రిన్సిపి	Nan
pèlu	పాటు	None
providence	భగవత్	Nan
ra	కొనుగోలు	None
rajya	ఆశిస్తున్నాము	Nan
rome	క్రోమ్	Nan
roma	రోమా	Nan
roko	మాబ్	Nan
rokirika	బ్రౌజింగ్	Nan
rogbodiyan	అల్లర్లు	Nan
roboto	ఉపరితలాలు	Nan
robinson	రాబిన్సన్	Nan
ro	అనుకుంటున్నాను	Nan
rnas	rnas	Nan
rnarna	rnarna	Nan
rna	rna	Nan
race	రేసు	Nan
rn	rn	Nan
riresile	రికార్డర్	Nan
rinle	కొత్తగా	None
right|thumb|px|aworan	చిత్రం	None
richard	రిచర్డ్	None
research	పరిశోధన	None
rere	మంచిది	None
repetejulo	అత్యంత	None
repeats	రిపీట్స్	Nan
reggae	రెగె	Nan
rank	ర్యాంక్	Nan
ramadan	రంజాన్	None
riro	ఊహ	None
ronald	రోనాల్డ్	Nan
proton	ప్రోటాన్	Nan
produced	ఉత్పత్తి	None
palauan	పాలుఆన్	Nan
padá	పాడ్	Nan
paapaa	ముఖ్యంగా	None
paa	ఆపివేయండి	Nan
opolo	అనేక	None
ofò	శుభోదయం	Nan
oyé	ప్రపంచం	None
ose	ose	Nan
opolo	అనేక	None
omonìyàn	మనుషులు	None
olorun	దేవుడు	None
panaˈma	పనామా	Nan
odun	వార్షిక	None
olórun	దేవుడు	None
okùnrín	నవ్వు	Nan
ojó	పడుతుంది	None
odún	సంవత్సరం	None
oúnjẹ	ఆహార	None
owojagidijagan	తీవ్రవాదుల	Nan
oun	అతను	None
otutu	అనేక	None
otherwise	లేకపోతే	None
oseluarailu	పౌర	None
oscar	ఆస్కార్	Nan
olósìn	మత	None
protokolu	protocolu	Nan
panyanan	స్పేస్	None
parapọ̀	మిశ్రమం	None
press	పత్రికా	None
portuguese	portuguese	Nan
portonovo	portonovo	Nan
population	జనాభా	None
polaroid	పోలరాయిడ్	Nan
polandi	పోలిష్	Nan
pojulo	ఎత్తైన	Nan
po	పో	Nan
plánẹ́tì	ప్లంబింగ్	Nan
platos	ప్లేటో	None
