$	$	dollar
+	+	+
<	&lt;	<
=	=	=
ab	ab	ab
abad	yüzyıl	the century
abadi	sonsuz	eternal
abang	erkek kardeş	older brother
abarai	abarai	abarai
abbas	başrahip	abbas
abbasiyah	abbasiyah	abbasid
abbasiyyah	abbasiyyah	abbasiyyah
abc	a b c	abc
abdi	hizmetçi	servant
abdul	abdul	abdul
abdullah	abdullah	abdullah
abdulmalik	abdülmelik	abdul-malik
abdurrahman	abdurrahman	abdurrahman
abendanon	abendanon	abendanon
abi	abi	abi
abidin	abidin	abidin
abiotik	abiyotik	abiotic
abjad	alfabe	alphabet
abnormal	anormal	abnormal
aborsi	kürtaj	abortion
abortion	kürtaj	abortion
abortus	kürtaj	abortion
about	hakkında	about
abraham	ibrahim	abraham
abri	abri	military
absolut	kesin	absolute
abstrak	öz	abstract
abstraksi	soyutlama	abstraction
abu	kül	[name]
abuabu	gri	gray
abul	abul	abul
ac	klima	ac
acak	rasgele	random
acara	etkinlik	occasion
acaraacara	etkinlik	occasions
accelerator	gaz pedalı	accelerator
access	giriş	access
account	hesap	account
accountant	muhasebeci	accountant
accountants	muhasebeciler	accountants
accounting	muhasebe	accounting
ace	as	ace
aceh	aceh	aceh
achmad	achmad	achmad
acid	ac kimliği	acid
act	davranmak	act
acuan	referans	reference
ad	ilan	ad
ada	var	there is
adalah	dır-dir	is
adam	adem	adam
adams	adams	adams
adanya	dır-dir	there is
adaptasi	adaptasyon	adaption
adaptif	adaptif	adaptive
adapun	gelince	as for
adat	görenek	tradition
address	adres	address
adegan	faliyet alani, sahne	scene
adi	adi	adi
adidas	adidas	adidas
adik	kız kardeş	sister
adiknya	erkek kardeşi	his/her younger brother/sister
adiktif	bağımlılık yapan	addictive
adil	fuar	fair
adipati	dük	duke
administrasi	yönetim	administration
administratif	yönetim	administrative
administrator	yönetici	administrator
adobe	adobe	adobe
adolf	adolf	adolf
adsl	adsl	adsl
adu	adu	compete
advokat	savunucu	advocate
aedes	aedes	aedes
