<i>	<i>	Nan
промислове	industrial	None
промисловий	industrial	None
промислових	industrial	None
промислового	industrial	None
промисловості	industrie	None
промислової	industrial	None
промислові	industrial	None
промисловість	industrie	None
проникнення	penetrație	Nan
пропаганди	propagandă	None
проповіді	predici	Nan
пропозицію	oferi	None
пропозиція	oferi	None
пропозицією	propunere	Nan
пропозиції	promoții	Nan
пролетаріату	a proletariatului	Nan
пройшов	a trecut	Nan
пройшли	a trecut	Nan
пройшла	a trecut	Nan
продукції	produse	None
проект	proiect	None
проекти	proiecte	None
проектом	proiect	None
проекту	proiect	None
проектування	proiect	None
проектів	proiecte	None
пропонує	promoții	Nan
проживали	trăit	None
проживають	trăi	None
проживає	vieți	None
проза	proză	None
прозаїк	prozator	None
прози	proză	None
прозі	proză	None
пройти	trece	None
проживання	şedere	Nan
продукція	produs	None
просвіта	lumen	Nan
проспект	prospect	Nan
протилежних	opus	None
протиріччя	contradicţie	Nan
протистояння	opoziţie	Nan
протоки	strâmtori	Nan
протоколу	protocol	None
протокою	strâmtoare	Nan
протон	protoni	None
протонів	protonii	Nan
протягом	pentru	None
протяжність	lungime	None
протікає	fluxurile	Nan
проф	prof	None
професора	profesor	None
професійний	profesional	Nan
професійних	profesional	Nan
противника	dusmanul	Nan
противагу	contragreutate	Nan
проти	împotriva	None
протесту	protest	None
простежується	poate fi urmarit	Nan
простий	simplu	None
простих	simplu	None
просто	pur şi simplu	Nan
простори	spații	None
простору	spaţiu	Nan
просторі	spaţiu	Nan
просвітництва	iluminism	Nan
простої	inactiv	Nan
прості	simplu	None
простір	spaţiu	Nan
просування	promovare	None
проте	dar	None
протекторат	protectorat	Nan
протест	protest	None
протестантизму	protestantism	Nan
простягається	extinde	None
професійної	profesional	Nan
продукцію	produse	None
продукту	produs	None
проводити	conduce	None
проводить	a conduce	Nan
проводиться	se efectuează	Nan
проводом	sârmă	Nan
проводу	sârmă	Nan
проводять	petrece	None
проводяться	sunt tinuti	Nan
провів	a petrecut	Nan
провідна	conducere	None
провідне	conducere	None
провідника	conductor	Nan
провідним	conducere	None
провідними	conducere	None
провідних	conducere	None
провідною	conducere	None
проводилися	au fost conduse	Nan
проводили	efectuat	None
проводилася	a fost dirijat	Nan
проводився	a fost dirijat	Nan
приєднання	acces	None
про	despre	None
проблем	probleme	None
проблема	problemă	None
проблемами	probleme	None
проблеми	probleme	None
проблемою	problemă	None
провідну	conducere	None
проблему	problemă	None
проведення	efectuarea	None
проведенні	conducție	Nan
проведено	efectuat	None
проведені	efectuat	None
провели	a petrecut	Nan
провести	a cheltui	Nan
проводив	efectuat	None
проведена	efectuat	None
продуктів	produse	None
провідні	conducere	None
провінція	provincie	None
продовженням	continuare	None
продовжив	a continuat	Nan
продовжував	a continuat	Nan
продовжувала	a continuat	Nan
продовжували	a continuat	Nan
продовжувати	continua	None
продовжують	continua	None
продовжує	continuă	None
продовжується	continuă	None
продукт	produs	None
продукти	produse	None
продуктивних	productiv	Nan
продуктивності	productivitate	Nan
продуктивність	productivitate	Nan
продуктом	produs	None
продовження	continuare	None
продажу	vânzări	None
продаж	de vânzare	Nan
прогресу	progres	Nan
провінції	provincii	None
проголосив	proclamată	Nan
проголосила	proclamată	Nan
проголосили	proclamată	Nan
проголошення	proclamare	Nan
проголошено	proclamată	Nan
програм	programe	None
провінцій	provincii	None
програма	program	None
програмне	software-ul	Nan
програмного	software	None
програмою	program	None
програму	program	None
програмування	programare	None
програмі	program	None
прогрес	progres	Nan
програми	programe	None
професійні	profesional	Nan
прохання	cerere	None
проходження	trecere	None
піднебіння	cerul gurii	Nan
піднесення	exaltare	Nan
підпис	semnătură	Nan
підписав	semnat	None
підписали	semnat	None
підписання	semnătură	Nan
підпорядкування	subordonare	Nan
підприємництва	antreprenoriat	Nan
підприємств	întreprinderi	None
підприємства	întreprinderi	None
підприємствами	întreprinderi	None
підприємствах	întreprinderi	None
підприємство	afacere	Nan
підпілля	subteran	Nan
підрахунками	calcule	Nan
підлягає	supus	None
підлягають	supus	None
підземні	subteran	Nan
підземних	subteran	Nan
північну	de nord	Nan
північні	de nord	Nan
північній	de nord	Nan
півонія	bujor	Nan
півострова	peninsulă	Nan
півострові	peninsulă	Nan
півострів	peninsulă	Nan
підрозділ	unitate	None
півфінал	semi finala	Nan
підвищення	crește	None
підводних	sub apă	Nan
підготовка	preparare	Nan
підготовки	instruire	Nan
підготовку	instruire	Nan
підготовці	preparare	Nan
піддається	expuse	None
під	sub	Nan
північної	de nord	Nan
підрозділи	unități	None
підручник	manual	None
підтримці	a sustine	Nan
підходи	abordari	Nan
підходу	abordare	None
підходів	abordari	Nan
підхід	abordare	None
пізнання	cunoştinţe	Nan
пізнати	să știu	Nan
пізно	târziu	None
пізнього	de târziu	Nan
пізній	târziu	None
пізніше	mai tarziu	Nan
пізніше 	mai tarziu	Nan
пізніших	mai tarziu	Nan
пізніші	mai tarziu	Nan
пікассо	picasso	None
підтримує	suporturi	Nan
підтримують	a sustine	Nan
підтримувати	a sustine	Nan
підтримували	sprijinit	None
підручники	manuale	Nan
підсистема	subsistemul	Nan
підстави	motive	None
підставою	bază	None
підставі	motive	None
підсумками	rezultate	None
підтвердження	confirmare	Nan
підрозділів	unități	None
підтверджують	a confirma	Nan
підтримання	întreținere	Nan
підтримка	a sustine	Nan
підтримки	a sustine	Nan
підтримкою	a sustine	Nan
підтримку	a sustine	Nan
підтримував	sprijinit	None
підтримувала	sprijinit	None
підтримали	sprijinit	None
північносхідній	nord-est	Nan
північному	nord	None
північнозахідній	nord vest	Nan
прямих	direct	None
прямо	direct	None
прямого	direct	None
прямої	drept	None
прямі	direct	None
прізвисько	poreclă	Nan
прізвища	numele de familie	Nan
прізвище	nume	None
пріоритет	prioritate	None
психологічних	psihologic	Nan
психологія	psihologie	None
психології	psihologie	None
психіки	psyche	Nan
птахи	păsări	None
птахів	păsări	None
прямим	direct	None
прямий	direct	None
пряма	drept	None
проявів	manifestări	None
проходив	a trecut	Nan
проходили	a trecut	Nan
проходить	a trece	Nan
проходять	trece	None
процедури	proceduri	Nan
процес	proces	None
процесами	procese	None
публікацій	publicații	None
процесах	procese	None
процесом	proces	None
процесора	procesor	Nan
процесу	proces	None
процесі	proces	None
процесів	procese	None
прояви	manifestări	None
проявляється	se manifestă	Nan
процеси	procese	None
публікації	publicații	None
публіцист	publicist	Nan
публічних	public	None
південної	sudic	None
південну	sudic	None
південні	sudic	None
південній	sudic	None
південь	sud	None
півдня	jumătate din zi	Nan
півдні	sud	None
південносхідної	sud est	Nan
півдні 	sud	Nan
півночі	nord	None
північ	nord	None
північна	de nord	Nan
північне	de nord	Nan
північний	de nord	Nan
північних	de nord	Nan
північного	de nord	Nan
півкулі	emisferă	Nan
причорноморї	coasta mării negre	Nan
південному	sudic	None
південного	sudic	None
пункт	articol	None
пункти	articole	None
пунктів	articole	None
пустелі	deşert	Nan
пушкін	pușkin	None
пушкіна	pușkin	None
пшениця	grâu	None
південнозахідній	sud-vest	Nan
пшениці	grâu	None
пять	cinci	None
пєс	câine	None
пєса	câine	None
пєси	joacă	None
південна	sudic	None
південний	sudic	None
південних	sudic	None
пяти	cinci	None
пір	apoi	None
причорноморя	coasta mării negre	Nan
причиною	motivul	None
прагнення	dorință	None
прагнув	căutat	None
прагнула	tânjit	Nan
прагнули	căutat	None
прагнуть	a strădui	Nan
прагнучи	strădanie	Nan
празі	proză	None
практика	practică	None
практики	practici	None
практику	practică	None
практиці	practică	None
практичне	practic	None
практичних	practic	None
практично	practic	None
практичної	practic	None
прагне	aprindea	Nan
праві	dreapta	None
праву	dreapta	None
православя	ortodoxie	Nan
правобережжя	banca potrivită	Nan
правобережжі	banca potrivită	Nan
правова	legal	None
правових	legal	None
правової	legal	None
правом	dreapta	None
правому	la dreapta	Nan
прапор	steag	None
правопис	ortografie	None
праворуч	dreapta	None
православна	ortodox	None
православний	ortodox	None
православних	ortodox	None
православного	ortodox	None
православної	ortodox	None
православні	ortodox	None
правопису	ortografie	None
право	dreapta	None
прапора	steag	None
працею	muncă	None
представлений	a prezentat	Nan
представлення	reprezentare	None
представлено	a prezentat	Nan
представлені	a prezentat	Nan
представляли	reprezentate	None
представляють	reprezinta	Nan
представляє	reprezentări	None
представник	reprezentant	None
представника	reprezentant	None
представниками	reprezentanții	None
представники	reprezentanții	None
представником	reprezentant	None
представників	reprezentanții	None
представництва	reprezentare	None
представництво	reprezentare	None
представлена	a prezentat	Nan
предметів	articole	None
предметом	subiect	None
предмети	articole	None
праць	spalare	Nan
працю	muncă	None
працював	a lucrat	Nan
працювала	a lucrat	Nan
працювали	a lucrat	Nan
працювати	muncă	None
працюють	muncă	None
прапором	steag	None
працює	lucru	None
працях	lucrări	None
праці	muncă	None
працівників	angajați	None
предки	strămoși	None
предків	strămoși	None
предмет	subiect	None
предмета	subiect	None
праця	muncă	None
президент	președinte	None
правління	regulă	None
правителів	conducători	None
починаючи	pornire	Nan
починає	începe	None
починається	începe	None
почуття	sentiment	None
почуттів	sentimente	None
поширена	pe scară largă	Nan
поширений	uzual	Nan
поширеним	uzual	Nan
поширенню	răspândire	None
поширення	răspândire	None
поширенням	răspândire	None
поширені	uzual	Nan
поширився	răspândire	None
поширилася	răspândire	None
поширилися	răspândire	None
починаються	începe	None
починають	începe	None
почесний	onorific	None
початок	început	None
похідні	derivați de	Nan
почав	a început	Nan
почався	a început	Nan
почала	a început	Nan
почалася	a început	Nan
почали	a început	Nan
почалися	a început	Nan
поширюються	sunt distribuite	Nan
почало	inceputul	Nan
початки	începuturi	None
початкова	iniţială	Nan
початковий	iniţială	Nan
початкових	iniţială	Nan
початкової	iniţială	Nan
початком	inceputul	Nan
початку	început	None
почалося	a început	Nan
правлячої	guvernare	None
поширюється	se răspândește	Nan
поштовх	impuls	None
права	drepturile	None
правами	drepturile	None
правах	drepturile	None
правда	adevăr	None
правди	adevarul	Nan
правду	adevarul	Nan
правил	norme	None
правила	norme	None
правилами	norme	None
правило	regulă	None
правильний	corect	None
правильно	dreapta	None
правитель	rigla	Nan
правителя	conducatorul	Nan
правителі	conducători	None
прав	dreapta	None
поїздки	voiaj	Nan
поєднує	combine	Nan
поєднанні	combinaţie	Nan
пошук	căutare	None
пошуках	in cautarea	Nan
пошуки	căutare	None
пошуку	căutare	None
поява	aspect	None
появи	a apărut	Nan
появою	aspect	None
пошти	poștă	Nan
появу	aspect	None
пояснення	explicaţie	Nan
пояснити	a explica	Nan
пояснюють	explica	None
пояснює	explică	None
пояснюється	a explicat	Nan
поясу	curea	Nan
поєднання	combinaţie	Nan
пояс	curea	Nan
президента	presedintele	Nan
президентом	presedintele	Nan
президії	prezidiu	Nan
принципі	principiu	None
принципів	principii	None
припадає	conturi pentru	Nan
припинення	terminare	Nan
припинити	a opri	Nan
припускають	sugera	Nan
припущення	presupunere	Nan
природа	natură	None
природи	natură	None
природне	natural	None
природний	natural	None
природним	natural	None
природними	natural	None
природних	natural	None
природничих	natural	None
принципу	principiu	None
принципом	principiu	None
принципово	in principiu	Nan
принципи	principii	None
прикметник	adjectiv	None
прикметники	adjective	Nan
прикметників	adjective	Nan
прикраси	decoratiuni	Nan
прилади	dispozitive	None
примірників	copii	None
примітки	notițe	Nan
природного	natural	None
приміщення	camere	None
принаймні	macar	Nan
приналежність	afiliere	Nan
принесли	adus	None
приносить	a aduce	Nan
принцип	principiu	None
принципами	principii	None
принципах	principii	None
приміщенні	în interior	Nan
прикладів	exemple	None
природної	natural	None
природою	natură	None
притаманна	inerent	Nan
притаманний	caracteristică	None
притаманні	inerent	Nan
притоки	afluenți	None
прихильниками	suporteri	Nan
прихильники	suporteri	Nan
прихильників	suporteri	Nan
прихильність	favoare	Nan
приходить	a veni	Nan
приходом	sosire	Nan
приходу	sosire	Nan
причин	motive	None
причина	motiv	None
причинами	motive	None
причини	motive	None
присутній	prezent	None
присутні	prezent	None
присутня	este prezent	Nan
присутності	prezenţă	Nan
природу	natură	None
природі	natură	None
приросту	creştere	Nan
приріст	crește	None
присвятив	dedicat	None
присвячена	dedicat	None
присвячений	dedicat	None
природні	natural	None
присвячено	dedicat	None
прискорення	accelerare	Nan
прислівник	adverb	Nan
прислівники	adverbe	None
пристосування	adaptare	None
пристрої	dispozitive	None
пристроїв	dispozitive	None
пристрій	dispozitiv	None
присвячені	dedicat	None
прикладом	îmbinare	Nan
приклади	exemple	None
приклад	exemplu	None
приватна	privat	None
приватний	privat	None
приватними	privat	None
приватних	privat	None
приватного	privat	None
приватної	privat	None
приватні	privat	None
привела	led	Nan
привели	led	Nan
привело	led	Nan
приводить	a conduce	Nan
приводом	conduce	None
приводу	conduce	None
привілеї	privilegii	None
приголосний	consoană	None
прибуток	profit	Nan
прибутків	profit	Nan
прибутку	profit	Nan
приблизно	despre	None
прекрасне	minunat	Nan
премєра	premieră	None
премєрміністр	primul ministru	Nan
премєрміністра	prim-ministrul	Nan
премєрміністром	primul ministru	Nan
премію	adjudecare	Nan
премія	premiu	None
приголосних	consoane	Nan
премії	premii	None
пресвятої	cel mai sfânt	Nan
преси	prese	Nan
престол	tron	None
престолу	tron	None
пресі	presa	None
при	la	None
прибережних	de coastă	Nan
преса	presa	None
приголосні	consoane	Nan
придане	zestre	Nan
придбання	achiziţie	Nan
прийняв	admis	Nan
прийняла	admis	Nan
прийняли	admis	Nan
прийнята	admis	Nan
прийняти	a accepta	Nan
прийнятий	admis	Nan
прийнято	admis	Nan
приймає	acceptă	None
прийняття	adopţie	Nan
прийняті	admis	Nan
прийом	recepţie	Nan
прийоми	recepții	Nan
прийомів	recepții	Nan
прийшла	a venit	Nan
прийшли	a venit	Nan
прийшов	a venit	Nan
прийняттям	acceptare	Nan
причому	și	None
приймають	accept	Nan
призначені	destinate	None
придбати	cumpără	Nan
придніпровської	nipru	Nan
придушення	suprimare	Nan
приділяв	plătit	Nan
призвела	led	Nan
призвели	led	Nan
призвело	led	Nan
приймати	accept	Nan
призвести	conduce	None
призвів	led	Nan
призначає	numeste	Nan
призначається	este atribuit	Nan
призначений	proiectat	None
призначення	programare	None
призначенням	programare	None
призначено	alocate	Nan
призводить	oportunitati	Nan
пірамід	piramide	None
піраміда	piramidă	None
піраміди	piramide	None
рос	рос	Nan
роса	rouă	Nan
рослин	plante	None
рослини	plante	None
рослинний	vegetal	Nan
рослинного	vegetal	Nan
рослинності	vegetație	None
рослинність	vegetație	None
росте	creştere	Nan
рости	se dezvolta	Nan
росток	germina	Nan
