$	$	$
+	+	+
+x	+ x	+x
<i>	<i>	<i>
=	=	=
>	&gt;	>
a	a	and
aaron	aaron	aaron
ab	ab	and
abad	abt	abbot
abaty	abtei	abbey
aber	mündung	estuary
aberaeron	aberaeron	aberaeron
aberconwy	mündung	aberconwy
aberffraw	aberffraw	aberffraw
abergwaun	fischschutz	fishguard
abergwyngregyn	abergwyngregyn	abergwyngregyn
aberhonddu	brecon	brecon
aberpennar	mündung	mountain ash
abertawe	swansea	swansea
aberteifi	swansea	cardigan
aberthu	opfer	sacrifice
aberystwyth	aberystwyth	aberystwyth
about	über	about
above	oben	above
abraham	abraham	abraham
abrahamig	abrahamisch	abrahamic
abse	abse	abse
absenoldeb	abwesenheit	absence
ac	und	and
academaidd	akademisch	academic
academi	akademie	academy
academic	akademisch	academic
academy	akademie	academy
acen	akzent	accent
achau	stammbäume	genealogy
achlysur	anlass	event
achlysurol	gelegentlich	casual
achos	ursache	case
achosi	ursache	cause
achosion	ursachen	cases
achosir	verursacht	caused
achosodd	verursacht	caused
achoswyd	verursacht	caused
achub	speichern	save
acid	säure	acid
acknowledgements	anerkennungen	acknowledgements
aconcagua	aconcagua	aconcagua
acrocephalus	akrozephalus	acrocephalus
acronym	akronym	acronym
acropolis	akropolis	acropolis
act	handeln	act
actif	aktiv	active
actifadu	aktivierung	activation
actifedd	aktivismus	activity
actio	schauspiel	acting
actor	schauspieler	actor
actores	schauspielerin	actress
actorion	schauspieler	actors
acw	dort	there
acwstig	akustisch	acoustic
ad	ad	ad
adael	geh	leave
adain	flügel	wing
adam	adam	adam
adams	adams	adams
adar	vögel	birds
adawyd	links	left
add	hinzufügen	add
adda	versprechen	adam
addas	geeignet	suitable
addaswyd	angepasst	modified
addewid	versprechen	promise
addition	zusätzlich	addition
addo	versprechen	promise
addoli	anbetung	worship
addoliad	anbetung	worship
addolir	es wird angebetet	worshiped
addrefnu	einrichten	reorganize
addurno	dekoration	decorating
addysg	bildung	education
addysgol	pädagogisch	educational
addysgu	lehre	teaching
adeg	zeit	time
adegau	manchmal	times
adeilad	gebäude	building
adeiladau	gebäude	buildings
adeiladodd	er baute	built
adeiladu	bau	construction
adeiladur	struktur	building of
adeiladwaith	bau	construction
adeiladwyd	gebaut	built
adeiledd	struktur	structure
adennill	erholen	recovery
adenydd	flügel	wings
aderyn	ein vogel	bird
aderyndrycin	aderyndrycin	manx
adfeilion	ruinen	ruins
adfer	restaurierung	recovery
adferiad	erholung	recovery
adferwyd	erholt	recovered
adfywiad	wiederbelebung	regeneration
adler	adler	adler
adlewyrchu	reflektieren	reflect
adlewyrchur	reflektieren	adlewyrchur
adloniant	unterhaltung	entertainment
adlonni	unterhalten	entertain
adnabod	identifizierung	identification
adnabyddir	bekannt	known
adnabyddus	bekannt	known
adnewyddu	erneuerung	renewal
adnod	vers	verse
adnodd	ressource	resource
adnoddau	ressourcen	resources
adolf	adolf	adolf
adran	abschnitt	section
adrannau	abschnitte	sections
adref	zu hause	home
adria	adria	adria
adrianople	adrianopel	adrianople
adrodd	berichterstattung	report
adroddiad	bericht	report
adroddiadau	berichte	reports
adwaenir	bekannt	known
adwaith	reaktion	reaction
