$	$	dollar
+	+	+
<	&lt;	<
=	=	=
ab	ab	ab
abad	század	the century
abadi	örök	eternal
abang	fiú testvér	older brother
abarai	abarai	abarai
abbas	apát	abbas
abbasiyah	abbasiyah	abbasid
abbasiyyah	abbasiyyah	abbasiyyah
abc	a b c	abc
abdi	szolgáló	servant
abdul	abdul	abdul
abdullah	abdullah	abdullah
abdulmalik	abdulmalik	abdul-malik
abdurrahman	abdurrahman	abdurrahman
abendanon	abendanon	abendanon
abi	abi	abi
abidin	abidin	abidin
abiotik	abiotikus	abiotic
abjad	ábécé	alphabet
abnormal	rendellenes	abnormal
aborsi	magzatelhajtás	abortion
abortion	magzatelhajtás	abortion
abortus	magzatelhajtás	abortion
about	ról ről	about
abraham	abraham	abraham
abri	abri	military
absolut	abszolút	absolute
abstrak	absztrakt	abstract
abstraksi	absztrakció	abstraction
abu	hamu	[name]
abuabu	szürke	gray
abul	abul	abul
ac	légkondíciónálás	ac
acak	véletlen	random
acara	esemény	occasion
acaraacara	esemény	occasions
accelerator	gyorsító	accelerator
access	hozzáférés	access
account	számla	account
accountant	könyvelő	accountant
accountants	könyvelők	accountants
accounting	könyvelés	accounting
ace	ász	ace
aceh	aceh	aceh
achmad	achmad	achmad
acid	ac azonosító	acid
act	törvény	act
acuan	referencia	reference
ad	hirdetés	ad
ada	van	there is
adalah	jelentése	is
adam	ádám	adam
adams	adams	adams
adanya	jelentése	there is
adaptasi	alkalmazkodás	adaption
adaptif	adaptív	adaptive
adapun	mint az	as for
adat	egyedi	tradition
address	cím	address
adegan	színhely	scene
adi	adi	adi
adidas	adidas	adidas
adik	lánytestvér	sister
adiknya	öccse	his/her younger brother/sister
adiktif	addiktív	addictive
adil	becsületes	fair
adipati	herceg	duke
administrasi	adminisztráció	administration
administratif	közigazgatási	administrative
administrator	adminisztrátor	administrator
adobe	vályogtégla	adobe
adolf	adolf	adolf
adsl	adsl	adsl
adu	adu	compete
advokat	ügyvéd	advocate
