$	$	Nan
припрема	підготовка	None
припреме	препарати	Nan
приредио	підготовлений	Nan
природа	природа	None
природе	природи	None
природи	природи	None
природна	природні	None
природне	природні	None
природни	природні	None
природним	природні	None
природних	природні	None
природно	природно	Nan
природног	природні	None
природну	природні	None
природу	природи	None
приповетке	казки	None
приповедака	розповіді	None
приписује	атрибути	Nan
припадности	приналежність	None
примљен	отримано	Nan
принц	князя	None
принцеза	принцеса	Nan
принцип	принцип	None
принципа	принцип	None
принципи	принципи	None
принципима	принципи	None
присталица	прихильник	Nan
принципу	принцип	None
припадала	належав	None
припадао	належав	None
припадају	належати	Nan
припадник	член	None
припадника	члени	None
припадници	члени	None
припадност	належність	Nan
припада	належить	None
присталице	прихильників	None
пристао	домовились	Nan
приступ	доступ	None
прихватила	прийнято	None
прихватили	прийнято	None
прихватио	прийнято	None
прихваћен	прийнято	None
прихваћена	прийнято	None
прихода	дохід	None
прича	історія	None
прихвати	приймати	None
приче	розповіді	None
приштина	приштина	Nan
приштине	приштина	Nan
приштини	приштина	Nan
пријатељ	друг	None
пријатеља	друзі	Nan
пријатељи	друзі	Nan
пријатељима	друзі	Nan
причу	історія	None
примјер	приклад	None
прихвате	приймати	None
прихвата	приймає	None
приступа	доступ	None
приступница	заява	Nan
присуства	наявність	None
присуство	наявність	None
присуствовао	відвідував	Nan
присуству	наявність	None
присутан	теперішній	None
прихватају	приймати	None
присутна	теперішній	None
присутни	теперішній	None
присутно	теперішній	None
притисак	тиск	None
притиска	тиск	None
притиском	натисканням	Nan
притока	приток	Nan
притоке	приток	Nan
присутне	теперішній	None
прије	раніше	None
приморју	узбережжя	None
приморан	вимушений	Nan
привредног	економічні	None
привреду	економіка	None
привремено	тимчасово	None
привукао	приваблюють	Nan
приградска	приміські	Nan
придружили	приєднався	Nan
придружио	приєднався	Nan
призна	зізнався	Nan
признала	зізнався	Nan
признао	зізнався	Nan
признат	визнано	None
призната	визнано	None
признати	визнавати	Nan
признаје	визнає	None
признају	вони визнають	Nan
привредно	економічно	None
привредни	економічні	None
привредне	економічні	None
привредна	економічні	None
преци	натрапляти	Nan
прецизно	точно	None
прешао	перехрестилися	Nan
прешла	перехрестилися	Nan
прешли	перехрестилися	Nan
пређе	пряжа	Nan
при	у	None
признања	визнання	None
приближно	поруч	None
приватне	приватний	None
приватни	приватний	None
приватних	приватний	None
привлачи	приваблює	Nan
привреда	економіка	None
привреде	економіка	None
привреди	економіка	None
приватна	приватний	None
признање	визнання	None
призрен	призрен	Nan
призрена	призрена	Nan
примарно	насамперед	None
примају	вони отримують	Nan
примена	використання	None
примене	додатки	Nan
примени	застосовувати	None
применом	застосування	None
примену	застосування	None
примарни	первинний	Nan
пример	приклад	None
примери	приклади	None
примењује	застосовується	None
прими	отримувати	None
примила	отримано	Nan
примили	отримано	Nan
примио	отримано	Nan
примирје	перемир&#39;я	Nan
примера	приклад	None
приморје	узбережжя	None
примарне	первинний	Nan
прима	прима	Nan
призрену	призрену	Nan
приказ	показ	Nan
приказан	показано	None
приказана	показано	None
приказивање	показ	Nan
приказује	дисплеї	Nan
приказују	шоу	None
примарна	первинний	Nan
прилагођавање	коригування	Nan
приликама	можливості	None
прилике	можливості	None
приликом	нагода	Nan
прилику	можливість	None
прилично	досить	None
прилог	вкладення	Nan
прилози	внески	Nan
прилика	можливість	None
пријем	прийом	None
пробије	пробивається	Nan
проблем	проблема	None
протокола	протокол	Nan
протоколи	протоколи	Nan
протон	протона	Nan
прототип	прототип	Nan
проучава	дослідження	None
проучавања	дослідження	None
проучавање	вивчення	None
проучавањем	шляхом вивчення	Nan
проф	проф	None
професионални	професійний	None
професор	професор	Nan
професора	професор	Nan
профил	профіль	Nan
профит	прибуток	None
процват	розквіт	None
протокол	протокол	Nan
проток	потік	None
протиче	потоки	None
протисти	протісти	Nan
простору	простір	None
просјечна	середній	None
протеже	розтягує	Nan
протеин	білка	None
протеина	білка	None
протеини	білки	None
протеклих	минуле	None
процена	оцінка	None
протеста	протестувати	Nan
протестантизам	протестантизм	Nan
протести	протести	Nan
против	проти	None
противник	супротивник	Nan
противника	опонент	Nan
противнике	супротивники	Nan
противници	супротивники	Nan
протестанти	протестанти	Nan
проценама	кошторис	Nan
проценат	процент	Nan
процене	кошторис	Nan
прође	пропускає	Nan
пројекат	проект	None
пројеката	проектів	None
пројекта	проект	None
пројекти	проектів	None
пројектила	снаряди	Nan
пројекту	проект	None
прошлости	минулого	None
прстен	каблучка	Nan
пруге	смуги	None
пружа	забезпечує	None
пружају	забезпечити	None
пружи	забезпечити	None
пса	собака	Nan
псе	собак	Nan
пси	собак	Nan
пруга	залізниця	None
просторима	пробіли	Nan
прошлост	минуле	None
прошло	пройшов	None
процени	кошторис	Nan
процес	процес	None
процеса	процес	None
процесе	процеси	None
процеси	процеси	None
процесима	процеси	None
процесу	процес	None
прошлог	минулого	None
процењује	кошторис	Nan
проширења	розширення	None
проширење	розширення	None
прошири	розширити	Nan
проширила	розширений	Nan
проширили	розширений	Nan
проширио	розширений	Nan
прошли	пройшов	None
прошао	пройшов	None
простори	пробіли	Nan
просторе	простір	None
простора	простір	None
програмирање	програмування	None
програму	програма	None
продат	продавати	Nan
продаје	продажів	Nan
продају	продаж	None
продор	проникнення	None
продукција	виробництво	None
програми	програм	None
продуцент	виробник	None
прозор	вікно	Nan
прозора	вікна	None
производ	продукт	None
производа	продукт	None
производе	продукції	None
производи	продукції	None
производња	виробництво	None
прози	проза	None
производње	виробництво	None
програма	програма	None
прогона	переслідування	None
проблема	проблеми	None
проблеме	проблеми	None
проблеми	проблеми	None
проблемима	проблеми	None
пробој	прорив	Nan
пробоја	прорив	Nan
провео	витрачено	Nan
програм	програма	None
провинција	провінція	None
провинцији	провінція	None
прогласила	оголошено	None
прогласио	проголошено	None
проглашен	оголошено	None
проглашена	оголошено	None
проглашења	прокламації	Nan
проглашење	проголошення	None
провинције	провінції	None
прехрамбена	їжа	Nan
производњи	виробництво	None
производњу	виробництво	None
пронађени	знайдено	None
пронаћи	знайти	None
пропаст	безодня	Nan
пропасти	крах	Nan
пропен	пропен	Nan
прописа	регламенти	Nan
пророка	пророк	Nan
пронашао	знайдено	None
просеку	середній	None
просечне	середній	None
просечно	середній	None
прославе	урочистості	Nan
простирала	поширення	None
простире	розтягує	Nan
простиру	розтягнутий	Nan
простор	простір	None
просечна	середній	None
производњом	виробництво	None
промјене	зміни	None
промотер	промотор	Nan
произвођача	виробник	None
проклета	блін	Nan
проклетије	блін	Nan
пролаз	прохід	Nan
пролазе	пропуск	Nan
пролази	пропускає	Nan
пролећа	весна	None
промоцију	просування	None
пролеће	весна	None
променама	зміни	None
промене	зміни	None
промени	змінити	None
променила	змінився	Nan
променио	змінилося	Nan
промену	змінити	None
прометеј	прометей	Nan
промена	змінити	None
психијатрија	психіатрія	Nan
преузме	взяти на себе	Nan
преузео	взяв на себе	Nan
појмом	концепція	None
поља	поля	None
пољаци	поляки	None
поље	поле	None
пољима	поля	None
пољопривреда	землеробство	None
