<i>	<i>	paragraph sign
a	એ	a
c	સી	c.
co	સહ	company
d	ડી	d
economic	આર્થિક	economic
ed	ઇડી	edition
entertainment	મનોરંજન	entertainment
f	એફ	f
google	ગૂગલ	google
h	એચ	h.
ii	ii	ii
iii	iii	iii
iran	ઈરાન	iran
isbn	isbn	isbn
iv	iv	iv
ix	ix	ix
iншi	અન્ય	other
j	j	j.
k	કે	k
l	એલ	l
left	ડાબી	left
m	મી	m.
marketing	માર્કેટિંગ	marketing
my	અમે	my
n	એન	n.
na	પર	at
o	ઓ	o
over	ઉપર	over
p	પી	p
pp	પીપી	year
px	પીએક્સ	pixels
px|	px |	pixels
radio	રેડિયો	radio
rss	આર.એસ.એસ.	rss
shippuuden	શિપ્પુડેન	shipuuden
stadt	શહેર	village
state	રાજ્ય	state
und	અને	and
v	વી	v
vi	તમે	vi
vii	vii	vii
viii	viii	viii
x	x	x
xi	xi	xi
xii	xii	xii
xiii	xiii	xiii
xiv	xiv	xiv
xix	xix	xix
xixxx	xixxx	xix-xx
xml	xml	xml
xv	xv	xv
xvi	xvi	xvi
xvii	xvii	xvii
xviii	xviii	xviii
xviiixix	xviiixix	xviii-xix
xviixviii	xviixviii	xvii-xviii
xvixvii	xvixvii	xvi-xvii
xvixviii	xvixviii	xvi-xviii
xx	xx	xx
xxi	xxi	xii
y	વાય	u
  	  	the word to translate is blank
 км	કિ.મી.	km
 м	મી	meters
 млн	મિલિયન	mln
 млрд	અબજ	billion
 р	પી	year
 р 	પી	year
 року	વર્ષ	year
 році	વર્ષ	year
 рр	рр	years
 тис	હજાર	thousands
°с	. ઓ	celsius
à	પ્રતિ	of
а	અને	and
абетка	મૂળાક્ષર	alphabet
абетки	મૂળાક્ષરો	alphabet
аби	એબીઆઈ	only
або	અથવા	or
абсолютизму	સંપૂર્ણતા	absolutism
абсолютна	સંપૂર્ણ	absolute
абсолютний	સંપૂર્ણ	absolute
абсолютно	સંપૂર્ણપણે	absolute
абсолютної	સંપૂર્ણ	absolute
абсолютну	સંપૂર્ણ	absolute
авакум	અવકુમ	habakkuk
аварії	અકસ્માતો	accidents
август	.ગસ્ટ	august
августа	.ગસ્ટ	august
авон	એવન	avon
австралія	.સ્ટ્રેલિયા	australia
австралії	.સ્ટ્રેલિયા	australia
австроугорської	austસ્ટ્રો-હંગેરિયન	austria-hungary
австроугорщини	austસ્ટ્રો-હંગેરિયન	austria-hungary
австрійська	austસ્ટ્રિયન	austrian
австрійський	austસ્ટ્રિયન	austrian
