$	$	american dollar symbol
+	+	plus
<	&lt;	lesser than
<சீர்>	&lt;smooth&gt;	mend
<நிரை>	&lt;row&gt;	hirsels
<நேர்>	&lt;person&gt;	straight
=	=	equal
==	==	headings
===	===	equal
>	&gt;	greater than
^	^	power symbol in maths
|	|	|
~	~	percent
 × 	×	multiplication
°	°	degree
α	α	a
λ	λ	a mathematical symbol
φ	φ	mesherment
ஃபயர்ஃபாக்ஸ்	firefox	fire fox
ஃபேஸ்புக்	facebook	facebook
ஃவீனால்	ha hvin	a chemaical name
அ	a	a
அ.கே.கே	gyik	below asked questions
அஇஅதிமுக	aiadmk	aiadmk
அகச்சிவப்பு	infravörös	dark red
அகதிகள்	menekültek	refugees
அகத்தியர்	zsálya	agasthiyar
அகநானூறு	akananuru	ahananuru
அகம்	agam	inside
அகர	betűrendben	alphabetically
அகரமுதலி	wikiszótár	alphabets
அகரம்	agaram	agaram, a dictionary
அகரவரிசை	betűrendes	alphabet
அகராதி	szótár	dictionary
அகராதிகள்	szótár	alphabets
அகற்ற	távolítsuk	remove
அகற்றி	eltávolított	destroy
அகலம்	szélesség	width
அகலாங்கு	szélességi kör	latitude
அகழ்பொறி	akalpori	driller
அகஸ்ட்டஸ்	augustus	aghastas
அகிம்சை	erőszakmentesség	ahimsa, and non violence
அகில	összes	all india
அகிலத்தின்	nemzetközi	of the world
அகிலத்திரட்டு	akilattirattu	a measurement
அகிலம்	nemzetközi	world
அக்கட்சியின்	zimmermann	that party
அக்கறை	gondoskodás	other side bank
அக்கால	idő	during those days
அக்காலகட்டத்தில்	az időszakban	during that time
அக்காலத்தில்	abban az időben,	at the time
அக்காலத்து	ancients	during those days
அக்குபிரசர்	akkupiracar	acupuncture
அக்டோபர்	október	october
அக்பரின்	akbar	king
அக்பருக்கு	akbar	to akbar
அக்பரை	akbar	akbar
அக்பர்	akbar	akbar
அங்கமாக	rész	is a part
அங்கம்	elem	part
அங்காரா	ankara	ankara
அங்கிருந்த	a	there
அங்கிருந்து	onnan	approve
அங்கீகரிக்கப்பட்ட	felhatalmazott	authorised
அங்கீகாரம்	hitelesítés	recognition
அங்கு	ott	there
அங்குள்ள	a	on that
அங்கூர்	ankur	angur
அங்கே	ott	there
அசல்	eredeti	original
அசாதாரண	rendkívüli	extraordinary
அசாம்	assam	assam
அசினின்	mint a	asin
அசின்	nyomtatás	asin
அசோகர்	ashoka	the king asoka
அச்	nyomtatás	that
அச்சகம்	nyomja meg	press
அச்சின்	nyomtatás	axis of
அச்சில்	nyomtatás	in axis
அச்சு	nyomtatás	axis
அச்சுப்	nyomtatás	print
அஜித்	ajith	ajith a name
அடக்கம்	buried	included
அடக்கும்	elnyomó	contains
அடங்கிய	tartalmazza	consisting, based
அடங்கியுள்ள	foglalt	with
அடங்கியுள்ளது	foglalt	contains
அடங்கியுள்ளன	magába foglalja	included
அடங்குகின்றன	ide tartoznak a	included
அடங்கும்	magába foglalja	included
அடங்குவர்	beleértve	including
அடர்த்தி	sűrűség	volume
அடர்த்தியான	vastag	dark
அடி	lépés	feet
அடிகள்	lépések	hits
அடிக்கடி	gyakran	often
அடிக்குறிப்புகளும்	footers	footnotes
அடிப்படை	alapvető	fundamental
அடிப்படைகள்	alapjai	fundamentals
அடிப்படைக்	az alap	fundamentally
அடிப்படைத்	alapvető	fundamentally
அடிப்படைப்	alapvető	basic of
அடிப்படையாகக்	tovább	based on the
அடிப்படையாகும்	alapvető	is the fundamental
அடிப்படையான	az alap	fundamentally
