$	$	$
+	+	+
+°c	+ ° c	+c
=	= =	=
a	một	a
ab	ab	eu
abbas	tu viện	abbas
abbasilər	trụ trì	abbasis
abbasov	abbasov	abbasov
abbasqulu	abbasqulu	abbasgulu
abbaszadə	tu viện	abbaszadeh
abbasın	abbasın	abbas
abdulla	abdulla	abdullah
abdullayev	abdullayev	am
abidə	tượng đài	monument
abidələr	di tích	monuments
abidələri	di tích	monuments
abidələrin	di tích	monuments
abidələrindən	di tích	monuments
abidələrinin	di tích	monuments
abidənin	của di tích	monument
abidəsi	tượng đài	monument
abş	hoa kỳ	abs
abşa	abşa	absa
abşda	ở hợp chủng quốc hoa kỳ	usd
abşeron	absheron	of
abşeronun	của absheron	absheron
abşın	người ở	the u.s.
ac	ac	news
access	truy cập	access
aclıq	nạn đói	hunger
acınohur	acohnohur	ajinohur
ad	quảng cáo	name
ada	quảng cáo	island
adada	trên hòn đảo	the island
adalar	đảo	islands
adaları	đảo	islands
adaların	của các hòn đảo	islands
adalarında	trong các hòn đảo	the islands
adam	đàn ông	man
adama	đàn ông	man
adambaşına	bình quân đầu người	per capita
adamlar	mọi người	people
adamlara	cho mọi người	people
adamları	đàn ông	people
adamların	của đàn ông	people
adamlarının	của người đàn ông của bạn	people
adamus	đàn ông	adamus
adamı	đàn ông	man
adamın	của người đàn ông	people
adanı	hòn đảo	island
adanın	của hòn đảo	the island
adası	đảo	island
adasına	đến hòn đảo	island
adasında	trên hòn đảo	island
adasının	của hòn đảo	island
addım	bươc	step
addımlar	các bước	steps
addımı	bươc	step
addır	là tên	is the name
adi	tên	ordinary
adil	cố gắng	just
adlanan	gọi là	the so-called
adlandırmaq	để gọi	call
adlandırmışlar	họ đã gọi	as the
adlandırılan	gọi là	called
adlandırıldı	đã được đặt tên	renamed
adlandırılmışdır	đã được đặt tên	named
adlandırılıb	đã được đặt tên	was named
adlandırılır	được gọi là	referred to as the
adlandırır	các cuộc gọi	as
adlandırırdılar	họ đã gọi	called
adlandırırlar	họ gọi	adlandirilar
adlanır	được gọi là	is called
adlanırdı	được gọi là	was called
adlar	tên	names
adları	tên	names
adlarına	tên của họ	titles
adlarından	từ tên của họ	names
adlarını	tên của họ	the names of the
adlarının	tên của họ	names
adlı	gọi là	forencic
adlısanlı	được đặt tên	adlisanli
admiral	đô đốc	admiral
adna	adna	asoa
adnada	quảng cáo	asoa
adnanın	của tên	adnanin
adolf	adolf	adolf
adr	ngoại tình	adr
adriatik	yêu nước	adriatic
adurbadaqan	quảng cáo	adurbadaqan
adı	tên	ordinary
adın	tên của bạn	your name
adına	thay mặt cho	named
adında	trong tên của	named
adından	từ tên	on behalf of
adını	tên của anh ấy	name
adının	tên bạn	adlnln
adıyla	trong tên của	the name of the
adət	thói quen	two
adəti	thói quen	number
adətləri	thói quen	traditions
adətən	thông thường	usually
aerodinamika	khí động học	aerodynamic
afina	vận động viên	athens
afrika	châu phi	africa
afrikada	ở châu phi	africa
afrikanın	của châu phi	africa
afşin	afshin	afsin
agentliyi	đại lý	agency
aid	thuộc về	about
aiddir	aiddir	apply
aiddirlər	thuộc về	are
ailə	gia đình	family
ailədə	trong gia đình	family
ailələri	các gia đình	families
