$	$	$
+	+	+
=	=	=
a	க்கு	to
ab	ab	ab
abajo	கீழ்	down
abandona	விட்டுவிடு	discarded
abandonado	கைவிடப்பட்டது	abandoned
abandonar	விடுங்கள்	leave
abandonaron	கைவிடப்பட்டது	abandoned
abandono	கைவிடுதல்	abandoment
abandonó	கைவிடுதல்	abandoned
abarca	உள்ளடக்கியது	to embrace
abarcan	உள்ளடக்கியது	span
abc	abc	abc
abdominal	வயிற்று	abdominal
abejas	தேனீக்கள்	bees
abierta	திறந்த	open
abiertamente	வெளிப்படையாக	openly
abiertas	திறந்த	open
abierto	திறந்த	open
abogado	வழக்கறிஞர்	lawyer
abolición	ஒழிப்பு	abolition
abordar	அணுகுமுறை	tackle
aborto	கருக்கலைப்பு	abortion
aborígenes	பழங்குடியினர்	aborigines
about	பற்றி	alrededor de
abraham	ஆபிரகாம்	abraham
abre	திறக்கிறது	opens
abril	ஏப்ரல்	april
abrir	திறந்த	to open
abrió	திறக்கப்பட்டது	opened
absoluta	அறுதி	absolutely
absolutamente	முற்றிலும்	absolutely
absoluto	அறுதி	absolut
absorbe	உறிஞ்சுகிறது	absorb
absorción	உறிஞ்சுதல்	absorption
abstracción	சுருக்கம்	abstraction
abstracta	சுருக்கம்	abstract
abstracto	சுருக்கம்	abstract
abstractos	சுருக்கம்	abstract
abuela	பாட்டி	grandmother
abuelo	தாத்தா	grandfather
abundancia	மிகுதி	abundance
abundante	ஏராளமாக	abundant
abundantes	ஏராளமாக	abundant
abuso	துஷ்பிரயோகம்	abuse
ac	ac	ac
acaba	வெறும்	ends
acabar	பூச்சு	finish
acabó	முடிந்தது	ended
academia	கலைக்கூடம்	academy
academias	கல்விக்கூடங்கள்	shcools
académica	கல்வி	academic
académico	கல்வி	academic
académicos	கல்வியாளர்கள்	academic
acaso	ஒருவேளை	perhaps
acceder	அணுக	accede
accesible	அணுகக்கூடியது	accessible
acceso	அணுகல்	access
accesorios	பாகங்கள்	accessories
accidente	விபத்து	accident
accidentes	விபத்துக்கள்	accidents
acciones	செயல்கள்	things
acción	நடவடிக்கை	action
aceite	எண்ணெய்	oil
aceleración	முடுக்கம்	acceleration
acelerado	துரிதப்படுத்தப்பட்டது	accelerated
acelerador	த்ரோட்டில்	acclerator
acento	உச்சரிப்பு	emphasis
acepta	நீங்கள் ஏற்றுக்கொள்கிறீர்கள்	accepted
aceptable	ஏற்றுக்கொள்ளத்தக்கது	acceptable
aceptación	ஏற்றுக்கொள்வது	acceptance
aceptada	ஏற்றுக்கொள்ளப்பட்டது	accepted
aceptadas	ஏற்றுக்கொள்ளப்பட்டது	accepted
aceptado	ஏற்றுக்கொள்ளப்பட்டது	accepted
aceptados	ஏற்றுக்கொள்ளப்பட்டது	accepted
aceptan	ஏற்றுக்கொள்	accepted
aceptar	ஏற்க	accept
aceptó	நான் ஒப்புக்கொள்கிறேன்	accept
acerca	பற்றி	about
acercamiento	மூடு	approach
acercarse	நெருங்கி வருகிறது	getting close
acero	எஃகு	steel
aceros	இரும்புகள்	steel
aclarar	வெளியேற்று	clarify
acogida	வரவேற்பு	welcome
acompaña	உடன்	accompany
acompañada	உடன்	accompanied
acompañado	உடன்	accompanied
