$	$ $	$
<	&lt;	<
=	=	equal to
==	==	==
^	^	^
|	el |	fullstop
~	~	to
°	°	degree
अ	un	a
अंकगणित	aritmética	numerics
अंकारा	ankara	ankara
अंकित	ankit	mentioned
अंकीय	digital	numerical
अंकों	dígitos	numbers
अंग	parte	part
अंगूर	las uvas	grapes
अंगो	extremidades	organs
अंगों	extremidades	limbs
अंग्रेज	el ingles	britisher
अंग्रेज़ी	ingles	english
अंग्रेजी	ingles	english
अंग्रेजो	british	britishers
अंग्रेजों	el británico	americans
अंचल	zona	zone, sector
अंजाम	el resultado	result
अंजीर	higo	anjir a fruit
अंडमान	andaman	andaman
अंडाशय	ovario	ovary
अंडे	huevos	eggs
अंत	el final	end
अंतत	finalmente	finally
अंततः	finalmente	at the end
अंतर	la diferencia	difference
अंतरजाल	internet	connected
अंतरण	transferencia	transfer
अंतरराष्ट्रीय	internacional	international
अंतराल	intervalo	change
अंतराष्ट्रीय	internacional	international
अंतरिक्ष	el espacio	space
अंतरिम	interino	interim
अंतर्गत	bajo	based
अंतर्दृष्टि	perspicacia	insight
अंतर्राष्ट्रीय	internacional	international
अंतिम	el ultimo	last
अंदर	en	in
अंदाज	el estilo	guess
अंध	ciego	blind
अंधकार	la oscuridad	darkness
अंधेरी	oscuro	andheri- a place
अंपायर	árbitro	umpire
अंबानी	ambani	ambani
अंश	grados	part
अंशों	grados	parts
अकबर	akbar	akbar
अकादमी	la academia	academy
अकार	porque	shape
अकाल	hambre	famine
अकेला	solo	alone
अकेले	solo	alone
अक्टूबर	octubre	october
अक्तूबर	octubre	october
अक्तूबरदिसंबर	octubre diciembre	october-december
अक्षम	discapacitados	durable
अक्षय	akshay	part of weapon
अक्षर	la carta	alphabet
अक्षरधाम	akshardham	akshardham
अक्षांश	latitud	latitude
अक्षुण्ण	intacto	unabated
अक्सर	a menudo	often
अखंड	intacto	gigantic
अखंडता	integridad	integrity
अखबार	el periodico	newspaper
अखबारों	los periódicos	news papers
अखिल	todos	all
अख्तर	akhtar	akhter
अगर	si	if
अगली	el siguiente	nest
अगले	el siguiente	next
अगस्त	agosto	august
अग्नि	agni	fire
अग्निमित्र	agnimitra	agnimithra
अग्रणी	líder	leading
अग्रसर	adelante	severity
अग्रिम	el avance	advanced
अचल	inamovible	immovable
अचानक	de repente	suddenly
अच्छा	lo bueno	good
अच्छी	bueno	good
अच्छे	lo bueno	good
अजंता	ajanta	ajanta - aplace
अजनाभवर्ष	aajna bhavar	ajnabhvarsha
अजमेर	ajmer	ajmer
अजय	ajay	ajay
अज़ीज़	azeez	dear
अजातशत्रु	ajatashatru	a person who has no enemy
अजीब	extraño	strange
अज्ञात	desconocido	unknown
अज्ञान	ignorancia	ignorant
अज्ञेय	incognoscible	agney
अटलांटिक	el atlántico	atlantic
अटूट	irrompible	not to be broken
अठारह	dieciocho	eighteen
अठारहवीं	decimoctavo	18th (eighteenth)
अड्डा	den	port
अड्डे	la base	port
अणु	moléculas	molecule
अणुओं	moléculas	molecule
अण्डमान	andaman	andaman
अण्डे	huevos	eggs
अण्डों	huevos	eggs
अत	por lo tanto	so
अतः	por lo tanto	hence
अतएव	por lo tanto	therefore
अति	extrema	extra
अतिक्रमण	invasión	conquest
अतिथि	el invitado	guest
अतिरिक्त	adicional	apart from, peripheral
अतिवादी	extremista	extremist
अतीत	pasado	past
अतेन	aten	aten is the disk of the sun
अत्यंत	extremadamente	very
अत्यधिक	exceso	very much
अत्यन्त	muy	extremely
अत्याचार	la tortura	atrocity
अत्याचारी	perseguidor	tyrant
अत्याधिक	más	very large
अत्रि	atri	universe
अथ	ath	therupon
अथर्व	atharva	atharva - name of one vedas
अथर्ववेद	atharvaveda	atharvaved
अथवा	o	or
अदभुत	asombroso	amazing
अदा	ada	pay
अदालत	la corte	court
अदृश्य	invisible	invisible
अदृष्ट	invisible	invisible
अद्भुत	asombroso	wonderful
अद्यतन	actualización	aghathan period
अद्वितीय	único	unimaginable
अद्वैत	advaita	unique
अधरों	medio	lips
अधर्म	anarquía	sinful
अधातु	no metal	chemical
अधिक	más	more
अधिकतम	el maximo	maximum
अधिकतर	mayormente	more
अधिकता	exceso	majority
अधिकरण	tribunal	tribunal
अधिकाँश	la mayoría	majority
अधिकांश	la mayor parte de	mostly
अधिकांशत	mayormente	maximum
अधिकांशतः	mayormente	accordingly
अधिकाधिक	mas y mas	more
अधिकार	el derecho	right
अधिकारिक	oficial	official
अधिकारियों	los oficiales	officers
अधिकारी	oficial	heir
अधिकृत	autorizado	occupied
अधिग्रहण	adquisición	acquisition
अधिनियम	el acto	regulation
अधिपति	señor supremo	lord
अधिवेशन	sesión	conference
अधीन	bajo	under control
अधीनता	subordinación	dependency
अधूरा	incompleto	incomplete
अध्यक्ष	el presidente	president
अध्यक्षता	presidido	chairmanship
अध्ययन	el estudio	study
अध्ययनों	estudios	lessons
अध्यात्म	espiritualidad	spiritual
अध्यादेश	ordenanza	ordinance
अध्याय	el capitulo	chapter
अध्यायों	capítulos	chapters
अनंत	sin fin	anand
अनघ	anagh	very
अनदेखी	invisible	overlooked
अनन्त	eterno	ever last
अनन्य	exclusivo	different
अनपढ़	analfabeta	uneducated
अनमोल	no tiene precio	priceless
अनवर	anwar	anwar
अनवरत	implacablemente	sustained
अनशन	rápido	hunger strike
अनाज	grano	grain
अनाथ	el huérfano	parentless
अनार	granada	pomegranate
अनावश्यक	innecesario	unnecessary
अनियंत्रित	descontrolado	uncontrolled
अनियमित	irregular	irregular
अनिल	anil	anil (name)
अनिवार्य	obligatorio	inevitable
अनिश्चित	incierto	indefinite
अनु	anu	law number
अनुकरण	simulación	imitate
अनुकूल	favorable	appropriate
अनुकूलन	personalización	rosa rugosa
अनुक्रम	la secuencia	order
अनुग्रह	gracia	request
अनुचित	inapropiado	improper
अनुच्छेद	artículo	paragraph
अनुदान	la subvención	grant
अनुनाद	resonancia	sound system
अनुपम	anupam	non comparable
अनुपस्थिति	ausencia	absence
अनुपात	la relación	proportionally
अनुपालन	conformidad	compliance
अनुप्रयोगों	aplicaciones	application
अनुबंध	el contrato	continuance
अनुभव	la experiencia	experience
अनुभवी	experimentado	experienced
अनुभाग	la sección	section
अनुभूति	sentimiento	cognition
अनुमति	permiso	permission
अनुमस्तिष्क	cerebelo	hemispheres
अनुमान	la estimación	guess
अनुमानित	estimado	expected
अनुमानों	las proyecciones	guess
अनुयायियों	seguidores	followers
अनुयायी	seguidores	follower
अनुराग	amor	love
अनुरूप	correspondiente	according
अनुरोध	la solicitud	request
अनुवाद	la traducción	translation
अनुवादक	traductor	translator
अनुशासन	disciplina	discipline
अनुशीलन	practica	practice
अनुष्ठान	el ritual	to follow
अनुष्ठानों	rituales	organizations
अनुसंधान	la investigacion	constitution
अनुसन्धान	investigación	reporter
अनुसरण	siguiendo	to folloe
अनुसार	de acuerdo a	according
अनुसूचित	programado	scheduled
अनुसूची	el horario	chart
अनूदित	traducido	translated
अनूबिस	anubis	name
अनेक	muchos	many
अनेकों	muchos	many
अनैतिक	inmoral	unnatural
अनोखा	único	unique
अनोखी	único	unique
अन्त	el final	end
अन्ततः	al final	finally
अन्तर	diferencia	difference
अन्तरजाल	internet	internet
अन्तरराष्ट्रीय	internacional	international
अन्तरिक्ष	espacio	space
अन्तर्गत	bajo	under
अन्तर्राष्ट्रीय	internacional	international
अन्तस्थ	encarnado	anthasta
अन्तिम	el ultimo	last
अन्दर	en	include
अन्दाज	adivina	guess
अन्ध	ciego	blind
अन्धकार	oscuridad	dark
अन्धेरा	oscuro	darkness
अन्न	grano	food
अन्ना	anna	elder brother
अन्य	otros	other
अन्यत्र	en otra parte	anywhere  else
अन्यथा	de lo contrario	else
अन्याय	injusticia	cheat
अन्वेषण	exploración	enquiry
अन्‍य	otros	other
अप	arriba	up
अपना	nuestro	own
अपनाई	perseguido	make own
अपनाने	adoptar	accept
अपनाया	adoptado	adopted
अपनी	nuestro	self
अपनीअपनी	su	own
अपने	nuestro	ours
अपनेअपने	su	respective
अपभ्रंश	apéndice	corruption
अपमान	insulto	insult
अपमानित	insultado	degraded
अपराध	el crimen	crime
अपराधियों	los criminales	criminals
अपराधी	el culpable	criminal
अपराधों	crímenes	crimes
अपलोड	subir	upload
अपवाद	la excepción	exception
अपवाह	escorrentía	surface run off
अपशिष्ट	el desperdicio	waste product
अपहरण	secuestro	abduction
अपार	inagotable	high
अपितु	pero	not only
अपील	la apelación	appeal
अपूर्णता	imperfección	incompleteness
अपूर्व	raro	extraordinary
अपेक्षा	que	relatively
अपेक्षाकृत	relativamente	comparatively
अपेक्षित	esperado	expected
अप्रत्यक्ष	indirecta	indirect
अप्रैलजून	apriljoon	april - une
अप्सरा	ninfa	fairy
अफगान	afgano	afghanistan
अफगानिस्तान	afganistán	afghanisthan
अफसर	oficial	officer
अफ़ग़ानिस्तान	afganistán	afghanistan
अफ़्रीका	áfrica	africa
अफ़्रीकी	africano	african
अफ्फनपिन्स्चर	affuncture	offebnpinschar
अफ्रीका	áfrica	africa
अफ्रीकी	africano	african
अब	ahora	now
अबतक	hasta ahora	so far
अबु	abu	abu (name)
अबुल	abul	abul
अब्द	abd	abdh
अब्दुल	abdul	abdul - name
अब्दुल्ला	abdulla	abdulla
अब्बास	abbas	abbas
अब्राहम	abraham	abraham - name
अभाव	falta	lack
अभिकलन	computacion	assembling
अभिकलित्र	computadora	programmable
अभिकल्पना	el diseño	guess
अभिक्रिया	reacción	reaction
अभिनय	la actuación	acting
अभिनेता	el actor	actor
अभिनेताओं	los actores	actors
अभिनेत्रियों	actrices	actress
अभिनेत्री	la actriz	actress
अभिन्न	integral	integral
अभिप्राय	la intención	meaning
अभिभाषण	dirección	speach
अभिमन्यु	abhimanyu	abhimanyue
अभिमान	orgullo	respect
अभियन्ता	ingeniero	an engineer
अभियांत्रिकी	ingenieria	to go on
अभियान	la campaña	campaign
अभियानों	las campañas	followers
अभियान्त्रिकी	ingenieria	engineering
अभिरुचि	interés	taste
अभिलाषा	deseo	desire
अभिलेख	registro	a record
अभिलेखों	los registros	inscriptions
अभिव्यक्त	expresado	inspired
अभिव्यक्ति	la expresion	expression
अभिषेक	abhishek	abhishek - a name
अभिहित	designado	designated
अभ्यारण्य	el santuario	santuary
अभ्यास	la practica	practice
अमर	el inmortal	immortal
अमरनाथ	amarnath	amarnath
अमरावती	amravati	amrawati - a place
अमरीकन	americano	american
अमरीका	usa	america
अमरीकी	americano	american
अमल	implementación	follows
अमावस्या	amavasya	eclipse
अमिट	indeleble	unremovable
अमिताभ	amitabh	amitabh (indian name)
अमीटर	amperímetro	ammetre
अमीर	rico	wholesome
अमीरात	emirato	emirates
अमूर्त	resumen	abstract
अमूल्य	no tiene precio	priceless
अमृतसर	amritsar	amritsar
अमेरिकन	americano	american
अमेरिका	américa	america
अमोनिया	amoniaco	ammonia found in salt water
अमौसी	amausi	of mango
अम्बा	amba	amba
अम्बालिका	ambalaika	ambalika
अम्बिका	ambika	ambika (name)
अम्बेडकर	ambedkar	ambedkar
अम्ल	ácido	acid
अम्लीय	ácido	acidic
अम्हारिक	amárico	ambharik ( a central north regional language)
अयोध्या	ayodhya	ayodhya ( lord ram's native place)
अयोध्याकाण्ड	ayodhya	ayodya kaant (name of a book)
अरण्यकाण्ड	backwoods	aranya kaand
अरब	árabe	arab
अरबी	árabe	arabic
अरबों	miles de millones	arab
अरविन्द	arvind	arvind
अरस्तु	aristóteles	arastu
अरस्तू	aristóteles	aristotle
अराजकता	anarquía	unlawful
अरावली	aravali	aravali
अरुण	arun	the sun
अरुणाचल	arunachal	arunachal
अरे	hey	dear
अर्क	extracto	extract
अर्चना	archana	pray
अर्ज़ी	solicitud	application
अर्जित	ganado	obtained
अर्जी	solicitud	application
अर्जुन	arjun	arjun
अर्जेंटीना	argentina	argentina
अर्थ	significado	meaning
अर्थविज्ञान	economía	meanings
अर्थव्यवस्था	la economia	economic system
अर्थव्यवस्थाओं	economias	economies
अर्थशास्त्र	economía	arthashastra
अर्थशास्त्रियों	economistas	economists
अर्थशास्त्री	el economista	economist
अर्थात	es decir	that is
अर्थात्	es decir	that is
अर्थात्‌	es decir	that is to say
अर्थों	significado	meaning
अर्द्ध	semi	very
अर्न्तगत	bajo	internal
अर्पित	pagado	giving
अल	al	al
अलंकरण	adornos	beautification
अलंकार	ornamentación	metaphor
अलंकृत	adornado	decorated
अलकनन्दा	alaknanda	alaknanda
अलग	diferente	different
अलगअलग	diferente	different
अलगाव	la separación	secession
अलाउद्दीन	alauddin	allauddin
अलावा	aparte de	other than
अलिखित	no escrito	unwritten
अली	ali	ali
अलौकिक	sobrenatural	supernatural
अल्प	pocos	meager
अल्पना	alpana	drawings & paintings made by the women at the courtyard on occations
अल्पायु	joven	short lived
अल्फा	alfa	alpha
अल्फ्रेड	alfred	alfred
अल्मोड़ा	almora	almoda (place)
अल्लाह	allah	god
अवकाश	las vacaciones	vacasion
अवतरण	descenso	landing
अवतरित	descendido	undistributed
अवतार	avatar	avatar
अवतारों	avatares	avatar
अवतीर्ण	encarnado	appear
अवधारणा	el concepto	idea
अवधारणाओं	los conceptos	conceptions
अवधि	la duración	period
अवधी	awadhi	awadhi
अवमानना	desprecio	humiliation
अवयव	los componentes	organism
अवयवों	los ingredientes	body parts
अवरोध	barrera	hurdle
अवलोकन	observación	observation
अवशिष्ट	residual	last
अवशेष	los restos	remains
अवशेषों	el residuo	remniscents
अवशोषक	absorbente	digestion
अवशोषण	absorción	adsorption
अवशोषित	absorbido	absorb
अवश्य	por supuesto	certainly
अवसर	la oportunidad	oppertunity
अवस्था	estado	situation
अवस्थाओं	estados	states
अवार्ड	premio	award
अविश्वास	desconfianza	unfaith
अवैध	ilegal	illigal
अशांति	perturbación	unrest
अशुभ	desfavorable	inauspicious
अशोक	ashok	ashok
अश्वत्थामा	ashwatthama	ashwadhama(name)
अश्वमेध	ashwamedh	ashwamedha
अश्विनी	ashwini	ashwini
अष्टमी	ashtami	eigth day of the month of hindu calender
असंख्य	numerosos	myriad
असंतुलन	desequilibrio	imbalance
असंतोष	insatisfacción	discontent
असंभव	lo imposible	impossible
असफल	fallado	fail
असफलता	fracaso	failure
असम	assam	assam
असमर्थ	incapaz	helpless
असमानता	desigualdad	differences
असमिका	asamés	inequality
असमिया	asamés	asamese
असर	efecto	effect
असल	original	real
असली	lo real	real
असहयोग	no cooperación	non-cooperation
असहाय	indefenso	helpless
असाधारण	extraordinario	abnormal
असामान्य	inusual	unusual
असीम	infinito	boundaryless
असीमित	ilimitado	unlimited
असुर	el asura	devil
असुरक्षित	inseguro	unsafe
असुरों	los asuras	demon
असेम्बली	la asamblea	assembly
असोसिएशन	asociación	association
अस्त	ambientación	set
अस्तित्व	la existencia	existance
अस्तु	astu	astu
अस्त्र	arma	weapon
अस्त्रों	armas	weapons
अस्थाई	temporal	temporary
अस्थायी	temporal	temporary
अस्थि	hueso	bone
अस्थिर	inestable	unstable
अस्थिरता	inestabilidad	instability
अस्पताल	hospital	hospital
अस्पतालों	hospitales	hospitals
अस्पष्ट	poco claro	obscure
अस्पृश्य	intocable	untouchability
अस्पृश्यता	intocabilidad	untouchabililty
अस्वीकार	rechazar	deny
अस्वीकृत	rechazado	reject
अस्वीकृति	desaprobación	unacceptable
अस्सी	ochenta	80
अहंकार	ego	proud
अहम	vital	main
अहमद	ahmed	ahmed
अहमदाबाद	ahmedabad	ahmedabad
अहसास	el sentimiento	feeling
अहिंसा	ahimsa	nonviolence
आ	ven	aa
आँकड़ों	las estadísticas	statistics
