$	$	$
+	+	+
++	++	++
<	&lt;	<
<>	&lt;&gt;	<>
<i>	<i>	i
=	=	=
==	==	==
>	&gt;	>
a	egy	a
a`zo	a`zo	a'zo
a`zolar	tagjai	a'zolar
a`zolari	tagjai	a;zolari
a`zolarni	tagjai	a'zolarni
a`zomamlakatlar	tagországok	a'zomamlakatlar
a`zosi	tag	a'zosi
aabdugʻafurov	aabdug&#39;afurov	aabdug'afurov
aaron	áron	aaron
ab	ab	ab
abbos	abbos	abbos
abc	abc	abc
abdulaziz	abdulaziz	abdulaziz
abdulla	abdulla	abdulla
abdullah	abdullah	abdullah
abdulloh	abdulloh	abdulloh
abdullohning	abdullah	abdullohning
abdulmuttalib	abdulmuttalib	abdulmuttalib
abdulmuttalibning	abdulmuttalibning	abdulmuttalibning
abdumanaf	abdumanaf	abdumanaf
abdurashidxon	abdurashidxon	abdurashidxon
abdurauf	abdurauf	prove,
about	ról ről	about
abraham	abraham	become
abstrakt	absztrakt	abstract
absurdizm	abszurdizmusa	abscess
abu	abu	go
abulgʻozi	abulg&#39;ozi	abulg'ozi
abulqosim	abulqosim	abulqosim
abusaid	abusaid	abusaid
abusaidning	abusaidning	abusaidning
abutolib	abutolib	abutolib
academia	egyetemek	academy
adabiy	irodalmi	literary
adabiyot	irodalom	literauture
adabiyoti	irodalom	literature
adabiyotida	az irodalomban	court of law
adabiyotidan	az irodalomból	adabiyotidan
adabiyotining	irodalom	adabiyotining
adabiyotlar	könyvek	adabiyotlar
adabiyotshunos	irodalomkritikus	adabiyotshunos
adabiyotshunosi	irodalomkritikus	adabiyotshunosi
adabiytanqidiy	irodalmi kritika	literary critique
adam	férfi	adam
adib	adib	writer
adibi	író	adibi
adolat	igazságszolgáltatás	foothills
adolatli	becsületes	adolatli
adolatni	igazságszolgáltatás	adolatni
adolf	adolf	adolf
aero	aero	aero
aeroporti	repülőtér	always
afg`on	afgán	afgon
afg`oniston	afganisztán	afganistan
afg`onistonda	afganisztánban	afghanistan
afg`onistonga	afganisztánba	afg'onistonga
afgoniston	afganisztán	afgoniston
afgʻoniston	afganisztán	afganistan
aflotun	aflotun	genius
afol	afol	afol
africa	afrika	africa
african	afrikai	african
afrika	afrikai	africa
afrikada	afrikában	africa
afrikadagi	afrikában	afrikadagi
afrikalik	afrikai	afrikalik
afrikaning	afrika	afrikaning
afrikasi	afrikasi	afrikasi
afrosiyob	afrosiyob	afrosiyob
afsonaviy	legendás	afsonavity
after	utána	after
agar	ha	the
agent	ügynök	agent
agentligi	ügynökség	agentligi
agentligida	az ügynökségben	agentligida
agentlik	ügynökség	agent
agnostitsizm	agnoszticizmus	agonistism
agrar	agrar	agrarian
agrokimyo	agrokémiai	agrokimyo
ahamiyat	fontosság	importance
ahamiyatga	fontosság	ahamiyatga
ahamiyati	fontosság	importance
ahamiyatini	fontosság	ahamiyatini
ahayitmetov	ahayitmetov	ahayitmetov
ahd	ahd	axiom.
ahliga	ahliga	ahliga
ahmad	ahmad	opium
ahmedov	ahmedov	legend
ahmet	ahmet	ahmet
aholi	népesség	aholi
aholiga	a lakosság számára	sparkle.
aholining	a lakosság száma	aholining
aholishunoslik	népesség	aholishunoslik
