$	$	None
عانى	suferi	Nan
عبادة	cult	None
عبارة	fraza	Nan
عباس	abbas	Nan
عبد	sclav	Nan
عبده	sclav	Nan
عبر	prin	None
عبرانيون	evrei	None
عبور	trecere	None
عبيد	sclavi	None
عبيدة	obaida	Nan
عتبة	prag	Nan
عثر	a fost găsit	Nan
عثمان	othman	Nan
عثمانية	otoman	None
عانت	a suferit	Nan
عجائب	minuni	None
عامًا	ani	None
عامي	familiar	Nan
عاصمتها	capitalul său	Nan
عالم	om de stiinta	Nan
عالمي	lumea mea	Nan
عالميا	la nivel mondial	Nan
عالمياً	la nivel mondial	Nan
عالمية	internaţional	Nan
عالي	înalt	None
عالية	înalt	None
عام	an	None
عاما	varsta	Nan
عاماً	an	None
عامة	general	None
عامر	amer	Nan
عامل	factor	None
عاملاً	un factor	Nan
عاميّ	argou	Nan
عاصمته	capitalul lui	Nan
عدا	cu exceptia	Nan
عدد	număr	None
عرضت	a oferit	Nan
عرضه	susceptibil	Nan
عرضها	afișat	Nan
عرف	el stia	Nan
عرفات	arafat	Nan
عرفة	araja	Nan
عرفت	stiam	Nan
عرفوا	ei stiu	Nan
عروة	fila	Nan
عز	atotputernic	Nan
عزل	izolare	Nan
عزم	determinare	Nan
عزيز	dragă	Nan
عسكري	soldat	None
عسكرية	militar	None
عرضة	susceptibil	Nan
عدة	mai mulți	Nan
عرض	spectacol	None
عربية	arabic	Nan
عددا	un număr	Nan
عدداً	un număr	Nan
عددها	numărul lor	Nan
عددهم	numărul lor	Nan
عددًا	un număr	Nan
عدل	justiţie	Nan
عدم	non	None
عدن	aden	Nan
عدنان	adnan	Nan
عدوى	infecţie	Nan
عدي	oday	Nan
عديدة	mulți	None
عدّة	mai mulți	Nan
عرب	arabii	None
عربي	arabic	Nan
عرش	tron	None
عاصمة	capital	None
عاصم	assem	Nan
عاصفة	furtună	None
طلاب	elevi	None
طلال	talal	Nan
طلب	cerere	None
طلبة	elevi	None
طلبت	solicitat	Nan
طلبه	cererea lui	Nan
طلحة	talha	Nan
طن	tone	Nan
طنجة	tanger	Nan
طه	taha	Nan
طهران	tehran	Nan
طوائف	culte	None
طوال	de-a lungul	Nan
طور	dezvolta	None
طورت	dezvoltat	None
طلائعيات	pionier	Nan
طول	lungime	None
طقوس	ritual	None
طفل	copil	None
طبيعية	natural	None
طرابلس	tripoli	Nan
طراز	stil	None
طرازات	efectuează	None
طرح	scădea	Nan
طرد	lovitură	None
طرف	parte	None
طرفاوية	terminal	Nan
طرق	metode	None
طرول	mistrii	Nan
طريق	cale	None
طريقة	metodă	None
طريقه	metodă	None
طريقها	felul ei	Nan
طعام	alimente	None
طفولته	copilaria lui	Nan
طولها	lungimea sa	Nan
طويل	lung	None
طويلا	lung	None
عابرة	trecere	None
عاد	s-a întors	Nan
عادات	obiceiuri	None
عادة	obicei	None
عادةً	obicei	None
عادت	ea s-a întors	Nan
عادل	doar	None
عادوا	s-au întors	Nan
عادي	normal	None
عادية	normal	None
عارض	telespectator	Nan
عارف	cunoașterea	None
عاش	trăi	None
عاشت	ea a trăit	Nan
عاشوراء	ashura	Nan
عائلته	familia lui	Nan
عائلة	o familie	Nan
عائلات	familii	None
عائشة	aisha	Nan
طويلاً	lung	None
طويلة	lung	None
طيبة	drăguț	Nan
طيران	zbor	None
طيلة	de-a lungul	Nan
طيور	păsări	None
ظاهر	aparent	None
عسل	miere	Nan
ظاهرة	fenomen	None
ظل	umbră	None
ظلت	au rămas	Nan
ظهر	înapoi	None
ظهرت	a apărut	Nan
ظهره	spatele lui	Nan
ظهور	aspectul	None
ظواهر	fenomene	None
ظروف	circumstanțele	Nan
طبيعي	natural	None
عسير	dificil	None
عشر	zece	None
عندما	cand	None
عنده	are	None
عندها	apoi	None
عندهم	ei au	Nan
عنصر	un obiect	Nan
عنق	gât	None
عنه	despre el	Nan
عنها	despre ea	Nan
عنهم	despre ele	Nan
عنهما	despre ele	Nan
عنوان	titlu	None
عني	despre mine	Nan
عنيفة	violent	None
عهد	legământ	Nan
عهده	custodie	Nan
عندئذ	apoi	None
عهود	legăminte	Nan
عند	la	None
عنترة	antara	Nan
عمليات	operațiuni	None
عملية	proces	None
عمه	mătuşă	Nan
عمود	stâlp	Nan
عموم	tigaie	Nan
عموما	în general	Nan
عموماً	în general	Nan
عمومًا	în general	Nan
عمير	amir	Nan
عميق	adâncime	None
عميقة	adâncime	None
عمّان	oman	Nan
عن	despre	None
عناصر	articole	None
عناية	atenţie	Nan
عنخ	ankh	Nan
عملها	munca ei	Nan
عواصم	capitale	None
عوامل	factori	None
غازات	gaze	None
غازي	gazos	Nan
غالب	ghalib	Nan
غالبا	des	None
غالباً	des	None
غالبية	majoritatea	None
غالبًا	des	None
غاما	gamma	Nan
غاميلان	gamilan	Nan
غاندي	gandhi	Nan
غانم	ghanem	Nan
غاية	destinaţie	Nan
غباء	prostie	Nan
غذاء	alimente	None
غرار	ca	None
غاز	gaz	None
عواقب	consecințe	None
غار	dafin	Nan
غابات	pădurile	None
عودة	înapoi	None
عودته	întoarcerea lui	Nan
عوف	aouf	Nan
عيد	sărbătoare	None
عيسى	essa	Nan
عين	ochi	None
عينات	probele	Nan
عينيه	ochii lui	Nan
عيون	ochi	None
عَلَى	ali	Nan
عَلَيْهِ	pe el	Nan
عُثر	a fost găsit	Nan
عُرف	el stia	Nan
عُرفت	ea stia	Nan
عُمان	oman	Nan
غادر	stânga	None
عمله	valută	Nan
عملت	am lucrat	Nan
عملة	valută	Nan
عظيم	grozav	Nan
عظيمة	grozav	Nan
عفان	affan	Nan
عفص	tăbăcărie	Nan
عقارب	mâinile	None
عقب	după	None
عقبة	obstacol	Nan
عقد	un colier	Nan
عقدت	held	Nan
عقل	minte	Nan
عقوبة	pedeapsă	None
عقود	decenii	None
عقيدة	doctrină	None
عكا	acru	Nan
عكس	verso	Nan
عظمى	osos	Nan
علاء	alaa	Nan
عظمة	măreţie	Nan
عظام	oase	Nan
عشرات	zeci	None
عشرة	zece	None
عشرية	zecimal	Nan
عشرين	douăzeci	None
عصام	essam	Nan
عصبة	ligă	Nan
عصر	stoarce	Nan
عصره	era lui	Nan
عصور	eras	Nan
عصير	suc	Nan
عضوا	membru	None
عضواً	membru	None
عضوية	apartenență	Nan
عطارد	mercur	None
عطلة	vacanţă	Nan
عظم	os	None
علاج	terapie	Nan
علاقات	relaţii	Nan
علاقاتها	relațiile ei	Nan
عليهم	pe ei	Nan
عليهما	pe ei	Nan
عليّ	ali	Nan
عم	unchi	Nan
عما	despre	None
عماد	emad	Nan
عمال	muncitorii	None
عمان	oman	Nan
عمد	botezat	None
عمر	omar	Nan
عمره	varsta lui	Nan
عمرو	amr	Nan
عمق	adâncime	None
عمل	acțiune	None
عملاق	gigant	None
عليها	pe ea	Nan
عليه	pe el	Nan
علينا	noi	None
عليكم	pe tine	Nan
علاقة	relaţie	Nan
علامات	semne	None
علامة	semn	None
علاوة	primă	None
علاوةً	în plus	Nan
علم	ştiinţă	Nan
علما	notă	None
عش	trăi	None
علماء	oamenii de știință	Nan
علماً	notă	None
علمه	cunoașterea lui	Nan
علمية	științific	None
علوم	științe	None
على	pe	None
علي	ali	Nan
عليك	pe tine	Nan
علمانية	secularismul	Nan
طبيعة	natură	None
طبية	medical	None
طبيب	un doctor	Nan
شخصيته	caracterul lui	Nan
شداد	strângerea	Nan
شديد	intens	None
شديداً	foarte strans	Nan
شديدًا	foarte greu	Nan
شراء	cumpărare	Nan
شراكة	asociere	Nan
شرب	băutură	Nan
شرج	anus	Nan
شرح	a explicat	Nan
شرط	condiție	None
شرع	purces	Nan
شرعية	legitimitate	Nan
شرف	onora	Nan
شرق	est	None
شخصية	caracter	None
شرقا	est	None
شخصيات	demnitarii	Nan
شحنة	expediere	Nan
شامل	cuprinzător	Nan
شاملة	inclusiv	None
شاه	șah	Nan
شاهد	vedea	None
شاهين	shaheen	Nan
شباب	tineret	None
شبابه	tinerețea lui	Nan
شبكات	rețele	None
شبكة	reţea	Nan
شبه	la fel	Nan
شبيه	ca	None
شبيهة	similar cu	Nan
شتى	variat	None
شجرة	copac	Nan
شجع	încurajată	Nan
شخص	persoană	Nan
شامة	cârtiță	Nan
شرقاً	est	None
شركات	companii	None
شعوب	oameni	None
شغل	completati	Nan
شق	incizie	Nan
شقيقه	soră	None
شك	îndoială	None
شكل	formă	None
شكلت	format	None
شكله	forma sa	Nan
شكلها	forma sa	Nan
شمال	nord	None
شمالا	nord	None
شمالاً	nord	None
شمالي	de nord	Nan
شمس	soare	None
شمسية	umbrelă	Nan
شعره	păr	None
شرقي	est	None
شعراء	poeţi	Nan
شعبية	popularitate	None
شركة	o companie	Nan
شروط	termeni	None
شريط	panglică	Nan
شريعة	lege	None
شريف	șerif	Nan
شريك	partener	None
شطرنج	şah	Nan
شعائر	ritualuri	Nan
شعار	siglă	Nan
شعاع	grindă	Nan
شعب	oameni	None
شعبان	shaaban	Nan
شعبة	secțiune	None
شعبه	secțiune	None
شعبي	popular	None
شعر	poezie	None
شاكلة	ca	None
شاكر	shaker	Nan
شاطئ	plajă	Nan
سوري	sirian	Nan
سوريا	siria	None
سورية	sirian	Nan
سوف	voi	None
سوق	piaţă	Nan
سومطرة	sumatra	Nan
سوى	dar	None
سويسرا	elveţia	Nan
سي	c.	Nan
سيئة	rău	None
سياحة	turism	None
سياحية	turism	None
سيادة	suveranitate	Nan
سيارات	mașini	None
سيارة	mașină	None
سورة	sură	Nan
سياسات	politici	None
سور	gard	Nan
سواحل	coastele	None
سنغافورة	singapur	Nan
سنن	sunan	Nan
سنه	an	None
سنوات	ani	None
سنويا	anual	None
سنوياً	anual	None
سنوية	anual	None
سنويًا	anual	None
سنين	ani	None
سهل	uşor	Nan
سهول	plains	Nan
سهولة	uşura	Nan
سهيل	suhail	Nan
سوء	bolnav	None
سواء	dacă	None
سوداء	negru	None
سياسة	politică	None
سياسي	politician	Nan
