$	$	None
naftu	స్వీయ	Nan
naga	మాకు	None
nagaaday	భరించారు	Nan
nageeye	పుడక	Nan
nagiba	సంఖ్య	None
naginimada	విధేయత	Nan
nagornokarabakh	usornokarabakh	Nan
nagu	మనకు	None
naguma	మేము కూడా కాదు	Nan
nahay	మేము	None
nahaye	హా హా	Nan
nahey	nahey	Nan
nairobi	నైరోబి	Nan
najaashi	ఛార్జర్	Nan
nala	మాతో	Nan
naftooda	తాము	None
nalaga	మానుండి	Nan
naftiisa	తాను	None
naftay	నాకు	None
nacas	ఒక అవివేకిని	Nan
nacay	అసహ్యించుకున్న	Nan
nacayb	ద్వేషం	None
nadar	నాడార్	Nan
nadarkana	మీరు క్షమించండి	Nan
nadarkaygii	నా ప్రమాణాలు	Nan
nadarkii	జపమాల	Nan
nadarkiisii	అతని ప్రతిజ్ఞ	Nan
nadii	వెతకండి	Nan
nadiif	శుభ్రంగా	Nan
nadiifsan	శుభ్రంగా	Nan
nadray	క్షమించండి	Nan
naf	ఆత్మ	Nan
nafta	ఆత్మ	Nan
naftana	నాకు	None
naftii	తాను	None
nalagu	మాతో	Nan
naloo	మేము	None
nambiya	nambar	Nan
naxariistaha	కారుణ్య	Nan
naxariistee	దయగా ఉండండి	Nan
naxariistii	కరుణ	None
naxariisto	కరుణ కలిగి	Nan
naxwaha	వ్యాకరణ	None
naxwe	వ్యాకరణ	None
nayjeeriya	మాంద్యం	Nan
nayroobi	ప్రశాంతంగా ఉండు	Nan
ne	ఉంది	None
nearby	సమీపంలోని	Nan
nebal	nebal	Nan
nebi	ప్రవక్త	None
nebiga	ప్రవక్తయైన	Nan
nebigu	ప్రవక్తయైన	Nan
nebinimda	nebinimda	Nan
naxariista	కరుణ	None
naxariis	కరుణ	None
naxaawiga	వాతావరణం	None
nato	nato	Nan
nancy	నాన్సీ	Nan
naqay	ప్రశంసలు	None
nasab	విశ్రాంతి	None
nasabka	శ్వాసక్రియ	Nan
nasabkii	విధి	None
nasahnaa	విశ్రాంతి	None
nasiib	అదృష్టం	Nan
nabiyullaahi	nabilahulhihi	Nan
nasir	నాసికా	Nan
nasri	nasri	Nan
nataashi	స్వీకరించేందుకు	Nan
natiijada	ఫలితం	None
nation	దేశం	Nan
national	జాతీయ	None
nationlink	nationlink	Nan
nations	దేశాల	None
nasoo	రండి	Nan
necbaa	అసహ్యించుకున్న	Nan
nabiyadii	ప్రవక్తలు	Nan
