$	$	your
+	+	+
<i>	<i>	me
<i><i>	<i><i>	<me><i>
<wareega	<wareega	<round
=	=	=
==	==	==
===xoriyadii	=== свобода	===xoriyadii
a	а	a
aa	а	he was
aaayadda	стих	aaayadda
aabaha	бащата	father
aabahayo	нашият баща	aabahayo
aabbe	баща	father
aabbihii	баща му	father
aabbihiis	баща му	his father
aabe	баща	father
aabihii	бащата	his father
aabihiina	баща ми	aabihiina
aabihiis	баща му	his father
aabihiisna	баща му	aabihiisna
aad	вие	you
aada	отивам	walk on to
aadam	човечество	adam
aadamka	хората	human being
aadamuhu	човечество	deprived
aadan	вие	you do
aadanaha	човешки същества	human
aadanuhu	хората	human
aaday	отидох	he went to
aaden	отидохте	aden
aadey	си отиде	out where
aadka	много	toss
aadna	отивам	and
aado	да отида	to go to
aafo	криза	disaster
aagga	■ площ	area
aaggii	областта	aaggii
aakhiraa	в отвъдното	aakhirraa
aakhiraba	в отвъдното	hereafter
aakhirana	в отвъдното	next
aakhiro	в отвъдното	hereafter
aakhiroba	отвъдното	speak evil things
aalacimraan	няма ги	aalacimraan
aalo	инструмент	questions about
aamdiga	изповед	aamdiga
aamin	доверие	secure
aaminaan	вярвам	trust
aamini	сигурен	trust
aamino	вярвам	a
aaminsan	вярвам	believe
aaminsanyahay	вярвай ми	thought
aaminsanyihiin	вярвам	emotions
aamisan	повярвай	believe that
aammiin	вярвай ми	amen
aamus	бъди тих	silence
aan	не	i
aanan	не го направих	i
aanay	те не	not
aannaan	ние не	we
aannu	нас	we
aanu	съчувствие	not
aanuu	без	does not
aar	aar	revenge
aargoosi	отмъщение	revenge
aas	погребение	bury
aasaar	погребение	aasaar
aasaarta	погребение	aasaarta
aasaartan	тази основа	ancient
aasaasaha	откривателят	aasaasaha
aasaasay	основан	he founded
aasaasayaasha	основатели	founders of
aasaasayaashii	основателите	founders of
aasaasi	основен	basic
aasaasiga	основен	the fundamental
aasaasihii	основател	of
aasaaska	основата	foundation
aasaaskii	основата	the foundation
aasaastay	основан	laid the foundation of
aasaasy	фундамент	aasaasy
aasan	почивка	get buried
aasanyahay	погребан	assanyahay
aasay	погребан	he buried
