$	$	dollar
+	+	+
<	&lt;	<
=	=	=
ab	ab	ab
abad	qarnigii	the century
abadi	weligeed ah	eternal
abang	walaal	older brother
abarai	abarai	abarai
abbas	abbot	abbas
abbasiyah	abbasiyah	abbasid
abbasiyyah	abbasiyyah	abbasiyyah
abc	a b c	abc
abdi	addoon	servant
abdul	abdul	abdul
abdullah	abdullah	abdullah
abdulmalik	abdulmalik	abdul-malik
abdurrahman	abdurrahman	abdurrahman
abendanon	abendanon	abendanon
abi	abi	abi
abidin	abidin	abidin
abiotik	abiotic	abiotic
abjad	alifbeetada	alphabet
abnormal	aan caadi ahayn	abnormal
aborsi	ilmo soo ridid	abortion
abortion	ilmo soo ridid	abortion
abortus	ilmo soo ridid	abortion
about	ku saabsan	about
abraham	abraham	abraham
abri	abri	military
absolut	gebi ahaanba	absolute
abstrak	aan muuqan	abstract
abstraksi	diidmada	abstraction
abu	dambaska	[name]
abuabu	cirro	gray
abul	abul	abul
ac	qaboojiyaha	ac
acak	random	random
acara	dhacdo	occasion
acaraacara	dhacdo	occasions
accelerator	xawaare	accelerator
access	marin	access
account	koonto	account
accountant	xisaabiye	accountant
accountants	xisaabiyeyaal	accountants
accounting	xisaabinta	accounting
ace	yar	ace
aceh	aceh	aceh
achmad	achmad	achmad
acid	aashito	acid
act	fal	act
acuan	tixraac	reference
ad	xayeysiis	ad
ada	waxaa jira	there is
adalah	waa	is
adam	adam	adam
adams	adams	adams
adanya	waa	there is
adaptasi	la qabsashada	adaption
adaptif	la qabadsiin	adaptive
adapun	sida	as for
adat	caado	tradition
address	cinwaanka	address
adegan	goobta	scene
adi	adi	adi
adidas	adidas	adidas
adik	walaasha	sister
adiknya	walaalkiis ka yar	his/her younger brother/sister
adiktif	qabatinka	addictive
adil	cadaalad ah	fair
adipati	digaag	duke
administrasi	maamulka	administration
administratif	maamul	administrative
administrator	maamulaha	administrator
adobe	adobe	adobe
adolf	adolf	adolf
adsl	adsl	adsl
adu	mahad	compete
