$	$	dollar
+	+	+
a	a	and
abc	abc	abc
abdić	abdic	abdić
abdića	abdića	abdic
abdul	abdul	abdul
abdulah	aburu	abdulah (name)
abdullah	abdullah	abdullah
abortus	iṣẹyun	abortus
abraham	rabúráhámù	abraham,first name
abu	nkan	abu
ad	ipolowo	ad
adam	adam	adam
administrativna	isakoso	administrative
administrativne	isakoso	administrative
administrativni	isakoso	administrative
administrativno	abojuto	administrative
adnan	adán	adnan
adobe	ẹmọ	adobe
adolf	adágún	adolph
adresa	adirẹsi	address
adresu	adirẹsi	address
adsorpcija	adsorption	absorption
aerodrom	papa ọkọ ofurufu	airport
aerodroma	papa ọkọ ofurufu	airport
afera	ibalopọ	affair
afganistan	afiganisitani	afghanistan
africi	afirika	africa
afrika	afirika	africa
afrike	afirika	africa
afriku	afirika	africa
afričke	ara ilu afirika	african
agencija	ibẹwẹ	agency
agencije	awọn ile ibẹwẹ	agency
agresija	ibinu	agression
agresije	ibinu	agression
agresora	agbere	aggressor
ahilej	achilles	achilles
ahmed	ahmed	ahmed
ahmet	ahmet	ahmet
ahmeta	ahmeta	ahmet
aiša	aisha	aisha
ajet	ẹsẹ	ayet
ak	ak	ak
akademija	omowe	academy
akademije	omowe	academy
akademiji	omowe	academy
akademiju	omowe	academy
akcija	ìṣe	action
akcije	awọn iṣẹ	action
ako	ti o ba ti	if
akrozom	aburu	akrosome
akt	iṣe	act
aktivan	lọwọ	active
aktivna	lọwọ	active
aktivni	lọwọ	active
aktivno	lọwọ	active
aktivnost	ìṣe	activity
aktivnosti	akitiyan	activities
aktualizirano	imudojuiwọn	actualized
akumulacije	akojo	accumulation
akutnog	agba	acute
al	al	al
alat	irinse	tool
alata	irinṣẹ	tools
alate	irinṣẹ	tools
alati	irinṣẹ	tools
albanaca	awọn ara alibani	albanians
albanci	awọn ara alibani	albanians
albanija	albania	albania
albanije	albania	albania
albaniji	albania	albania
albanski	albania	albanian
albert	ominira	albet
alberto	alberto	aberto
