$	$	dollars
<	&lt;	<
 г	d	y. (year)
 година	jahr	year
 €	€	euro
­	­	-
°	°	degrees
°с	° s	degree celsius
π	π	pi
φ	φ	f
а	ein	a
абдикира	abdankt	abdicate
абридж	kürzen	abridge
абритус	abritus	abrittus
абсолютна	absolut	absolute
абсолютно	absolut	absolutely
абу	abu	abu
абълин	abulin	ablin
аварията	der unfall	breakdown
август	august	august
авиация	luftfahrt	aviation
авив	aviv	aviv
австралия	australien	australia
австрийска	österreichisch	austrian
австрия	österreich	austria
австроунгария	österreich-ungarn	austria-hungary
автобуси	busse	buss
автогара	bushaltestelle	bus station
автомагистрала	autobahn	motorway
автоматично	automatisch	automatic
автомобил	wagen	automobile
автомобила	wagen	car
автомобили	autos	automobiles
автомобилите	autos	cars
автономен	autonom	self-governing
автономия	autonomie	autonomy
автономна	autonom	autonomous
автономни	autonom	autonomous
автор	autor	author
автора	autor	author
автори	autoren	authors
авторите	die autoren	the autors
авторитет	behörde	authority
авторитета	behörde	authority
авторски	urheberrechte ©	author's
авторът	der autor	author
ага	ja	agha
агамемнон	agamemnon	agamemnon
агент	agent	agent
агенти	agenten	agents
агенция	agentur	agency
агенцията	die agentur	the agency
агрипина	agrippina	agrippina
ад	von	ad
адам	adam	adam
адаптация	anpassung	adaptation
адекватно	angemessen	adequate
административен	administrative	administrative
административна	administrative	administrative
административната	administrative	the administrative
административни	administrative	administrative
административните	administrative	administrative
административно	administrativ	administrative
администрация	verwaltung	administration
администрацията	verwaltung	administration
адолф	adolf	adolf
адрес	adresse	address
адреси	adressen	addresses
адрианопол	adrianopel	adrianopol
адриатическо	adria	adriatic
аз	ich	i
азбука	alphabet	alphabet
азбуката	das alphabet	alphabet
азбуки	alphabete	alphabets
азбучен	alphabetisch	alfabetic
азербайджан	aserbaidschan	azerbaijan
азид	azid	azide
азис	azis	azis
азия	asien	asia
азот	stickstoff-	nitrogen
азотът	stickstoff-	nitrogen
айлънд	insel	island
айнщайн	einstein	einstein
айнщайний	einstein	ainsteinium
айрес	aires	aires
айсберг	eisberg	iceberg
айфеловата	der eiffel	eiffel
ак	ak	ak
акад	acad	prof.
академик	akademiemitglied	academician
академия	akademie	academy
академията	die akademie	academy
ако	wenn	if
акт	handlung	act
активен	aktiv	active
активи	vermögenswerte	assets
активите	vermögenswerte	assets
активна	aktiv	active
активната	der aktive	active
активни	aktiv	active
активните	aktiv	active
активно	aktiv	actively
активност	aktivität	activity
активността	aktivität	activity
актове	handelt	acts
актриса	schauspielerin	actress
актриси	schauspielerinnen	actresses
актуална	strom	current
актьор	darsteller	actor
актьори	schauspieler	actors
ал	al	al
албания	albanien	albania
албански	albanisch	albanian
албанци	albaner	albanians
албена	albena	albena
алберт	albert	albert
албум	album	album
албума	album	album
албуми	alben	album
албумът	das album	album
алгоритъм	algorithmus	algorithm
алдехид	aldehyd	aldehyde
александрия	alexandria	alexandria
александров	von alexandrow	alexandrov
александър	alexander	alexander
алексей	alexey	alexei
алексий	alexius	alexy
алел	allel	allele
алеманда	alemanda	alemanda
алжир	algerien	algeria
али	aber	ali
алкохол	alkohol	alcohol
аллах	allah	allah
алпийски	alpin	alpine
алпите	die alpen	alps
алтаир	altair	altair
алтерация	änderung	aletro
алтернативни	alternative	alternative
алуминий	aluminium	aluminium
алфа	alpha	alpha
алфред	alfred	alfred
алън	alan	allen
аляска	alaska	alaska
амадеус	amadeus	amadeus
амазонка	amazonas	amazon
амбивалентност	ambivalenz	ambivalence
америка	amerika	america
американска	amerikanisch	american
американската	die amerikaner	american
американски	amerikanisch	american
американските	amerikanisch	american
американския	die amerikaner	american
американският	die amerikaner	american
американското	die amerikaner	american
американците	die amerikaner	americans
аминокиселини	aminosäuren	amino acids
аминокиселините	aminosäuren	amino acids
амоняк	ammoniak	ammonia
амплитуда	amplitude	amplitude
амстердам	amsterdam	amsterdam
амфора	amphora	amphora
ан	ein	an
ана	ana	anna
анаконда	anakonda	anacond
анален	anal	anal
анализ	analyse	analysis
анализи	analysen	analysis
ананке	ananke	ananke
анастилоза	anastylose	anastylosis
анатомия	anatomie	anatomy
анатомията	anatomie	anatomy
ангажира	greift ein	committed
ангел	engel	angel
ангелите	die engel	angels
ангелов	engel	angelov
англ	englisch	engl.
английска	englisch	english
английската	englisch	the english
английски	englisch	english
английските	das englisch	еnglish
английския	englisch	english
английският	das englisch	english
английското	das englisch	english
англичаните	das englisch	the englishman
англия	england	england
ангола	angola	angola
андерсън	anderson	anderson
анджелис	angelis	angeles
анди	andy	andy
андите	die anden	andes
андора	andorra	andorra
андреев	andreev	andreev
андрей	андрей	andrei (name)
андромеда	andromeda	andromeda
анелия	anelia	aneliya
анкара	ankara	ankara
анна	anna	anna
аномалии	anomalien	abnormalities
аномалия	anomalie	anomaly
анри	henry	henry
ансамбъл	ensemble	ansamble
антантата	die entente	entente
антарктида	antarktis	antarctica
антарктика	antarktis	antarctic
антверпен	antwerpen	antwerp
антициклон	antizyklon	antyciclone
античната	die antiken	ancient
антични	antiquität	antique
античните	die alten	antique
античния	die antiken	antique
античност	antike	antiquity
античността	antike	ancient
антон	anton	anton
антоний	anthony	anthony
антоними	antonyme	antonyms
антонимите	antonyme	antonyms
антонио	antonio	antonio
антъни	anthony	anthony
анубис	anubis	anubis
анус	anus	anus
ануса	anus	anus
анусът	der anus	anus
анхиало	anhialo	anhialo
аорта	aorta	the aorta
аортата	die aorta	aorta
апарат	gerät	apparatus
апарата	der apparat	apparatus
апарати	geräte	apparatus
апатит	apatit	apatite
аполо	apolo	apollo
аполон	apollo	apollo
аполония	apolonie	apollo
апостол	der apostel	apostle
апостола	der apostel	apostle
април	april	april
априлов	april	aprilov
априлското	april	the april
