$	dollarni tashkil etadi	$
+	+	+
<	&lt;	<
a	ning	a
ab	ab	ab (coordinates)
abandonat	tashlab ketilgan	abandoned
abandonată	tashlab ketilgan	abandonded
abc	a b c	abc
abdice	qorin	abdicate
abia	faqat	only
abilitatea	qobiliyati	ability
abilități	qobiliyatlar	skills
abilitățile	ko&#39;nikmalar	skills
abolirea	bekor qilish	abolition
abordare	yondashuv	approach
abordat	murojaat qildi	approached
abraham	abraham	abraham
absența	yo&#39;qligi	the lack of
absolut	mutlaq	absolutely
absolute	mutlaq	absolute
absolută	mutlaq	absolute
absolvirea	tugatish	graduation
absolvit	bitirgan	gratuated
abundente	mo&#39;l-ko&#39;l	abundant
abur	bug &#39;	vapor
ac	igna	ac
academia	akademiyasi	the academy
academic	akademik	academic
academice	akademik	academical
academică	akademik	academical
academiei	akademiyasi	academy
acasă	uy	home
accelerat	tezlashtirilgan	accelerated
accent	urg&#39;u	emphasis
accentuat	ta&#39;kidladi	emphasized
accentuată	oshdi	pronounced
accentul	diqqat	tone
accepta	qabul qiling	accept
acceptarea	qabul qilish	acceptance
acceptat	qabul qilindi	accepted
acceptate	qabul qilindi	accepted
acceptată	qabul qilindi	accepted
accepte	qabul qiling	accepts
acceptă	qabul qiling	accepts
acces	qo&#39;shilish	access
accesul	kirish	access
accident	baxtsiz hodisa	accident
acea	bu	she
aceasta	bunisi	this
această	bunisi	this
aceea	bu	that
aceeași	bir xil	the same
acei	o&#39;sha	those
acel	bu	that
acela	bu	that
același	bir xil	same
acele	o&#39;sha	those
acelea	o&#39;sha	these
aceleași	bir xil	those
acelei	bu	that
aceleiași	xuddi shu	the same
acelor	o&#39;sha	clockwise
acelui	bu	that
aceluiași	xuddi shu	the same
acest	bu	this
acesta	bu	this
aceste	bular	this
acestea	bular	this
acestei	bu	this
acesteia	uning	its
acestor	bular	these
acestora	ularning	their
acestui	bu	this
acestuia	u	this one
acestă	bu	this
acetat	atsetat	acetate
acetic	sirka	acethic
acești	bular	these
aceștia	bular	these
achiziționat	sotib olingan	acquired
acid	kislota	acid
acidul	kislota	acid
acidului	kislota	acid
acilare	asilatsiya	acetylation
acizi	kislotalar	acids
acolo	mana	there
acoperit	qoplangan	covered
acoperite	qoplangan	covered
acoperită	qoplangan	covered
acoperă	yashirish	cover
acord	kelishuv	grants
acorda	grant	grants
acordat	berilgan	accord
acordate	berilgan	granted
acordată	berilgan	given
acorde	to&#39;lash	give
acordul	kelishuv	agreement
acordă	berilgan	offers
act	harakat qilmoq	act
acte	harakat qiladi	acts
actele	harakat qiladi	documents
activ	faol	active
activat	faollashtirildi	worked
active	aktivlar	active
activează	faollashtirildi	active
activi	faol	active
activitate	faoliyat	activity
activitatea	faoliyat	activity
activități	faoliyati	activities
activității	faoliyat	activity
activitățile	faoliyati	activities
activităților	faoliyati	activities
activă	faollashtiring	active
actor	aktyor	performer
actori	aktyorlar	actors
actorul	aktyor	actor
actriță	aktrisa	actress
actual	joriy	actual
actuala	joriy	current
actuale	joriy	current
actualei	joriy	active
actualmente	hozir	actually
actualul	joriy	the current
actuală	joriy	current
actul	harakat qilmoq	the act
actului	harakat qilmoq	document
acum	hozir	now
acumulare	to&#39;planish	acumulations
acută	o&#39;tkir	acute
acuzat	ayblanmoqda	acused
acuzația	ayblash	accusation
acuzații	ayblovlar	accusation
acvatice	suv	aquatic
acvila	burgut	eagle
acționa	harakat qilmoq	acting
acționat	harakat qildi	acted
acționează	harakat qiladi	acts
acționeze	harakat qilmoq	buy
acțiune	harakat	action
acțiunea	harakat	action
acțiuni	harakatlar	actions
acțiunii	harakat	action
acțiunile	harakatlar	actions
acțiunilor	harakatlar	actions
ad	reklama	ad
adam	odam	adam, name
adaptare	moslashish	adaptation
adaptat	moslashtirilgan	adapted
adaugă	qo&#39;shish	add
adepții	izdoshlari	followers
adera	yopishmoq	join
aderare	rioya qilish	adhesion
aderarea	qo&#39;shilish	the adhering
aderat	qo&#39;shildi	joined
adesea	tez-tez	often
adeseori	tez-tez	often
adevăr	haqiqat	truth
adevărat	rost	real
adevărata	rost	trully
adevărate	haqiqiy	true
adevăratul	haqiqiy	the true
adevărată	rost	genuine
adevărul	haqiqat	truth
adevărului	haqiqat	truth
adevăruri	haqiqatlar	truths
adhd	adhd	adhd
adhoc	maxsus	ad-hoc
adiacente	qo&#39;shni	adjoining
adică	ya&#39;ni	what
adjectiv	sifatdosh	adjective
administrare	ma&#39;muriyati	management
administrarea	ma&#39;muriyati	the administration
administrate	boshqarildi	administered
administrativ	ma&#39;muriy	administrative
administrative	ma&#39;muriy	administrative
administrativă	ma&#39;muriy	administrative
administrația	ma&#39;muriyati	management
administrație	ma&#39;muriyati	administration
administrației	ma&#39;muriyati	administration
adn	adn	dna
adolf	adolf	adolf
adoptarea	asrab olish	adopting
adoptat	qabul qilingan	adopted
adoptate	qabul qilingan	take
adoptată	qabul qilingan	adopted
adoptă	qabul qilmoq	to adopt,legitimize
adormirea	uxlab qolish	the sleep
adresa	manzil	adress
adresate	murojaat qildi	addressed
adresată	sizning manzilingiz	addressed
adresează	murojaat qildi	addresses
adrian	adrian	adrian
adriana	adriana	adriana
aduc	olib keling	bring
aduce	olib keling	bring
aducerea	olib keladi	bringing
aducând	olib keladi	bringing
aducă	olib keling	bring
adult	kattalar	adult
