$  	$	dollar
=	=	=
>	&gt;	>
a	das	the
ab	ab	ab
aba	aba	aba
abba	hinein	into
abban	darin	"in that ""abban az esetben"" means ""in (that) case"""
abból	davon	from that
abc	abc	abc
abraham	abraham	abraham
abszint	absinth	absynth
abszintot	absinth	absinthe
abszolút	absolut	absolute
abu	abu	abu
ac	ac	ac milan (football)
acdc	acdc	acdc
achát	achat	agate
act	handlung	act
acél	stahl	steel
ad	geben	give
adam	adam	adam
adams	adams	adams
adat	daten	data
adatai	information	data
adatait	information	data of
adatok	daten	data
adatokat	daten	data
adatot	daten	data
addig	bis dann	will
addigi	bisherige	current
addigra	dann	by then
adja	eingeben	give
adjon	geben	so he give
adminisztratív	administrative	administrative
admirális	admiral	admiral
adnak	sie	they
adni	geben	to give
adolf	adolf	adolf
adott	gegeben	specific
adrian	adrian	adrian
adta	gab	he performed
adtak	sie	gave
adták	veröffentlicht	gave
ady	ady	ady
adó	mwst	provider
adódik	fällig	given
adók	ich gebe	taxes
adót	steuern	tax
afganisztán	afghanistan	afghanistan
afganisztáni	afghanistan	of afghanistan
afgán	afghanisch	afghani
afrika	afrika	africa
afrikai	afrikanisch	african
afrikában	afrika	in africa
agatha	agatha	agatha
agy	gehirn	brain
ahhoz	dazu	thereto
ahogy	wie	as
ahogyan	wie	as
ahol	wo	where
ahonnan	wovon	from where
ahova	wo	to where
ahová	wo	where
ai	ai	this word does not make sense on its own
aids	aids	aids
air	luft	air
aires	aires	aires
airsoft	airsoft	airsoft
ajánlatot	angebot	offer
ajánlott	empfohlen	recommended, offered
ajánlotta	empfohlen	recommended
akad	hinkt	there
akadt	gefangen	had
akadtak	dort gab es	could be found
akadályozta	verhindert	obstructed
akadémia	akademie	academy
akadémiai	akademisch	academical
akadémián	akademie	academy
akar	werden	wants to
akarat	werden	will
akarata	werden	will of
akarja	zu	wants
akarnak	sie wollen	they want
akart	wollte	he wanted
akarta	wollte	wanted
akartak	sie wollten	wanted
akarták	sie wollten	wanted
