$	$	$
+	+	+
+x	+ x	+x
<i>	<i>	<i>
=	=	=
>	&gt;	>
a	a	and
aaron	aaron	aaron
ab	ab	and
abad	stareţ	abbot
abaty	abaţie	abbey
aber	estuar	estuary
aberaeron	aberaeron	aberaeron
aberconwy	estuar	aberconwy
aberffraw	aberffraw	aberffraw
abergwaun	fishguard	fishguard
abergwyngregyn	abergwyngregyn	abergwyngregyn
aberhonddu	brecon	brecon
aberpennar	estuar	mountain ash
abertawe	swansea	swansea
aberteifi	swansea	cardigan
aberthu	sacrificiu	sacrifice
aberystwyth	aberystwyth	aberystwyth
about	despre	about
above	de mai sus	above
abraham	abraham	abraham
abrahamig	avraamică	abrahamic
abse	absida	abse
absenoldeb	absență	absence
ac	și	and
academaidd	academic	academic
academi	academie	academy
academic	academic	academic
academy	academie	academy
acen	accent	accent
achau	genealogiilor	genealogy
achlysur	ocazie	event
achlysurol	ocazional	casual
achos	cauză	case
achosi	cauză	cause
achosion	cauze	cases
achosir	cauzate	caused
achosodd	a cauzat	caused
achoswyd	cauzate	caused
achub	salvați	save
acid	acid	acid
acknowledgements	recognizements	acknowledgements
aconcagua	aconcagua	aconcagua
acrocephalus	acrocephalus	acrocephalus
acronym	acronim	acronym
acropolis	acropolă	acropolis
act	act	act
actif	activ	active
actifadu	activarea	activation
actifedd	activism	activity
actio	actorie	acting
actor	actor	actor
actores	actriţă	actress
actorion	actori	actors
acw	acolo	there
acwstig	acustic	acoustic
ad	anunț	ad
adael	părăsi	leave
adain	aripă	wing
adam	adam	adam
adams	adams	adams
adar	păsări	birds
adawyd	stânga	left
add	adăuga	add
adda	promisiune	adam
addas	potrivit	suitable
addaswyd	adaptate	modified
addewid	promisiune	promise
addition	plus	addition
addo	promisiune	promise
addoli	cult	worship
addoliad	cult	worship
addolir	este închinat	worshiped
addrefnu	furnish	reorganize
addurno	decor	decorating
addysg	educaţie	education
addysgol	educational	educational
addysgu	învățătură	teaching
adeg	timp	time
adegau	câteodată	times
adeilad	clădire	building
adeiladau	clădiri	buildings
adeiladodd	el a construit	built
adeiladu	constructie	construction
adeiladur	structura	building of
adeiladwaith	constructie	construction
adeiladwyd	construit	built
adeiledd	structura	structure
adennill	recupera	recovery
adenydd	aripi	wings
aderyn	o pasare	bird
aderyndrycin	aderyndrycin	manx
adfeilion	ruine	ruins
adfer	restaurare	recovery
adferiad	recuperare	recovery
adferwyd	recuperate	recovered
adfywiad	renaştere	regeneration
adler	adler	adler
adlewyrchu	reflectați	reflect
adlewyrchur	reflectați	adlewyrchur
adloniant	divertisment	entertainment
adlonni	distra	entertain
adnabod	identificare	identification
adnabyddir	cunoscut	known
adnabyddus	bine cunoscute	known
adnewyddu	reînnoire	renewal
adnod	verset	verse
adnodd	resursă	resource
adnoddau	resurse	resources
adolf	adolf	adolf
adran	secțiune	section
adrannau	departamente	sections
adref	acasă	home
adria	adria	adria
adrianople	adrianopol	adrianople
adrodd	raportare	report
adroddiad	raport	report
adroddiadau	rapoarte	reports
adwaenir	cunoscut	known
adwaith	reacţie	reaction
adweithia	reacţiona	adweithia
adweithiau	reacții	reactions
adweithio	reacţiona	reaction
aeddfed	matur	mature
