destun	onderwerpen	0.0
hyn	dit	0.0
°c	c	0.0
°c	c	0.0
nghymru	wales	0.0
johann	johann	0.0
yr	de	9.871542222189811e-17
dysgu	leren	4.805139755722376e-16
eglwys	kerk	5.4440536916220413e-08
ddisgrifiodd	beschreef	5.155445764053911e-07
sgwâr	vierkant	1.0018530240958572e-06
categorigwyddoniaeth	wetenschap	1.4388805139691637e-06
helaeth	enorm	1.5582728796242071e-06
diwyllianol	cultureel	3.178618117820224e-06
gogleddddwyrain	noordoosten	5.4631572129010295e-06
amrywiadau	variaties	6.232837218218537e-06
byddent	zouden	6.359677410671296e-06
lladdodd	hij	6.779646338179587e-06
orwedd	liggen	6.990328104520355e-06
ailgydiodd	hij	7.056594284593511e-06
cadarn	geluid	7.227436351223973e-06
pynciau	onderwerpen	7.558298514365423e-06
rydd	vrij	8.252245421302511e-06
ffyngau	schimmels	8.839021096840081e-06
sefydlog	gemaakt	9.214991942872051e-06
teyrnasodd	regeerde	9.702800600078055e-06
gristnogaeth	christendom	1.019854654595668e-05
sacsoniaid	saksen	1.2864134172678851e-05
geisiadau	toepassingen	1.3860651021569715e-05
dreiglad	mutatie	1.6118252676948464e-05
athroniaeth	filosofie	2.0053519937020273e-05
cynnydd	vooruitgang	2.1275649599887088e-05
genetig	genetisch	2.1362827493682957e-05
degfed	tiende	2.1683549934731704e-05
rhannun	delen	2.3256587205836885e-05
gynorthwyo	helpen	2.3426182642372566e-05
rwsieg	russisch	2.352812597527674e-05
sofraniaeth	soevereiniteit	2.3707304674724636e-05
penodwyd	benoemd	2.6866042557256337e-05
throi	beurt	2.9900601210895245e-05
gorffen	hebben	3.1190506461575956e-05
beryglus	gevaarlijk	3.339138640524787e-05
canfod	gevonden	3.4263024646787887e-05
neilltuol	vooral	3.443486147869986e-05
ddaeargrynfeydd	aardbevingen	3.9635823248636385e-05
trefnodd	hij	4.0838831356935534e-05
awstria	oostenrijk	4.3167027949817965e-05
ofn	angst	4.448537737360996e-05
phwynt	punt	4.456360358506557e-05
ddaearyddol	geografisch	5.1040033193194306e-05
bwyllgor	commissie	5.550008866916158e-05
technoleg	technologie	5.748178911000171e-05
abaty	abdij	5.7992339466329493e-05
lenwi	vullen	5.9282994272640185e-05
dangoswyd	getoond	6.31726825067785e-05
gostwng	verminderen	6.627669561113049e-05
cyfunrywioldeb	homoseksualiteit	7.195503946960312e-05
goresgyn	overwinnen	7.739162169782365e-05
negyddol	negatief	8.499127830258463e-05
gwrthwynebwyr	tegenstanders	8.770220780091628e-05
ensymau	enzymen	8.848561936670506e-05
stadiwm	stadion	9.22435826224565e-05
ysgolion	scholen	9.457211400529289e-05
droseddau	misdrijf	9.934158480666457e-05
bywyd	leven	9.967906210568242e-05
ogof	grot	0.00010508451440872868
rhennir	gedeeld	0.00010778169181033972
theori	theorie	0.00011434806997000062
hunaniaeth	identiteit	0.00011748840864577601
daflu	werpen	0.00012584672199875493
hudol	magisch	0.00012683201475868923
pencampwriaeth	kampioenschap	0.0001290357698209932
meddygol	medisch	0.00012993355122398312
fodoli	bestaan	0.00013922698909783505
