$	$	$
+	+	+
+x	+ к	+x
<i>	<i>	<i>
=	=	=
>	&gt;	>
a	а	and
aaron	аарон	aaron
ab	аб	and
abad	опат	abbot
abaty	опатија	abbey
aber	естуариј	estuary
aberaeron	абераерон	aberaeron
aberconwy	естуариј	aberconwy
aberffraw	аберффрав	aberffraw
abergwaun	фисхгуард	fishguard
abergwyngregyn	абергвингрегин	abergwyngregyn
aberhonddu	брецон	brecon
aberpennar	естуариј	mountain ash
abertawe	свансеа	swansea
aberteifi	свансеа	cardigan
aberthu	жртвовање	sacrifice
aberystwyth	абериствитх	aberystwyth
about	о томе	about
above	горе	above
abraham	абрахам	abraham
abrahamig	абрахамиц	abrahamic
abse	абсе	abse
absenoldeb	одсуство	absence
ac	и	and
academaidd	академски	academic
academi	академија	academy
academic	академски	academic
academy	академија	academy
acen	акценат	accent
achau	родовници	genealogy
achlysur	прилика	event
achlysurol	повремено	casual
achos	узрок	case
achosi	узрок	cause
achosion	узрока	cases
achosir	изазвао	caused
achosodd	проузроковало је	caused
achoswyd	изазвао	caused
achub	сачувати	save
acid	киселина	acid
acknowledgements	признања	acknowledgements
aconcagua	ацонцагуа	aconcagua
acrocephalus	акроцефалус	acrocephalus
acronym	акроним	acronym
acropolis	акрополис	acropolis
act	делују	act
actif	активан	active
actifadu	активација	activation
actifedd	активизам	activity
actio	глума	acting
actor	глумац	actor
actores	глумица	actress
actorion	глумци	actors
acw	тамо	there
acwstig	акустички	acoustic
ad	оглас	ad
adael	отићи	leave
adain	крило	wing
adam	адам	adam
adams	адамс	adams
adar	птице	birds
adawyd	лево	left
add	додати	add
adda	обећање	adam
addas	погодан	suitable
addaswyd	адаптирано	modified
addewid	обећање	promise
addition	додатак	addition
addo	обећање	promise
addoli	обожавање	worship
addoliad	обожавање	worship
addolir	обожава се	worshiped
addrefnu	намјештај	reorganize
addurno	декорација	decorating
addysg	образовање	education
addysgol	едукативни	educational
addysgu	учити	teaching
adeg	време	time
adegau	повремено	times
adeilad	зграда	building
adeiladau	зграде	buildings
adeiladodd	је изградио	built
adeiladu	конструкција	construction
adeiladur	структура	building of
adeiladwaith	конструкција	construction
adeiladwyd	изграђен	built
adeiledd	структура	structure
adennill	опоравити се	recovery
adenydd	крила	wings
aderyn	птица	bird
aderyndrycin	адериндрицин	manx
adfeilion	рушевине	ruins
adfer	рестаурација	recovery
adferiad	опоравак	recovery
adferwyd	опоравио	recovered
adfywiad	оживљавање	regeneration
adler	адлер	adler
adlewyrchu	одразити	reflect
adlewyrchur	одразити	adlewyrchur
adloniant	забава	entertainment
adlonni	забавити	entertain
adnabod	идентификација	identification
adnabyddir	познат	known
adnabyddus	познат	known
adnewyddu	обнављање	renewal
adnod	стих	verse
adnodd	ресурс	resource
adnoddau	ресурси	resources
adolf	адолф	adolf
adran	одељак	section
adrannau	одељења	sections
adref	кућа	home
adria	адриа	adria
adrianople	адрианопле	adrianople
adrodd	извештавање	report
adroddiad	извештај	report
adroddiadau	извештаји	reports
adwaenir	познат	known
adwaith	реакција	reaction
adweithia	реагују	adweithia
adweithiau	реакције	reactions
adweithio	реагују	reaction
aeddfed	зрели	mature
aedui	аедуи	aedui
