căutat	sought	0.0
primăvara	spring	0.0
acetat	acetate	7.403656666642364e-16
bulgaria	bulgaria	7.443897990825191e-16
principiul	principle	1.4561430172954974e-08
codurile	codes	1.0047079576570903e-07
macedonski	macedonski	1.7529925359771923e-07
factori	factors	2.3582424918240032e-07
fotbalului	football	2.539951854813702e-07
grecocatolici	greek-catholics	3.024319041215077e-07
tătarilor	tatars	3.211730827380465e-07
românești	romanian	4.35402322375213e-07
artilerie	artillery	4.4820404982309635e-07
invazia	invasion	4.89949166580595e-07
dans	dance	5.2209474043831e-07
iancu	iancu	8.857293257863745e-07
japoniei	japan	9.483303828782623e-07
munteanu	munteanu	1.0885884150693204e-06
zeilor	gods	1.1848540072385666e-06
străinătate	abroad	2.031954498892919e-06
domnilor	gentlemen	2.0543360861688253e-06
descoperite	discovered	2.091116903069143e-06
culori	colors	2.6858265915382236e-06
gimnastică	gymnastics	2.8992008921352885e-06
triburilor	tribes	3.1616111955599536e-06
monarhia	monarchy	3.6134454484420526e-06
brâncoveanu	brancoveanu	3.999237581354386e-06
olt	olt	4.122859334036936e-06
informat	informed	4.1403690337542684e-06
dificil	difficult	4.714889783880543e-06
mexic	mexic	4.885081627586827e-06
danemarcei	denmark	4.920944979571708e-06
orhidee	orchid	5.395423588921955e-06
buzău	buzau	5.669079351534172e-06
dominante	dominant	5.757983317369059e-06
continentale	continental	5.757983317369059e-06
fr	fr	6.1686630384538046e-06
producției	production	6.889524603046908e-06
biblia	bible	7.116227600795152e-06
misiunea	mission	7.227749741781828e-06
rené	rene	8.656534966274409e-06
europe	europe	8.656534966274409e-06
analiza	analyze	9.072607772164096e-06
ciuc	ciuc	9.094918196533478e-06
muzeului	museum	9.39504609003471e-06
negocierile	negotiations	1.0004639226470712e-05
referințe	references	1.0095469852037455e-05
luca	luke	1.0180667144252093e-05
pana	until	1.1139451193898723e-05
răspândit	spread	1.1397303309342731e-05
autorităților	authorities	1.1608638836703845e-05
producătoare	producing	1.1922491978978817e-05
conține	contain	1.3448188445078837e-05
jocurile	games	1.3496695176664097e-05
patriciu	patriciu	1.3561547798397983e-05
turzii	turzii	1.4175010725923646e-05
filosofia	philosophy	1.4502322573025805e-05
feroviare	railway	1.4643531505177058e-05
folclorul	folklore	1.4714214419604685e-05
fondatorul	founder	1.4851595834257668e-05
contactului	contact	1.566292107939408e-05
având	having	1.608910857687172e-05
intrun	in a	1.7060059193092816e-05
producerea	production	1.71717392533804e-05
piciorul	leg	1.8484919630897012e-05
brăila	braila	1.888660362913727e-05
bistrițanăsăud	bistrita-nasaud	1.920613351182808e-05
vâlcea	valcea	1.934850252048573e-05
statuie	statue	2.0040195246816017e-05
ierarhia	hierarchy	2.1282063118400904e-05
poluării	pollution	2.1301617734080558e-05
anglia	england	2.1947255671097966e-05
arbitru	referee	2.3006989079354632e-05
mincu	mincu	2.304775684527778e-05
denumirea	the name	2.370996122311004e-05
soția	wife	2.4759781119317267e-05
odobescu	odobescu	2.545781948601432e-05
goga	goga	2.5490265091333306e-05
categoriețări	countries category	2.5882122216463475e-05
walkirie	walkirie	2.9695173712888315e-05
liceul	high school	2.98056396648107e-05
pozitive	positive	3.1458451694008934e-05
imagini	images	3.161378768590649e-05
banca	bank	3.2181877645165766e-05
tulcea	tulcea	3.312200108581466e-05
chimie	chemistry	3.330812391871858e-05
muntenia	muntenia	3.3561767689462645e-05
sufletul	soul	3.431711365358458e-05
florile	flowers	3.541163763597043e-05
medicamente	drugs	3.553113492021836e-05
codreanu	codreanu	3.626589416313965e-05
soldat	soldier	3.765282831062167e-05
prietenia	friendship	3.925195812509165e-05
londrei	london	3.97341320027216e-05
hagi	hagi	4.097140905097109e-05
mesopotamia	mesopotamia	4.3557971592860667e-05
slavii	slavs	4.393535958165316e-05
irak	irak	4.578954666833184e-05
alexandra	alexandra	4.891310423634973e-05
puncte	points	4.9239315132495796e-05
baniciu	baniciu	4.945646287747702e-05
antena	antenna	4.964673278943274e-05
acele	those	5.029456128498138e-05
acționat	acted	5.1686466586505366e-05
mecanism	mechanism	5.268401499610895e-05
minim	minimum	5.3391271331019255e-05
clasică	classical	5.4485000155891465e-05
emil	emil	5.625773110458942e-05
proza	prose	6.105752788062453e-05
grâu	wheat	6.534279640549401e-05
ritm	rhythm	6.616884864748063e-05
dezbateri	debate	6.919897548806474e-05
arbori	trees	6.933645555573693e-05
turismul	tourism	7.190789353849004e-05
bucuresti	bucharest	7.234842432474742e-05
drobeta	drobeta	7.365199420027044e-05
membri	members	7.388777316132463e-05
soldați	soldiers	7.497797720465263e-05
filosofiei	philosophy	8.230186884022454e-05
bucovina	bucovina	8.261873033292604e-05
oxid	oxide	8.279224162712745e-05
miercurea	miercurea	8.283834964249872e-05
peștera	cave	8.345963741893758e-05
chitara	guitar	8.471667026951111e-05
ochii	eyes	8.493731090152903e-05
teorie	theory	8.746098196109584e-05
slovaciei	slovakia	8.860451871090525e-05
aron	aron	9.166268581456932e-05
india	india	9.166268581456932e-05
piese	parts	9.415035863265053e-05
jucătorii	players	9.477911502484607e-05
stabilește	establishes	9.573449765403853e-05
referendum	referendum	9.583855357803211e-05
refugiați	refugees	9.915880819130666e-05
energia	energy	0.00010241195102321448
înalte	prestigious	0.0001031376970613034
serviciile	services	0.00010336449815593593
serbia	serbia	0.00010427584925680447
emite	issue	0.00010582382841366554
as	as	0.00011215168670192783
taxi	taxi	0.00011565936452396983
nota	note	0.0001250869914695008
ptolemeu	ptolemy	0.00012859008638289646
becali	becali	0.0001295572318697981
avioanele	planes	0.00013107339222401897
feroviar	railway	0.0001323270696997989
arhiepiscop	archbishop	0.00013276771118731368
sergiu	sergiu	0.00013280088459691607
cuza	cuza	0.0001351803447037135
caritate	charity	0.0001364492059895069
periferic	peripheral	0.00013840367056407033
ionesco	ionesco	0.00013969423048082813
slobozia	slobozia	0.00014000498236266514
isus	jesus	0.0001402105902576098
copil	child	0.0001409913961722811
gotice	gothic	0.00014222409586634618
manifestare	manifestation	0.00014975184374939134
provincia	province	0.00015178855341188877
telefonie	telephony	0.00015448017435304713
islamului	islam	0.00015921129040558386
praga	prague	0.00015927719629771903
