$	$	dollars
<	&lt;	<
 г	г	y. (year)
 година	рік	year
 €	€	euro
­	­	-
°	°	degrees
°с	° с	degree celsius
π	π	pi
φ	φ	f
а	а	a
абдикира	зрікається	abdicate
абридж	абрид	abridge
абритус	abritus	abrittus
абсолютна	абсолютний	absolute
абсолютно	абсолютно	absolutely
абу	абу	abu
абълин	абулін	ablin
аварията	нещасний випадок	breakdown
август	серпень	august
авиация	авіація	aviation
авив	aviv	aviv
австралия	австралія	australia
австрийска	австрійська	austrian
австрия	австрія	austria
австроунгария	австро-угорщина	austria-hungary
автобуси	автобуси	buss
автогара	автобусна зупинка	bus station
автомагистрала	шосе	motorway
автоматично	автоматично	automatic
автомобил	автомобіль	automobile
автомобила	автомобіль	car
автомобили	автомобілі	automobiles
автомобилите	автомобілі	cars
автономен	автономний	self-governing
автономия	самостійність	autonomy
автономна	автономний	autonomous
автономни	автономний	autonomous
автор	автор	author
автора	автор	author
автори	авторів	authors
авторите	автори	the autors
авторитет	авторитет	authority
авторитета	авторитет	authority
авторски	авторські права	author's
авторът	автор	author
ага	так	agha
агамемнон	агамемнон	agamemnon
агент	агент	agent
агенти	агенти	agents
агенция	агентство	agency
агенцията	агентство	the agency
агрипина	агриппіна	agrippina
ад	з	ad
адам	адам	adam
адаптация	адаптація	adaptation
адекватно	адекватно	adequate
административен	адміністративний	administrative
административна	адміністративний	administrative
административната	адміністративний	the administrative
административни	адміністративний	administrative
административните	адміністративний	administrative
административно	адміністративно	administrative
администрация	адміністрація	administration
администрацията	адміністрація	administration
адолф	адольф	adolf
адрес	адреса	address
адреси	адреси	addresses
адрианопол	адріанополь	adrianopol
адриатическо	адріатичний	adriatic
аз	я	i
азбука	алфавіту	alphabet
азбуката	алфавіт	alphabet
азбуки	алфавітів	alphabets
азбучен	алфавітним	alfabetic
азербайджан	азербайджан	azerbaijan
азид	азид	azide
азис	азіс	azis
азия	азії	asia
азот	азот	nitrogen
азотът	азот	nitrogen
айлънд	острів	island
айнщайн	ейнштейн	einstein
айнщайний	ейнштейн	ainsteinium
айрес	айрів	aires
айсберг	айсберг	iceberg
айфеловата	ейфелева	eiffel
ак	ак	ak
акад	акад	prof.
академик	академік	academician
академия	академія	academy
академията	академії	academy
ако	якщо	if
акт	діяти	act
активен	активний	active
активи	активи	assets
активите	активи	assets
активна	активний	active
активната	активний	active
активни	активний	active
активните	активний	active
активно	активний	actively
активност	діяльності	activity
активността	діяльності	activity
актове	актів	acts
актриса	актриса	actress
актриси	актриси	actresses
актуална	струм	current
актьор	актор	actor
актьори	актори	actors
ал	ін	al
албания	албанія	albania
албански	албанська	albanian
албанци	албанці	albanians
албена	альбена	albena
алберт	альберт	albert
албум	альбом	album
албума	альбом	album
албуми	альбоми	album
албумът	альбом	album
алгоритъм	алгоритм	algorithm
алдехид	альдегід	aldehyde
александрия	олександрія	alexandria
александров	олександрова	alexandrov
александър	олександр	alexander
алексей	олексій	alexei
алексий	alexius	alexy
алел	алель	allele
алеманда	алеманда	alemanda
алжир	алжир	algeria
али	але	ali
алкохол	алкоголь	alcohol
аллах	аллах	allah
алпийски	альпійський	alpine
алпите	альпи	alps
алтаир	altair	altair
алтерация	зміна	aletro
алтернативни	альтернатива	alternative
алуминий	алюміній	aluminium
алфа	альфа	alpha
алфред	альфред	alfred
алън	алан	allen
аляска	аляска	alaska
амадеус	amadeus	amadeus
амазонка	амазонка	amazon
амбивалентност	амбівалентність	ambivalence
америка	америка	america
американска	американський	american
американската	американець	american
американски	американський	american
американските	американський	american
американския	американець	american
американският	американець	american
американското	американець	american
американците	американці	americans
аминокиселини	амінокислоти	amino acids
аминокиселините	амінокислоти	amino acids
амоняк	аміак	ammonia
амплитуда	амплітуда	amplitude
амстердам	амстердам	amsterdam
амфора	амфори	amphora
ан	ан	an
ана	ана	anna
анаконда	анаконда	anacond
анален	анальний	anal
анализ	аналіз	analysis
анализи	аналізи	analysis
ананке	ananke	ananke
анастилоза	анастильоз	anastylosis
анатомия	анатомія	anatomy
анатомията	анатомія	anatomy
ангажира	займається	committed
ангел	ангел	angel
ангелите	ангели	angels
ангелов	ангели	angelov
англ	англійська	engl.
английска	англійська	english
английската	англійська	the english
английски	англійська	english
английските	англійська	еnglish
английския	англійська	english
английският	англійська	english
английското	англійська	english
англичаните	англійська	the englishman
англия	англія	england
ангола	ангола	angola
андерсън	андерсон	anderson
анджелис	ангеліс	angeles
анди	енді	andy
андите	анди	andes
андора	андорра	andorra
андреев	андрєєв	andreev
андрей	андрей	andrei (name)
андромеда	андромеда	andromeda
анелия	анелія	aneliya
анкара	анкара	ankara
анна	анна	anna
аномалии	аномалії	abnormalities
аномалия	аномалія	anomaly
анри	генрі	henry
ансамбъл	ансамбль	ansamble
антантата	антанта	entente
антарктида	антарктида	antarctica
антарктика	антарктида	antarctic
антверпен	антверпен	antwerp
антициклон	антициклон	antyciclone
античната	древній	ancient
антични	антикварні	antique
античните	стародавні	antique
античния	древній	antique
античност	античності	antiquity
античността	античності	ancient
антон	антон	anton
антоний	ентоні	anthony
антоними	антоніми	antonyms
антонимите	антоніми	antonyms
антонио	антоніо	antonio
антъни	ентоні	anthony
анубис	анубіс	anubis
анус	анус	anus
ануса	анус	anus
анусът	задній прохід	anus
анхиало	анхіало	anhialo
аорта	аорта	the aorta
аортата	аорта	aorta
апарат	апарат	apparatus
апарата	апарат	apparatus
апарати	пристрої	apparatus
апатит	апатит	apatite
аполо	аполо	apollo
аполон	аполлон	apollo
аполония	аполонія	apollo
апостол	апостол	apostle
апостола	апостол	apostle
април	квітень	april
априлов	квітень	aprilov
априлското	квітень	the april
ар	ар	hectare
араби	арабські	arabs
арабите	араби	arabs
