$	$	None
naftu	sebe	None
naga	nas	None
nagaaday	izdržao	Nan
nageeye	drobljenje	Nan
nagiba	broj	None
naginimada	iskrenost	Nan
nagornokarabakh	usornokarabakh	Nan
nagu	nama	None
naguma	ni mi	Nan
nahay	mi smo	Nan
nahaye	haha	Nan
nahey	nahey	Nan
nairobi	nairobi	Nan
najaashi	punjac	Nan
nala	sa nama	Nan
naftooda	sebe	None
nalaga	od nas	Nan
naftiisa	sebe	None
naftay	sebe	None
nacas	budala	Nan
nacay	mrzeo	Nan
nacayb	mrziti	Nan
nadar	nadar	Nan
nadarkana	žao ti je	Nan
nadarkaygii	moji zavjeti	Nan
nadarkii	krunica	Nan
nadarkiisii	njegov zavjet	Nan
nadii	pretraživanje	Nan
nadiif	čist	None
nadiifsan	čist	None
nadray	izvini	Nan
naf	duša	None
nafta	duša	None
naftana	sebe	None
naftii	sebe	None
nalagu	sa nama	Nan
naloo	mi smo	Nan
nambiya	nambar	Nan
naxariistaha	saosećajni	Nan
naxariistee	budi ljubazan	Nan
naxariistii	saosećanje	Nan
naxariisto	imaju saosećanja	Nan
naxwaha	gramatiku	Nan
naxwe	gramatiku	Nan
nayjeeriya	depresija	Nan
nayroobi	ostani miran	Nan
ne	je	None
nearby	u blizini	Nan
nebal	nebal	Nan
nebi	prorok	Nan
nebiga	prorok	Nan
nebigu	prorok	Nan
nebinimda	nebinimda	Nan
naxariista	saosećanje	Nan
naxariis	saosećanje	Nan
naxaawiga	atmosfera	None
nato	nato	None
nancy	njezi	Nan
naqay	pohvale	Nan
nasab	počivaj	Nan
nasabka	disanje	None
nasabkii	sudbina	None
nasahnaa	počivaj	Nan
nasiib	sretno	Nan
nabiyullaahi	nabihullah	Nan
nasir	nazalna	Nan
nasri	nasri	Nan
nataashi	primiti	Nan
natiijada	rezultat	None
nation	nacija	None
national	nacionalna	None
nationlink	nationlink	Nan
nations	nacije	None
nasoo	hajde	Nan
necbaa	mrzeo	Nan
nabiyadii	proroci	Nan
nabigii	poslanik	None
muuqaallada	slike	None
muuqanayey	pojavljuju	None
muuqata	pojavljuje se	Nan
muuqatay	pojavile	None
muuqato	pojavljuje se	Nan
muuqda	pojavljuje se	Nan
muuqdaan	pojaviti	None
muuqday	pojavile	None
muuse	ispuniti	Nan
muusig	muzika	None
muwaadiniinta	građani	None
muxamadna	muhammad	Nan
muxamadun	muhammed	None
muxamed	muhammed	None
muxamedna	muhammad	Nan
muuqaalka	izgled	None
muxammed	muhammad	Nan
muumin	muumin	Nan
muujiyeen	izraženo	Nan
mustafa	mustafa	None
mustaqbalka	u budućnosti	Nan
mustaxiil	definicija	None
musuq	korupcija	Nan
musveni	musveni	Nan
mutaystay	zaslužuju	Nan
mutaystayee	zaslužuješ to	Nan
muujinaya	pokazujući	Nan
muujinayaa	pokazuje	None
muujinayo	pokazujući	Nan
muujinaysa	pokazujući	Nan
muujinaysaa	pokazuje	None
muujisay	pokazano	Nan
muujiyaa	otkriva	None
muujiyaha	ilustrator	Nan
muujiyey	pokazano	Nan
muxudiin	muxdinin	Nan
muxumad	kompliment	Nan
muxumed	muxumed	Nan
nabada	mir	None
nabadda	mir	None
nabaddayn	zdravo	Nan
nabadgalyadiisa	njegovu sigurnost	Nan
nabadgalyadiisana	njegovu sigurnost	Nan
nabadgalyo	zbogom	Nan
nabadgelyada	sigurnost	None
nabadgelyadiisa	njegovu sigurnost	Nan
nabadgelyo	zbogom	Nan
nabadoon	zdravo	Nan
nabadoonka	zdravo	Nan
nabi	nabi	Nan
nabiga	poslanik	None
nabigeeniina	naš prorok	Nan
nabigeennii	naš prorok	Nan
nabad	mir	None
naasiruddiin	ti si mučan	Nan
naasahablood	mozak	None
naasaha	grudi	Nan
muxumud	muhumud	Nan
muxuu	šta	None
muxyadiin	muhdiinin	Nan
mxaad	treća	None
na	sa	None
naa	također	None
naacaw	plače	Nan
nabinimada	proročanstvo	Nan
naad	klub	None
naagta	zena	Nan
naanaysaa	nadimak	None
naanaysi	nadimak	None
naanaysta	nadimak	None
naar	naar	Nan
naarta	vatra	None
naasa	dojke	None
naag	žena	None
necebyahay	mrzim to	Nan
nederlaan	holandski	None
nederland	holandija	None
noqoneysa	biti	None
noqoshadii	povratak	None
