$	$	$
+	+	+
<	&lt;	<
a	ఆఫ్	a
ab	ab	ab (coordinates)
abandonat	రద్దు	abandoned
abandonată	రద్దు	abandonded
abc	a b c.	abc
abdice	సింహాసనాన్ని	abdicate
abia	మాత్రమే	only
abilitatea	సామర్ధ్యం	ability
abilități	సామర్ధ్యాలు	skills
abilitățile	నైపుణ్యాలు	skills
abolirea	రద్దయిన	abolition
abordare	విధానం	approach
abordat	ప్రసంగించారు	approached
abraham	అబ్రహం	abraham
absența	లేకపోవడం	the lack of
absolut	సంపూర్ణ	absolutely
absolute	సంపూర్ణ	absolute
absolută	సంపూర్ణ	absolute
absolvirea	పూర్తి	graduation
absolvit	పట్టా	gratuated
abundente	అపార	abundant
abur	ఆవిరి	vapor
ac	సూది	ac
academia	అకాడమీ	the academy
academic	విద్యా	academic
academice	విద్యా	academical
academică	విద్యా	academical
academiei	అకాడమీ	academy
acasă	ఇల్లు	home
accelerat	వేగవంతమైన	accelerated
accent	యాసను	emphasis
accentuat	నొక్కి	emphasized
accentuată	పెరిగిన	pronounced
accentul	దృష్టి	tone
accepta	అంగీకరించాలి	accept
acceptarea	అంగీకారం	acceptance
acceptat	ఆమోదించబడిన	accepted
acceptate	ఆమోదించబడిన	accepted
acceptată	ఆమోదించబడిన	accepted
accepte	అంగీకరించాలి	accepts
acceptă	అంగీకరించాలి	accepts
acces	పట్టాభిషేక	access
accesul	యాక్సెస్	access
accident	ప్రమాదంలో	accident
acea	ఆ	she
aceasta	ఇది	this
această	ఇది	this
aceea	ఆ	that
aceeași	అదే	the same
acei	ఆ	those
acel	ఆ	that
acela	ఆ	that
același	అదే	same
acele	ఆ	those
acelea	ఆ	these
aceleași	అదే	those
acelei	ఆ	that
aceleiași	అదే	the same
acelor	ఆ	clockwise
acelui	ఆ	that
aceluiași	అదే	the same
acest	ఈ	this
acesta	ఈ	this
aceste	ఈ	this
acestea	ఈ	this
acestei	ఈ	this
acesteia	దాని	its
acestor	ఈ	these
acestora	వారి	their
acestui	ఈ	this
acestuia	ఇది	this one
acestă	ఈ	this
acetat	అసిటేట్	acetate
acetic	ఎసిటిక్	acethic
acești	ఈ	these
aceștia	ఈ	these
achiziționat	కొనుగోలు	acquired
acid	ఆమ్లము	acid
acidul	ఆమ్లము	acid
acidului	ఆమ్లము	acid
acilare	acylation	acetylation
acizi	ఆమ్లాలు	acids
acolo	అక్కడ	there
acoperit	కవర్	covered
acoperite	కవర్	covered
acoperită	కవర్	covered
acoperă	మూసి వేయుట	cover
acord	ఒప్పందం	grants
acorda	మంజూరు	grants
acordat	మంజూరు	accord
acordate	మంజూరు	granted
acordată	మంజూరు	given
acorde	పే	give
acordul	ఒప్పందం	agreement
acordă	మంజూరు	offers
act	పని	act
acte	చర్యలు	acts
actele	చర్యలు	documents
activ	క్రియాశీల	active
activat	సక్రియం	worked
active	ఆస్తులు	active
activează	సక్రియం	active
activi	క్రియాశీల	active
activitate	కార్యకలాపాలు	activity
activitatea	కార్యకలాపాలు	activity
activități	కార్యకలాపాలు	activities
activității	కార్యకలాపాలు	activity
activitățile	కార్యకలాపాలు	activities
activităților	కార్యకలాపాలు	activities
activă	సక్రియం	active
