спарта	sparta	0.0
ријечи	words	0.0
странице	pages	0.0
занимљиво	interesting	0.0
постојало	existed	8.861226349698834e-16
почне	begins	1.0191676202046893e-07
глумица	actress	1.6686449937040668e-07
хотел	hotel	6.914179897650866e-07
фајерфокс	firefox	7.387150268491109e-07
животиња	animal	7.668249253803235e-07
год	year	1.1538558849915464e-06
лозница	loznica	1.1769773605823571e-06
уназад	backwards	1.2171526484468634e-06
снег	snow	1.571274243738625e-06
састоје	consist	2.0978139431814873e-06
bili	were	2.1082678481508054e-06
производа	product	2.16622687559114e-06
будва	budva	2.331032751152986e-06
атина	athens	2.7166874139056097e-06
категоријајезици	language categories	2.9222263098658576e-06
скелет	skeleton	3.1852728137184874e-06
рнк	rna	3.4769764714968037e-06
гевара	guevara	3.6126000555454026e-06
модерних	modern	3.672372582325764e-06
предњи	front	3.711038286928195e-06
историчари	historians	4.7280686260997805e-06
лечењу	treatment	4.775351172838154e-06
насељен	inhabited	4.899943018574102e-06
утицајем	influence	5.008004038098657e-06
војника	soldiers	5.229990594606249e-06
племена	tribes	5.2651366710529755e-06
рим	rome	5.793102903278419e-06
превео	translated	5.953852780852747e-06
бавили	engaged in	6.35186614333416e-06
милена	milena	6.990597303138465e-06
деловање	operation	7.0359481803842765e-06
аустријанци	austrians	7.053890249431048e-06
јужном	southern	7.294731955457304e-06
војском	army	7.32259133821255e-06
војводина	vojvodina	7.380542261449019e-06
производе	products	8.364450407568284e-06
исхрани	diet	9.655595533213404e-06
илијаде	iliad	1.0252757046280119e-05
становништво	population	1.1072179588186641e-05
тешке	difficult	1.1139451193898723e-05
нас	our	1.2126770950642756e-05
документи	documents	1.2129906673713501e-05
хиландар	hilandar	1.2734820667161723e-05
днк	dnk	1.3268029341837871e-05
beograd	beograd	1.3555799019648829e-05
југословени	yugoslavs	1.3621285686429541e-05
изложени	exposed	1.5998938753696375e-05
календара	calendar	1.7016588425413353e-05
парламента	parliament	1.7112843466424494e-05
интернет	internet	1.7359488287620506e-05
бригантина	brigantine	1.8460874990830373e-05
категоријагрчки	greek category	2.0160285147031123e-05
шешељ	seselj	2.053266338679785e-05
горњим	upper	2.1856615207292233e-05
аполон	apollo	2.2000600495822232e-05
svoje	their own	2.2212620537779917e-05
детаљно	in detail	2.2360073586809053e-05
спор	dispute	2.2470069289787646e-05
тешко	difficult	2.255229651719075e-05
алпи	alps	2.288872485359127e-05
ватерполо	waterpolo	2.3117812380211793e-05
никшић	niksic	2.325909771158829e-05
насеље	settlement	2.4306511147233458e-05
охрид	ohrid	2.553524271902381e-05
школа	school	2.5749221722059543e-05
открили	discovered	2.6808542739029014e-05
дезоксирибоза	deoxyribose	2.859677804504232e-05
дипломата	diplomat	2.9219767815169046e-05
списи	writings	3.094061310865885e-05
низија	lowland	3.241569798767059e-05
трибунал	tribunal	3.27590915188785e-05
византијом	byzantium	3.3150367346185954e-05
мађарске	hungarian	3.4074459393864535e-05
туриста	tourist	3.494304349434629e-05
градоначелник	mayor	3.5651873925363616e-05
историчара	historian	3.766071506970948e-05
михајловић	mihailovich	3.8677026330315535e-05
кртола	tubers	4.115890483946147e-05
енглески	english	4.1300874281972754e-05
чланак	article	4.22040744885526e-05
смештене	accommodated	4.3202526418225834e-05
настао	was created	4.464021709661453e-05
територијално	territorial	4.5190346543493106e-05
музике	music	4.6005426644753344e-05
трговци	merchants	4.756160662096495e-05
карте	maps	4.8866089758817874e-05
шекспир	shakespeare	5.056448371407276e-05
израде	making	5.1138587321925656e-05
имала	had	5.3391271331019255e-05
село	village	5.477794696784715e-05
стефанова	stefan's	5.625773110458942e-05
принцеза	princess	5.697192794131755e-05
трново	trnovo	5.8039096408769285e-05
чланке	articles	5.909378717120049e-05
јадранско	adriatic	6.104926788521881e-05
каменовање	stoning	6.222155891027044e-05
музеј	museum	6.233278915113337e-05
потребе	needs	6.27992650575435e-05
мађарском	hungarian	6.29047344862622e-05
