$	$	$
+	+	+
`	`	'
a	а	a
abas	и двете	two
abc	абв	abc
abi	и двете	both
abiem	за двете	two
abinieki	земноводни	amphibia
abiniekiem	земноводни	amphibians
abinieku	земноводни	amphibian
aborts	аборт	miscarriage
abortu	аборт	abortion
absolventi	завършилите	graduates
absolūta	абсолютен	absolute
absolūtais	абсолютен	the absolute
absolūti	абсолютно	absolutely
absolūtisma	абсолютизъм	absolutist
absolūtisms	абсолютизъм	absolutism
absolūto	абсолютен	absolute
absolūtā	абсолютен	the absolute
absolūtās	абсолютен	absolute
absorbcija	абсорбция	absorption
absorbē	абсорбира	absorb
abu	и двете	two
abus	и двете	two
abām	и двете	two
abās	и в двете	two
acetamīds	ацетамид	acetamide
aci	око	wink
acinonyx	acinonyx	acinonyx
acis	очи	eyes
ack	аск	ack
acs	око	eye
acu	око	eye
acīm	очи	eye
acīmredzot	очевидно	obviously
acīs	очи	eyes
ad	реклама	ad
adaptācija	адаптация	adaptation
address	адрес	address
administratīvais	административен	administrative
administratīvi	административно	administrative
administratīvo	административен	administrative
administratīvā	административен	administrative
administratīvās	административен	administrative
administrācija	администрация	administration
administrācijas	администрация	administration
adrese	адрес	address
adreses	адреси	addresses
adresi	адрес	address
adresēm	адреси	addresses,
adrešu	адрес	addresses
adrijas	адриатическо	adriatic
afganistāna	афганистан	afghanistan
afganistānas	афганистан	afghani
afganistānā	в афганистан	afghanistan
afrodīte	афродита	aphrodite
agregatori	агрегатори	aggregrator
agri	агро	early
agrā	рано	early
agrāk	по-рано	past,
agrāko	бившият	earlier
agrākās	по-рано	earlier
agrīno	рано	early
agrīnā	рано	early
agrīnās	рано	early
ahl	ahl	ahl
ahāts	ахат	agate
aicina	призовава за	calls
aicināja	наречен	aicinaja
aids	помагала	aids
aigars	aigars	aigars
ainas	ainas	scenes
ainava	пейзаж	landscape
ainavas	пейзажи	our carbon
ainavu	пейзаж	landscapecijas
aisbergs	айсберг	iceburg
aitas	овца	sheep
aiz	зад	after
aizbēga	избягах	fled
aizgūti	назаем	borrowed
aizgūts	назаем	borrowed
aiziet	да напусна	leave
aiziešanas	тръгване	aizesanas
aizjūras	в чужбина	oversea
aizkraukles	гарвани	aizkraukles
aizliedz	забранено	prohibits
aizliedza	забранен	banned
aizliegta	забранено	prohibited
aizliegts	забранено	prohibited
aizliegums	забрана	ban
aizliegumu	забрана	ban
aizmugures	заден	back
aizmugurē	в гърба	behind
aizsardzība	защита	guarding
aizsardzībai	защита	protection
aizsardzības	защита	protection
aizsardzību	защита	protection
aizsardzībā	защита	guarding
aizsarggrāvis	заграждам с ров	a moat
aizsargā	предпазва	protector
aizsargājamie	защитени	protected
aizsargājamo	защитени	protected
aizsargāt	защитавам	defend
aizsargātu	защитавам	protect
aizslēgs	ключалка	shutter
aizstāt	замени	replace
aizstāvji	защитници	defenders
aizstāvēja	защити	defended
aizstāvēt	защитавам	defend
aizsāka	започна	started
aizsākumi	наченки	dates
aizsākās	започна	begins
aizvada	отнема	removed
aizvadīja	прекарах	played
aizvien	все още	more
aizvēsture	праистория	prehistroy
aizņem	заема	takes a
aizņēma	зает	takes a
aka	известен още като	well
akadēmija	академия	academy
