$	$	None
voluntary or involuntary	maraayo	None
maraayaan	maraayaan	None
maraakiibtiisa	maraakiibtiisa	None
the ships	maraakiibta	None
his chest from	maqlayso	None
article	qodobka	None
heard	maqlay	None
absent	maqnaa	None
hear	maqlo	Nan
maqac	maqac	None
articles	maqaalada	None
mao	mao	None
mansur	mansuur	None
manneystay	manneystay	None
the cirriculum	manhajka	None
mangooliyiintu	mangooliyiintu	None
mangooliyakadib	mangooliyakadib	None
managistu hailemariam	mangistu	None
manger	manger	None
remains behind,	marana	None
mange	mange	None
the times	mararka	None
marayaanna	marayaanna	None
markeeda	markeeda	None
ship	markab	None
when you	markaad	None
was cleansed by	mariyeen	None
possible	yiqiin	None
the passage	marinka	None
marine	marine	None
marinayaay	marinayaay	None
passage	marin	Nan
san marino	mariino	None
mariam as	mariam	None
united states	mareeykanka	None
marehan clan	mareexaan	None
mareergur	mareergur	None
mareerey	mareerey	None
alimentary canal	mareen	None
circuit	mareeg	None
soldiers died are	maraysa	None
maraykankuna	maraykankuna	None
through	through	None
maneestay	maneestay	None
mandera is a town in eastern kenya	mandheera	None
mandela	mandela	None
your local	maktabada	None
makordhaha	makordhaha	None
his cooperators	makka	None
makhsuum	makhsuum	None
restaurant	makhaayad	None
makedonia	makedonia	None
michael	makaahiil	None
majeerteen	majeerteen	None
comedy	majaajiliiste	None
maj	maj	None
mahathir	mahathir	None
mahadnaqayaa	mahadnaqayaa	None
these wars	mahaday	None
mahadey	mahadaay	None
inflammable	magubte	None
magtiinnu	magtiinnu	None
him should be brought	magtii	None
germination	magool	None
magazine	magazine	None
malaaig	malaaig	None
malaaigta	malaaigta	None
malaq	malaaq	None
malaaqa	malaaqa	None
mandeela	mandeela	None
mandaqada	mandaqada	None
mandab	mandab	None
manchester	manchester	None
maltisku	maltisku	None
malta	malta	None
maloo	maloo	None
dead end	maleh	None
the militia of	maleeshiyada	None
in the first	markeedi	None
maleenaa	maleenaa	None
maldiif	maldiif	None
kaulalambur	malaysiya	None
malaysia	malaysia	Nan
suppose	malaynayaa	None
malaheyn	malaheyn	None
malahan	malahan	None
perhaps	mindhaa	None
malaayga	malaayga	None
malawi	malaawi	Nan
maleegayeen	maleegayeen	None
solution	xal	None
markes	markes	None
immediately	markiiba	None
courts	maxkamadaha	None
mohammed	moxamud	None
maxamuude	maxamuude	None
mohamud	mohamud	None
maxammed	maxammed	None
maxamedaay	maxamedaay	None
mohamed	moxamed	None
poem is open for	maxamadow	None
court	maxkamada	None
what?	وسلم	None
maxaakiimta	maxaakiimta	None
mauritania	mauritania	None
matabaan	matabaan	None
twin	mataan	None
responsibility	xilka	None
is responsible for	masuul	None
massare	massare	None
massagada	massagada	None
the theater	masraxa	None
maxkamaduhii	maxkamaduhii	None
pacify	maslax	None
courts support	maxkamaduhu	None
the result	natiijada	None
mesopotamia	mesopotamia	None
mengista	mengista	None
melez	melez	None
military	millateriga	None
mexico	meksiko	None
wherever	meeshuu	None
how much?	meeqa	None
meeleeyaha	meeleeyaha	None
places	meelo	None
mediina	mediina	None
mr.	mudane	None
she is not	mayso	None
maysan	maysan	None
maynee	maynee	None
mile	mayl	None
maygaag	maygaag	Nan
mayeelayo	mayeelayo	None
may	may	None
maxéd	maxéd	None
protectorate	maxmiyadda	None
brain	maskax	None
masiixiyiintu	masiixiyiintu	None
christian woman	masiixiyad	None
entertain	martiqaad	Nan
martigelis	martigelis	Nan
the guests	martida	None
guest	marti	None
martgelinta	martgelinta	None
it was finished	martay	None
martabada	martabada	None
he rubbed with	marshey	None
the elephant	maroodigii	None
elephant	marooko	None
maromacawis	maromacawis	None
maroidjeex	maroidjeex	None
cloth	maro	None
never	weligeed	Nan
sometimes	marmarka	None
second time	marlabaad	None
be solved on their turn	markooda	None
an unknown	markiisa	None
markiidanbe	markiidanbe	Nan
marwaan	marwaan	None
lady	marwo	None
marx	marx	None
stage	marxalad	None
the christian man	masiixiga	None
christ	masiix	None
the project	mashruuca	None
busy	mashquul	None
mash	mash	None
jealousy	maseyr	None
masarayuu	masarayuu	None
egypt	masar	None
mat	masalle	None
when they	markey	None
masagaway	masagawaay	None
masaayda	masaayda	None
the poor	miskiga	None
the mosque	masaajidka	None
masaajiddada	masaajiddada	None
of mosques that are about 435 mosques	masaajida	None
mosque	masjidul	None
maryeenta	maryeenta	Nan
mary	maryan	None
stages	marxaladihii	None
masagada	masagada	None
meters	meters	Nan
magaloyinka	magaloyinka	None
names	magacyo	None
the peanuts	lowska	None
lordi	lordi	Nan
lord	rabbi	None
looyaqaany	looyaqaany	None
looyaqaanonikobolis	looyaqaanonikobolis	None
looyaqaano	looyaqaano	None
lootaxaabay	lootaxaabay	None
looqaybinkaraa	looqaybinkaraa	None
loomagacaabaycismaan	loomagacaabaycismaan	None
means	micnaheeda	None
lookhiyaameeyey	lookhiyaameeyey	None
looka	looka	None
loodoortay	loodoortay	None
london	london	None
locking	locking	None
lock	lock	None
inay cayimaan tirada iyo goobaha	location	None
lixdankii	lixdankii	None
lixaadlehna	lixaadlehna	None
lublin	lublin	None
sixth	lixaad	None
lebanon	lubnaan	None
legs	lugood	None
administration	maamulkii	None
maalkeeda	maalkeeda	None
is funded through ma	maaliyada	None
on this particular day	maalintani	None
on that day	maalintaas	None
the day	waagii	None
daily	maalmeede	None
maakhir	maakhir	None
the proverb	maahmaahda	None
except	reebo	None
besides	sokow	None
since	madaama	None
guess	mood	None
luuqeeyso	luuqeeyso	None
totter	luud	None
lose	lumin	None
luksemburg	luksemburg	None
someone	lugu	None
lugohooda	lugohooda	None
leg	lugtii	None
six	lixle	None
linux	linux	None
linuks	linuks	None
journalist	waryeele	None
he turned	leexday	None
deviated	leexatay	None
leeuwarden	leeuwarden	None
conspicuous	leelkase	None
leedihiyo	leedihiyo	None
leedahaye	leedahaye	None
leaguesyl	leaguesyl	None
originally intended	laysugu	None
tribesmen	laysu	None
laysku	laysku	None
bodies	layna	None
exercise	layli	None
layidhaahdaa	layidhaahdaa	None
layeen	layeen	None
laydiray	laydiray	None
fresh air	laydh	None
layaqaanaha	layaqaanaha	Nan
layaableh	layaableh	None
leeyaay	leeyaay	None
leeyahaymadaxtooyo	leeyahaymadaxtooyo	None
should know	leeyahy	None
-dejinta d/hoose	legislative	None
links	links	None
link	linkiga	None
the lemon	liinta	None
liide	liide	None
achievement	liibaan	None
lii	lii	None
lihiba	lihiba	None
