$	$	$
+	+	+
`	`	'
a	ए	a
abas	दोनों	two
abc	एबीसी	abc
abi	दोनों	both
abiem	दोंनो के लिए	two
abinieki	उभयचर	amphibia
abiniekiem	उभयचर	amphibians
abinieku	उभयचर	amphibian
aborts	गर्भपात	miscarriage
abortu	गर्भपात	abortion
absolventi	स्नातक	graduates
absolūta	पूर्ण	absolute
absolūtais	पूर्ण	the absolute
absolūti	पूर्ण रूप से	absolutely
absolūtisma	निरंकुश राज्य का सिद्धान्त	absolutist
absolūtisms	निरंकुश राज्य का सिद्धान्त	absolutism
absolūto	पूर्ण	absolute
absolūtā	पूर्ण	the absolute
absolūtās	पूर्ण	absolute
absorbcija	अवशोषण	absorption
absorbē	अवशोषण	absorb
abu	दोनों	two
abus	दोनों	two
abām	दोनों	two
abās	दोनों मे	two
acetamīds	acetamide	acetamide
aci	आंख	wink
acinonyx	एसिनोनिक्स	acinonyx
acis	आंखें	eyes
ack	एसीके	ack
acs	आंख	eye
acu	आंख	eye
acīm	आंखें	eye
acīmredzot	जाहिर है	obviously
acīs	आंखें	eyes
ad	विज्ञापन	ad
adaptācija	अनुकूलन	adaptation
address	पता	address
administratīvais	प्रशासनिक	administrative
administratīvi	प्रशासनिक रूप से	administrative
administratīvo	प्रशासनिक	administrative
administratīvā	प्रशासनिक	administrative
administratīvās	प्रशासनिक	administrative
administrācija	शासन प्रबंध	administration
administrācijas	शासन प्रबंध	administration
adrese	पता	address
adreses	पतों	addresses
adresi	पता	address
adresēm	पतों	addresses,
adrešu	पता	addresses
adrijas	एड्रियाटिक	adriatic
afganistāna	अफ़ग़ानिस्तान	afghanistan
afganistānas	अफ़ग़ानिस्तान	afghani
afganistānā	अफगानिस्तान में	afghanistan
afrodīte	aphrodite	aphrodite
agregatori	एग्रीगेटर्स	aggregrator
agri	कृषि	early
agrā	जल्दी	early
agrāk	पूर्व	past,
agrāko	भूतपूर्व	earlier
agrākās	पूर्व	earlier
agrīno	जल्दी	early
agrīnā	जल्दी	early
agrīnās	जल्दी	early
ahl	अहल	ahl
ahāts	सुलेमानी पत्थर	agate
aicina	के लिए कहता है	calls
aicināja	बुलाया	aicinaja
aids	एड्स	aids
aigars	aigars	aigars
ainas	ainas	scenes
ainava	परिदृश्य	landscape
ainavas	परिदृश्य	our carbon
ainavu	परिदृश्य	landscapecijas
aisbergs	हिमशैल	iceburg
aitas	भेड़	sheep
aiz	पीछे	after
aizbēga	भाग गया	fled
aizgūti	उधार	borrowed
aizgūts	उधार	borrowed
aiziet	चले जाना	leave
aiziešanas	प्रस्थान	aizesanas
aizjūras	विदेशी	oversea
aizkraukles	कौवे	aizkraukles
aizliedz	निषिद्ध	prohibits
aizliedza	पर प्रतिबंध लगा दिया	banned
aizliegta	निषिद्ध	prohibited
aizliegts	निषिद्ध	prohibited
aizliegums	प्रतिबंध	ban
aizliegumu	प्रतिबंध	ban
aizmugures	पीछे	back
aizmugurē	पीठ में	behind
aizsardzība	सुरक्षा	guarding
aizsardzībai	सुरक्षा	protection
aizsardzības	सुरक्षा	protection
aizsardzību	सुरक्षा	protection
aizsardzībā	सुरक्षा	guarding
aizsarggrāvis	खाई	a moat
