$	$	american dollar symbol
+	+	plus
<	&lt;	lesser than
<சீர்>	&lt;smooth&gt;	mend
<நிரை>	&lt;row&gt;	hirsels
<நேர்>	&lt;person&gt;	straight
=	=	equal
==	==	headings
===	===	equal
>	&gt;	greater than
^	^	power symbol in maths
|	|	|
~	~	percent
 × 	×	multiplication
°	°	degree
α	α	a
λ	λ	a mathematical symbol
φ	φ	mesherment
ஃபயர்ஃபாக்ஸ்	firefox	fire fox
ஃபேஸ்புக்	facebook	facebook
ஃவீனால்	hvin	a chemaical name
அ	a	a
அ.கே.கே	faq	below asked questions
அஇஅதிமுக	aiadmk	aiadmk
அகச்சிவப்பு	waxyaabaha la isweydiiyo	dark red
அகதிகள்	qaxooti	refugees
அகத்தியர்	sage	agasthiyar
அகநானூறு	akananuru	ahananuru
அகம்	agam	inside
அகர	alifbeel ahaan	alphabetically
அகரமுதலி	wiktionary	alphabets
அகரம்	agaram	agaram, a dictionary
அகரவரிசை	xarfaha alifbeetada	alphabet
அகராதி	qaamuus	dictionary
அகராதிகள்	qaamuusyada	alphabets
அகற்ற	tirtir	remove
அகற்றி	waa laga saaray	destroy
அகலம்	ballac	width
அகலாங்கு	latitude	latitude
அகழ்பொறி	akalpori	driller
அகஸ்ட்டஸ்	augustus	aghastas
அகிம்சை	rabshado	ahimsa, and non violence
அகில	dhamaan	all india
அகிலத்தின்	caalami	of the world
அகிலத்திரட்டு	akilattirattu	a measurement
அகிலம்	caalami	world
அக்கட்சியின்	zimmermann	that party
அக்கறை	daryeel	other side bank
அக்கால	waqtiga	during those days
அக்காலகட்டத்தில்	muddadii	during that time
அக்காலத்தில்	wakhtigaas,	at the time
அக்காலத்து	waayadii hore	during those days
அக்குபிரசர்	akkupiracar	acupuncture
அக்டோபர்	oktoobar	october
அக்பரின்	akbar	king
அக்பருக்கு	akbar	to akbar
அக்பரை	akbar	akbar
அக்பர்	akbar	akbar
அங்கமாக	qayb	is a part
அங்கம்	element	part
அங்காரா	ankara	ankara
அங்கிருந்த	the	there
அங்கிருந்து	laga soo bilaabo halkaas	approve
அங்கீகரிக்கப்பட்ட	idman	authorised
அங்கீகாரம்	xaqiijinta	recognition
அங்கு	waxaa jira	there
அங்குள்ள	the	on that
அங்கூர்	ankur	angur
அங்கே	waxaa jira	there
அசல்	asalka ah	original
அசாதாரண	aan caadi ahayn	extraordinary
அசாம்	assam	assam
அசினின்	asin	asin
அசின்	daabac	asin
அசோகர்	ashoka	the king asoka
அச்	daabac	that
அச்சகம்	saxaafadda	press
அச்சின்	daabac	axis of
அச்சில்	daabac	in axis
அச்சு	daabac	axis
அச்சுப்	daabac	print
அஜித்	ajith	ajith a name
அடக்கம்	aaska	included
அடக்கும்	cadeeye	contains
அடங்கிய	qabashada	consisting, based
அடங்கியுள்ள	hayaa	with
அடங்கியுள்ளது	hayaa	contains
அடங்கியுள்ளன	waxaa ku jira	included
அடங்குகின்றன	waxay ka mid yihiin	included
அடங்கும்	waxaa ku jira	included
அடங்குவர்	ku darista	including
அடர்த்தி	cufnaanta	volume
அடர்த்தியான	qaro weyn	dark
அடி	tallaabo	feet
அடிகள்	talaabooyinka	hits
அடிக்கடி	inta badan	often
அடிக்குறிப்புகளும்	hoosadayaasha	footnotes
அடிப்படை	aasaasiga ah	fundamental
அடிப்படைகள்	aasaaska	fundamentals
அடிப்படைக்	aasaaska	fundamentally
அடிப்படைத்	aasaasiga ah	fundamentally
அடிப்படைப்	aasaasi ah	basic of
