$  	$	dollar
=	=	=
>	&gt;	>
a		the
ab	ab	ab
aba	aba	aba
abba	în ea	into
abban	acolo	"in that ""abban az esetben"" means ""in (that) case"""
abból	de acolo	from that
abc	abc	abc
abraham	abraham	abraham
abszint	absint	absynth
abszintot	absint	absinthe
abszolút	absolut	absolute
abu	abu	abu
ac	ac	ac milan (football)
acdc	ac dc	acdc
achát	agat	agate
act	act	act
acél	oţel	steel
ad	da	give
adam	adam	adam
adams	adams	adams
adat	date	data
adatai	informație	data
adatait	informație	data of
adatok	date	data
adatokat	date	data
adatot	date	data
addig	pana atunci	will
addigi	anterior	current
addigra	pana atunci	by then
adja	introduce	give
adjon	da	so he give
adminisztratív	administrativ	administrative
admirális	amiral	admiral
adnak	ei	they
adni	da	to give
adolf	adolf	adolf
adott	dat	specific
adrian	adrian	adrian
adta	a dat	he performed
adtak	ei	gave
adták	eliberată	gave
ady	ady	ady
adó	impozit	provider
adódik	datorat	given
adók	eu dau	taxes
adót	taxe	tax
afganisztán	afganistan	afghanistan
afganisztáni	afganistan	of afghanistan
afgán	afgan	afghani
afrika	africa	africa
afrikai	african	african
afrikában	africa	in africa
agatha	agata	agatha
agy	creier	brain
ahhoz	la ea	thereto
ahogy	la fel de	as
ahogyan	la fel de	as
ahol	unde	where
ahonnan	de unde	from where
ahova	unde	to where
ahová	unde	where
ai	ai	this word does not make sense on its own
aids	sida	aids
air	aer	air
aires	aires	aires
airsoft	airsoft	airsoft
ajánlatot	oferi	offer
ajánlott	recomandat	recommended, offered
ajánlotta	recomandat	recommended
akad	lag-uri	there
akadt	prins	had
akadtak	au fost	could be found
akadályozta	prevenite	obstructed
akadémia	academie	academy
akadémiai	academic	academical
akadémián	academie	academy
akar	voi	wants to
akarat	voi	will
akarata	voi	will of
akarja	la	wants
akarnak	ei vor	they want
akart	dorit	he wanted
akarta	dorit	wanted
akartak	ei doreau	wanted
akarták	ei doreau	wanted
akció	acțiune	action
akhilleusz	ahile	achilles
