$	$	None
prvo	प्रथम	None
prvobitno	मौलिक रूप से	Nan
prvog	सबसे पहला	Nan
prvoj	सबसे पहला	Nan
prvom	प्रथम	None
prvu	सबसे पहला	Nan
psihologija	मनोविज्ञान	None
ptica	चिड़िया	Nan
ptice	पक्षियों	None
public	जनता	None
publici	दर्शक	None
publika	दर्शक	None
publike	दर्शक	None
publiku	दर्शक	None
puca	गोली मारता है	Nan
prvim	प्रथम	None
prvih	प्रथम	None
prvi	प्रथम	None
prvenstvu	चैंपियनशिप	Nan
prošlost	भूतकाल	Nan
prošlosti	अतीत की	Nan
prsten	अंगूठी	Nan
pruga	रेलवे	None
pruge	धारियों	Nan
pruska	प्रशिया	Nan
pruskog	प्रशिया	Nan
puka	गोली मार	Nan
pruža	प्रदान करता है	Nan
prva	प्रथम	None
prvaci	चैंपियन	Nan
prvaka	चैंपियन	Nan
prve	प्रथम	None
prvenstva	चैंपियनशिप	Nan
prvenstveno	मुख्य रूप से	Nan
prvenstvo	चैंपियनशिप	Nan
pružaju	प्रदान करें	Nan
prošlog	अतीत की	Nan
pukovnik	कर्नल	Nan
pumpa	पंप	Nan
putu	मार्ग	None
putuje	यात्रा	None
puše	चल रही है	Nan
pušenja	धूम्रपान	None
pušenje	धूम्रपान	None
puškin	पुश्किन	Nan
px|a	px | ए	Nan
p|pobjednik	पी | विजेता	Nan
p|prvak	पी | चैंपियन	Nan
pčela	मधुमक्खी	None
pčelarstvo	शहर की मक्खियों का पालना	Nan
pčele	मधुमक्खियों	Nan
pčelinjak	मधमक्खियों के पालने का स्थान	Nan
pšenica	गेहूँ	None
q	क्ष	Nan
putovanje	यात्रा	None
putovanja	यात्रा	None
putnici	यात्रियों	None
putne	यात्रा	None
pumpe	पंप	Nan
pun	यमक	Nan
puna	पूर्ण	None
pune	पुणे	None
punih	पूर्ण	None
punim	पूर्ण	None
punk	गुंडा	Nan
puli	पुली	Nan
puno	बहुत	None
pustinja	रेगिस्तान	None
pustinje	रेगिस्तान	None
put	मार्ग	None
puta	बार	None
putem	मार्ग	None
puteva	सड़कें	Nan
putevi	सड़कें	Nan
punu	पूर्ण	None
quad	ट्रैक्टर	Nan
prošlo	बीतने के	Nan
proširio	विस्तार	None
prosječni	औसत	None
prosječno	औसत	None
prosječnom	औसत	None
prostirala	फैलाव	None
prostire	हिस्सों	None
prostor	अंतरिक्ष	None
prostora	अंतरिक्ष	None
prostore	अंतरिक्ष	None
prostori	रिक्त स्थान	Nan
prostorima	रिक्त स्थान	Nan
prostoru	अंतरिक्ष	None
proteina	प्रोटीन	None
proteini	प्रोटीन	None
proteklih	अतीत	None
protestanti	प्रोटेस्टेंट	None
prosječne	औसत	None
prosječna	औसत	None
prosjeku	औसत	None
propisima	नियम	None
prometu	यातायात	None
promijenila	बदला हुआ	Nan
promijenio	बदला हुआ	Nan
promijeniti	बदलने के लिए	Nan
promjena	परिवर्तन	None
promjenama	परिवर्तन	None
promjene	परिवर्तन	None
protestantizam	प्रोटेस्टेंट	None
promjenu	परिवर्तन	None
pronaći	ढूँढ़ने के लिए	Nan
pronađen	मिल गया	Nan
pronađena	मिल गया	Nan
pronađene	मिल गया	Nan
pronađeni	मिल गया	Nan
propast	रसातल	Nan
propasti	कयामत	Nan
pronalazi	पाता	Nan
prošla	बीतने के	Nan
proteže	हिस्सों	None
protivnici	विरोधियों	None
provincije	प्रांतों	None
provinciji	प्रांत	None
provjera	जाँच	None
provjere	चेकों	Nan
provodi	आयोजित	None
provođenje	कार्यान्वयन	None
proza	गद्य	None
prozi	गद्य	None
prozor	खिड़की	Nan
proći	उत्तीर्ण करना	Nan
prođe	गुजरता	None
prošao	बीतने के	Nan
proširenja	एक्सटेंशन	None
proširenje	विस्तार	None
proširila	विस्तार	None
provincijama	प्रांतों	None
provincija	प्रांत	None
proveo	खर्च किया	Nan
provela	खर्च किया	Nan
protivnik	प्रतिद्वंद्वी	None
protivnika	प्रतिद्वंद्वी	None
protivnički	विरोधात्मक	Nan
protivničkog	दुश्मन का	Nan
protivnom	अन्यथा	None
protiče	बहती	Nan
protjerani	निष्कासित	Nan
protiv	विरुद्ध	None
protok	बहे	Nan
protokola	मसविदा बनाना	Nan
protokoli	प्रोटोकॉल	None
proučava	अध्ययन करते हैं	Nan
proučavaju	अध्ययन	None
proučavanja	अध्ययन करते हैं	Nan
proučavanje	अध्ययन	None
proučavanjem	पढ़ाई द्वारा	Nan
protokol	मसविदा बनाना	Nan
queen	रानी	None
queena	queena	Nan
quichémam	quichémam	Nan
ravnomjerno	के बराबर	Nan
ravnopravnost	समानता	None
razaranja	विनाश	None
razdoblja	अवधि	None
razdoblje	अवधि	None
razdoblju	अवधि	None
razdvajanja	पृथक्करण	None
razdvajanje	पृथक्करण	None
razgovor	बातचीत	None
razgovora	बातचीत	None
razini	स्तर	None
razlika	अंतर	None
razlikama	मतभेद	None
razlike	मतभेद	None
razlikovanje	भेदभाव	None
ravno	सीधे	None
ravnice	मैदानों	None
ravnica	मैदान	None
ravni	स्तर	None
ratna	युद्ध	Nan
ratne	युद्ध	Nan
ratni	युद्ध	Nan
ratnici	योद्धा की	Nan
ratnih	युद्ध	Nan
ratnim	युद्ध	Nan
ratnog	युद्ध	Nan
razlikovati	अंतर	None
ratom	युद्ध	Nan
ratovanja	युद्ध	Nan
ratove	युद्ध	Nan
ratovi	युद्ध	Nan
ratovima	युद्ध	Nan
ratu	युद्ध	Nan
ravan	समतल	Nan
ravna	समतल	Nan
ratova	युद्ध	Nan
ratko	ratko	Nan
razliku	अंतर	None
razlikujemo	हम अंतर करते हैं	Nan
razni	विभिन्न	None
raznih	विभिन्न	None
raznim	विभिन्न	None
razuma	कारण	None
razumijevanja	समझ	None
razumijevanje	समझ	None
razumjeti	समझने के लिए	Nan
razvija	विकसित	None
razvijaju	विकसित करना	Nan
razvijala	विकसित	None
razvijao	विकसित	None
razvijati	विकसित करना	Nan
razvije	विकसित करता है	Nan
razvijen	विकसित	None
razvijena	विकसित	None
razne	विभिन्न	None
razna	विभिन्न	None
razmnožavanje	प्रजनन	None
razmjera	स्केल	None
razlikuju	अलग	None
različit	विभिन्न	None
različita	विभिन्न	None
različite	विभिन्न	None
različiti	विभिन्न	None
različitih	विभिन्न	None
različitim	विभिन्न	None
razlikuje	अलग है	Nan
različito	विभिन्न	None
različitu	विभिन्न	None
razlog	कारण	None
razloga	कारणों	None
razlozi	कारणों	None
razmišljanja	विचारधारा	Nan
razmjena	अदला बदली	Nan
razmjenu	अदला बदली	Nan
različitog	विभिन्न	None
rata	युद्ध	Nan
rat	युद्ध	Nan
rastvor	उपाय	None
radne	काम कर रहे	Nan
radnici	कर्मी	None
radnik	मज़दूर	Nan
radnika	कर्मी	None
radnički	काम कर रहे	Nan
radnja	कार्य	None
radnje	कार्रवाई	None
radnju	कार्य	None
rado	ख़ुशी से	Nan
radom	काम	None
radova	काम करता है	Nan
radove	काम करता है	Nan
radovi	काम करता है	Nan
radovima	काम करता है	Nan
radu	काम	None
radna	काम कर रहे	Nan
raditi	काम करने के लिए	Nan
radiotelevizije	रेडियो और टेलीविजन	Nan
radio	रेडियो	None
quijote	quijote	Nan
r	आर	None
ra	रा	Nan
rad	काम	None
rada	काम	None
rade	काम	None
radi	काम करता है	Nan
