$	$	None
perdues	izgubljen	Nan
perdus	izgubljen	Nan
performance	performans	Nan
performances	predstave	None
permanence	stalnost	Nan
permanent	stalni	None
permanente	permed	Nan
permanents	stalni	None
permet	dozvoljava	None
permettait	dozvoljeno	None
permettant	dopuštajući	Nan
permettent	dopustiti	Nan
permettra	će dozvoliti	Nan
permettrait	bi dozvolili	Nan
permettre	dopustiti	Nan
perdue	izgubljen	Nan
permis	dozvola	None
perdu	izgubljen	Nan
perdent	izgubiti	None
pension	penzija	Nan
pensé	misao	None
pensée	misao	None
pensées	misli	None
pentagone	pentagon	Nan
pentamètre	pentametar	Nan
pente	nagib	Nan
pentecôte	duhova	Nan
people	ljudi	None
peoples	naroda	None
peppers	paprike	Nan
perception	percepcija	Nan
percée	proboj	Nan
perd	izgubiti	None
perdant	gubljenje	Nan
perdre	izgubiti	None
permit	dozvola	None
perrault	perrault	Nan
perrin	perrin	Nan
perçu	uočena	Nan
perçue	uočena	Nan
peste	kuga	Nan
pesticides	pesticidi	Nan
pete	prdne	Nan
peter	prdnuti	Nan
petit	mala	None
petite	mala	None
petites	mala	None
petitfils	unuk	Nan
petits	mala	None
peu	malo	None
peuple	ljudi	None
peuplement	stajati	Nan
peuples	naroda	None
perçoit	opaža	Nan
pertes	gubici	Nan
perte	gubitak	None
perspectives	perspektive	Nan
perry	perry	Nan
persan	perzijski	None
perse	perzijski	None
perses	perzijski	None
personnage	karakter	None
personnages	karaktera	None
personnalité	ličnost	None
penseurs	mislioca	Nan
personnalités	ličnosti	None
personnel	osoblje	Nan
personnelle	lični	None
personnellement	lično	None
personnelles	lični	None
personnels	lični	None
personnes	ljudi	None
perspective	perspektiva	Nan
personne	niko	None
peuplé	ljudi	None
penser	misli	None
pense	misao	None
passe	prošlost	None
passent	proći	None
passer	proći	None
passerelle	most	None
passes	prolazi	None
passif	pasivan	Nan
passion	strast	Nan
passionné	strastven	Nan
passions	strasti	Nan
passé	prošlost	None
passée	prošlost	None
passées	prošlost	None
passés	prošlost	None
pasteur	pastor	Nan
paternité	očinstvo	Nan
passant	prolazi	None
pathogènes	patogeni	Nan
passait	događalo se	Nan
passagers	putnici	None
partisans	pristalice	Nan
partition	particiji	Nan
partout	svuda	Nan
parts	dionica	None
paru	objavljeno	Nan
parue	pušten	Nan
parution	pustiti	Nan
parvenir	doseg	Nan
parvenu	posegnula	Nan
parviennent	upravljati	Nan
parvient	upravlja	None
pas	ne	None
pascal	paskalan	Nan
passa	prošao	None
passage	prolaz	None
passages	odlomci	Nan
pathologie	patologija	Nan
pathologies	patologije	Nan
patient	pacijent	Nan
payé	plaćen	Nan
peau	koža	None
pedro	pedro	Nan
peindre	slikati	Nan
peine	bol	None
peines	kazne	None
peint	ofarbani	Nan
peintre	slikar	None
peintres	slikari	None
peinture	slikanje	Nan
peintures	slike	None
pendant	dok	None
penny	novčić	Nan
