$	$	dollars
<	&lt;	<
 г	d	y. (year)
 година	godine	year
 €	€	euro
­	­	-
°	°	degrees
°с	° s	degree celsius
π	π	pi
φ	φ	f
а	a	a
абдикира	abdicira	abdicate
абридж	skinuti	abridge
абритус	abritus	abrittus
абсолютна	apsolutni	absolute
абсолютно	apsolutno	absolutely
абу	abu	abu
абълин	abulin	ablin
аварията	nesreca	breakdown
август	avgusta	august
авиация	vazduhoplovstva	aviation
авив	aviv	aviv
австралия	australija	australia
австрийска	austrijski	austrian
австрия	austria	austria
австроунгария	austro-ugarska	austria-hungary
автобуси	autobusi	buss
автогара	autobuska stanica	bus station
автомагистрала	autoputa	motorway
автоматично	automatski	automatic
автомобил	auto	automobile
автомобила	auto	car
автомобили	automobili	automobiles
автомобилите	automobili	cars
автономен	autonomni	self-governing
автономия	autonomija	autonomy
автономна	autonomni	autonomous
автономни	autonomni	autonomous
автор	autor	author
автора	autor	author
автори	autori	authors
авторите	autori	the autors
авторитет	autoritet	authority
авторитета	autoritet	authority
авторски	autorska prava	author's
авторът	autor	author
ага	da	agha
агамемнон	agamemnon	agamemnon
агент	agent	agent
агенти	agenti	agents
агенция	agencija	agency
агенцията	agencija	the agency
агрипина	agrippina	agrippina
ад	od	ad
адам	adame	adam
адаптация	adaptacija	adaptation
адекватно	adekvatno	adequate
административен	administrativne	administrative
административна	administrativne	administrative
административната	administrativne	the administrative
административни	administrativne	administrative
административните	administrativne	administrative
административно	administrativno	administrative
администрация	administraciju	administration
администрацията	administraciju	administration
адолф	adolf	adolf
адрес	adresu	address
адреси	adrese	addresses
адрианопол	adrianople	adrianopol
адриатическо	jadran	adriatic
аз	ja	i
азбука	abeceda	alphabet
азбуката	abeceda	alphabet
азбуки	abecede	alphabets
азбучен	abecedno	alfabetic
азербайджан	azerbejdžan	azerbaijan
азид	azide	azide
азис	azis	azis
азия	aziji	asia
азот	nitrogen	nitrogen
азотът	nitrogen	nitrogen
айлънд	ostrvo	island
айнщайн	ajnštajn	einstein
айнщайний	ajnštajn	ainsteinium
айрес	aires	aires
айсберг	ledeno brijeg	iceberg
айфеловата	eiffelov	eiffel
ак	ak	ak
акад	akad	prof.
академик	akademik	academician
академия	akademija	academy
академията	akademija	academy
ако	ako	if
акт	djeluju	act
активен	aktivan	active
активи	imovina	assets
активите	imovina	assets
активна	aktivan	active
активната	aktivni	active
активни	aktivan	active
активните	aktivan	active
активно	aktivan	actively
активност	aktivnost	activity
активността	aktivnost	activity
актове	akti	acts
актриса	glumica	actress
актриси	glumice	actresses
актуална	trenutna	current
актьор	glumca	actor
актьори	glumcima	actors
ал	al	al
албания	albanija	albania
албански	albanski	albanian
албанци	albanci	albanians
албена	albena	albena
алберт	albert	albert
албум	album	album
албума	album	album
албуми	albumi	album
албумът	album	album
алгоритъм	algoritam	algorithm
алдехид	aldehid	aldehyde
александрия	aleksandrija	alexandria
александров	aleksandrov	alexandrov
александър	aleksandra	alexander
алексей	alexey	alexei
алексий	alexius	alexy
алел	alel	allele
алеманда	alemanda	alemanda
алжир	alžir	algeria
али	ali	ali
алкохол	alkohol	alcohol
аллах	allah	allah
алпийски	alpski	alpine
алпите	alpe	alps
алтаир	altair	altair
алтерация	izmjena	aletro
алтернативни	alternativa	alternative
алуминий	aluminijum	aluminium
алфа	alfa	alpha
алфред	alfred	alfred
алън	alan	allen
аляска	aljaska	alaska
амадеус	amadeus	amadeus
амазонка	amazon	amazon
амбивалентност	ambivalencija	ambivalence
америка	amerika	america
американска	američko	american
американската	američki	american
американски	američko	american
американските	američko	american
американския	američki	american
американският	američki	american
американското	američki	american
американците	amerikanci	americans
аминокиселини	amino kiseline	amino acids
аминокиселините	amino kiseline	amino acids
амоняк	amonijak	ammonia
амплитуда	amplituda	amplitude
амстердам	amsterdam	amsterdam
амфора	amfora	amphora
ан	an	an
ана	ana	anna
анаконда	anakonda	anacond
анален	analni	anal
анализ	analiza	analysis
анализи	analize	analysis
ананке	ananke	ananke
анастилоза	anastiloza	anastylosis
анатомия	anatomija	anatomy
анатомията	anatomija	anatomy
ангажира	angažuje	committed
ангел	anđeo	angel
ангелите	anđeli	angels
ангелов	anđeli	angelov
англ	engleski	engl.
английска	engleski	english
английската	engleski	the english
английски	engleski	english
английските	engleski	еnglish
английския	engleski	english
английският	engleski	english
английското	engleski	english
англичаните	engleski	the englishman
англия	engleska	england
ангола	angola	angola
андерсън	anderson	anderson
анджелис	angelis	angeles
анди	andy	andy
андите	andi	andes
андора	andora	andorra
андреев	andreev	andreev
андрей	andrej	andrei (name)
андромеда	andromeda	andromeda
анелия	anelia	aneliya
анкара	ankara	ankara
анна	anna	anna
аномалии	anomalije	abnormalities
аномалия	anomalija	anomaly
анри	henry	henry
ансамбъл	ansambl	ansamble
антантата	antenta	entente
антарктида	antarktika	antarctica
антарктика	antarktika	antarctic
антверпен	antwerp	antwerp
антициклон	anticiklona	antyciclone
античната	drevni	ancient
антични	starinski	antique
античните	drevnih	antique
античния	drevni	antique
античност	antika	antiquity
античността	antika	ancient
антон	anton	anton
антоний	anthony	anthony
антоними	antonimi	antonyms
антонимите	antonimi	antonyms
антонио	antonio	antonio
антъни	anthony	anthony
анубис	anubis	anubis
анус	analni otvor	anus
ануса	analni otvor	anus
анусът	anus	anus
анхиало	anhialo	anhialo
аорта	aorta	the aorta
аортата	aorta	aorta
апарат	aparata	apparatus
апарата	aparata	apparatus
апарати	uređaja	apparatus
апатит	apatit	apatite
аполо	apolo	apollo
аполон	apolon	apollo
аполония	apolonija	apollo
апостол	apostol	apostle
апостола	apostol	apostle
април	aprila	april
априлов	aprila	aprilov
априлското	aprila	the april
ар	ar	hectare
араби	arapski	arabs
