$	$	None
patates	кромпир	Nan
patent	патент	Nan
patlak	наочар	Nan
patlama	експлозија	Nan
patlaması	експлозија	Nan
paul	паул	Nan
paulo	пауло	Nan
pay	објави	Nan
paylaştı	дељено	Nan
payı	објави	Nan
pazar	недеља	None
paşa	пасха	Nan
paşanın	паша	None
paşaya	паша	None
paşayı	паша	None
pasteur	пастер	Nan
pasifik	пацифик	Nan
pasif	пасиван	Nan
pascal	пасцал	Nan
partinin	журка	Nan
partisi	журка	Nan
partisinin	журка	Nan
parça	комад	None
parçacık	честица	None
parçacıklar	честице	Nan
parçacıkların	честице	Nan
pek	врло	None
parçalar	делови	None
parçaların	делови	None
parçalarını	делови	None
parçalarının	делова	None
parçası	део тога	Nan
parçasıdır	то је део	Nan
parçasını	део	None
pas	рђа	Nan
parçaları	комада	None
partili	журка	Nan
pekkan	пеккан	Nan
pelikan	пеликан	None
picasso	пицассонун	Nan
pierre	пиерре	Nan
pilot	пилот	None
pir	патријарх	None
piramidi	пирамида	Nan
piramidin	пирамида	Nan
piramit	пирамида	Nan
piramitin	пирамида	Nan
piri	пири	Nan
pirinç	пиринач	Nan
pisagor	писагор	Nan
pitt	питт	Nan
piyade	пешадије	Nan
piyano	клавир	Nan
piyasa	тржиште	None
pi	пи	Nan
phoenix	феникс	Nan
peygamberin	пророк	Nan
peygamberi	пророк	Nan
pembe	розе	Nan
penaltı	казна	None
people	људи	None
perde	завеса	Nan
performansı	перформансе	Nan
peri	вила	None
periyodik	периодични	Nan
pekçok	већина	None
periyodu	раздобље	None
persler	перзијанци	Nan
personel	особље	Nan
personeli	особље	Nan
peter	петер	Nan
petrol	уље	None
peyami	пеиами	Nan
peygamber	посланиче	Nan
pers	перс	Nan
piyasaya	тржиште	None
partilerin	журка	Nan
partiler	забаве	Nan
oyuncusu	плаиер	Nan
oyunda	у игри	Nan
oyundan	игра	None
oyunlar	игре	None
oyunları	игре	None
oyunlarına	игра у	Nan
oyunlarında	игра	None
oyunlarının	игра од	Nan
oyunu	игра	None
oyunun	игра	None
oyununda	у игри	Nan
ozan	песник	None
oğlu	син-	Nan
oğludur	сине	Nan
oğlunun	син	None
oyuncunun	плаиер	Nan
oyunculuk	глума	Nan
oyuncuların	играчи	None
oyuncuları	играчи	None
oynamak	игра	None
oynamaktadır	играња	Nan
oynamaya	игра	None
oynamış	су играли	Nan
oynamıştır	свирао је	Nan
oynanan	играо	None
oynanır	се игра	Nan
oğulları	синови	None
oynar	игра	None
oynayan	свирање	Nan
oysa	док	None
oyun	игра	None
oyuna	игра	None
oyuncak	играчка	Nan
oyuncu	плаиер	Nan
oyuncular	играчи	None
oynarlar	они играју	Nan
partileri	забаве	Nan
oğuz	оðуз	Nan
p	п	None
parası	новац	None
paris	париз	None
parise	парис	Nan
pariste	парис	Nan
park	парк	None
parkı	парк	None
parlak	светла	None
parlaklığı	светлост	None
parlamenter	парламентарни	Nan
parlamento	парламент	None
parlamentonun	парламент	None
parlamentosu	парламент	None
parmak	прст	Nan
part	део	None
parti	журка	Nan
parapsikolojinin	парапсихологија	Nan
parapsikolojik	видовњак	Nan
parapsikoloji	парапсихологија	Nan
paranormal	паранормално	Nan
padişah	султан	None
padişaha	султан	None
padişahı	султан	None
padişahın	султан	None
pahalı	скупо	Nan
pakistan	пакистан	None
paktı	пакт	None
oğuzlar	огузове	Nan
pali	пали	None
pamukoğlu	памукоглу	Nan
papa	папа	None
paperback	папербацк	Nan
para	новац	None
paralel	паралелно	None
paralelkenar	паралелограм	None
paralı	плаћеник	Nan
pamuk	памук	None
oynadığı	глуми	Nan
piyon	залагаоница	Nan
plak	запис	None
quaresma	куаресма	Nan
radar	радар	None
radcliffe	радцлиффе	Nan
radikal	радикалан	Nan
radyasyon	зрачење	None
radyo	радио	None
radyoaktif	радиоактивни	Nan
rahat	удобан	Nan
rahatlıkla	лако	None
rahatsız	неудобан	Nan
rahmi	материца	Nan
rakam	фигура	None
rakibi	такмичар	Nan
rakip	противник	None
ramazan	рамадан	Nan
q	к	Nan
px|yes	пкс | да	Nan
px|portrait	портрет пкс	Nan
px	пкс	Nan
propaganda	пропаганда	Nan
protein	беланчевина	Nan
proteinin	беланчевина	Nan
proteinler	протеина	None
proteinlerin	протеина	None
protestan	протестант	Nan
protesto	протест	Nan
randy	ранди	Nan
protokol	протокол	None
prusya	пруски	Nan
psikanaliz	психоанализа	Nan
psikoloji	психологија	None
psikolojik	психолошки	Nan
psişik	видовњак	Nan
puan	тачка	None
pusu	у засједи	Nan
proton	протон	None
promotör	промотор	Nan
rap	рап	Nan
raporu	извештај	None
refet	рефет	Nan
refik	рефик	Nan
reform	реформу	None
reformlar	реформи	None
reformu	реформу	None
rehabilitasyon	рехабилитација	Nan
rehberi	директоријум	None
reis	глава	None
reisi	шефови	Nan
reisin	глава	None
rejim	дијета	Nan
rejimi	режима	None
rejimin	режима	None
rekabet	конкуренција	Nan
reklam	реклама	Nan
reference	референца	Nan
referanslar	референце	None
refah	благостање	Nan
reddetti	одбила	None
rastlanan	заједнички	None
rastlanmaktadır	је пронађено	Nan
rastlanmıştır	је пронађено	Nan
rastlanır	то је пронађено	Nan
rauf	рауф	Nan
razı	вољни	Nan
raúl	раул	Nan
rapor	извештај	None
rağmen	упркос	None
real	прави	None
recep	рецеп	Nan
recm	каменовање	None
records	записи	None
red	одбацивање	None
reddeder	одбацује	None
reddetmiştir	одбијен	None
reaktör	реактор	Nan
pkk	пкк	Nan
proletarya	пролетаријат	Nan
projesi	пројекат	None
politik	политичка	None
politika	политика	None
politikalar	политике	None
politikaları	политике	None
politikası	политика	None
politikasının	политика	None
polonya	пољска	None
pop	поп	None
popülasyon	популација	None
popüler	популарна	None
porno	порно	None
pornografi	порнографија	Nan
pornografik	порнографски	Nan
port	портови	Nan
portakal	наранџаста	Nan
polis	полиција	None
polimeraz	полимеразе	Nan
polat	полат	Nan
pm	после подне	Nan
plaka	плак	Nan
plakası	тањир	Nan
plan	план	None
plana	план	None
planck	планцк	Nan
planda	план	None
planlanan	планирано	Nan
portekiz	португал	None
planları	планова	None
planı	план	None
planını	план	None
plastik	пластични	Nan
platon	платон	None
platonun	висораван	None
playoff	плејоф	Nan
plazma	плазма	Nan
planlı	планирано	Nan
projesinde	пројекат	None
portekizce	португалски	None
portresi	портрет	None
profesyonel	професионални	None
profesör	професор	None
profesörü	професор	None
profili	профил	None
program	програм	None
programları	програми	None
programı	програм	None
programın	програм	None
programında	програм	None
programını	програм	None
proje	пројекат	None
project	пројекат	None
projeler	пројекти	None
projeleri	пројекти	None
projenin	пројекат	None
prof	проф	None
problemleri	проблеми	None
problemi	проблем	None
problem	проблем	None
posta	пошта	None
postmodern	постмодерна	Nan
postmodernizm	постмодернизам	Nan
potansiyel	потенцијал	None
potansiyeli	потенцијал	None
potasyum	калијума	Nan
potter	лончар	Nan
porto	порто	Nan
pozitif	позитивно	Nan
pratik	практичан	Nan
pratikte	практично	None
premier	премијер	None
prens	принц	None
presley	преслеи	Nan
press	прессе	Nan
princeton	принцетон	Nan
prag	праг	None
oynadıkları	они играју	Nan
oynadı	играо	None
oylama	гласање	None
olmadığını	да ли је	Nan
olmak	бити	None
olmakla	док	None
olmaksızın	без	None
olmaktan	биће	None
olmaları	постоје	None
olmalarına	не да	Nan
olmalı	требало би	Nan
olmalıdır	мора бити	Nan
olmamakla	али не	Nan
olmaması	недостатак	None
olmamasına	бити	None
olmamıştır	није било	Nan
olmasa	иако	None
olması	биће	None
olmadığından	није	None
olmadığı	није	None
olmadıkları	нису	None
olmadı	није било	Nan
oldukça	прилично	None
oldular	они су били	Nan
olduğu	то	None
olduğuna	то	None
olduğunda	када	None
olduğundan	јер	None
olduğunu	то	None
olmasıdır	то је	Nan
olduğunun	то	None
olgun	зрели	Nan
olgusu	случајева	None
olimpik	олимпијски	None
olimpiyat	олимпијски	None
olimpiyatları	олимпијске игре	Nan
olma	биће	None
olmadan	без	None
olgu	појава	None
olduktan	бити ти	Nan
olmasına	не да	Nan
olmasını	не	None
olup	тхе	Nan
olur	би	None
olurdu	било би	Nan
olurlar	воља	Nan
olursa	требало би	Nan
oluyor	дешава се	Nan
oluyordu	дешавало се	Nan
oluşabilir	може се десити	Nan
oluşan	формирана	None
oluşmaktadır	састоји	None
oluşması	формација	None
oluşmasına	формација	None
oluşmasında	формирање	None
oluşmasını	формација	None
oluşmuş	формирана	None
olunca	када	None
olunan	када	None
olumsuz	негативан	Nan
olumlu	позитивно	Nan
olmasının	биће	None
olmasıyla	у томе	Nan
olmaya	не да	Nan
olmayan	не-	Nan
olmayanlar	нечланице	Nan
olmayı	бити	None
olmayıp	није	None
olmasından	чињеница да	Nan
olmaz	не долази у обзир	Nan
olmuşlardır	она је постала	Nan
olmuştu	био	None
olmuştur	је био	Nan
olsa	мада	None
olsalar	мада	None
olsaydı	имао	None
olsun	добити	None
olmuş	мртав	None
oluşmuştur	формирана	None
olduklarını	су	None
oldukları	су	None
okulunda	у школи	Nan
okulunu	школа	None
okuma	читати	Nan
okumak	читање	None
okunan	читати	Nan
okunması	читање	None
okunur	читати	Nan
okunuşu	изговор од	Nan
okur	читач	Nan
okuyan	читач	Nan
okyanus	океан	None
okyanusu	океан	None
okyanusuna	океан	None
ol	бити	None
olabilecek	ће бити	Nan
okuluna	школе	None
okulun	школа	None
okulu	школа	None
okullarında	школе	None
odasında	у соби	Nan
odun	дрво	None
of	угх	Nan
ok	стрелац	Nan
okan	стрелице	Nan
oksijen	кисеоник	None
oktay	октаи	Nan
olabileceği	ће бити	Nan
