ab	ab	ab
abba	abba	abba
abbas	cabbaas	abbas
abbey	adeeca	abbey
abc	abc	abc
abort	ilmo soo ridid	abortion
aborter	ilmo iska soo ridid	abortions
about	om	about
abraham	ibraahim	abraham
absint	maqan	absinthe
absolut	gabi ahaanba	absolute; total
absoluta	gebi ahaanba	absolute
absolution	saamaxaadda	absolution
absorberas	nuugo	(gets) absorbed
abstrakta	aan muuqan	abstract
abu	abuu	abu
ac	ac	ac
academy	akadeemiyada	academy
acceptera	aqbal	accept
accepterad	aqbalay	acceptable
accepterade	aqbalay	accepted
accepterar	aqbal	accepts
accepterat	aqbalay	accepted
acdc	acdc	ac/dc
action	ficil	action
ad	a.d	ad
adam	aadan	adam
adams	aadam	adams
adeln	magacyo	nobility
adhd	adhd	adhd
adjektiv	tilmaam	adjective
administration	maamulka	administration
administrationen	maamulka	administration
administrativ	maamul	administration
administrativa	maamul	administrative
administrativt	maamul ahaan	administrative
adolf	adolf	adolf
adolfs	adolf	adolf's
adrian	adrian	adrian
advokat	garyaqaan	lawyer
af	af	of (old swedish)
affärer	ganacsiga	business
afghanistan	afgaanistaan	afghanistan
africa	afrika	africa
afrika	afrika	africa
afrikaner	afrikan	africans
afrikansk	afrikaan ah	african
afrikanska	afrikaan ah	african
afrikas	afrika	africa's
afrodite	afrodite	afrodite
aftonbladet	cnn	aftonbladet
age	da &#39;	age
agent	wakiilka	agent
agera	fal	act
agerande	dhaqan	acting
aggressiv	dagaal badan	aggressive
agnes	agnes	agnes
agnetha	agnetha	agnetha
agnosticism	agnosticism	agnosticism
agnostiker	agnostic	agnostic
ahmed	axmed	ahmed
aids	aids	aids
aik	-gtay	aik
airlines	diyaaradaha	airlines
airport	garoonka diyaaradaha	airport
ajax	ajax	ajax
akademi	akadeemiyada	academy
akademien	akadeemiyada	the academy
akademiens	akadeemiyada	the academy's
akademisk	tacliin	academical
akademiska	tacliin	academical
akc	akc	akc
akon	farmashiye	akon
akondroplasi	achondroplasia	achondroplasia
aktiebolag	shirkad xadidan	companies
aktier	saamiyo	stock
aktiv	firfircoon	active
aktiva	firfircoon	active
aktivitet	waxqabadka	activity
aktiviteten	waxqabadka	activity
aktiviteter	hawlaha	activities
aktivt	firfircoon	actively
aktuell	hadda	current
aktuella	hadda	current
aktuellt	hadda	current
aktörer	jilayaasha	players
akut	ba&#39;an	acute
al	al	alder
alan	alan	alan
alaska	alaska	alaska
albaner	albaaniyiinta	albanians
albanien	albania	albania
albanska	albaaniyaan	albanian
albert	albert	albert
album	album	album
albumen	album	the albums
albumet	album	album
albumets	album	album's
alces	alces	alces
aldrig	marna	never
ale	ale	ale
alex	alex	alex
alexander	alexander	alexander
alexanders	alexanders	alexanders
alexandra	alexandra	alexandra
alexandria	alexandria	alexandria
alf	alf	alf
alfa	alfa	alpha
alfabet	alifbeetada	alphabets
alfabetet	alifbeetada	alphabet
alfabetisk	alifbeetada	alphabetical
alfred	alfred	alfred
alger	algiers	algaes
algeriet	algeria	algeria
ali	ali	ali
alice	alice	alice
alkohol	khamriga	alcohol
alkoholer	khamriga	alcohols
alla	dhamaan	all
allan	allan	allan
alldeles	midig	completely
allen	allen	allen
allians	isbahaysiga	alliance
alliansen	isbahaysiga	the alliance
allierad	saaxiibtinimo	allied
allierade	isbahaysi	allied
allierades	isbahaysiga	allied's
allmän	guud	general
allmänhet	dadweynaha	in general
allmänheten	shacabka	public
allmänna	guud	general
allmänt	guud ahaan	commonly
allra	aad	very
alls	gabi ahaanba	all
allsvenskan	allsvenskan	allsvenskan
allt	dhamaan	all
alltför	sidoo kale	all too
alltid	had iyo jeer	always
allting	wax walba	everything
alltjämt	wali	remains
alltmer	sii kordhaya	increasingly
alltsedan	ilaa	even since
alltså	si kale haddii loo dhigo	so
allvar	dhab ah	earnest
allvarlig	dhab ah	serious
allvarliga	dhab ah	serious
allvarligt	dhab ah	serious
alperna	alps	alps
alqaida	al qaacida	al-qaida
alternativ	kale	alternative
alternativa	kale	alternative
alternativt	haddii kale	alternatively
aluminium	aluminium	aluminum
am	am	am
amazonas	amazon	the amazon rainforest
ambassad	safaaradda	embassy
ambitioner	himilooyin	ambitions
america	ameerika	america
american	ameerika	american
amerika	ameerika	america
amerikanen	mareykan ah	american
amerikaner	mareykan	american
amerikanerna	mareykan	the americans
amerikansk	mareykan ah	american
amerikanska	us	american
amerikanske	mareykan ah	american
amerikanskt	mareykan ah	american
amerikas	ameerika	america
amfetamin	amphetamine	amphetamine
aminosyra	amino acid	amino acid
aminosyror	acids amino	amino acids
ammoniak	ammonia	ammonia
amsterdam	amsterdam	amsterdam
amy	amy	amy
ana	ana	feel
analsex	falaqsan	anal sex
analys	falanqaynta	analysis
analytisk	falanqayn	analytical
analytiska	falanqayn	analytical
anarkism	xasuuq	anarchism
anarkismen	xasuuq	the anarkism
anarkister	kacdoon wadayaasha	anarchists
anarkistiska	jahwareer	anarchistic
anatolien	anatolien	anatolia
anatomi	anatomy	anatomy
anc	anc	anc
anda	ruux	spirit
andas	neefsasho	breath
ande	ruuxa	of
andel	wadaag	share
andelen	boqolkiiba	share
anden	ruux	the holy spirit
anderna	andes	andes
anders	anders	anders
andersson	andersson	andersson
anderssons	andersson	anderssons
andlig	ruux ahaaneed	spiritual
andliga	ruux ahaaneed	spiritual
andra	ku kale	second
andras	kuwa kale	others
andre	labaad	other
andreas	andreas	andreas
andres	andres	andres
andrew	andrew	andrew
andré	andré	andre
andy	andy	andy
anfall	weerar	attack
anfalla	weerar	attack
anfallet	weerar	the attack
anfield	anfield	anfield
anföll	soo weeraray	attacked
ange	gala	set
angeles	magaalada angeles	angeles
angelina	angelina	angelina
angels	malaa&#39;igta	angels
anger	cadee	indicates
anges	banaanka	mention
anglosaxiska	anglo-saxon	anglo-saxon
angola	angola	angola
angrepp	weerar	attack
angränsande	ku xiga	adjoining
angående	ku saabsan	concerning
anhängare	taageerayaasha	followers
anhöriga	xigaalkiisa	relatives
animerade	animated	animated
anka	digaag	anka
anklagade	eedeysane	accused
anklagades	eedeysane	accused
anklagats	eedeysane	accused
anklagelser	eedeymaha	allegations
anknytning	isku xirnaansho	tie
ankomst	imaanshaha	arrival
anlades	la dhigay	were built
anledning	sabab	reason
anledningar	sababaha	reasons
anledningarna	sababaha	reasons
anledningen	sababta	reason
anläggningar	dhirta	facilities
anlände	yimid	arrived
anländer	yimid	arrive
anna	anna	anna
annan	ku kale	another
annars	haddii kale	else
annat	ku kale	other
anne	anne	anne
annekterade	dib-u-habayn	annexed
annika	amy	annika
annorlunda	kala duwan	different
anor	abtirsiinyo	ancestry
anordnas	lasiiyay	provided
anorektiker	cuno-cuncun	anorectics
anorexia	anorexia	anorexia
another	mid kale	another
