$	$	dollars
+	+	+ (plus)
=	=	=
==	==	==
|	|	|
°	°	degrees
°م	. c.	°c
آثار	ప్రభావాలు	ruins
آثارها	దాని ప్రభావాలు	its antiques
آخر	లేకపోతే	last
آخرها	ఇటీవల	last one
آخرون	ఇతరులు	others
آخرين	ఇతరులు	others
آخيل	అకిలెస్	acheles
آدم	ఆడమ్	adam
آراء	అభిప్రాయాలు	opinions
آسكي	ascii	ascian
آسيا	ఆసియా	asia
آشوربانيبال	ashurbanipal	ashorbanibal
آل	ది	the
آلات	యంత్రాలు	tools
آلاف	వేలాది	thousands
آلام	తల్లి	pain
آلة	మెషిన్	machine
آلهة	గాడ్స్	gods
آلية	విధానం	mechanism
آمن	భద్రతా	safe
آمنة	సేఫ్	amina
آمون	ఆమోను	amon
آن	ఆ	the same time
آنذاك	ఆ సమయంలో	by then
آي	ఏ	i
آيات	వెర్సెస్	quran verses
آية	పద్యం	verse
أ	ఒక	a
أئمة	imams	leaders
أب	తండ్రి	august
أبا	oppa	aba
أباتيت	apatite	apatit
أباه	అతని నాన్న	his father
أبحاث	రీసెర్చ్	researches
أبدا	ప్రారంభం	never
أبداً	ప్రారంభం	at all
أبدًا	ప్రారంభం	never
أبرز	చాలా ముఖ్యమైనది	most conspicuous
أبرزها	చాలా ముఖ్యమైనది	the most obvious of them
أبريل	ఏప్రిల్	april
أبطال	ఛాంపియన్స్	heroes
أبعد	దురముగా	far
أبناء	పిల్లలు	sons
أبنائه	అతని కుమారులు	his sons
أبو	అబూ	abou
أبواب	తలుపు	gates
أبوظبي	అబూ ధాబీ	abu dhabi
أبوه	అతని తండ్రి	his father
أبى	మా నాన్న	dad
أبي	మా నాన్న	father of
أبيب	టెల్	aviv
أبيه	అతని తండ్రి	his father
أتاتورك	అటా	atatork
أتباع	క్రింది	followers
أتباعه	అతని అనుచరులు	his followers
أتت	వచ్చింది	came
أتى	వచ్చింది	came up
أثار	ప్రభావాలు	effected
أثارت	రేకెత్తించింది	provoked
أثبت	నిరూపించబడింది	proofed
أثبتت	ప్రదర్శించారు	proved
أثر	ప్రభావం	effect
أثرت	ప్రభావితం	affect
أثره	దాని ప్రభావం	his trace
أثرية	పురాతన	antique
أثناء	సమయంలో	during
أثينا	ఎథీనా	athene
أجبر	ఫోర్స్డ్	forced
أجرام	నేర	celestial bodies
أجراها	చేసిన	conducted by the
أجرى	వెళ్ళు పరుగెత్తు	conducted
أجريت	నిర్వహించిన	conducted
أجزاء	భాగాలు	parts
أجسام	బాడీస్	bodies
أجل	అవును	sake
أجمع	నేను సేకరిస్తాను	agreed
أجمل	అత్యంత అందమైన, అత్యంత సుందరమైన, చూడ చక్కనైన	the most beautiful
أجنبية	విదేశీ మహిళ	foreign
أجنحة	రెక్కలు	sections
أجهزة	పరికరాల	equipment
أحادي	ఒకే	single
أحاديث	హదీసులు	ahaadeeth
أحب	నేను ప్రేమిస్తున్నాను	the most loved
أحجية	పజిల్	mystery
أحد	ఒక	one of
أحداث	ఈవెంట్స్	event
أحدث	తాజా	the latest
أحدهم	ఎవరైనా	one of them
أحدهما	వారిలో వొకరు	one of them
أحزاب	పార్టీలు	parties
أحسن	ఉత్తమ	best
أحكام	నిబంధనలు	decisions
أحلام	డ్రీమ్స్	ahlam
أحمد	అహ్మద్	ahmed
أحمدي	అహ్మది	ahmade
أحمر	ఎరుపు	red
أحوال	పరిస్థితులు	matters
أحياء	బయాలజీ	districts
أحيان	కొన్నిసార్లు	sometimes
أحيانا	కొన్నిసార్లు	sometimes
أحياناً	కొన్నిసార్లు	often
أحيانًا	కొన్నిసార్లు	sometimes
أخاه	తన సోదరుడు	his brother
أخبار	న్యూస్	news
أخت	సోదరి	sister
أخته	అతని సోదరి	his sister
أخذ	టేకింగ్	take
أخذت	నేను తీసుకున్నాను	took
أخر	లేకపోతే	another
أخرج	బయటకి పో	go out
أخرى	ఇతర	other
أخطاء	లోపాలు	mistakes
أخطر	చాలా ప్రమాదకరమైనది	the most serious
أخلاقية	ఎథికల్	morality
أخوه	బ్రదర్స్	his brother
أخيرا	చివరకు	finally
أخيه	తన సోదరుడు	his brother
أخيون	బ్రదర్	achaens
أداء	ప్రదర్శన	performance
أداة	ఒక సాధనం	tool
أدب	సాహిత్యం	literature
أدبية	సాహిత్య	literary
أدت	లెడ్	resulted
أدخل	ఎంటర్	have been entered
أدرك	గ్రహించారు	realized
أدلة	ఆధారాలు	evidences
أدناه	క్రింద	down
أدنى	కనీస	lowest
أدوار	ఇన్నింగ్స్	roles
أدولف	అడాల్ఫ్	adolf
أدوية	మందులు	drugs
أدى	లెడ్	resulted
أدّت	లెడ్	it caused
أدّى	ప్రదర్శించారు	led to
أذربيجان	అజెర్బైజాన్	azerbaijan
