aajo	ridículo	hospitality
aala	frontera	border
aanu	compasión	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	parálisis	fasting
abala	la parte	division
abeikojopo	heredera	subset
abeorile	regreso a casa	nation
abesahara	espolvorear	under the sahara
abidi	alfabeto	abidi
abidjan	nunca	abidjan
abo	femenino	security
aburunmu	nuestra abominación	reduced in value, diminished
abálájo	experimentado	that is why
abé	aguja	under
abínibí	nacionalidad	inborn
abúléko	pueblo	village
accra	accra	accra
adaba	conveniente	factor
adabaye	todo bien	previously-existing
adarihunrun	limpiador	human
addis	addis	addis
adeda	naturaleza	creator
adiokan	solitario	stubbornness
adágbà	mayor	adagba
adúgbò kútò	vecinos en la calle	kuto area
adúgbò mókóla	mucocula	mokola area
adúgbò quarry	vecinos de la cantera	neighborhood
adúgbò ìdí	razones del vecindario	area
afida	la familia	element
afomo	por ejemplo	cleansing
afoyemo	sinopsis	abstract
africa	áfrica	africa
african	africano	ara afrika
africans	africanos	africans
aféfé	molino	air
agba	pintar	principal
agbado	maíz	maize
agbara	poder	power
agbaye	el mundo	world
agbeinadie	tierras de cultivo	semi-conductor
agbà	un adulto	adult
agbàbò	protector	adopted child
agbára	poder	power
agbéiná	bombero	conductor
agio	llorar	agio
aintimulo	aintimulo	un-exploited
aisi	carencia	lack
ajagun	un perro	ajagun
aje	economía	trade
ajemoroyin	interrogatorio	reporting
ajibola	agenda	ajibola
ajo	viaje	firms
ajoro	viaje	discussion
ajọra	réplica	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	artillería	akinpelu
akokolo	período	period
akole	no podemos	title
akoni	no tenemos	teacher
akopa	primero y ante todo	participant
akopo	compilacion	assembly
akátá	chacal	african american
akíkanjú	valiente	courageous
akíngbógun	batallón	akingbogun
akẹ́kọ̀ọ́	estudiante	students
ala	abajo	limit
alaabo	discapacitado	protection
alaadanida	no deseado	individual
alaafia	paz	peace
alaafin	ilegítimo	alaafin
aladaani	privado	privately-owned
aladani	privado	self-owned
aladanida	arbitrario	private
alaidogba	desequilibrado	unequal
alaigbara	irresistible	neutron
alaini	necesitado	the poor
alakitiyan	activista	activist
alakobere	principiante	primary
alalaye	terroso	explanatory
alawose	adivinación	mentor
albany	albany	albany
albert	albert	albert
alexandra	alexandra	alexandra
alicia	alicia	alicia
allāh	alá	allah
alominira	independencia	independent
alpha	alfa	alpha
alubàbá	padre	drummer
alukuraani	corán	quran
alumoni	curativo	minerals
alumíníọ̀mù	aluminio	aluminium
alákọ̀bẹ̀rẹ̀	iniciador	primary education
alápapò	reemplazo	general
alátise	artista	alatise
aláyèwò	inspector	expert
aláísàn	enfermo	the sick
alúwo	auge	traditional cults
alọ́po	billetera	tied
amazonas	amazonas	amazonas
americas	americas	americas
amerika	america	america
amojeoyipada	convertible	reform
amosi	mezquita	amos
améríkà	americano	america
améríkà	americano	america
an	un	him
anabi	el profeta	prophet
anc	congreso nacional africano	anc
andaman	andman	andaman
angkor	angkor	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	el sur	southern
apaguusuilaorun	sur oeste	south-western
apaguusuiwoorun	sur oeste	part of the south
apailaorun	amanecer	east side
apaiwoorun	occidental	eastern side
aparapo	combinación	confederation
apeja	pescador	fisherman
apeere	por ejemplo	example
apis	apis	apis
apòmù	delantal	apomu
apẹ̀rè	delantal	example
arabu	árabe	arab
aralíle	tropical	healthy body
arinkankan	éste	nationalist
ariso	aris	oral tradition
ariwaarin	el medio oriente	mid-north
ariwaguusu	del suroeste	north-south
arkansas	arkansas	arkansas
aroko	vegetación	composition
aruleyin	hola	carried on the back
arun	enfermedad	disease
aryan	el aryan	aryan
aráa	hermano	people from
arábíà	alfabético	arabia
aráròmí	hola	araromi
arópò	soborno	substitute
arúgbó	vejez	elderly
arọ	cojo	cripple
asagun	victoria	intial, first (referring to the 13 colonies)
ascii	descubrir	ascii
aseeto	asentamiento	unfair
aseyori	éxito	success
asipa	desviación	first to kill
assessment	evaluación	ayewo
asìko	disparates	time; ni asiko=when
asèdá	lo natural	origination
atangbona	átomo	emission
atanna	átomo	emitter
atigba	admisible	from time
atimo	plan	inland
atinrin	riendo	thin
atun	rebobinar	also
atunse	corrección	revision
australia	australia	australia
austriahumgary	austriaumgary	austria-hungary
austronesian	austronesio	austronesian
austríà	australia	austria
avar	avar	avar
awari	descubrimiento	discovery
awo	plato	of
awonara	emoción	people of
awoòn	modelo	people
awon	ellos	they
awuruju	mágico	shady
awùjo	cortesía	society
awújẹ	escándalo	root
aya	verso	chest
ayeye	eternidad	celebration
ayàfi	está bien	only if
ayò	sí	game
azikiwe	sentido común	azikwe
aṣòkan	individual	united
baa	es	be with
babaláwo	el adivino	herbalist
bahrain	bahrein	bahrain
balẹ̀	déjalo ser	settled
bang	explosión	bang
banle	banle	banle
bara	el año pasado	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	ahora	like this
bayìí	ahora	this
bce	lejos	bce
beauharnais	beauharnais	beauharnais
beijing	beijing	beijing
belarus	bielorrusia	belarus
belgium	bélgica	belgium
bengal	bengala	bengal
bengali	bengalí	bengal
benin	banco	benin
berber	beréber	berber
berlin	berlina	berlin
bernstein	bernstein	bernstein
bharat	bharat	bharat
bharata	vuelve	bharata
bibeli	biblia	bible
biribiri	fue aplastado	intense
black	negro	dudu
bodies	cuerpos	ara
bojú	echar un vistazo	take care
bole	tronco	ground
bolt	tornillo	bolt
bolívar	bolívar	bolivar
brasil	brasil	brazil
brazzaville	brazzaville	brazzaville
bridgeport	bridgeport	bridgeport
britain	bretaña	britain
brítánì	británico	britain
bu	es decir	give
buenaventura	buenaventura	buenaventura
bujumbura	expandido	bujumbura
burúkú	mal	bad
by	por	does not translate directly, does not exist
bàbá	el padre	father
bákannáà	también	likewise
bálè	globo	lying on the ground
bárakú	adiccion	habitual
báyìí	ahora	this
bèrẹ̀	para empezar	started
béè	así	than
bòtswánà	el autobús	botswana
búburú	malo	bad
búrú	sé valiente	wicked
bẹ̀rẹ̀	para empezar	started
bẹ́	rompió	also
bẹ́ljíọ̀m	berilo	belgium
bẹ́ẹ̀ni	si	yes
bẹ́ẹ̀sìni	si	that is it
cairo	rabia	cairo
calabar	chicle	calabar
canaria	canaria	canaria
cape	capa	cape
casablanca	casablanca	casablanca
caslon	casino	caslon
cathedral	catedral	cathedral (katidral)
catherine	catherine	catherine
cauchy	cauchy	cauchy
cbc	cbc	cbc
chamorro	chamorro	chamorro
charles	charles	charles
chaskalson	chaskalson	chaskalson
chebbi	pensar	chebbi
cherished	querido	mu lokunkundun
china	china	china
cipollone	cipollona	cipollone
clear	claro	danmanran
code	código	code
coetsee	coetsee	coetese
coloured	de colores	alawo dudu
coming	viniendo	yo jade
compared	comparado	does not directly translate
computers	ordenadores	komputa, ero ayarabiasa
csto	csto	csto
ct	connecticut	ct
cunha	garganta	cunha
da	y	back; but in this form it is unnecessary
dagbasoke	crecer	developing
dandan	obligatorio	a must
dani	participación	hand-held
darapo	unirse	joinedd
daru	destruir	scattered
dates	fechas	pada si
delhi	no haga	delhi
denver	denver	denver
des	des	des
describes	describe	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	desmond	desmond
development	desarrollo	idagbasoke
didagba	igualdad	growing
didasile	establecimiento	established
different	diferente	iyato
din	freír	reduced
dinwoju	buscar	suitable
divoire	divoire	d'ivoire
doju	cara a cara	face
dojú	cara a cara	turn face (full phrase is doju ko, to face)
dominic	dominic	dominic
doni	doni	this day
dote	adorar	rebel
doublehelix	doble hélice	hiliksi abara meji
doublestrand	doble cadena	double-strand
dover	dover	dova
du	du	hustle
due	debido a	nitori
dun	sabroso	sound
dàbíi	me gusta esto	like
dàpò	sustituirlos	mix
dá	creado	intervene
dágbó	vejez	forest
dájó	bien	pass judgement
dálóríi	gracias	about
dáradára	bien	well
dásà	una casa	peculiar way of saying
dáwó	donar	undertake
dé	llegado	reach
délànà	en principio	delana
dépò	en la medida	to a position
dì	sábana	be
dìde	surgir	stand
dìró	a la derecha	hang on
dìtẹ̀	conspirar	rebel
díè	tiempo	few
dóko	bueno	upstanding
dólà	bien	dollar
dún	sonido	sound
dúró	pararse	stand (been in existence)
dọ́gba	igual	equal
ea	si	ea
eba	eba	shore
ebi	familia	family
ecomog	ecomog	ecomog
ede	idioma	language
efrem	effem	efrem
egba	absolutamente	cane
egbe	pistola	group
egberundun	mil años	a thousand year
egbo	una herida	brother
egbé	aflicción	party
egbò	una herida	chemicals
egbògi	médico	don't know this
eighteen	dieciocho	ejidinlogun
eka	complejo	branch, department, part
ekeji	el otro	second
eko	educación	lagos
elede	cerdos	speaker
eleyi	esta	this
eleyii	me gusta esto	this
elláda	creación	ellada
eléde	resumen	pig
eléré	atleta	performer
elòmírà	las algas	freedom
elòmíràn	otro	another person
emerging	emergente	ibere-pese
emmanuel	emmanuel	emmanuel
enikéni	todo el mundo	whoever
enter	entrar	wole
enì	elefante	person
eníbá	fiebre	such person
epa	maní	groundnut
ernst	ernst	ernst
erofo	sedimento	swamp
erékùsù	isla	island
eréonítàn	acrónimo	written play
eseese	diagrama	step by step
esia	está viniendo	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etymologiae	etymologiae
etíòkun	la costa	beach
euro	euro	euro
euroasia	euroasia	uro-esia
ewe	hoja	ewe
ewé	hoja	leaf
ewì	poesía	traditional poem
example	ejemplo	apere
eya	categoría	tribe
eyin	huevos	previous
eyonomba	eyonomba	digit
eléja	pescar	fisherman
elòmíràn	alguien más	another person
eka	efecto	branches
eléyàmèyà	etnicidad	tribalism
enu	boca	mouth
esin	religión	horse
esè	producto	leg
ewà	de conducta	beauty
fagile	cancelado	cancel
fail	fallar	padanu
fan	ventilador	spread
faramó	adherirse a	accept
faranse	francés	french
farsi	arti	farsi
felifeli	terciopelo	fuming
ferde	ferde	verde
fesèmúlè	fuente provisional	established
fe	querido	want
fi	salvar	by
fifihan	demostración	revealed
fihan	indicado	shows, to show
fimú	claramente definido	captivate with
finiki	física	finiki
finlandi	finlandia	finland
fitino	juicio	judgement
five	cinco	marun
fodio	fodio	fodio
fofinde	prohibición	prohibited
fohùn	gritar	consent
foniimu	película	phoneme
force	fuerza	agbara
foriko	por ejemplo	agreed
fourbase	fourbase	onidi-merin
fowobowe	reserva	signed
fowó	por dinero	sign
fracmv	fracmv	does not translate
francis	francis	francis
fransi	francés	france
freetown	freetown	freetown
fuji	eliminar	fuji
fulani	cobardemente	fulani
fulbe	ful	fulbe
fun	para	for
funra	sí mismo	suspect
further	más lejos	si
fé	fé	like
fé	fé	want
fégbé	olvídalo	for peers
fífò	volador	jumping
fífún	dando	giving
fòye	entender	rationalise
fẹ́rẹ̀ẹ́	casi	nearly
galatia	esta vez	galatia
gba	de acuerdo	accept
gbajúgbujà	es muy popular	popular
gbale	popularidad	flourished
gbaná	salir	engulf in flame/rage
gbe	llevar	set up
gbera	siga adelante	move
gberasoke	acelerar	rising
gbese	deuda	debt
gbigbamulo	explotación	adopted
gbigbewo	financiación	examined
gbilè	fugarse	gaining ground
gbin	plantado	farm
gbogbogbo	general	general
gbongbo	raíz	root
gbàgbọ́	creer	believe
gbàgùrà	sacudió	gbagura
gbá	aplastar	received
gbáradì	levántate	prepare
gbé	en vivo	convey
gbédìí	establecer	respect
gbékalè	carpintero	establish
gbéni	en vivo	lift
gbéyèwò	revisión	examine
gbésè	oferta	die
gbìnyànjú	tratar	endeavour
gbìyànju	intenta fuerte	try
gbódò	debe	must
gbónmisi	ley	strife
gbúnùn	huelelo	hostile
gbọ́dọ̀	debe	must
geesi	inglés	english
geneva	ginebra	geneva
genevieve	genevieve	genevieve
georgia	georgia	georgia
german	alemán	german
gfaj	gfaj	gfaj
ghana	ghana	ghana
gidigidi	muy	significantly
gidí	casa	real
goemai	goemai	goemai
gomina	gobernador	governor
gorgina	el águila	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	grammy	grammy
griiki	griego	greek
groove	ranura	iho
guanínì	guanni	guanine
guinea	guinea	guinea
guineabissau	guineabissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	largo	stretch
gunle	pistola	arrive
guusu	sur	south
gv	gv	gv
gèésì	pegamento	english
gèésì	joya	english
gégé	de verdad	like
gírámà	abuelo	grammar
gòkè	subir	climb
gún	perforado	properly
gúúsù	sur	south
gẹ̀ẹ́sì	inglés	english
habsburg	habsburg	habsburg
haggai	guía	haggai
haiti	haití	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	difícil	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	hawai	hawaii
heinrich	heinrich	heinrich
hendu	caramelo	hendu
henny	henny	henny
heraklion	heraklion	heraklion
hesse	convenido	hesse
him	él	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidae	hominidae
hosea	hosea	hosea
hp	hp	hp
hugh	hugh	hugh
hun	huno	knit
hungari	inanición	hungary
hv	hv	hv
ibalo	asunto	relationship
ibarepo	asociación	friendship
ibeji	gemelos	twins
ibewo	ha llegado	visit
ibiamusin	santuario	colony
ibile	tradicional	municipality
ibimo	nacimiento	birth
ibise	rutina de ejercicio	official
ibiti	lugares	where
ibn	ibn	ibn
ibojì	tumba	burial ground
ibori	velo	conquest
ibujoko	banco	place of abode
ibuseripadabosi	reubicación	eternity
ibuso	luchar	bus stop
ibùdó	acampar	settlement, seat of, area,
ibùjókòó	asientos	settlement
iceland	islandia	iceland
idagbasoke	desarrollo	development
idagbe	negligencia	isolation
idaji	medio	half
idajo	justicia	judgement
idamita	dibujar	sector
idari	control s	control
ideraa	escribir	comfort
idimule	arrestar	establishment
idoma	dibujo	idoma
idupe	gracias	thanksgiving
idánwò	juicio	examination
ifija	pescar	weapon
ifilole	lanzamiento	resolution
ifitonileti	información	reporting
ifobaje	corrupción	coronating
ifofinde	congreso	prohibition
ifriqiya	estímulo	ifriqiya
igbeduro	preparación	institute
igbegun	victoria	declaration of war
igberiko	suburbano	region
igbesoke	potenciar	upliftment
igbeyawo	boda	marriage
igbowolori	costoso	inflation
igbá	pollo	shell
igbáẹ̀yìn	el último	shell
igitòròmogbè	banda ancha	willow tree
ihan	a aparecer	ray
ihinrere	evangelio	gospel
ijagun	lucha	war
ijakadi	dificil	wrestling
ijaya	pánico	fear
ije	movimiento	eating
ijinnasi	física	the wind open
ijosin	adoración	worship
ijó	bailando	dance
ikan	uno	one of
ikandinlogun	dieciocho	nineteen
ikaowo	el respeto	finger
ikejidinlogun	dieciocho	eighteen
ikeko	compilacion	education
ikerin	el cuarto	fourth
iketa	heredar	third
ikoenu	ahorrar	union
ikojopo	acumulación	collection
ikoreokere	cosecha	migration
iku	muerte	death
ikúgbaèyí	ahora	death-has-this
ikún	relleno	squirrel or wild rodent
ilagbolojo	publicidad	latitude
ilana	procedimiento	procedure
ilanaoye	estrategias	knowledge procedure
ilaodo	proteger	cana
ilaorun	amanecer	west
ileasofin	legislativo	house of law,
ilegiga	hogar	higher ground or higher plain
ileife	negligencia	ile-ife
ileigbimo	consentimiento	house of assembly/congress
ileobaluaye	el mundo	high chief
ileru	horno	volcanic
ilopo	doble	times
iluoba	ciudadanía	king's town
iluorilejoba	globalización	capital city
ilé	hogar	house
iléayé	hogar	earth
iléisé	hogar	workplace
ilélódò	la casa	ile-lodo
iléàtèéré	hogar	ile-ateere
iléńlá	patio	ile-nla (area)
ilẹ	suelo	land
ilẹ̀ayé	la tierra	the world
iminle	para arrestar	earthquake
imoero	focos	engineering
imojuto	cuidado	protection
imusin	dibujar	colony
imú	nariz	nose
imúnisìn	higiene	slavery
inagberingberi	mantequilla de maní	electromagnetic force
indeed	en efecto	paapa julo
indus	indus	indus
inkosi	para justificar	inkosi
integration	integración	ifowosowopo
inágbéringbérin	de diecisiete	electromagnet
iní	herencia	possession
inúnibíni	persecucion	hatred
ioja	pez	fight
ioniani	necesitado	ionian
iowa	en la tierra	iowa
ipare	desvanecerse	abolition
ipawo	usos	income
ipele	nivel	stage
ipin	capítulo	share
ipinpa	participación	arm of, branch of
ipinu	decisión	determination
ipo	ubicación	position
ipá	fuerza	effort
iraja	impactante	bargaining
iranlose	asistencia	mission
ire	rebaja	you
irele	humildad	irele
iringa	envolver	iringa
irisi	apariencia	appearance
irorun	muy simple	convenient
irò	rumor	iro
irúnmọlẹ̀	relámpago	apparition
isa	suficiente	jesus, isa or yisa is hausa language
isare	aceleración	track race
isedaniloro	duda	terrorism
iseero	reloj	engineering
isejoba	gobernancia	governance
iseoba	quince	civil service
iseoroayeijoun	arqueología	archaeology
iseowo	negocio	business
isepinpin	distribución	division
iso	venir	unit
isoponomba	isoponomba	addition of numbers
isun	fluir	spring
isesi	rendición	conduct
isè	servicio	occupation
itali	italiano	italy
itanakole	historia	ancient
itelentele	claramente	coming after
itiraka	dificil	effort
itobi	alardear	size
itokowo	negocio	economy
itorawo	liberal	astrology
itu	tirar	solution
itumo	sentido	meaning
iwadi	investigación	research
iwasi	impresionar	behaviour
iwifun	información	report
iwoile	hogar	entering
iwosan	curación	healing
iwulo	útil	use
iwuwa	práctica	behaviour
iyan	hambruna	argument
iyato	la diferencia	difference
iyawo	novia	wife
iyen	es decir	that
iyán	espumoso	pounded yam
iḷẹ̀	trabajo	land
iṣẹ́ìwádìí	investigación	research
jabo	reporte	give account
jackson	jackson	jackson
jadide	espere	emerge
jagbe	piérdase	shout
jalè	robo	steal
jamaica	youtube	jamaica
jamo	vete	link
jawaharlal	columpios	jawaharial
jeffrey	jeffrey	jeffrey
jeometri	geometría	geometry
jesu	jesús	jesus
jfk	jfk	jfk
jije	siendo	existing as
jijinna	lejos	distance
jiròrò	brumoso	dialogue
jo	fuga	days
jogun	heredado	inherit
johann	infierno	johann
johanu	lo siento	john
jojo	agrietado	great extent
jopò	participar	gathered
jo	juan	resemble
juneau	juneau	juneau
jàgídíjàgan	violento	violent
jáde	salga	out
jé	ven	is
jéésù	jesús	jesus
jìnnàa	lejos	further
jíje	siendo	eating
jíjuwó	ganar dinero	waving hands
jíjéomoléyìnkírísítì	como filántropo	followers of christ
jùlo	mas que	most
jùlo	especialmente	most
jùló	lo mas	most
jẹ́mánì	alemán	germany
jọ́	por favor	together
kadara	activo	destiny
kagera	jactancioso	kagera
kakiri	rastro	all over
kalinga	cinga	kalinga
kalẹ	dejar de lado	established
kampala	corchete	kampala
kan	una	one
kankan	ninguna	any
kanlè	kanal	established
karbonumarun	thecentricane	5 carbon
karl	karl	karl
karun	quinto	fifth
karùún	el quinto	fifth
kebbi	ajustable	kebbi
kekere	pequeña	lower
keko	alfabetizado	learn
kept	mantenido	fi pamo
khoisan	inferior	khoisan
ki	también	not
