$	$	$
a	untuk	to
abba	abba	abba
abbandona	daun	leave
abbandonando	meninggalkan	abandoning
abbandonare	cuti	leave
abbandonata	ditinggalkan	abandoned
abbandonato	ditinggalkan	abandoned
abbandono	keadaan tertinggal	abandon
abbandonò	ia meninggalkan	abandonment
abbastanza	cukup	enough
abbia	memiliki	has
abbiamo	kami	we
abbiano	memiliki	have
abbondanti	banyak	abundant
abc	abc	abc
abile	pintar	skillful
abilità	ketrampilan	ability skill expertise prowess proficiency craft capacity capability cleverness knack mastery ingenuity cunning know-how skillfulness adroitness skilfulness sleight adeptness artifice mastership expertness
abitanti	orang-orang	people
abitata	berpenduduk	inhabited
abitato	berpenduduk	inhabited
abitazioni	rumah	home
abiti	pakaian	clothes
abitudini	kebiasaan	habits
aborto	abortus	abortion
about	tentang	about
abruzzese	abruzzo	abruzzo
abruzzi	abruzzi	abruzzi
abruzzo	abruzzo	abruzzo
ac	ac	a.c.
academy	akademi	academy
accadde	terjadi	it happened
accade	itu terjadi	happens
accademia	akademi	academy
accaduto	terjadi	happenend
accanto	berikutnya	near
accedere	masuk	enter
accesso	akses	access
accetta	kapak	accepted
accettare	menerima	accept
accettata	diterima	accepted
accettato	disetujui	accepted
accettò	ia menerima	acceptable
acciai	baja	steels
acciaio	baja	steel
accoglie	menyambut	holds
accoglienza	selamat datang	accoglienza
accolto	menyambut	welcomed
accompagna	menyertai	brings
accompagnata	disertai	accompanied
accompagnati	disertai	accompanied
accompagnato	disertai	accompanied
accordi	perjanjian	agreements
accordo	perjanjian	agreement
accorge	pemberitahuan	notice
accusa	tuduhan	accusation
accusato	dituduh	accused
accuse	tuduhan	charges
acdc	acdc	acdc
ace	kartu as	ace
achille	achilles	achille
acidi	asam	acids
acido	asam	acid
acqua	air	water
acque	perairan	water
acquisire	memperoleh	acquire
acquisito	vested	purchase
acquista	buy	buy
acquistare	buy	buy
acquistato	dibeli	purchased
acronimo	akronim	acronym
action	tindakan	action
actress	aktris	actress
acustica	akustik	acoustics
acuta	akut	acute
ad	untuk	to
adams	adams	adams
adatta	cocok	suitable
adattamenti	adaptasi	adaptations
adattamento	adaptasi	adaptation
adatto	cocok	suitable
addetti	orang dalam	employees
addio	selamat tinggal	farewell
addirittura	bahkan	even
aderenti	penganut	members
adesione	adhesi	adhesion
adesso	sekarang	now
adiacenti	berdekatan	near
adolescente	pemuda	teenager
adolescenti	remaja	adolescents
adolescenza	masa remaja	adolescence
adolf	adolf	adolf
adotta	mengadopsi	adopts
adottare	mengambil	adopt
adottata	diadopsi	adopted
adottati	diadopsi	adopted
adottato	diadopsi	used
adottò	ia mengadopsi	i adopt
adozione	adopsi	adoption
adrian	adrian	adrian
adriatico	adriatik	adriatic
adulta	dewasa	adult
adulti	orang dewasa	adults
adulto	dewasa	adult
aerea	udara	aerial
aeree	udara	airlines
aerei	perusahaan penerbangan	aircraft
aereo	pesawat	airplane
aeroporti	bandara	airports
aeroporto	bandara	airport
aerosmith	aerosmith	aerosmith
affaccia	mengabaikan	faces
affacciano	mengabaikan	overlook
affari	bisnis	business
affascinante	sangat menarik	fascinating
affascinato	terpesona	fascinated
affatto	sama sekali	at all
afferma	negara	affirm
affermando	menyatakan	saying
affermano	menegaskan	claim
affermare	menegaskan	affirm
affermato	mapan	established
affermava	dia menyatakan	claimed
affermazione	afirmasi	success
affermazioni	pernyataan	statements
affermò	dia menyatakan	i say
affetti	kasih sayang	affections
affetto	sayang	affection
affiancato	bergabung	supported
affida	menitipkan	entrusts
affidata	dipercayakan	entrusted
affidato	dipercayakan	entrusted
affinché	sehingga	so
affinità	afinitas	affinity
affreschi	lukisan dinding	frescoes
affronta	alamat	addresses
affrontano	transaksi	deal with
affrontare	wajah	face
affrontato	ditujukan	faced
afghanistan	afganistan	afghanistan
aforismi	aforisme	aphorisms
africa	afrika	africa
africana	afrika	the african
africani	afrika	africans
africano	afrika	african
afroamericani	afrika amerika	african americans
age	usia	age
agente	agen	agent
agenti	agen	agents
agenzie	lembaga	agencies
aggiornate	diperbarui	updated
aggiunge	menambahkan	adds
aggiungendo	menambahkan	adding
aggiungere	menambahkan	add
aggiungono	menambahkan	add
aggiunse	tambahnya	added
aggiunta	tambahan	addition
aggiunte	menambahkan	added
aggiunti	menambahkan	added
aggiunto	menambahkan	added
agire	bertindak	act do work operate behave play influence
agisce	tindakan	acts
agiscono	bertindak	act
agli	untuk	to
agostino	agostino	agostino
agosto	agustus	august
agricola	pertanian	agricultural
agricole	pertanian	agricultural
agricoli	pertanian	agricultural
agricolo	pertanian	agricultural
agricoltura	pertanian	agriculture
ai	untuk	to
aids	aids	aids
air	udara	air
aires	aires	aires
aiuta	membantu	helps
aiutare	bantuan	help
aiutarlo	bantuan	help him
aiutato	membantu	helped
aiuti	bantuan	aid
aiuto	bantuan	help
al	sebuah	to
alan	alan	alan
alba	fajar	dawn
albanese	bahasa albania	albanian
albanesi	bahasa albania	albanian
albania	albania	albania
alberghi	hotel	shelter
alberi	pohon	trees
albero	pohon	tree
albert	albert	albert
alberti	alberti	alberti
alberto	alberto	albert
album	album	album
alchile	alkil	alkyle
alchimia	alkimia	alchemy
alchimisti	alkemis	alchemists
alcool	alkohol	alcohol
alcun	apa saja	no
alcuna	apa saja	any
alcune	beberapa	several
alcuni	beberapa	some
aldo	aldo	aldo
alessandra	alessandra	alessandra
alessandria	alessandria	alessandria
alessandro	alessandro	alexander
alfabeto	alfabet	alphabet
alfonso	alfonso	alfonso
ali	sayap	wings
alice	ikan teri	anchovy
alighieri	alighieri	alighieri
alimentare	makanan	feed
alimentari	makanan	food
all	semua	to
alla	sebuah	to
allaiuto	allaiuto	the help
allalba	fajar	at sunrise
allalbum	allalbum	to album
allaltezza	hidup sampai	suitable
allaltra	allaltra	the other
allaltro	allaltro	all others
allamico	allamico	to a friend
allan	allan	allan
allanno	per tahun	all year
allaperto	luar ruangan	outdoor
allarrivo	pada saat kedatangan	on arrival
alle	untuk	to
alleanza	persekutuan	alliance
alleata	sekutu	allied
alleate	sejenis	allied
alleati	sekutu	allies
alleato	sekutu	ally, allied, confederate
allen	allen	allen
allenamento	latihan	training
allenatore	pelatih	coach
allenatori	pelatih	coaches
allepoca	allepoca	at that time
allesterno	allesterno	on the outside
allestero	di luar negeri	abroad
alletà	pada usia	at age of
allidea	allidea	the idea
allievi	siswa	students
allievo	mahasiswa	student
allincirca	allincirca	about
allinizio	awal	beginning
allinterno	dalam	inside
allitalia	allitalia	allitalia
allo	itu	at the
allontana	jauh	away
allontanarsi	cuti	leave
allopera	allopera	at work
allora	kemudian	then
allorigine	pada titik asal	the origin
alloscar	alloscar	alloscar
allospedale	ke rumah sakit	at the hospital
allultima	allultima	at last
allultimo	allultimo	at last
alluniversità	perguruan tinggi masuk	at the university
alluomo	alluomo	to man
alluscita	di pintu keluar	at the going out
alluso	disinggung	to the use
almeno	sedikitnya	at least
alonso	alonso	alonso
alpi	pegunungan alpen	alps
alpini	alpine	alpine
alpino	alpine	alpine
alquanto	agak	rather
alta	tinggi	high
altamente	sangat	highly
altaïr	altair	britest star in the constellation
alte	tinggi	high
alterazioni	perubahan	changes
alternativa	alternatif	alternative
alternative	alternatif	alternative
alternativo	alternatif	alternative
altezza	tinggi	spirits
alti	tinggi	high
altitudine	tinggi	altitude
alto	tinggi	high
altra	lain	other
altre	lain	other
altresì	juga	also
altrettanto	sebagai	as
altri	lebih	other
altrimenti	sebaliknya	otherwise
altro	lebih	other
altrove	di tempat lain	elsewhere
ama	cinta	but
amante	kekasih	lover
amanti	pecinta	lovers
amare	cinta	love
amata	tercinta	love
amato	tercinta	loved
amava	dia mencintai	loved
ambientale	lingkungan	environmental
ambientali	lingkungan	environmental
ambientata	set	set
ambientate	diaklimatisasi	ambiented
ambientati	ambientati	based in
ambientato	set	set in
ambiente	lingkungan	environment
ambienti	lingkungan	environments
ambiti	daerah	areas
ambito	cakupan	scope
amburgo	hamburg	hamburg
america	amerika	america
american	amerika	american
americana	amerika	american
americane	amerika	american
americani	amerika	american
americano	amerika	american
americhe	americas	americas
amica	teman	friend
amiche	teman	friends
amici	teman	friends
amicizia	persahabatan	friendship
amico	teman	friend
amleto	amleto	hamlet
ammesso	mengakui	admitted
ammette	anak mengatakan	admits
amministrativa	administratif	administrative
amministrative	administratif	administrative
amministrativi	administratif	administrative
amministrativo	administratif	administrative
amministrazione	administrasi	administration
amministrazioni	administrasi	amministrations
amminoacidi	amino asam	amino acids
ammirare	kagumi	admire
ammissione	pengakuan	admission
amo	kait	hook
amore	cinta	love
amoroso	yg mudah jatuh cinta	amorous
ampi	luas	large
ampia	lebar	large
ampiamente	sangat	widely largely
ampie	luas	large
ampio	besar	large
amsterdam	amsterdam	amsterdam
amy	amy	amy
an	sebuah	an
anal	anal	anal
anale	anal	anus
analisi	analisa	analysis
analogamente	demikian pula	similarly
analogo	sejalan	similar
anatomia	anatomi	anatomy
anatomy	anatomi	anatomía
anche	juga	also
anchessa	anchessa	anchessa
anchessi	anchessi	they too
anchesso	anchesso	also
ancona	ancon	ancon
ancor	bahkan	even
ancora	lebih	more
andamento	kecenderungan	trend
andando	akan	going
andare	go	go
andarsene	cuti	leave
andata	akan	gone
andati	mati	gone
andato	mati	gone
andava	dia	go
anderson	anderson	anderson
ando	ando	ando
andrea	andrea	andy
andreotti	andreotti	andreotti
andrew	andrew	andrew
andrà	akan	will go
andré	andré	andré
andò	ia pergi	went
anelli	cincin	rings
anello	ring	ring
anemia	anemia	anemia
angel	malaikat	angel
angela	angela	angela
angeles	angeles	angeles
angeli	malaikat	angels
angelo	malaikat	angel
angels	malaikat	angels
anglosassone	anglo-saxon	anglo-saxon
angoli	sudut	angles
angolo	sudut	angle
anima	jiwa	soul
animal	hewan	animal
animale	hewan	animal
animali	hewan	animals
animata	animasi	animated
animati	animasi	animated
animato	animasi	animated
animazione	animasi	animation
anime	jiwa	anime
anna	anna	anna
anne	anne	anne
anni	usia	age
annie	annie	annie
anniversario	ulang tahun	anniversary
anno	tahun	year grade twelvemonth
annuale	tahunan	annual
annualmente	setiap tahun	annually
annuncia	mengumumkan	announces
annunciato	mengumumkan	announced
annunciò	ia mengumumkan	ad
annunziata	annunziata	annunziata
antenati	nenek moyang	athenians
anteprima	pratinjau	preview
anteriore	depan	front
anthony	anthony	anthony
antica	kuno	old
anticamente	di zaman kuno	in the old times
antiche	kuno	antique
antichi	dahulu	ancient
anticipato	prematur	early
anticipo	muka	advance
antico	tua	old
anticorpi	antibodi	antibodies
antigeni	antigen	antigens
anton	anton	anton
antonella	antonella	antonella
antonello	antonello	antonello
antonietta	antonietta	antoinette
antonino	antonino	antonino
antonio	antonio	anthony
antropogenico	antropogenik	antropogenico
anzi	agak	rather
anziani	tua	elderly
anziano	tua	senior
anziché	daripada	instead
aperta	terbuka	open
apertamente	secara terbuka	openly
aperte	terbuka	open
aperti	terbuka	open
aperto	terbuka	open
apertura	pembukaan	opening
apollo	apollo	appolo
apostoli	rasul	apostles
appaiono	muncul	appear
apparato	aparat	apparatus
appare	muncul	seems
apparente	nyata	apparent
apparentemente	rupanya	apparently
apparire	muncul	appeare
apparizione	penampilan	apparition
apparizioni	penampilan	apparitions
apparsa	muncul	appeared
apparso	muncul	appeared
appartamento	apartemen	flat
appartenente	termasuk	belonging
appartenenti	termasuk	belonging
appartenenza	keanggotaan	affiliation
apparteneva	itu milik	belonged
appartengono	milik	belong
appartiene	itu milik	belongs
apparve	muncul	appeared
appassionati	peminat	fans
appassionato	penggemar	passionate
appello	banding	appeal
appena	hanya	just as soon as soon only barely hardly scarcely sooner new merely
apple	apel	apple
applicata	terapan	applied
applicato	terapan	applied
applicazione	aplikasi	application
applicazioni	aplikasi	applications
appoggiato	condong	supported
appoggio	mendukung	support backing rest endorsement abutment footing advocacy backup prop bolster countenance purchase indorsation indorsement
appositamente	khususnya	specially
apprezzati	dihargai	appreciate
apprezzato	dihargai	valued
approccio	pendekatan	approach
approfittando	mengambil keuntungan	taking advantage
approfondimento	memperdalam	deepening
approssimativamente	sekitar	approximately
approvata	disetujui	approved
approvato	disetujui	approved
appuntamento	penunjukan	appointment
appunti	catatan	lower
appunto	hanya	precisely
apre	membuka	open
aprile	april	april
aprire	terbuka	open
aprono	terbuka	open
aprì	ia membuka	started
aquila	burung elang	eagle
ar	ar	ar
araba	arab	arabic
arabi	arab	arabs
arabo	arab	arab
arancia	jeruk	orange
arcana	batin	arcane
archeologici	kepurbakalaan	archaeologicals
archeologico	kepurbakalaan	archaeological
archi	lengkungan	archs
architetti	arsitek	architect
architetto	arsitek	architect
architettoniche	arsitektur	architectural
architettonici	arsitektur	architectonics
architettonico	arsitektur	architectural
architettura	arsitektur	architecture
architetture	arsitektur	architectures
archivi	arsip	archives
archivio	arsip	archive
arco	busur	arc
are	adalah	are
area	daerah	area
aree	daerah	areas
arena	arena	arena
aretino	arezzo	aretin
argentina	argentina	argentine
argentino	argentina	argentinean
argento	perak	silver
argomenti	argumen	topics
argomento	tema	topic
aria	udara	song
aristotele	aristotele	aristotle
arizona	arizona	arizona
arma	senjata	rig
armando	persenjataan	armando
armata	tentara	armada
armate	bersenjata	armed
armati	bersenjata	armed
armato	bersenjata	armed
armi	persenjataan	weapons
armstrong	armstrong	armstrong
arnaldo	arnaldo	arnaldo
arnold	arnold	arnold
aro	aro	aro
arrangiamenti	pengaturan	arrangements
arresti	penangkapan	arrests
arresto	menangkap	arrest
arriva	tiba	comes
arrivando	kedatangan	arriving
arrivano	kedatangan	arrive
arrivare	get	get reach arrive come receive happen go as far as go so far as roll in be reduced to roll up
arrivarono	mereka tiba	arrived
arrivata	tiba	reached
arrivati	tiba	comers
arrivato	tiba	arrived
arrivi	kedatangan	arrivals
arrivo	kedatangan	arrival
arrivò	ia tiba	arrival
arsenal	gudang senjata	arsenal
art	artikel	article
arte	seni	art
arterie	arteri	artery
arti	seni	arts
articoli	barang	articles
articolo	artikel	article
artificiale	buatan	artificial
artificiali	buatan	artificial
artista	artis	artist
artisti	seniman	artists
artistica	artistik	art
artistiche	artistik	artistics
artistici	artistik	artistic
artistico	artistik	artistic
arts	seni	arts
arturo	arthur	arthur
ascesa	naik	rise
ascolta	mendengarkan	hears
ascoltare	mendengarkan	to listen
ascoltato	heard	heard
ascolti	mendengarkan	ratings
asia	asia	asia
asiatica	asia	asiatic
asiatici	asia	asian
asiatico	asia	asian
aspettare	menunggu	expect
aspettative	harapan	expectations
aspetti	menunggu	aspects
aspetto	penampilan	appearance
aspirazioni	aspirasi	aspirations
assai	sangat	very
assassinato	dibunuh	murdered
assassini	pembunuh	killers
assassino	pembunuh wanita	murderess
assassins	pembunuh	assassins
asse	sumbu	axis
assedio	pengepungan	siege
assegnata	ditugaskan	assigned
assegnati	ditugaskan	assigned
assegnato	terlampir	assigned
assemblea	majelis	assembly
assente	absen	absent
assenza	ketiadaan	absence
assenzio	absinth	type of alcoholic beverage
assessore	juru taksir	assessor
assi	sumbu	roads
assicurare	memastikan	ensure
assicurazioni	asuransi	insurance
assieme	bersama	with
assisi	assisi	assisi
assiste	assist	assist
assistente	asisten	assistant
assistenti	asisten	assistants
