+	+	+
<	&lt;	<
=	=	equal
^circ	^ кръг	circ
a^	a ^	a^
aachen	аахен	aachen
aachener	aachener	aachen's
aaron	арон	aaron
ab	от	from
abba	смокиня	abba
abbau	повреда	reduction
abbildung	илюстрация	image
abbildungen	илюстрации	map
abbruch	анулиране	break up
abc	abc	abc
abend	вечер	evening
abends	вечерта	in the evening
abenteuer	приключение	adventure
aber	но	but
abfolge	последователност	course
abgabe	облагане	delivery
abgebaut	намален	dismantled
abgeben	изпращане	dispense
abgebildet	на снимката	shown
abgebrochen	отменен	cancelled
abgegeben	подадено	submitted
abgegrenzt	разделители	deferred
abgehalten	държани	prevented
abgekürzt	съкращение	abbreviated
abgelehnt	е намалял	rejected
abgeleitet	извлечен	derived
abgelöst	заменя	replaced
abgeordnete	депутат	member of parliament
abgeordneten	депутат	representatives
abgeordnetenhaus	камара на представителите	house of deputies
abgeschafft	премахнати	abolished
abgeschlossen	завършен	finished
abgesehen	настрана	apart from
abgesetzt	прекратено	stopped
abgewickelt	обработван	operated
abgrenzung	разграничение	assignment
abhängig	зависим	dependent
abhängigkeit	зависимост	addiction
abitur	гимназия	german high school diploma
abkehr	тръгване	renunciation
abkommen	съгласие	agreement
abkürzung	съкращение	acronym
abkürzungen	съкращения	acronym
ablauf	процедура	course
ablehnte	е намалял	rejected
ablehnung	отхвърляне	decline
ableiten	извод	derive
ableitung	дериват	derivative
ableitungen	производни	discharge lines
abmessungen	размери	boundaries
abneigung	антипатия	dislike
aborigines	абориген	aborigines
abraham	аврам	abraham
abs	раздел	break
absatz	параграф	paragraph
abschaffung	премахване	abolition
abschluss	абитуриентски	completion
abschnitt	раздел	section
abschnitte	секции	sections
abschreibung	амортизация	deduction
abseits	засада	outside
absetzen	изпускайте	deducted
absicht	намерение	intention
absichtlich	преднамерено	on purpose
absinth	абсент	absinthe
absolut	абсолютно	absolute
absolute	абсолютен	absolute
absoluten	абсолютен	absolute
absolventen	висшисти	graduate
absolvierte	завършва	graduated
absorbiert	погълнат	absorbed
abstammung	потекло	lineage
abstand	разстояние	distance
abstimmung	гласуване	voting
abständen	разстояния	intervals
abteilung	отдел	division
abteilungen	отдели	divison
abtreibung	аборт	abortion
abu	абу	abu
abwanderung	емиграция	emigration
abwechselnd	алтернативно	changing
abwehr	отбрана	defense
abweichende	отклоняващото	deviating
abweichung	отклонение	deviation
abweichungen	отклонения	differences
abwesenheit	отсъствие	abscence
abzug	удържане	trigger
academy	академия	academy
acetylsalicylsäure	ацетилсалицилова киселина	acetylsalicylic acid
achat	ахат	agate stone
achse	ос	axis
acht	осем	eight
achtelfinale	кръг на 16	round before the quarterfinal
achten	уважение, мислете високо за	respect
action	действие	action
adam	адам	adam
adams	адамс	adams
adel	благородник	nobleness
adenauer	аденауер	adenauer
adipositas	прекалена пълнота	obesity
adler	орел	eagle
administrative	административен	administrative
admiral	адмирал	admiral
adolf	адолф	adolf
adresse	адрес	addresses
adressen	адреси	addresses
adria	адриатическо	adria
af	ае	af
affäre	афера	affair
afghanistan	афганистан	afghanistan
africa	африка	africa
african	африкански	african
afrika	африка	africa
afrikanische	африкански	african
afrikanischen	африкански	african
afrikas	африка	africa
ag	ag	ag
agent	агент	agent
agenten	агенти	agents
agentur	агенция	agency
agglomeration	агломерация	aggregation
agnostizismus	агностицизъм	agnosticism
aids	спин	aids
air	въздух	air
airbus	редовен пътнически самолет	airbus
aires	айрес	buenos aires (argentina)
airlines	авиолинии	airlines
airport	летище	airport
airways	дихателните пътища	airways
akademie	академия	academy
akademische	академичен	academical
akademischen	академичен	academic
akademischer	академичен	academic
akt	действа	act
akteure	актьори	actors
aktion	действие	action
aktionen	мерки	events
aktiv	активен	active
aktive	активен	active
aktiven	активен	active
aktiver	по-активни	active
aktiviert	активиран	enable
aktivität	дейност	activity
aktivitäten	дейности	activities
aktuell	текущ	current
aktuelle	текущ	current
aktuellen	текущ	current
aktueller	по-актуални	current
akute	остър	acute
akuten	остър	acute
akzeptanz	приемане	acceptance
akzeptieren	приемам	to accept
akzeptiert	общоприет	accepted
akzeptierte	общоприет	accepted
al	ал	al
alabama	алабама	alabama
alan	алън	alan
alaska	аляска	alaska
alb	стихар	mountains
albanien	албания	albania
albanischen	албански	albanian
alben	албуми	album
albert	albert	albert
albrecht	албрехт	albrecht
album	албум	album
albums	албуми	album
albus	албус	albus
alex	алекс	alex
alexander	александър	alexander, male first name
alexanders	александър	alexander's
alexandria	александрия	alexandria
alfred	алфред	alfred
algerien	алжир	algeria
ali	али	ali
alias	псевдоним	alias
alice	алис	alice
alkohol	алкохол	alcohol
alle	всичко	all
allein	сам	alone
alleine	сам	alone
alleinige	подметка	exclusive
allem	всичко	everything
allen	всеки	all
allenfalls	най-много	anyhow
aller	всичко	all
allerdings	наистина	vera
alles	всичко	everything
allesamt	всички тях	all
allgemein	общ	in general
allgemeine	общ	general
allgemeinen	общ	general
allgemeiner	по-общо	general
allgemeines	общ	general
alliance	съюз	alliance
allianz	съюз	alliance
alliierten	съюзници	allied
alljährlich	годишен	annually
allmählich	постепенно	step by step
alpen	алпи	alps
alpha	алфа	alpha
alphabet	азбука	alphabet
alphabets	азбуки	alphabet
als	като	as
also	така	thus
alt	стар	old
alte	стар	ancient
alten	стар	old
alter	възраст	age
alternativ	алтернативно	alternatively
alternative	алтернатива	alternative
alternativen	алтернативи	alternative
alters	възраст	age
altertum	античност	old age
altes	стар	old
altstadt	стар град	old town
aluminium	алуминий	aluminium
am	в	on
amadeus	амадеус	amadeus
amalia	амалия	amalia
america	америка	america
amerika	америка	america
amerikaner	американски	american
amerikanische	американски	american
amerikanischen	американски	american
amerikanischer	по-американски	american
amerikas	америка	america
aminosäuren	аминокиселини	amino acids
ammoniak	амоняк	ammonia
amphetamin	амфетамин	amphetamine
amsterdam	амстердам	amsterdam
amt	офис	office
amtes	офис	department
amtliche	официален	official
amtlichen	официален	official
amtsantritt	встъпване в длъжност	inauguration
amtssprache	официален език	offical language
amtssprachen	официални езици	offical languages
amtszeit	офис време	term of office
amy	ейми	amy
an	на	to
ana	ана	ana
anakin	анакин	anakin
anakondas	анаконди	anakondas.de
analog	аналогичен	analogous
analogen	аналог	analog
analverkehr	анален секс	anal intercourse
analyse	анализ	analysis
analysen	анализирам	analysis
analysis	анализ	analysis
anatomie	анатомия	anatomy
anbau	култивиране	growing
anbieten	да предложи	suggest
anbieter	доставчици	providers
anbindung	връзка	connection
and	и	and
anden	към	andes
andere	друг	other
anderem	друг	other
anderen	друг	other
anderer	друг	other
andererseits	от друга страна	on the other side
anderes	друг	other
anders	различно	different
anderson	андерсън	anderson
andersson	андерсон	andersson
andrea	андреа	andrea
andreas	андреас	andreas
andrew	андрю	andrew
andré	андре	andre
andy	анди	andy
anerkannt	общоприет	recognized
anerkannte	разпознат	recognized
anerkannten	разпознат	accepted
anerkennung	признаване	recognition
anfang	начало	beginning
anfangs	първо	initially
anforderungen	условия	requirements
anfrage	разследване	request
anfragen	исканията	inquire
anfälle	припадъци	attacks
anfänge	наченки	beginnings
anfängen	начало	beginning
anfänglich	първоначално	initially
anfänglichen	първоначален	initial
anführer	водач	leader
angabe	спецификация	information
angebaut	зрял	grown
angeblich	уж	supposedly
angebliche	предполагаем	alleged
angeblichen	предполагаем	reported
angebot	оферта	offer
angebote	сделки	offers
angeboten	предлагана	offered
angebracht	присвои	appropriate
angeführt	цитирано	adduced
angegeben	уточнен	given
angegebenen	уточнен	provided
angegriffen	нападнат	affected
angehören	принадлежи на	belong to
angehörige	роднини	member
angehörigen	роднини	relatives
angehört	слушах	heard
angekommen	пристигнал	arrived
angekündigt	оповестен	announced
angel	въдица	angel
angela	анджела	angela
angelegenheiten	работи	affairs
angelegt	създаден	put on
angelegte	създаден	established
angelegten	създаден	issue
angelehnt	открехнат	based on
angeles	анджелис	angeles
angels	ангели	angels
angenommen	общоприет	assumed
angeordnet	аранжиран	arranged
angepasst	персонализирани	adapted
angeregt	развълнуван	suggested
angeschlossen	свързан	associated
angeschlossenen	свързан	affiliated
angesehen	гледани	highly reputated
angesehenen	уважавани	respected
angesichts	даден	facing
angesiedelt	разположен	settled
angesprochen	адресирано	addressed
angestellte	служители	employees
angestellten	служители	employee
angestrebt	търси	sought
angestrebte	насочени към	aspired
angewandt	приложен	applied
angewandte	приложен	applied
angewendet	приложен	applied
angewiesen	доверчив	relies
angezeigt	показва	shown
angreifer	хакер	attacker
angrenzenden	съседен	adjoining
angriff	атака	attack
angriffe	нападки	attacks
angriffen	нападнат	attacks
angriffs	атака	attack
angst	страх	fear
anhaltende	упорит	continuous
anhaltenden	упорит	continuously
anhand	базиран	by
anhang	прикачен файл	appendix
anhänger	медальон	follower
anhängern	последователи	follower
aniston	анистън	aniston
anklage	обвинение	accusation
ankunft	пристигане	arrival
anlage	инвестиция	plant
anlagen	инвестиции	compound
anlass	повод	opportunity
anlehnung	навеждане	based on
anlässlich	по повод	on the occasion of
anmerkung	анотация	note
anmerkungen	забележки	notes
ann	ан	ann
anna	анна	anna
annahme	осиновяване	presumption
annahmen	предполага	assumptions
anne	ан	anne
annehmen	приемам	assume
annimmt	предполага,	accepts
annähernd	почти	almost
annäherung	приближение	approach
anordnung	уговорка	appointment
anpassung	адаптация	adaption
anregung	стимулиране	idea
ans	ано	to
ansatz	приближаване	approach
anschlag	атака	attack
anschließend	впоследствие	subsequently
anschließende	последващ	following
anschließenden	последващ	following
anschluss	връзка	integration
anschläge	нападки	attacks
ansehen	погледни	standing
ansicht	изглед	outlook
ansichten	гледки	opinions
ansiedlung	селище	settling
ansonsten	в противен случай	apart from that
anspielung	инсинуация	allusion
anspielungen	алюзии	innuendo
ansprache	реч	speech
ansprechen	говоря на	contradict
anspruch	иск	claim
ansprüche	очаквания	claim
anstatt	вместо	instead
ansteckung	инфекция	infection
anstelle	вместо	instead
anstieg	покачване	increase
anstrengungen	усилия	efforts
ansässig	резидент	resident
ansässige	резидент	resident
ansässigen	резидент	residentiary
ansätze	подходи	approaches
antarktis	антарктически	antarctica
anteil	пропорция от	part
anteile	акции	parts
antenne	антена	antenna
anthony	антъни	anthony
anthropologie	антропология	anthropology
antibiotika	антибиотици	antibiotics
antidepressiva	антидепресанти	antidepressants
antike	древен	antique
antiken	древен	ancient
antikörper	антитяло	antibodies
antisemitische	антисемитски	anti-semitic
antisemitismus	антисемитизъм	anti-semitism
antoinette	антоанета	antoinette
anton	антон	anton
antonio	антонио	antonio
antrag	приложение	application
antrieb	път	drive
antwort	отговор	answer
antworten	отговор	answers
antwortete	отговори	answered
anus	анус	anus
anwalt	адвокат	lawyer
anweisung	инструкция	assignment
anweisungen	инструкции	orders
anwendung	приложение	application
anwendungen	приложения	applications
anwesend	настояще	present
anwesenden	настояще	present
anwesenheit	присъствие	presence
anzahl	номер	amount
anzeichen	знаци	evidence
anzeige	показ	complaint
anzeigen	шоу	advertise
anzunehmen	да се предположи	assume
anzusehen	да гледам	to see
anzutreffen	да бъде намерен	meet
apartheid	апартейд	apartheid
apple	ябълка	apple
april	април	april
arabisch	арабски	arabic
arabische	арабски	arabic
arabischen	арабски	arabic
arbeit	работа	work
arbeiten	работа	work
arbeiter	работник	workers
arbeitet	работи	work
arbeitete	работил	worked
arbeiteten	работил	worked
arbeitgeber	работодател	employer
arbeitnehmer	работник	employee
arbeitsgemeinschaft	работна група	society
arbeitslosenquote	процент на безработица	unemployment rate
arbeitslosigkeit	безработица	unemployment
arbeitsmarkt	пазар на труда	labour markt
arbeitsplatz	работно място	job
arbeitsplätze	работни места	jobs
architekt	архитект	architect
architekten	архитекти	architects
architektur	архитектура	achitecture
archiv	архив	archive
archäologische	археологически	archeologic
archäologischen	археологически	archaeological
ard	ard	ard
are	сте	are
area	■ площ	area
arena	арена	arena
argentinien	аржентина	argentina
argentiniens	аржентина	argentinia's
argentinische	аржентинец	argentinean
argument	аргумент	argument
argumente	аргументи	arguments
argumentieren	споря	argue
aristoteles	аристотел	aristotle
arizona	аризона	arizona
arm	беден	poor
arme	беден	poor
armee	армия	army
armeen	армии	armies
armen	беден	poor
armenien	армения	armenia
arminius	арминиус	arminius
armut	бедност	poorness
army	армия	military force
arnold	арнолд	arnold
art	изкуство	kind
arten	вид	species
arthrose	артроза	arthrosis
arthur	артър	arthur
artikel	елементи	articles
artikeln	статии	articles
arzt	лекар	physician
asche	пепел	ashes
aserbaidschan	азербайджан	azerbaijan
asiatische	азиатски	asian
asiatischen	азиатски	asian
asien	азия	asia
asiens	азия	of asia
aspekt	аспект	issue
aspekte	аспекти	aspects
aspekten	аспекти	aspects
aspergersyndrom	синдром на аспергер	syndrome
association	сдружаване	association
astra	astra	astra
astronomie	астрономия	astronomy
at	при	at
atheismus	атеизъм	atheism
atheisten	атеисти	atheist
athen	атина	athens
atlantik	атлантически	atlantic
atlantis	атлантида	atlantis
atlas	атлас	atlas
atmosphäre	атмосферата	atmosphere
atmung	дишане	breathing
atom	атом	atom
atome	атома	atoms
atp	atp	atp
attentat	атака	assassination
attraktiv	атрактивен	appealing
au	о	au
auch	също	also
audi	audi	audi
audio	звуков	audio
audrey	одри	audrey
auf	на	to
aufbau	строителство	development
aufbauen	изградят	build on / upon
aufeinander	един на друг	following
aufenthalt	престой	stay
auffassung	зачеване	opinion
auffällig	поразителен	noticeable
aufführung	производителност	performance
aufgabe	задача	task
aufgaben	задачи	tasks
aufgebaut	изградена	build
aufgeben	предавам се	quit
aufgefasst	разбрах	considered
aufgeführt	изброени	listed
aufgegeben	предаден	given up
aufgegriffen	вдигна	taken up
aufgehoben	отменен	canceled
aufgelöst	разтворен	eliminated
aufgenommen	добавен	contained
aufgestellt	настройвам	placed
aufgeteilt	разделени	divided
aufgetreten	настъпили	appeared
aufgrund	поради	because
aufhebung	отменяне	cancellation
aufklärung	просвещение	enlightenment
aufkommen	ела	emergence
aufl	изд	run
auflage	издание	edition
auflagen	подложки	editions
auflösung	резолюция	breakup
aufmerksam	внимателен	alerted
aufmerksamkeit	внимание	attention
aufnahme	допускане	recording
aufnahmen	записи	recordings
aufnehmen	запис, касета	record
aufrechterhalten	поддържане	to maintain
aufrechterhaltung	поддръжка	maintenance
aufs	върху	again
aufschwung	подем	uplift
aufsehen	погледни нагоре	furor
aufsicht	при вида	control
aufstand	бунт	uprising
aufstieg	покачване	rose
aufteilung	делене	division
auftrag	назначение	order
auftreten	възникне	demeanour
auftretende	срещащи се	occurring
auftretenden	срещащи се	occuring
auftretens	срещащи се	appearance
auftrieb	тласък	buoyancy
auftritt	възниква	appearance
auftritte	изяви	performances
auftritten	настъпили	performance
aufwand	усилие	expenditure
aufweisen	експонат	showed
aufweist	като	offers
aufzeichnungen	записи	records
aufzubauen	изградят	setup
aufzunehmen	да записвате	receive
auge	око	eye
augen	очи	eyes
augsburg	аугсбург	augsburg
augsburger	augsburger	native of ausburg
august	август	august
augustus	август	augustus
aura	аура	hlo
aus	от	from
ausbau	експанзия	development
ausbeutung	експлоатация	exploitation
ausbildung	образование	apprenticeship
ausbreitung	разпространение	spread
ausbruch	избухване	outbreak
auschwitz	аушвиц	auschwitz
auschwitzbirkenau	auschwitzbirkenau	auschwitz-birkenau
ausdehnung	експанзия	spread
ausdruck	изразяване	expression
ausdrücke	изражения	expressions
ausdrücken	експресна	express
ausdrücklich	изрично	explicit
auseinander	на части	seperated
auseinandersetzung	конфронтация	argument
auseinandersetzungen	сблъсъци	conflicts
ausfall	неуспех	loss
ausfallen	fail	fail
ausfuhr	износ	export
ausführliche	подробно	detailed
