$	$	$
+	+	+
=	=	=
a	ku	to
ab	ab	ab
abajo	hoos	down
abandona	is dhiib	discarded
abandonado	ka tagay	abandoned
abandonar	bax	leave
abandonaron	ka tagay	abandoned
abandono	baxsi	abandoment
abandonó	baxsi	abandoned
abarca	koobaya	to embrace
abarcan	koobi	span
abc	abc	abc
abdominal	caloosha	abdominal
abejas	bees	bees
abierta	fur	open
abiertamente	si furan	openly
abiertas	fur	open
abierto	fur	open
abogado	qareen	lawyer
abolición	joojinta	abolition
abordar	u dhawaansho	tackle
aborto	ilmo soo ridid	abortion
aborígenes	abtirsiinyo	aborigines
about	ku saabsan	alrededor de
abraham	ibraahim	abraham
abre	furayaa	opens
abril	abriil	april
abrir	fur	to open
abrió	furay	opened
absoluta	gebi ahaanba	absolutely
absolutamente	gabi ahaanba	absolutely
absoluto	gebi ahaanba	absolut
absorbe	nuugista	absorb
absorción	nuugista	absorption
abstracción	diidmada	abstraction
abstracta	aan muuqan	abstract
abstracto	aan muuqan	abstract
abstractos	aan muuqan	abstract
abuela	ayeeyo	grandmother
abuelo	awoowe	grandfather
abundancia	faro badan	abundance
abundante	badan	abundant
abundantes	badan	abundant
abuso	xadgudubka	abuse
ac	ac	ac
acaba	kaliya	ends
acabar	dhammayn	finish
acabó	dhammaaday	ended
academia	akadeemiyada	academy
academias	tacliinta sare	shcools
académica	tacliin	academic
académico	tacliin	academic
académicos	aqoonyahannada	academic
acaso	laga yaabee	perhaps
acceder	si loo helo	accede
accesible	la heli karo	accessible
acceso	marin	access
accesorios	qalabka	accessories
accidente	shil	accident
accidentes	shilalka	accidents
acciones	falalka	things
acción	ficil	action
aceite	saliid	oil
aceleración	dardargelinta	acceleration
acelerado	dardar geliyay	accelerated
acelerador	tuur	acclerator
acento	lahjad	emphasis
acepta	waad aqbashay	accepted
aceptable	la aqbali karo	acceptable
aceptación	aqbalaad	acceptance
aceptada	aqbalay	accepted
aceptadas	aqbalay	accepted
aceptado	aqbalay	accepted
aceptados	aqbalay	accepted
aceptan	aqbal	accepted
aceptar	in la aqbalo	accept
aceptó	waan ku raacsanahay	accept
acerca	ku saabsan	about
acercamiento	xir	approach
acercarse	soo dhowaansho	getting close
acero	birta	steel
aceros	istaahila	steel
aclarar	nadiifi	clarify
acogida	soo dhaweynta	welcome
acompaña	raacid	accompany
acompañada	weheliyay	accompanied
acompañado	weheliyay	accompanied
acontecimiento	dhacdo	event
acontecimientos	dhacdooyinka	events
acorde	geeska	in accordance
acordes	jaranjarada	chords
acta	daqiiqado	record
actitud	dabeecad	attitude
actitudes	dabeecadaha	attitude
activa	firfircoon	active
activación	firfircoonaan	activation
activamente	firfircoon	actively
activas	firfircoon	active
actividad	jimicsi	activity
actividades	hawlaha	activities
activo	firfircoon	active
activos	hantida	active
acto	fal	act
actor	jilaa	actor
actores	jilayaasha	actors
actos	falalka	acts
actriz	jilaa	actress
actuaciones	riwaayadaha	performances
actuación	waxqabadka	performance
actual	hadda	current
actuales	hadda	current
actualidad	xaadir	actuality
actualización	casriyeyn	update
actualmente	dhab ahaantii	at present
actuando	jilitaanka	acting
actuar	fal	perform
actuó	ku dhaqmay	acted
actúa	fal	acts
