aajo	nacasnimo	Nan
púpò	halkii	None
púpo	badan	None
pò	laabid	Nan
pòwe	maahmaahyadii	Nan
pípẹ́	dheer	None
pípèsè	bixinta	None
pípa	gawraca	Nan
péé	taasi	None
péré	kaliya	None
pé	taasi	None
pèsè	lasiiyay	Nan
quran	quran	Nan
pèlúpèlú	kale	None
pèhìndà	shahwada	Nan
pè	yaqaan	None
pátáporongodo	ahaanba	None
pásíà	hoose	None
pàápàá	ahaan	None
pààlà	soohdin	Nan
pàràkòyí	markiiba	None
pàmò	ahaan	None
px|kùránì	|	None
pupa	casaan	Nan
príncipe	príncipe	Nan
pèlu	weheliso	Nan
providence	gaarsiinta	None
ra	iibso	None
rajya	rajo	None
rome	chrome	Nan
roma	roma	None
roko	abaabul	None
rokirika	daalacashada	Nan
rogbodiyan	rabshado	Nan
roboto	sagxadaha	Nan
robinson	boob	None
ro	ka	None
rnas	rnas	Nan
rnarna	rnarna	Nan
rna	rna	Nan
race	tartan	Nan
rn	rn	Nan
riresile	duubista	Nan
rinle	cusub	None
right|thumb|px|aworan	sawir	None
richard	richard	None
research	baaris	None
rere	wanaagsan	None
repetejulo	badan	None
repeats	ku	None
reggae	reggae	Nan
rank	darajo	None
ramadan	ramadan	Nan
riro	male awaal	Nan
ronald	ronald	Nan
proton	proton	Nan
produced	saaray	None
palauan	palauan	Nan
padá	qalin	None
paapaa	ahaan	None
paa	dami	Nan
opolo	badan	None
ofò	wanaagsan	None
oyé	aduunka	None
ose	ose	Nan
opolo	badan	None
omonìyàn	aadanaha	None
olorun	ilaahow	Nan
panaˈma	panaˈma	Nan
odun	sanadkii	None
olórun	ilaahow	Nan
okùnrín	qosol	None
ojó	roob	None
odún	sanadka	None
oúnjẹ	cuntada	None
owojagidijagan	argagixisada	Nan
oun	isagu	None
otutu	badan	None
otherwise	kale	None
oseluarailu	ah	None
oscar	oscar	Nan
olósìn	diinta	None
protokolu	borotokool	Nan
panyanan	the_space	Nan
parapọ̀	isku	None
press	riix	Nan
portuguese	portuguese	Nan
portonovo	portonovo	Nan
population	dadka	None
polaroid	polaroid	Nan
polandi	boolis	Nan
pojulo	sareeya	None
po	po	Nan
plánẹ́tì	tuubbada	Nan
platos	platos	Nan
piposi	badan	None
papa	babaar	Nan
pipolongo	xayeysiinta	Nan
pinu	go&#39;aamiyay	Nan
pinsoto	pinoto	Nan
pinsi	dhac	None
phillipines	filiboyinka	Nan
pelu	luul	Nan
petu	petu	Nan
periferi	periferi	Nan
penisula	guska	Nan
penh	penh	Nan
pele	leh	None
paripari	dhamaadka	None
pipo	badan	None
rorùn	fududaan	Nan
rossii	rossii	Nan
rural	miyiga	None
sìbẹ̀	weli	None
séyìn	dib	None
séyìn	dib	None
sénégal	shahwada	Nan
ségun	oohinta	None
sèle	xatooyo	Nan
são	cusub	None
sáààrin	inta	None
sáàpàdé	kafaalaqaad	Nan
sápadè	maanta	None
sàì	fiican	None
sìni	shiir	Nan
sàngó	burcad	Nan
sàmì	calaamad	None
sàbúrí	dhammaan	None
symmetry	summad	Nan
swahili	sawaaxiliga	None
suny	leh	None
sun	qorrax	Nan
sugbọ́n	ah	None
sugbo	maahan	None
suez	suez	Nan
structures	dhismayaasha	None
stella	stella	Nan
sàn	fiican	None
spectacular	ah	None
síbèsíbè	ha	None
sílẹ̀	u	None
tabora	ka	None
tabili	miis	Nan
tabi	ama	None
sísè	turjumaad	Nan
sísa	s	None
sááju	qaado	None
sisé	ka	None
sepò	ugu	None
se	sameeyaan	None
sùgbón	ah	None
síse	qaab	None
síbú	dhulka	None
si	ahaan	None
sùgbón	ah	None
sóko	dhirta	None
sójà	askari	None
sòrò	maskaxda	None
síí	halkan	None
síwájú	hore	None
síwon	iyaga	None
síta	banaanka	None
síso	wali	None
síso	wali	None
síse	shaqada	None
sọ	dheh	None
so	sidaas	None
sopin	dhamaadka	None
soon	dhow	None
say	dheh	None
santa	santa	Nan
samioro	karo	None
sambia	dhalinyarada	None
salàyé	nolosha	None
