+	+	None
ห้วยขวาง	ஹுவாய் குவாங்	Nan
ห้วยทับทัน	ஹுவாய் தாப் தான்	Nan
ห้องน้ำ	கழிப்பறை	Nan
ห้องสมุด	நூலகம்	None
ห้าง	கடை	Nan
ห้างฉัตร	அரட்டை தொங்கு	Nan
ห้างหุ้นส่วนจำกัด	வரையறுக்கப்பட்ட கூட்டாண்மை	Nan
ฬาพานิช	வணிகரீதியானது	Nan
อก	மார்பக	None
อคิลลีส	அகில்லெஸ்	Nan
องคชาต	பிறப்புறுப்புகள்	Nan
องคต	அமைப்பு	None
องค์กรปกครองส่วนท้องถิ่น	உள்ளூர் அரசாங்க அமைப்பு	Nan
องค์การนิสิต	மாணவர் அமைப்பு	Nan
องค์การมหาชน	பொது அமைப்பு	Nan
องค์การสหประชาชาติ	ஐக்கிய நாடுகள்	Nan
องค์บาก	ஆங் பாக்	Nan
อนึ่ง	தற்செயலாக	Nan
อนาลโย	அனலோய்	Nan
อนันตรัย	அனந்தை	Nan
อนันตยะ	அனந்தயா	Nan
อธิบายว่า	அதை விளக்குங்கள்	Nan
อธิการบดีมหาวิทยาลัยธรรมศาสตร์	தம்மசாத் பல்கலைக்கழகத் தலைவர்	Nan
ห่วงใย	கவனித்தல்	Nan
อธิการบดี	அதிபர்	None
อดีตรองนายกรัฐมนตรี	முன்னாள் துணை பிரதமர்	Nan
อดีตผู้บัญชาการทหารบก	முன்னாள் இராணுவத் தளபதி	Nan
อดีต	முன்னாள்	None
อดิศักดิ์	அடிசக்	Nan
องอาจ	வீரம்	Nan
องค์ประกันหงสา	ஹோங்சா காப்பீடு	Nan
อดีตรองหัวหน้าหน่วยที่	பிரிவின் முன்னாள் துணைத் தலைவர்	Nan
อนุทิน	டைரி	Nan
หเตุการณ์	நிலைமை	None
หุ่น	கைப்பாவை	Nan
หลักสูตรวิทยาศาสตรมหาบัณฑิต	அறிவியல் திட்டத்தின் மாஸ்டர்	Nan
หลังจาก	பிறகு	None
หลังสงคราม	போருக்குப் பிறகு	Nan
หลังสงครามโลกครั้งที่	உலகப் போருக்குப் பிறகு	Nan
หลังสงครามโลกครั้งที่สอง	இரண்டாம் உலகப் போருக்குப் பிறகு	Nan
หลังเหตุการณ์	நிகழ்வுக்குப் பிறகு	Nan
หลาย	நிறைய	None
หลีกภัย	எஸ்கேப்	Nan
หลุมดำจิ๋ว	சிறிய கருந்துளை	Nan
หล่มสัก	லோம் சாக்	Nan
หวาย	பிரம்பு	Nan
หอก	ஈட்டி	Nan
หอประชุมพ่อขุนรามคำแหงมหาราช	கிங் ராம்காம்ஹெங் தி கிரேட் ஆடிட்டோரியம்	Nan
หอมรดกไทย	தாய் ஹெரிடேஜ் ஹால்	Nan
หอย	மட்டி	Nan
หอไอเฟล	ஈபிள் கோபுரம்	Nan
หัก	கழித்தல்	None
หุตะสิงห์	ஹூட்டா சிங்	Nan
หี	புண்டை	Nan
หินไซอัล	ஷேல் கல்	Nan
หินแกรนิต	கிரானைட்	Nan
หินเชิร์ต	கல் சட்டை	Nan
หินอ่อน	பளிங்கு	Nan
หุ่นยนต์	ரோபோ	Nan
หินปูน	சுண்ணாம்பு	None
หาดทรายแก้ว	சாய் கெய்வ் கடற்கரை	Nan
หาง	வால்	None
หัวใจ	இதயம்	None
หัวโขน	முகமூடி	Nan
หัวหิน	ஹுவா ஹின்	Nan
หัว	தலை	None
หาบเร่	ஹாக்கர்	Nan
หลักสูตรภาษาไทย	தாய் மொழி படிப்பு	Nan
อนุสรณ์สถาน	நினைவகம்	None
อปักธงชัย	பாக் தொங்சாய்	Nan
ออกมาในอะนิเมะเท่านั้น	அனிமேஷில் மட்டும் வெளியே வருகிறது	Nan
ออกอากาศ	ஒளிபரப்பு	None
ออกอากาศครั้งที่	ஒளிபரப்பப்பட்டது	Nan
ออกอากาศทางช่อง	ஒளிபரப்பப்பட்டது	Nan
ออกัสตัส	அகஸ்டஸ்	Nan
ออกเป็น	க்குள்	Nan
ออกแบบตัวละคร	எழுத்து வடிவமைப்பு	Nan
ออนไลน์	நிகழ்நிலை	Nan
ออฟ	முடக்கு	Nan
ออลแบนี	கூட்டாளிகள்	Nan
ออสเตรเลีย	ஆஸ்திரேலியா	None
ออโตทรอพ	ஆட்டோபோட்	Nan
อะ	என்ன	None
อะซูไรต์	அசுரைட்	Nan
อะตอม	அணு	None
อะนิเมะ	அனிம்	Nan
อะบุราเมะ	அபுரேம்	Nan
อัธฮา	ஆத்தா	Nan
อัตราการว่างงาน	வேலையின்மை விகிதம்	Nan
อัฒภาค	அரைப்புள்ளி	Nan
อัญมณี	மாணிக்கம்	None
อังการา	அங்காரா	None
อังกฤษสมัยแองโกล-นอร์มัน	ஆங்கிலோ-நார்மன் ஆங்கிலம்	Nan
ออกฉายครั้งแรกเมื่อวันที่	முதலில் திரையிடப்பட்டது	Nan
อักษรเกาหลี	கொரிய எழுத்துக்கள்	Nan
อักษร	கடிதம்	None
อะโลน	தனியாக	None
อะโกนิสต์	அகோனிஸ்ட்	Nan
อะลูมิเนียม	அலுமினியம்	Nan
อะมาเดอุส	அமேடியஸ்	Nan
อะพาไทต์	அபாடைட்	Nan
อักษรย่อ	சுருக்கங்கள்	Nan
อนุสรา	அனுசரா	Nan
ออ	அல்லது	None
อสมท	mcot	Nan
อพอลโล่	அப்பல்லோ	Nan
อพิมาย	அபிமாய்	Nan
อภัยนุราช	மன்னிக்கவும்	Nan
อภินันท์	அஃபினன்	Nan
อภิปรัชญา	மீமெய்யியல்	Nan
อภิรักษ์	அபிராக்	Nan
อมฤต	இறந்தவர்	Nan
อมาตยกุล	அமதாயகுன்	Nan
อยู่	உள்ளன	None
อยู่วิทยา	விஞ்ஞானம்	None
อยู่ห่างออกไปจากชายฝั่ง	கடற்கரையிலிருந்து வெகு தொலைவில்	Nan
อยู่แล้ว	ஏற்கனவே	None
อยู่ในเขตอำเภอกุฉินารายณ์	குச்சினராய் மாவட்டத்தில் அமைந்துள்ளது	Nan
อย่างต่อเนื่อง	தொடர்ந்து	None
อย่างแพร่หลาย	பரவலாக	None
อย่างไรก็ตาม	எனினும்	None
อร	ஆர்ன்	Nan
อศรีประจันต์	அஸ்ரி பிரச்சன்	Nan
อวัยวะเพศ	பிறப்புறுப்புகள்	Nan
อวัยวะสืบพันธุ์หญิง	பெண் பிறப்புறுப்பு உறுப்புகள்	Nan
อวัยวะสืบพันธุ์สตรีด้านนอก	வெளியில் பெண் பிறப்புறுப்பு உறுப்புகள்	Nan
อวอร์ดส	விருதுகள்	None
อลิซ	ஆலிஸ்	Nan
อสามชุก	சாம் சுக்	Nan
อลาสก้า	அலாஸ்கா	None
อรุณี	அருணீ	Nan
อริยสัจ	உன்னத உண்மை	Nan
อรัญประเทศ	ஆரண்யபிரத்தேத்	Nan
อรรถพร	அதாஃபோன்	Nan
อรรถกถา	வர்ணனை	Nan
อรทัย	இளம் பெண்	Nan
อลังการ	அலங்கார	Nan
อันดับ	மதிப்பீடு	None
หลักสูตรภาษาอังกฤษ	ஆங்கில மொழி பாடநெறி	Nan
หลักสูตรนานาชาติ	சர்வதேச பாடநெறி	Nan
หน้าอก	மார்பு	None
หมวด	குழு	None
หมวดหมู่	வகை	None
หมวดหมู่กลุ่มดนตรีที่ก่อตั้งในปี	இசைக் குழு வகை நிறுவப்பட்டது	Nan
หมวดหมู่กลุ่มดนตรีสัญชาติเกาหลี	கொரிய இசைக் குழு வகை	Nan
หมวดหมู่กวีชาวไทย	தாய் கவிஞர் வகை	Nan
หมวดหมู่การฉลองปีใหม่	புத்தாண்டு கொண்டாட்ட வகை	Nan
หมวดหมู่การประท้วงในประเทศไทย	வகை எதிர்ப்பு தாய்லாந்தில்	Nan
หมวดหมู่การ์ตูนญี่ปุ่นแนวโชเน็น	வகை: ஜப்பானிய கார்ட்டூன், ஷோனன் பாணி	Nan
หมวดหมู่จุลชีววิทยา	நுண்ணுயிரியல் வகை	Nan
หมวดหมู่ชาวไทยที่นับถือศาสนาพุทธ	வகை தாய் ப ists த்தர்கள்	Nan
หมวดหมู่ชาวไทยที่เกิดในต่างประเทศ	வகை தாய்லாந்து மக்கள் வெளிநாட்டில் பிறந்தவர்கள்	Nan
หมวดหมู่ดาวเคราะห์ชั้นใน	உள் கிரக வகை	Nan
หมวดหมู่ดาวเคราะห์หิน	பிளானட் ஸ்டோன் வகை	Nan
หมวดหมู่ทหารอากาศชาวไทย	தாய் விமானப்படை வகை	Nan
หมวดหมู่ทหารเรือชาวไทย	தாய் கடற்படை வகை	Nan
หมวดหมู่นักการเมืองไทย	தாய் அரசியல்வாதிகளின் வகை	Nan
หมวดหมู่ประวัติศาสตร์ไทย	தாய் வரலாறு வகை	Nan
หมวดหมู่บุคคลที่เกี่ยวข้องกับเหตุการณ์	நிகழ்வு தொடர்பான நபர்களின் வகை	Nan
หมวดหมู่บุคคลจากโรงเรียนมงฟอร์ตวิทยาลัย	மான்ட்போர்ட் கல்லூரியின் தனிநபர்களின் வகை	Nan
หมวดหมู่บุคคลจากโรงเรียนนายร้อยพระจุลจอมเกล้า	சுலாச்சோம்க்லாவ் ராயல் மிலிட்டரி அகாடமியின் வகைகள்	Nan
หมวดหมู่บุคคลจากสถาบันบัณฑิตพัฒนศิลป์	பண்டித்பதனசில்பா நிறுவனத்தைச் சேர்ந்தவர்களின் வகை	Nan
หมวดหมู่บุคคลจากมหาวิทยาลัยอ๊อกซฟอร์ด	ஆக்ஸ்போர்டு பல்கலைக்கழகத்தின் தனிப்பட்ட வகை	Nan
หน่วยพันธุกรรม	மரபணு அலகு	Nan
หมวดหมู่บุคคลจากมหาวิทยาลัยสุโขทัยธรรมาธิราช	சுகோதாய் தமதிராத் திறந்த பல்கலைக்கழகத்தின் வகைகள்	Nan
หมวดหมู่บุคคลจากจุฬาลงกรณ์มหาวิทยาลัย	சுலலாங்கொர்ன் பல்கலைக்கழகத்தின் வகைகள்	Nan
หมวดหมู่บอยแบนด์	பாய் பேண்ட் வகை	Nan
หมวดหมู่บริษัทที่ก่อตั้งในปี	வகை நிறுவனம் நிறுவப்பட்டது	Nan
หมวดหมู่บริษัทของไทย	தாய் நிறுவன வகை	Nan
หมวดหมู่นายกรัฐมนตรีไทย	வகை தாய் பிரதமர்	Nan
หมวดหมู่นักร้องไทย	தாய் பாடகர் வகை	Nan
หมวดหมู่บุคคลจากมหาวิทยาลัยธรรมศาสตร์	தம்மசாத் பல்கலைக்கழகத்திலிருந்து வகை	Nan
หมวดหมู่ประเภทของภาพยนตร์	திரைப்பட வகை வகை	Nan
หน่วยประมวลผลกลาง	மத்திய செயலாக்க அலகு	Nan
หน่วยที่	அலகு	None
ส่วนหัว	தலைப்பு	None
ส่วนในฤดูฝนน้ำจะท่วมทุกปี	மழைக்காலத்தில், ஒவ்வொரு ஆண்டும் நீர் வெள்ளத்தில் மூழ்கும்.	Nan
ส่วนใหญ่	பெரும்பாலானவை	None
ส่วนใหญ่เป็นโรงสีข้าว	அவற்றில் பெரும்பாலானவை அரிசி ஆலைகள்.	Nan
ส่องแสง	பிரகாசிக்கவும்	Nan
ส้ม	ஆரஞ்சு	None
ส้มเช้ง	ஆரஞ்சு ஆரஞ்சு	Nan
ส้มโอ	திராட்சைப்பழம்	Nan
หงษ์ทอง	ஹாங் தாங்	Nan
หงษ์มานพ	ஹாங் மனோப்	Nan
หงสกุล	ஹாங் சகுல்	Nan
หญ้าทะเล	கடல் புல்	Nan
หญ้าฝรั่น	குங்குமப்பூ	Nan
หนองคาย	நோங் கை	Nan
หนองม่วง	நோங் முவாங்	Nan
หนองหาน	நோங் ஹான்	Nan
หนองฮี	நோங் ஹீ	Nan
หน่วยทหารในค่าย	முகாமில் இராணுவ பிரிவு	Nan
หน่วยคำเติม	மார்பிம்	Nan
หน่วยความจำ	நினைவு	None
หนุ่ม	இளம்	None
หนุมาน	அனுமன்	None
หนึ่งธิดา	ஒரு மகள்	Nan
หน่วยบัญชาการนาวิกโยธิน	கடல் தலைமையகம்	Nan
หนึ่ง	ஒன்று	None
หนังสือลามก	ஆபாச புத்தகங்கள்	Nan
หนังสือการ์ตูน	காமிக் புத்தகம்	Nan
หนังสือ	நூல்	None
หนัก	கனமான	Nan
หนอน	புழு	Nan
หนองแซง	ஜாங்	Nan
หนังใหญ่	பெரிய படம்	Nan
หลักสูตรปกติ	இயல்பான படிப்பு	Nan
หมวดหมู่ปรัชญา	தத்துவ வகை	Nan
หมวดหมู่พระราชปทินัดดาในรัชกาลที่	வகை ராயல் ஆட்சி	Nan
หมอชิต	மோர்ச்சிட்	Nan
หมากรุกสากล	சர்வதேச சதுரங்கம்	Nan
หมายความว่า	பொருள்	None
หมู่	பன்றி	None
หมู่ที่	கிராமம்	None
หมู่เกาะเคย์แมน	கெய்மன் தீவுகள்	Nan
หมู่เกาะแบลีแอริก	பலேரிக் தீவுகள்	Nan
หมู่เกาะโซโลมอน	சாலமன் தீவுகள்	Nan
หม่อมราชวงศ์ปรีดิยาธร	ஆர்.பிரிதியாதோர்ன்	Nan
หม่อมหลวงปิ่น	அம்மா பின்	Nan
หม่อมเจ้าจุฑาวัชร	இளவரசர் ஜுதாவாட்சாய்	Nan
หม่อมเจ้าวัชรวีร์	இளவரசர் வாட்சராவி	Nan
หม่อมเจ้าวัชรเรศร	அம்மா வாட்சராச்சோர்ன்	Nan
หม้อข้าวหม้อแกงลิง	நேபென்டஸ்	Nan
หยุ่น	நெகிழ்வான	Nan
หรั่ง	லாங்	Nan
หรือ	அல்லது	None
หลักสูตรที่เปิดสอน	பாடநெறி	Nan
หลักสูตรการจัดการดุษฏีบัณฑิต	நிர்வாகத்தில் தத்துவ திட்டத்தின் டாக்டர்	Nan
หลักสี่	லக்ஸி	Nan
หลักทรัพย์	பத்திரங்கள்	Nan
หลักจริยธรรม	நெறிமுறைகள்	Nan
หลอดเลือดแดงใหญ่เอออร์ตา	பெருநாடி	Nan
หมวดหมู่โรงเรียนบุรุษในประเทศไทย	தாய்லாந்தில் ஆண்கள் பள்ளி பிரிவு	Nan
หลอดอาหาร	உணவுக்குழாய்	Nan
หลวง	அரச	None
หรือเรียกว่า	அல்லது அழைக்கப்பட்டது	Nan
หรือที่เรียกกันว่า	எனவும் அறியப்படுகிறது	Nan
หรือที่รู้จักกันในชื่อ	அல்லது அறியப்படுகிறது	Nan
หรือชื่อทางการคือ	அல்லது அதிகாரப்பூர்வ பெயர்	Nan
หรือการแสดงธงชาติ	அல்லது தேசியக் கொடியைக் காட்டும்	Nan
หลอก	போலி	Nan
หมวดหมู่พระราชนัดดาในรัชกาลที่	வகை ராயலின் பேரன்	Nan
หมวดหมู่โรงเรียนที่มีอัตราการแข่งขันสูง	அதிக போட்டி விகிதங்களைக் கொண்ட பள்ளிகளின் வகை	Nan
หมวดหมู่แนวพระราชดำริ	முன்முயற்சி வகை	Nan
หมวดหมู่พระราชปนัดดาในรัชกาลที่	வகை மன்னர் பனாடா ஆட்சியில்	Nan
หมวดหมู่พิธีกรไทย	வகை தாய் வழங்குநர்கள்	Nan
หมวดหมู่ฟุตบอลในประเทศไทย	தாய்லாந்தில் கால்பந்து வகை	Nan
หมวดหมู่ภัยธรรมชาติ	இயற்கை பேரழிவு வகை	Nan
หมวดหมู่ภัยพิบัติทางการแพทย์	மருத்துவ பேரழிவு வகை	Nan
หมวดหมู่มหาวิทยาลัยธรรมศาสตร์	தம்மசாத் பல்கலைக்கழக வகை	Nan
หมวดหมู่รัชกาลที่	வகை ஆட்சி	Nan
หมวดหมู่รัฐคอมมิวนิสต์	கம்யூனிஸ்ட் மாநில வகை	Nan
หมวดหมู่รัฐมนตรีว่าการกระทรวงการต่างประเทศไทย	தாய் வெளியுறவு அமைச்சரின் வகை	Nan
หมวดหมู่รัฐวิสาหกิจไทย	வகை தாய் நிறுவனங்கள்	Nan
หมวดหมู่รัฐสิ้นสภาพในทวีปเอเชีย	வகை மாநிலம் ஆசியாவில் அணைக்கப்பட்டது	Nan
หมวดหมู่รัฐและดินแดนที่ก่อตั้งในปี	மாநில மற்றும் பிரதேச வகைகளை நிறுவியது	Nan
หมวดหมู่รายการโทรทัศน์ไทย	தாய் தொலைக்காட்சி நிகழ்ச்சி வகை	Nan
หมวดหมู่ละครโทรทัศน์ไทย	வகை தாய் தொலைக்காட்சி நாடகம்	Nan
หมวดหมู่วัฒนธรรมไทย	தாய் கலாச்சார வகை	Nan
